Population,Average Income,Employment,Land Price,Production Trips,Attraction Trips
Zone1, 116939, 1931, 51200, 9.5, 216709, 179200
Zone2, 473490, 2133, 207202, 20.0, 873051, 932409
Zone3, 376925, 1980, 153789, 16.2, 697517, 538262
Zone4, 451756, 4898, 200848, 15.8, 776774, 1205088
Zone5, 484981, 4920, 177655, 21.9, 832492, 977103
Zone6, 284057, 3753, 105783, 12.7, 502936, 528915
Zone7, 467491, 3202, 165183, 8.2, 840124, 578141
Zone8, 525673, 3164, 201377, 6.5, 945303, 604131
Zone9, 325121, 5280, 128368, 18.4, 552647, 641840
Zone10, 193302, 4735, 34699, 9.0, 333569, 190845
