SA1_7DIGITCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
5100101,48,2100,679,185,1550,0.7,1295,2.4
5100102,33,2082,786,380,1875,0.8,1808,3
5100103,65,1257,488,220,1098,0.6,792,1.7
5100104,57,1755,484,238,989,0.7,826,1.9
5100105,56,1517,570,250,1171,0.7,1158,2.1
5100106,0,0,0,0,0,0,0,0
5100107,50,1100,626,200,1403,0.7,1138,2.4
5100108,0,0,0,0,0,0,0,0
5100109,47,1733,605,200,1288,0.8,1031,2.4
5100110,48,1733,657,193,1550,0.8,1281,2.3
5100111,44,1517,669,230,1421,0.8,1325,2.3
5100112,43,1674,623,200,1197,0.8,1198,2.7
5100113,53,1647,473,150,1125,0.9,911,2.2
5100114,37,1800,692,355,1762,0.8,1416,2.7
5100115,47,1950,628,150,1452,0.8,1144,2.5
5100116,0,0,0,0,0,0,0,0
5100202,77,1883,515,355,1149,0.7,870,1.8
5100203,39,2104,663,225,2095,0.8,2026,3
5100204,36,1900,480,338,1269,0.8,1012,2.6
5100205,45,1763,717,350,2107,0.7,1781,2.7
5100206,48,1600,472,200,1048,0.7,736,1.9
5100207,45,1463,477,230,1018,0.8,806,2.1
5100209,50,1767,545,285,1339,0.8,872,1.9
5100213,47,1820,653,330,1424,0.7,895,2.1
5100214,36,2000,670,413,1843,0.7,1687,3
5100216,44,1300,467,240,1083,0.7,887,2.3
5100217,43,1400,503,300,1323,0.7,1042,2.2
5100218,47,1598,557,298,1265,0.6,1058,2
5100219,51,1616,585,300,1275,0.7,924,1.9
5100220,53,1300,597,320,1412,0.6,942,1.9
5100222,42,2000,739,450,2166,0.8,2100,3.1
5100223,45,1517,624,405,1800,0.8,1649,3
5100224,40,1809,526,350,1656,0.8,1468,3.2
5100226,49,2234,680,200,1812,0.7,1437,2.5
5100227,42,2310,871,545,2583,0.8,2374,2.8
5100229,36,2000,594,410,1658,0.7,1440,2.8
5100230,74,2000,514,363,1156,0.6,814,2
5100231,39,2008,699,410,2050,0.7,1978,2.8
5100232,44,1733,594,420,1521,0.7,1292,2.6
5100233,46,1667,569,323,1386,0.7,1037,2.2
5100234,35,2058,728,370,1726,0.8,1412,2.5
5100235,44,1733,539,300,1134,0.7,930,2.2
5100236,37,1398,532,325,1258,0.7,933,2.6
5100237,50,2058,717,300,1361,0.8,1159,2.2
5100238,43,1671,638,350,1449,0.7,1156,2.5
5100239,48,2167,604,320,1645,0.7,1194,2.2
5100240,37,1530,524,345,1303,0.7,1190,2.6
5100241,41,1717,601,350,1303,0.6,1125,2.5
5100243,34,1600,632,400,1718,0.7,1578,2.9
5100244,34,1670,538,340,1419,0.8,1316,2.9
5100246,50,1809,604,400,1674,0.6,1536,2.4
5100247,57,1517,710,360,1512,0.6,1343,2.2
5100249,49,2169,557,335,1359,0.8,1104,2.2
5100250,45,2000,795,400,1981,0.7,1833,2.4
5100251,45,1559,654,350,1437,0.7,1199,2.3
5100252,43,2080,703,383,1687,0.7,1483,2.5
5100253,29,1904,748,410,1737,0.8,1705,3.2
5100254,51,1842,592,210,1312,0.6,1014,2
5100255,48,2384,649,0,749,0.7,1624,2.5
5100256,45,1670,558,320,1224,0.6,881,1.8
5100257,36,1810,653,420,1812,0.8,1712,3.1
5100258,31,2000,725,400,1800,0.7,1681,3.1
5100259,36,1700,731,400,1658,0.7,1579,2.9
5100260,69,1452,455,260,846,0.6,693,1.5
5100261,32,1750,716,410,1687,0.8,1607,3
5100262,42,1733,577,340,1354,0.8,1153,2.3
5100263,41,2167,804,230,2594,0.8,2428,3.2
5100264,45,1690,471,231,1375,0.7,1042,2.5
5100265,71,0,413,178,771,0.8,692,1.6
5100266,29,1931,736,400,1789,0.7,1718,2.7
5100267,33,1790,655,399,1422,0.7,1333,2.7
5100268,32,1930,766,400,1762,0.7,1676,2.8
5100269,0,0,0,0,0,0,0,0
5100270,51,2600,1204,445,3143,0.7,3042,2.7
5100271,53,1695,814,410,2083,0.6,1666,2.6
5100272,32,2000,702,420,1774,0.8,1674,3
5100273,41,1950,658,100,1583,0.7,1392,2.6
5100274,31,1950,771,360,1792,0.8,1541,2.8
5100275,45,1800,521,335,1468,0.7,1044,2.1
5100276,32,1660,617,400,1687,0.7,1488,2.7
5100277,47,2000,753,405,1624,0.6,1354,2.3
5100278,30,1517,575,360,1274,0.7,1271,2.6
5100279,46,1500,585,330,1295,0.7,837,2
5100280,32,1615,575,335,1279,0.8,1015,2.6
5100281,45,1712,462,210,976,0.8,696,1.8
5100282,46,1950,545,395,1416,0.7,1142,2.5
5100283,40,1600,692,350,1837,0.8,1490,2.6
5100301,39,2388,871,375,1899,0.6,1531,2.3
5100302,35,2134,935,398,2113,0.8,1987,2.8
5100303,54,1429,525,193,1656,0.8,982,2.1
5100304,40,1938,676,183,1687,0.8,1421,2.7
5100305,43,1875,877,174,1843,0.8,1597,2.6
5100306,44,2286,543,200,1567,0.8,1432,2.6
5100307,46,2001,732,250,1968,0.8,1699,2.7
5100308,45,2015,785,475,1875,0.8,1830,2.8
5100310,43,2000,776,400,1890,0.7,1516,2.5
5100311,36,1717,795,440,2038,0.7,1724,2.7
5100312,43,1203,713,375,1575,0.7,1339,2.3
5100313,34,1733,629,389,1781,0.8,1218,2.2
5100314,42,2100,742,230,1562,0.8,1437,2.5
5100315,41,2600,746,110,1843,1,1678,2.7
5100316,46,2319,681,375,1850,0.7,1562,2.4
5100317,43,2084,770,300,1892,0.8,1833,2.9
5100318,51,2000,844,250,1660,0.8,1462,2
5100319,57,2000,763,385,1521,0.7,1410,2.2
5100320,37,1950,747,420,1899,0.7,1653,2.6
5100321,37,2167,887,440,2264,0.8,2118,3.2
5100322,51,1563,952,275,1875,0.6,1968,2.7
5100323,36,1800,695,420,2017,0.8,1812,2.8
5100324,43,1817,714,300,1875,0.8,1762,2.7
5100325,37,1800,718,400,1760,0.7,1448,2.7
5100326,35,1991,703,420,1649,0.8,1487,2.7
5100327,34,2090,810,450,1970,0.7,1860,2.6
5100328,33,2000,805,450,1812,0.7,1692,2.8
5100401,39,2000,769,420,2015,0.8,1786,2.9
5100405,42,1700,860,420,2229,0.8,2062,2.9
5100406,40,1679,673,340,1514,0.7,1076,2.5
5100407,49,1430,619,260,1424,0.7,1034,1.9
5100408,42,1300,684,325,1321,0.8,1125,2.1
5100410,30,1804,701,395,1586,0.8,1430,2.8
5100411,36,1300,566,260,1145,1,855,1.9
5100412,45,2154,719,420,1890,0.7,1660,2.6
5100413,40,1647,709,310,1699,0.8,1455,2.7
5100414,41,2184,827,325,1892,0.8,1803,2.8
5100415,42,1800,655,250,1375,0.9,1149,2.6
5100416,42,1800,775,300,1944,0.9,1524,2.7
5100417,44,1800,628,249,1446,0.9,1199,2.4
5100418,45,2450,698,400,1708,0.8,1452,2.9
5100419,32,1506,572,330,1271,0.7,1018,2.4
5100420,31,1638,695,350,1424,0.8,1309,2.7
5100421,35,1763,775,420,1937,0.8,1702,3
5100422,31,1844,819,420,1919,0.8,1899,3
5100423,0,0,0,0,0,0,0,0
5100424,35,1613,667,400,1488,0.7,1395,2.6
5100425,33,1733,570,265,1125,0.9,938,2.5
5100426,32,1675,586,350,1421,0.8,1160,2.5
5100427,33,1767,745,380,1593,0.9,1300,2.5
5100502,26,2000,786,373,1962,0.8,1980,3.2
5100504,50,1625,627,310,1541,0.5,1100,2.1
5100505,0,0,0,0,0,0,0,0
5100506,48,0,392,200,725,1.2,602,1.8
5100507,0,0,0,0,0,0,0,0
5100508,49,1650,628,290,1387,0.6,1114,2.1
5100509,36,1896,718,400,1921,0.7,1696,2.8
5100510,29,2167,822,400,2181,0.8,2189,3.3
5100511,46,1831,540,325,1571,0.7,1339,2.3
5100512,41,1582,608,290,1488,0.7,1302,2.4
5100513,43,1733,708,350,2047,0.7,1712,2.7
5100514,26,1987,745,380,1840,0.8,1859,3.4
5100515,0,0,0,0,0,0,0,0
5100516,50,1717,753,355,2071,0.6,1731,2.3
5100517,65,1430,523,235,1202,0.6,702,1.8
5100518,42,1686,641,328,1632,0.7,1389,2.5
5100519,45,2113,684,370,2075,0.6,1762,2.6
5100520,39,1645,664,330,1625,0.7,1442,2.5
5100521,38,1600,633,320,1571,0.7,1281,2.4
5100522,33,1610,614,325,1542,0.7,1231,2.6
5100524,40,1603,505,320,1343,0.7,1228,2.5
5100525,35,1690,565,320,1343,0.7,1125,2.5
5100526,31,1656,606,310,1583,0.6,1357,2.5
5100527,42,1509,674,320,1713,0.7,1487,2.4
5100528,52,1463,575,310,1481,0.7,1125,2.1
5100529,41,1517,567,310,1375,0.6,1224,2.2
5100530,42,2000,695,340,2119,0.7,2050,3.1
5100531,42,1850,778,490,2394,0.7,2412,3.2
5100532,52,1559,653,357,1680,0.7,1284,2.3
5100533,27,2167,846,390,2042,0.8,2043,3.1
5100534,34,1842,638,370,1848,0.7,1759,2.9
5100536,31,1733,606,380,1768,0.8,1768,3
5100537,48,1950,665,445,2250,0.7,2269,2.8
5100538,48,2000,687,400,2011,0.7,1861,2.7
5100539,44,2167,707,350,1985,0.7,1931,3.1
5100540,44,1950,653,370,1942,0.8,2047,3
5100541,32,2600,974,0,2156,0.7,2156,2.6
5100542,29,1997,734,385,2041,0.8,2031,2.5
5100543,35,1843,673,385,2096,0.8,1987,3.4
5100544,35,1733,754,390,2031,0.7,1875,2.8
5100545,29,1913,762,380,2107,0.8,2043,3
5100546,32,2000,805,410,2395,0.7,2299,3.1
5100547,0,0,0,0,0,0,0,0
5100548,29,1733,593,365,1828,0.8,1890,3.5
5100549,36,1950,570,300,1142,0.7,976,2.2
5100550,31,2000,751,415,2263,0.8,2205,3.5
5100551,23,1786,710,350,2036,0.9,1894,3.6
5100701,44,1560,657,260,1571,0.6,1300,2.4
5100702,39,2055,624,125,1600,0.8,1354,2.8
5100703,41,1924,725,360,1949,0.7,1792,2.7
5100704,40,1493,566,250,1271,0.7,1059,2.3
5100705,41,1593,637,330,1575,0.7,1458,2.4
5100706,45,2084,708,200,1768,0.7,1589,2.3
5100707,47,1810,747,350,1875,0.6,1468,2.3
5100708,45,1581,625,300,1762,0.7,1557,2.6
5100709,44,2400,637,300,1946,0.9,1803,3
5100710,43,2035,739,250,1735,0.8,1625,2.6
5100711,43,1950,601,273,1699,0.7,1430,2.7
5100713,32,1518,585,320,1430,0.7,1240,2.6
5100714,34,1549,526,305,1307,0.6,1042,2.4
5100801,45,1517,581,290,1512,0.6,1258,2.3
5100802,45,1517,575,300,1404,0.7,1175,2.2
5100803,49,1866,563,405,1825,0.7,1850,2.6
5100804,41,1625,608,373,1713,0.7,1569,2.6
5100805,33,1842,657,350,1765,0.7,1451,2.7
5100806,36,0,0,0,0,0,0,0
5100807,39,1473,635,300,1410,0.7,1300,2.2
5100808,28,2017,814,415,2150,0.7,2049,3.2
5100809,34,1387,602,270,1321,0.7,840,2.1
5100810,33,1539,597,300,1174,0.7,843,2
5100811,58,2167,523,175,1775,0.7,963,2.1
5100812,48,1300,522,300,1194,0.8,765,1.8
5100813,33,1231,488,260,1111,0.8,972,2.4
5100814,40,1213,490,255,1083,0.7,875,2
5100815,34,1300,526,264,1255,0.8,1079,2.2
5100816,35,1400,552,251,1152,0.7,1033,2.3
5100901,50,1225,511,230,1275,0.7,1125,2.1
5100902,40,1300,470,212,1231,0.7,985,2.3
5100903,42,1647,594,250,1607,0.7,1325,2.3
5100904,43,1142,415,200,1292,0.7,900,2.6
5100905,31,1625,591,250,1462,0.8,1161,2.4
5100906,33,1257,463,190,1292,0.7,777,2.3
5100907,45,1633,557,175,2036,0.8,1478,2.5
5100908,41,1555,481,250,1196,0.8,900,2.4
5100909,49,1119,437,215,959,0.7,768,1.9
5100910,0,0,0,0,0,0,0,0
5100911,36,1196,552,280,2018,0.8,1583,2.5
5100912,47,1300,545,235,1321,0.7,1073,2.1
5100913,46,1457,461,250,1399,0.7,1089,2.4
5100914,45,2275,545,50,2036,0.7,1481,2.7
5100915,65,0,1149,0,0,0,0,1
5100916,46,1430,512,200,1678,0.8,1333,2.3
5100917,0,0,0,0,0,0,0,0
5100918,46,1200,433,183,1031,0.8,743,2.1
5100920,36,1600,604,300,2012,0.7,1768,2.7
5100921,24,0,537,0,0,0,0,0
5100922,44,1083,412,250,1300,0.7,1053,2.2
5100923,37,1733,710,200,2208,0.7,2053,2.8
5100924,40,1638,459,250,1600,0.6,1125,2.5
5100925,36,1733,621,250,2208,0.7,1875,2.8
5100926,32,1926,491,185,2374,0.8,1375,2.8
5100927,39,1196,414,193,768,0.8,653,2.3
5100928,37,1651,569,250,1451,0.7,1339,2.5
5100929,44,1300,522,250,1208,0.7,924,2.1
5100930,0,0,0,0,0,0,0,0
5100931,46,2167,664,228,2014,0.8,1587,2.4
5101001,48,2000,711,450,1968,0.7,1787,2.6
5101002,49,2167,710,210,1962,0.8,1884,2.7
5101003,42,1983,632,123,2125,0.7,1963,3.1
5101004,45,2383,664,250,1803,0.8,1547,2.6
5101005,32,2000,702,327,1984,0.9,1883,3.1
5101006,44,2167,628,200,1419,0.8,1318,2.4
5101007,39,1950,608,300,1708,0.7,1462,2.6
5101101,55,0,1312,0,2374,1,2625,2
5101201,37,1733,528,325,1391,0.7,1187,2.5
5101202,38,1500,535,315,1232,0.7,1108,2.4
5101203,38,1509,578,320,1474,0.6,1292,2.5
5101204,36,1517,674,305,1587,0.7,1452,2.5
5101205,31,1658,605,350,1656,0.7,1354,2.8
5101206,33,1755,752,370,1797,0.7,1666,2.6
5101207,38,1733,680,330,1625,0.7,1507,2.5
5101208,38,1500,654,340,1531,0.7,1468,2.4
5101209,47,2119,948,400,2374,0.6,2043,2.5
5101210,47,2000,841,401,1912,0.6,1885,2.4
5101213,0,0,0,0,0,0,0,0
5101214,41,1500,605,320,1555,0.7,1295,2.3
5101215,30,1950,788,385,2120,0.8,2071,3.2
5101216,34,1950,667,350,1972,0.7,1922,2.8
5101217,33,1649,616,197,1687,0.7,1545,2.8
5101218,32,1691,613,350,1676,0.7,1571,2.7
5101219,49,1683,567,300,1363,0.7,975,1.9
5101220,39,1517,625,300,1617,0.7,1375,2.4
5101221,35,1556,585,320,1781,0.7,1375,2.4
5101222,39,1733,695,360,1795,0.7,1676,2.5
5101223,0,0,0,0,0,0,0,0
5101224,33,2100,725,390,2050,0.8,1937,2.9
5101225,30,2167,748,380,1962,0.7,1902,3
5101226,81,0,424,0,795,0.7,679,1.5
5101227,31,1748,705,360,1789,0.8,1691,2.9
5101228,26,2167,942,395,2119,0.8,2068,3.1
5101229,28,2150,823,400,2120,0.8,2100,3.3
5101230,28,2383,936,410,2131,0.7,2011,2.6
5101231,48,1753,505,350,1055,0.7,881,2.2
5101401,48,1430,476,211,1233,0.8,1098,2.4
5101402,42,2200,656,150,1825,0.8,1731,2.8
5101404,38,1950,685,328,1447,0.8,1261,2.5
5101405,38,1600,644,260,1625,0.7,1454,2.5
5101406,50,1300,412,150,1124,0.7,725,2.1
5101407,41,1517,534,250,1292,0.8,1008,2.6
5101408,40,1300,481,210,1416,0.9,933,2.4
5101409,48,1408,420,255,1104,0.7,955,2.1
5101410,39,1842,780,300,2272,0.7,2020,2.5
5101411,42,1538,612,250,1208,0.7,971,2.5
5101412,45,1594,453,210,1687,0.7,1406,2.6
5101413,53,1000,445,210,1083,0.6,850,1.9
5101414,33,0,372,250,850,0.9,924,3.4
5101415,46,2000,563,185,1458,0.7,1201,2.5
5101416,41,1800,695,300,1958,0.8,1781,2.7
5101417,22,1961,416,250,1531,0.7,1199,2.7
5101418,39,2004,708,175,1875,0.9,1437,2.9
5101419,45,2000,747,300,1963,0.7,1783,2.7
5101420,42,1733,660,300,1598,0.7,1336,2.5
5101421,37,1836,731,320,1843,0.7,1468,2.7
5101423,43,1387,503,250,1196,0.7,974,2.4
5101424,49,1850,654,255,1562,0.7,1347,2.3
5101425,40,2349,725,190,2238,0.8,2152,3.2
5101426,39,1950,714,245,1916,0.8,1718,3
5101427,35,3296,565,220,1812,0.7,1160,2.4
5101501,47,1300,543,305,1359,0.6,987,2.1
5101502,37,1832,657,300,1562,0.7,1348,2.5
5101503,38,1517,490,265,1288,0.8,968,2.3
5101504,44,1499,544,300,1266,0.7,1196,2.1
5101505,40,1875,618,300,1687,0.7,1125,2.2
5101506,0,0,0,0,0,0,0,0
5101507,39,1580,598,300,1441,0.7,1052,2.1
5101508,45,1300,732,310,1687,0.6,1271,2
5101509,53,1300,585,330,1237,0.7,1204,2.3
5101510,58,1747,490,290,1100,0.6,789,2
5101513,31,1480,627,310,1347,0.7,1271,2.8
5101514,29,1625,717,350,1583,0.8,1411,2.8
5101515,36,1733,617,280,1542,0.7,1233,2.4
5101516,0,0,0,0,0,0,0,0
5101517,28,1800,697,350,1694,0.8,1613,3
5101518,45,2100,762,395,1859,0.6,1764,2.6
5101519,0,0,0,0,0,0,0,0
5101520,29,1540,673,335,1485,0.8,1462,2.6
5101521,40,1900,771,370,2059,0.7,1843,2.7
5101601,46,1733,644,380,2250,0.7,1968,2.8
5101602,39,1560,494,298,1361,0.7,1037,2.2
5101603,43,1307,505,225,1264,0.8,1174,2.3
5101604,44,2084,700,0,2028,0.6,1983,2.9
5101605,59,1200,455,220,858,0.7,731,1.9
5101606,38,1733,520,290,1208,0.7,1228,2.3
5101607,41,1600,569,250,1792,0.7,1398,2.3
5101608,43,2167,599,250,1642,0.8,1507,2.7
5101609,43,1517,661,200,1843,0.8,1550,2.8
5101610,0,0,0,0,0,0,0,0
5101611,40,2100,555,250,1463,0.9,1328,3
5101612,60,1300,434,250,977,0.6,809,1.9
5101701,45,1517,640,115,1525,0.7,1261,2.5
5101702,53,1029,480,165,1091,0.7,721,1.9
5101703,46,1509,563,160,1419,0.7,1281,2.6
5101704,47,1192,737,60,1524,0.7,1279,2.4
5101705,46,1712,583,68,1420,0.8,1384,2.6
5101706,46,900,421,180,1187,0.7,833,2.2
5101707,50,1582,539,138,1362,0.8,1298,2.5
5101708,47,1800,452,200,1292,0.7,1096,2.4
5101709,45,1246,492,250,1013,0.7,836,2.1
5101710,46,1517,539,270,1386,0.7,1023,2.2
5101711,54,1733,552,300,1325,0.7,1141,2.2
5101712,46,1517,544,185,1292,0.6,766,2.1
5101713,54,759,452,280,1050,0.6,783,2
5101714,63,1600,472,200,1052,0.6,820,1.9
5101715,49,1250,495,250,1062,0.7,764,2
5101716,48,2167,645,350,1416,0.7,1213,2.4
5101717,36,1717,543,330,1333,0.7,1113,2.7
5101718,54,1684,612,300,1390,0.8,1083,2.2
5101719,51,1450,719,150,1713,0.8,1514,2.4
5101801,37,1800,578,360,1797,0.8,1583,2.8
5101802,48,1600,472,250,1642,0.8,1487,2.5
5101803,50,1376,505,250,1787,0.7,1274,2.4
5101804,39,1356,459,225,1042,0.7,883,2.3
5101805,38,1875,617,293,1520,0.7,1355,2.5
5101806,45,1950,647,300,1906,0.8,1713,2.8
5101807,46,1757,602,120,1625,0.7,1375,2.3
5101808,47,1997,693,155,1833,0.8,1528,2.5
5101809,52,1469,606,158,1437,0.7,1178,2.3
5101810,56,1300,503,230,1083,0.7,846,1.9
