SA1_7DIGITCODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
5100101,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,0,3,5,3,0,3,0,0,0,9,5,6,5,3,8,13,4,22,0,3,3,8,9,14,4,0,4,0,3,3,3,0,5,13,15,26,0,0,4,0,3,3,3,0,3,0,0,6,3,0,3,10,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,4,0,6,4,3,5,0,0,0,3,3,7,0,0,0,10,10,21,3,0,4,0,0,0,5,3,4,0,3,3,0,0,0,9,9,12,0,4,7,0,3,3,0,5,5,3,3,4,0,0,3,3,13,14,0,0,0,3,0,6,0,3,4,7,3,9,0,4,4,13,9,25,0,7,8,6,6,11,3,3,6,0,3,5,0,0,4,10,14,26,3,3,7,3,3,7,0,0,3,0,0,0,3,0,3,14,7,21,4,3
5100102,9,11,27,8,13,22,10,8,14,16,14,31,15,14,35,67,67,126,10,12,27,11,9,22,19,10,29,8,9,14,9,8,19,56,54,111,4,8,20,9,12,20,9,6,14,0,4,6,6,3,7,30,39,69,4,3,8,0,4,3,3,8,7,0,0,0,0,0,0,13,10,25,3,0,4,0,3,3,3,3,7,0,3,3,4,3,4,4,12,15,3,0,4,5,4,16,3,3,5,6,3,5,3,9,12,18,18,40,7,11,19,3,8,11,4,11,16,4,9,15,8,6,9,28,42,77,11,10,26,10,14,20,12,17,33,11,9,22,7,15,19,60,64,123,9,14,20,13,11,20,5,3,9,5,12,14,6,10,17,35,50,83,14,4,15,0,3,9,9,4,14,9,5,11,5,7,15,33,28,58,7,6,8,0,4,4,3,0,4,3,4,5,6,0,7,17,19,37,0,0
5100103,3,4,6,0,0,0,0,4,4,4,0,4,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,4,0,7,3,3,4,0,0,0,3,0,0,0,3,3,8,5,14,0,0,4,0,0,0,0,3,3,0,0,0,5,0,3,3,5,14,3,4,8,0,3,3,0,0,0,0,0,0,0,3,4,4,5,15,0,0,6,0,0,3,0,0,0,0,3,6,0,0,0,3,3,12,4,5,9,0,4,5,4,0,3,0,3,3,0,0,0,8,13,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,10,3,0,8,0,0,0,0,3,3,4,3,7,3,0,3,12,8,14,0,4,4,0,3,8,0,0,3,0,0,3,3,0,3,11,11,17,0,3
5100104,0,0,0,5,0,4,0,0,3,0,0,0,0,0,3,7,6,12,0,0,0,3,3,3,3,0,3,0,0,3,0,3,3,6,4,12,0,0,0,0,3,3,0,0,0,3,0,3,0,0,5,3,3,7,3,3,9,0,0,4,3,0,3,3,3,5,0,0,0,12,7,23,0,0,0,0,5,4,0,0,0,0,3,3,0,0,3,0,6,15,0,0,3,0,0,0,4,0,3,3,0,4,0,0,0,7,4,15,0,3,5,0,7,6,0,0,0,0,4,7,0,3,4,9,14,19,4,0,4,0,0,0,3,0,3,5,0,3,0,0,3,15,5,18,0,0,0,0,0,3,0,7,7,0,3,3,3,4,9,9,14,17,3,0,5,3,3,3,3,0,4,4,3,5,6,3,11,19,11,33,7,3,9,5,0,5,8,3,11,3,4,8,0,4,5,26,12,37,3,7
5100105,0,0,0,0,0,3,3,0,3,0,3,3,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,3,4,0,0,3,0,0,0,3,0,3,5,0,7,8,4,17,0,3,3,3,6,5,0,0,3,0,0,0,3,0,3,4,6,15,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,7,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,5,3,8,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,6,3,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,8,11,0,0,0,0,0,3,3,0,3,3,0,3,0,0,0,8,3,11,0,3,3,0,0,3,3,6,10,0,0,0,0,3,3,9,14,22,3,4,6,0,3,3,0,0,3,0,0,3,0,3,3,6,13,19,0,4
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,3,0,3,3,0,3,0,3,3,0,0,0,0,0,3,8,3,14,3,3,8,0,3,3,0,3,3,6,3,6,0,0,0,6,13,22,0,3,3,3,0,4,3,3,7,3,0,6,5,3,9,20,11,33,0,3,0,0,5,3,3,3,4,4,0,4,0,0,0,5,9,14,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,4,5,10,0,0,3,0,0,0,4,0,3,0,3,3,3,0,3,7,6,15,0,0,0,3,0,4,0,0,0,0,4,3,0,0,3,3,7,12,0,0,3,0,0,3,0,3,3,3,0,5,3,3,4,6,7,18,3,0,3,0,0,0,3,0,3,7,0,7,0,0,0,13,0,13,0,3,3,0,0,3,3,3,8,0,3,7,3,0,3,12,6,15,0,0,5,0,0,0,3,3,8,5,6,9,0,6,6,17,16,33,3,3
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,3,0,6,3,3,8,12,3,3,5,0,3,6,11,12,26,0,3,3,8,3,13,0,0,4,7,9,13,0,0,0,11,20,32,0,3,5,5,3,5,3,9,7,0,3,5,0,4,6,7,21,32,0,0,0,3,4,12,3,3,8,0,0,3,3,0,3,13,9,20,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,12,3,13,0,0,0,0,4,5,0,4,4,0,3,3,0,0,0,0,10,12,3,3,5,0,0,0,5,0,7,0,0,0,3,3,3,14,9,18,0,0,5,4,3,6,3,0,5,0,0,4,3,5,3,14,13,26,6,0,10,3,3,8,0,3,3,3,4,5,5,3,10,18,16,33,3,7,9,0,9,11,5,3,11,8,10,12,3,4,6,19,29,44,3,0,4,0,8,7,5,3,11,3,3,9,5,8,15,27,22,44,8,3
5100110,0,4,4,0,0,0,0,0,0,4,3,5,0,4,4,6,9,16,0,0,0,0,3,3,0,4,3,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,8,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,3,6,8,3,0,3,0,0,3,0,3,4,0,0,0,3,8,7,10,11,14,0,0,3,0,0,0,4,0,3,0,0,0,0,3,4,3,7,13,0,4,4,0,3,3,3,0,3,3,0,3,7,0,7,6,14,18,0,3,6,0,0,3,0,4,3,3,0,3,3,0,5,12,11,20,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,4,8,3,0,4,0,0,0,3,4,4,6,0,11,0,7,8,10,15,23,3,3,6,0,3,3,0,0,0,5,0,5,6,0,6,13,5,19,3,0
