SA1_7DIGITCODE_2016,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
5100101,0,0,12,12,0,0,3,3,0,3,10,16,7,0,6,15,17,3,6,23,16,3,9,35,11,0,7,21,4,0,3,11,0,0,0,0,62,10,53,123,0,0,7,7,0,0,3,5,3,3,3,15,9,7,8,18,18,3,0,20,22,0,11,36,10,0,0,12,3,0,0,7,0,0,0,0,64,16,38,111,0,0,19,19,0,0,4,10,3,6,16,26,17,4,8,35,29,7,9,39,41,4,25,68,26,0,4,33,5,0,7,15,0,0,3,3,122,23,90,240
5100102,0,0,11,11,0,0,7,4,19,14,16,45,60,18,7,87,27,5,12,42,21,0,3,27,17,0,3,13,3,0,0,6,3,0,0,3,151,36,59,240,0,0,8,8,0,0,4,7,40,20,6,57,70,21,6,95,27,3,13,39,24,0,9,30,12,0,7,16,5,0,3,4,0,0,0,0,166,44,62,271,0,0,21,21,0,0,12,13,55,27,17,104,125,42,16,183,53,12,21,82,46,0,15,57,24,0,7,34,9,0,4,11,3,0,0,3,317,82,113,518
5100103,0,0,6,6,0,0,3,3,0,3,3,7,4,0,4,8,4,0,9,21,12,5,4,23,34,3,13,47,18,0,10,27,3,0,6,6,79,17,55,149,0,0,3,5,0,3,3,6,3,3,9,13,5,0,4,12,9,0,3,15,18,4,5,30,31,3,14,42,16,0,20,42,3,0,12,14,80,17,79,171,0,4,11,15,0,3,7,12,4,9,10,22,14,3,9,19,17,3,17,33,29,8,15,54,59,6,23,88,36,0,27,67,4,0,14,25,157,30,135,323
5100104,0,0,12,12,0,0,0,3,3,3,3,12,9,4,6,12,12,12,10,34,18,4,12,33,18,0,10,30,16,0,6,22,4,0,3,9,79,29,59,166,0,0,7,7,0,0,4,3,4,11,4,16,5,6,3,9,11,11,4,24,16,3,13,33,26,0,3,28,13,0,14,27,4,0,9,15,74,25,53,160,0,0,23,23,0,3,3,6,8,15,9,30,13,9,10,28,23,21,11,54,38,5,21,67,42,3,13,57,31,0,17,48,3,0,13,21,152,54,113,323
5100105,0,0,3,3,0,0,0,0,0,0,6,10,6,0,3,6,7,0,5,14,11,4,6,19,18,0,0,20,5,0,0,5,0,0,0,3,52,6,29,89,0,0,8,8,0,0,3,3,3,0,0,3,4,0,6,6,6,4,5,16,15,0,4,24,12,0,5,19,9,0,11,14,0,0,5,5,53,10,41,97,0,0,11,11,0,3,3,7,3,3,10,9,11,0,7,14,17,5,9,27,28,3,14,45,27,0,3,38,16,0,11,26,4,0,4,9,101,16,72,183
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
5100107,0,0,5,5,0,0,5,4,5,3,4,11,4,4,5,17,13,4,10,19,19,3,4,25,19,0,9,30,6,0,0,6,0,0,4,4,71,18,36,122,0,0,4,4,0,0,0,4,3,4,0,10,5,4,0,13,10,3,11,22,18,4,9,30,22,0,5,23,3,0,4,7,0,0,0,4,70,13,40,125,0,0,12,12,0,3,3,7,7,5,9,20,12,8,10,26,24,4,12,46,39,12,6,53,41,0,11,54,11,0,9,16,3,0,6,9,139,34,77,249
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
5100109,0,0,11,11,0,0,3,9,0,0,3,10,6,9,9,25,22,3,7,34,15,5,10,34,28,0,4,31,9,0,0,9,0,0,0,3,84,24,56,166,0,0,5,5,0,0,3,3,6,6,0,14,12,10,5,28,25,5,7,45,28,3,7,34,19,3,3,20,0,0,6,8,4,0,0,3,89,23,43,157,0,0,21,21,0,0,10,8,10,10,6,24,15,18,16,56,49,12,16,77,47,11,23,75,46,3,3,58,9,0,6,11,3,0,3,5,175,54,102,327
5100110,0,0,3,3,0,3,3,6,4,8,0,10,3,3,3,13,10,3,5,19,7,3,11,21,10,0,0,15,3,0,0,3,5,0,0,3,46,16,25,91,0,0,6,6,0,3,0,4,4,6,3,11,4,4,0,7,7,0,5,16,17,3,3,19,9,0,0,14,4,0,3,9,6,0,0,3,51,17,28,88,0,0,8,8,0,6,4,14,6,11,3,20,8,7,4,21,11,7,14,36,27,3,11,38,23,0,3,25,10,0,3,14,4,0,0,7,93,33,50,181
