SA1_7DIGITCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
5100101,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,28,4,0,3,0,3,3,0,0,0,44
5100102,3,0,0,7,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,64,18,36,7,10,5,4,0,0,3,147
5100103,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,61,3,0,0,0,0,0,0,0,4,76
5100104,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,63,6,6,0,0,0,0,0,0,0,81
5100105,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,4,3,0,0,0,43
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,7,10,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,56,4,3,0,6,10,0,4,0,3,88
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,62,5,3,0,0,0,0,0,0,5,83
5100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,5,0,0,0,0,0,0,0,36
5100111,3,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,43,11,3,7,0,0,4,5,0,3,76
5100112,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45,7,5,0,3,0,0,0,0,0,55
5100113,0,0,0,0,0,7,4,0,21,0,0,0,0,0,0,0,0,0,0,0,43,5,3,0,0,0,0,7,4,5,66
5100114,0,0,0,3,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,47,10,15,7,4,4,3,3,0,5,103
5100115,0,0,0,0,3,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,47,3,11,0,0,0,3,0,0,3,69
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,3,0,0,0,3,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,88,0,5,0,0,3,6,0,0,10,125
5100203,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,48,10,15,0,0,3,0,0,0,4,76
5100204,5,0,0,0,5,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,39,4,9,0,0,3,6,0,3,3,67
5100205,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,36,6,3,3,3,5,0,0,0,0,52
5100206,8,0,3,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,65,3,15,4,3,0,0,0,3,9,103
5100207,0,6,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,49,4,4,6,3,0,3,0,0,4,77
5100209,8,3,3,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,69,3,13,4,5,3,4,0,0,4,109
5100213,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,25,3,7,0,3,0,0,0,0,0,47
