SA1_7DIGITCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5100101,0,0,5,23,26,51,0,0,0,0,0,4,0,0,0,32,23,61,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,13,26,7,3,12,0,0,0,87,78,162,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,131,0,0,0,0,3,0,67,71,132,28,18,44,3,3,7,186,168,348
5100102,3,7,5,40,57,102,0,0,0,3,0,6,0,0,0,40,56,92,0,5,4,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,6,0,0,0,10,7,19,0,0,0,0,0,0,4,5,9,18,17,43,0,0,0,125,162,287,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,4,4,240,226,467,0,0,3,0,0,0,242,228,464,62,69,129,0,0,4,429,469,898
5100103,0,0,4,47,57,108,0,0,0,4,6,7,0,0,0,19,33,56,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,0,0,0,3,3,10,28,35,3,6,8,0,0,0,98,132,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,69,133,0,0,0,0,0,0,65,67,128,18,14,34,0,0,0,182,220,398
5100104,0,3,3,55,56,110,0,0,0,0,3,3,0,0,0,33,38,68,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,11,3,0,3,0,0,0,5,14,19,3,4,10,0,0,0,111,121,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,151,0,0,0,0,0,0,84,70,151,25,27,56,7,4,10,232,224,452
5100105,0,0,0,34,38,73,0,0,0,0,3,5,0,0,0,7,13,19,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,6,13,16,4,5,10,0,0,0,63,77,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,92,0,0,0,0,0,0,47,41,96,5,9,17,0,3,0,117,136,255
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
5100107,0,0,0,35,34,72,0,0,0,0,3,3,0,0,0,23,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,5,3,10,9,6,17,3,3,3,74,88,164,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,63,132,5,0,5,0,0,0,72,63,136,17,20,39,3,3,3,171,172,349
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100109,4,0,3,47,53,99,0,0,0,0,0,0,0,0,0,38,48,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,8,10,3,11,12,0,0,0,96,117,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,91,200,0,0,0,0,3,0,110,87,198,35,28,56,12,9,20,251,248,503
5100110,0,0,0,22,30,54,0,0,0,0,0,0,0,0,0,9,17,22,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,9,9,3,8,11,0,0,0,44,62,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,45,101,4,0,3,0,0,0,54,52,109,27,21,45,9,5,16,136,142,271
5100111,3,0,4,30,25,51,0,0,0,0,0,7,0,0,0,9,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,10,7,9,5,12,0,0,0,55,57,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,81,196,0,0,0,0,0,0,112,83,197,16,9,21,4,3,4,187,149,335
5100112,0,0,0,32,33,57,0,0,0,0,0,0,0,0,0,19,29,49,0,3,3,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,7,0,0,0,0,0,0,11,3,15,4,5,8,0,0,0,69,90,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,44,115,0,3,3,0,0,0,69,44,113,30,24,57,12,11,20,181,167,351
5100113,3,3,7,22,23,47,0,0,0,0,0,3,0,0,0,16,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,9,0,5,8,0,0,0,56,53,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,57,53,114,0,0,0,0,0,0,60,55,114,14,10,25,3,3,4,138,126,263
5100114,3,6,6,37,38,72,0,0,0,4,0,3,0,0,0,44,44,93,0,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,4,0,4,3,0,0,0,0,0,0,14,19,28,9,12,18,0,0,0,114,121,233,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,119,122,243,0,0,0,0,0,0,124,122,241,28,40,69,0,0,7,263,297,561
5100115,0,0,4,31,38,67,0,0,0,3,0,3,0,0,0,23,28,53,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,11,8,17,0,3,7,0,0,0,84,83,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,79,84,163,3,0,3,0,0,0,81,88,171,22,23,43,0,9,8,190,197,385
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,6,0,7,50,76,128,0,0,0,7,4,7,0,0,0,13,27,38,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,0,0,0,3,3,16,23,41,3,4,9,0,0,0,96,146,239,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,79,123,0,0,0,0,0,0,45,79,123,29,66,102,0,3,3,185,297,477
5100203,0,0,0,40,60,108,0,0,0,4,4,7,0,0,0,38,30,70,6,4,9,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,8,0,0,0,0,0,0,7,3,8,7,13,18,0,0,0,115,128,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,83,176,0,0,0,0,0,0,92,83,174,13,13,30,3,4,3,216,239,457
5100204,0,5,4,39,45,90,0,0,0,6,3,8,0,0,0,15,29,41,5,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,5,0,4,4,7,8,7,0,5,0,0,0,11,9,16,6,6,12,0,0,0,98,108,209,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,86,170,0,3,3,0,3,3,86,91,177,20,20,41,0,3,4,209,235,446
5100205,3,0,3,34,39,72,0,0,0,0,0,0,0,0,0,21,34,60,8,10,18,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,3,7,9,18,4,13,18,0,0,0,83,110,193,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,51,50,99,0,0,0,0,0,0,55,50,102,14,16,34,0,0,0,157,178,335
5100206,0,12,15,42,38,73,0,0,0,0,0,0,0,0,0,16,35,51,0,3,3,0,0,0,0,3,5,0,4,9,0,3,0,0,0,0,0,4,7,0,0,0,6,6,14,0,0,0,0,3,4,6,17,21,9,14,20,0,0,0,90,117,210,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,73,71,145,0,4,6,0,0,0,72,78,147,12,16,34,0,0,0,180,230,412
5100207,3,10,12,25,42,67,0,0,0,5,5,11,0,0,0,22,22,44,0,0,0,0,0,0,3,3,5,0,0,0,0,0,3,0,0,0,3,0,4,0,3,3,0,3,9,0,0,0,0,0,0,3,9,7,0,0,3,0,0,0,63,92,156,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,55,54,112,0,0,0,0,0,0,55,57,111,11,19,28,0,0,0,140,178,314
5100209,0,0,0,45,77,121,0,0,0,5,8,9,0,0,0,41,48,93,3,3,5,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,4,4,0,0,0,9,11,17,3,4,4,0,0,0,116,162,276,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,77,176,3,3,4,0,0,0,100,82,183,36,50,84,3,4,8,263,304,564
5100213,0,0,0,20,30,51,0,0,0,0,0,0,0,0,0,25,38,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,3,0,0,0,0,0,0,3,8,12,0,3,3,0,0,0,53,85,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,46,108,0,0,0,0,0,0,58,46,108,8,10,17,4,0,4,126,141,264
5100214,0,5,7,61,78,143,0,0,0,9,6,12,0,0,0,61,88,148,3,3,9,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,3,3,8,11,4,3,7,0,0,0,3,4,11,9,12,20,16,24,43,0,0,0,181,235,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,104,218,0,0,0,0,0,0,112,104,224,10,10,24,0,0,0,300,359,662
5100216,0,0,0,34,43,75,0,0,0,0,4,4,0,0,0,29,46,73,4,3,8,0,0,0,4,9,7,0,0,0,0,0,0,0,0,0,0,4,3,3,4,7,3,3,8,0,0,0,5,3,7,3,11,15,8,10,9,0,0,0,92,133,220,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,160,0,0,0,0,0,0,84,80,158,20,33,53,0,0,0,197,239,439
5100217,0,4,5,24,37,57,0,0,0,0,0,0,0,0,0,21,21,39,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,0,3,4,0,5,7,3,3,7,0,0,0,62,75,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,5,9,73,61,133,0,0,0,0,4,5,73,69,140,8,8,12,0,0,0,147,154,297
5100218,0,0,0,19,21,38,0,0,0,0,6,5,0,0,0,20,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,6,0,0,0,5,3,10,4,0,4,0,0,0,60,60,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,49,47,94,0,0,3,0,0,0,45,42,93,10,12,20,0,0,0,123,114,235
5100219,0,0,0,44,48,95,0,0,0,3,9,13,0,0,0,35,48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,7,3,12,0,0,0,0,0,0,4,12,16,10,7,18,3,3,6,107,132,237,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,67,128,0,0,3,0,0,0,67,69,134,12,16,34,0,0,0,191,222,413
5100220,6,7,15,49,60,105,0,0,0,0,3,8,0,0,0,47,66,113,3,4,4,0,0,3,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,10,23,0,3,3,0,0,0,5,20,28,10,5,18,0,0,0,132,173,305,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,4,70,53,124,0,0,0,0,0,0,70,56,127,9,24,39,0,8,8,217,272,493
5100222,0,0,0,62,58,118,0,0,0,6,4,11,0,0,0,51,56,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,9,16,3,9,15,0,0,0,128,145,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,134,0,0,0,0,0,0,69,67,134,7,10,20,0,3,0,209,228,429
5100223,0,3,3,39,34,79,0,0,0,3,0,3,0,0,0,19,22,43,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,7,9,10,3,7,16,0,0,0,82,78,163,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,86,0,0,0,0,0,0,40,46,86,21,17,36,0,0,0,145,146,286
5100224,0,3,7,34,37,75,0,0,0,4,3,11,0,0,0,29,23,57,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,0,5,5,0,4,4,0,0,4,3,7,5,6,9,11,0,0,0,81,98,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,55,133,0,0,3,0,0,0,82,58,138,10,14,27,0,0,0,169,176,343
