SA1_7DIGITCODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5100101,0,4,4,9,6,16,3,0,3,4,3,7,13,9,24,10,5,20,0,0,0,0,0,0,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,23,17,41,3,3,7,59,44,106
5100102,3,15,20,56,52,105,3,5,10,9,5,15,63,59,125,17,19,38,0,0,3,0,0,0,23,23,48,0,0,0,0,0,0,4,0,4,0,6,7,0,0,0,4,6,16,0,0,0,0,4,4,0,0,0,0,11,10,0,0,0,4,16,23,0,0,0,0,0,4,0,0,0,0,3,3,53,53,103,0,0,4,159,175,336
5100103,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,7,6,13,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,0,0,0,19,21,44
5100104,0,0,0,12,4,15,0,0,0,0,0,0,12,4,15,8,7,18,0,0,0,0,0,0,14,7,18,0,6,6,0,0,0,0,0,0,0,4,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,23,44,7,4,10,50,51,99
5100105,0,0,0,9,6,14,0,0,0,0,0,0,9,12,15,3,7,16,0,0,0,0,0,3,7,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,0,3,0,24,34,56
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,6,7,9,7,17,0,3,3,0,0,0,9,15,26,13,14,22,0,0,0,0,0,0,13,14,24,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,36,3,3,3,45,54,99
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,4,3,4,14,14,30,0,0,3,3,0,7,17,22,38,10,16,27,0,0,0,0,3,3,14,22,29,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,21,48,12,9,20,68,76,146
5100110,0,0,0,3,7,8,0,0,0,0,0,0,3,7,9,4,4,10,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,19,35,9,5,16,30,41,78
