SA1_7DIGITCODE_2016,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr,P_Yr_9_eq_Tot
5100101,3,0,13,6,9,14,6,3,0,50,0,0,3,3,3,6,0,0,0,17,3,0,0,5,9,12,9,3,0,47,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,9,8,3,0,29,5,3,18,19,22,40,27,14,0,147,3,5,10,18,19,18,6,0,0,71,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,9,9,4,0,28,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,17,3,5,14,19,21,42,18,4,0,130,4,9,18,22,24,27,12,5,0,125,0,0,3,8,3,13,3,0,0,27,3,0,4,7,13,29,14,4,0,73,0,0,0,0,0,6,0,0,0,9
5100102,0,4,26,58,28,9,7,3,0,137,0,0,8,5,7,3,3,0,0,29,0,0,14,20,10,15,9,4,0,68,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,3,0,0,0,35,3,4,49,99,48,34,20,4,3,274,3,8,47,76,26,24,10,0,0,199,0,0,3,9,5,0,3,0,0,28,0,0,7,5,10,6,8,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,11,5,4,0,3,0,34,3,12,67,106,47,39,21,4,3,306,3,9,79,133,51,34,16,0,3,331,0,3,7,20,8,3,3,0,0,51,0,0,15,23,19,22,14,4,0,107,0,0,0,3,0,0,0,0,0,14
5100103,3,0,3,0,3,8,18,15,0,52,0,0,0,3,0,3,5,0,0,12,0,0,3,5,14,9,19,4,6,69,0,0,0,0,0,6,3,3,0,14,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,15,4,3,10,15,23,29,50,28,11,167,4,5,7,11,4,10,19,12,3,70,0,3,4,0,0,4,4,0,0,17,0,0,3,3,6,19,13,10,5,61,0,0,0,0,0,5,4,9,5,19,0,0,0,0,0,0,4,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,17,3,5,13,17,15,36,44,41,24,204,3,6,14,9,11,17,33,24,3,121,0,3,6,4,0,9,10,4,0,33,0,0,4,13,20,25,39,13,13,133,0,0,0,0,0,3,5,11,5,31
5100104,3,0,4,13,15,19,14,9,0,78,0,0,3,3,7,0,4,0,0,17,0,0,6,3,16,15,18,3,0,62,0,0,0,0,0,0,3,8,0,11,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,9,0,3,27,8,0,14,20,43,42,38,22,11,195,0,8,14,8,12,11,11,14,3,89,0,0,4,0,7,10,3,0,0,25,0,0,0,0,7,19,13,6,3,48,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,11,0,5,30,3,6,20,18,30,43,41,27,17,207,7,10,19,21,28,29,23,18,4,161,3,0,4,3,14,10,10,0,0,43,0,0,9,6,23,33,24,8,6,108,0,0,0,0,0,4,4,8,3,18
5100105,3,0,6,3,8,14,6,0,0,48,0,0,0,6,0,3,0,0,0,14,0,0,3,0,4,9,8,0,3,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,3,0,10,9,14,24,21,12,3,100,0,5,5,5,15,13,5,3,0,49,0,0,0,3,3,0,0,0,0,13,0,0,0,0,3,9,8,5,0,33,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13,3,3,4,6,18,26,22,22,3,113,3,3,7,6,20,31,16,8,0,92,0,0,0,4,3,6,3,0,0,21,0,0,3,0,10,13,11,9,3,56,0,0,0,0,0,0,3,3,3,10
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,4,4,7,14,11,15,14,5,0,67,0,0,0,4,3,0,3,0,0,12,0,0,3,3,6,8,4,0,0,29,0,0,3,0,0,0,7,0,0,18,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,8,4,13,19,25,31,30,6,4,137,0,5,12,10,8,22,8,3,0,66,0,0,0,0,5,3,5,0,0,12,3,0,0,3,10,7,8,3,0,31,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,10,4,5,14,14,26,30,31,8,4,136,5,9,15,19,18,34,19,9,0,132,0,0,0,4,5,4,8,0,0,22,3,0,3,5,15,15,15,5,0,68,0,0,4,0,0,0,11,3,3,21
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,4,6,4,13,17,17,18,3,0,82,0,0,3,5,8,3,4,0,0,17,0,0,6,8,14,15,13,0,0,54,0,0,0,0,0,3,10,0,0,11,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,0,0,4,3,3,3,6,4,0,3,0,0,21,5,12,14,33,38,43,36,9,3,201,0,3,15,16,28,17,15,4,0,90,0,0,0,6,3,3,0,0,0,12,0,0,0,0,13,21,11,0,3,42,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,3,0,17,0,3,19,31,51,44,27,8,6,179,4,7,18,31,40,38,31,4,3,172,0,0,3,6,13,5,0,0,0,36,0,0,5,13,30,30,20,0,3,98,0,0,0,0,0,5,9,0,0,15
5100110,0,6,11,9,7,14,5,3,3,59,0,0,0,0,3,3,0,0,0,11,0,0,0,4,10,6,4,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,15,0,10,15,15,26,24,19,3,3,111,0,5,13,8,7,14,8,5,0,58,0,0,0,0,3,0,0,0,0,7,0,0,4,3,8,7,3,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,3,0,0,22,3,11,20,15,21,27,12,9,3,110,0,11,21,21,17,24,15,8,4,117,0,0,3,0,9,9,0,0,0,14,0,0,4,5,14,6,11,4,3,41,0,0,0,0,0,0,3,0,0,6
