SA1_7DIGITCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,0,0,0,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,8,13,3,0,41,7,10,35,37,47,80,43,19,5,279
5100102,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,13,27,11,10,4,5,3,66,5,15,113,204,92,69,40,17,3,576
5100103,0,0,0,0,3,0,3,17,3,26,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,5,10,26,9,14,26,28,38,61,94,70,33,363
5100104,0,0,0,0,0,0,3,3,3,13,0,0,0,0,0,0,0,0,0,0,0,3,3,10,8,11,12,3,6,55,10,15,33,35,71,87,79,47,24,398
5100105,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,16,3,7,13,18,35,53,37,26,10,213
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,0,20,9,10,25,31,52,64,58,17,9,273
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
5100109,0,0,0,0,0,3,4,4,0,9,0,0,0,0,0,4,0,0,0,4,3,3,3,7,7,3,7,3,0,45,8,13,32,61,94,84,67,11,10,381
5100110,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,6,4,4,0,41,5,14,34,28,45,54,26,14,7,228
5100111,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,6,0,0,18,3,15,30,48,50,58,42,11,0,260
5100112,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,3,3,10,8,5,14,0,0,0,44,11,3,37,37,46,59,47,6,3,248
5100113,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,3,0,18,5,13,14,19,45,58,47,15,4,220
5100114,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,8,6,3,0,0,0,35,20,14,52,127,81,40,29,20,5,381
5100115,0,0,0,0,0,3,4,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,8,0,20,3,14,27,64,46,71,54,25,3,296
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,13,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,79,145,0,6,12,18,15,24,92,143,126,446
5100203,0,0,0,0,0,4,5,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,16,14,11,31,71,75,55,42,7,5,311
5100204,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,6,0,3,3,33,18,17,48,44,59,52,30,30,8,321
5100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,0,0,0,11,8,13,12,36,74,47,35,17,0,238
5100206,0,0,0,0,3,0,9,18,9,38,0,0,3,3,0,0,0,0,0,5,0,0,0,4,3,3,9,10,4,33,10,17,35,52,40,38,70,49,28,335
5100207,0,0,0,0,0,0,4,6,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,5,0,7,4,26,3,11,27,46,27,51,34,34,7,254
5100209,0,0,0,0,0,0,3,7,0,17,0,0,0,0,0,0,0,0,0,6,0,3,13,10,9,14,14,20,3,76,12,27,67,52,74,85,97,58,11,474
5100213,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,16,5,8,9,35,53,37,30,17,6,210
5100214,0,0,0,0,0,0,3,5,3,7,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,4,0,15,18,34,65,85,106,55,61,24,7,454
5100216,0,0,0,3,0,3,3,11,4,26,0,0,0,0,0,3,0,0,0,3,3,0,3,3,12,0,6,5,3,40,11,22,34,52,62,53,51,33,16,337
5100217,0,0,0,0,0,0,4,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,14,6,7,37,38,44,43,35,18,7,237
5100218,0,0,0,0,0,0,5,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,16,25,33,29,40,22,30,0,195
5100219,0,0,0,0,0,6,4,3,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,10,11,46,33,53,61,81,27,13,345
5100220,0,0,0,0,0,3,3,6,14,28,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,7,8,6,4,38,8,24,51,50,47,83,68,50,41,420
5100222,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,7,12,18,16,59,73,58,38,12,3,302
5100223,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,7,3,3,0,9,0,4,3,0,29,15,18,11,37,74,29,31,10,3,229
5100224,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,15,22,25,62,32,59,32,16,3,255
5100226,0,0,0,0,0,0,3,4,3,10,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,4,7,0,23,15,14,16,38,59,64,47,23,6,284
5100227,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,10,18,27,11,14,3,0,85
5100229,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,3,0,22,20,21,60,85,78,62,52,17,4,402
5100230,0,0,0,0,0,0,3,14,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,16,36,49,115,4,4,14,18,30,36,53,82,105,352
5100231,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11,10,16,43,72,61,58,45,13,3,314
5100232,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,5,16,34,28,39,38,6,3,180
5100233,0,0,0,0,0,0,7,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,3,18,11,13,38,45,42,63,43,25,8,282
5100234,0,0,0,0,0,0,4,0,4,10,0,0,0,0,0,0,0,0,0,3,15,28,38,36,43,56,37,15,0,266,34,83,164,146,102,137,89,32,8,802
5100235,0,0,0,0,0,0,13,6,3,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,4,3,0,26,16,23,44,48,66,66,59,27,6,351
5100236,0,0,0,3,0,0,0,4,0,14,0,0,0,0,0,0,5,0,0,5,0,3,5,8,3,4,3,0,0,32,11,26,41,85,50,49,54,16,9,339
5100237,0,0,0,0,0,0,3,8,3,16,0,0,0,0,0,0,0,0,0,0,0,3,16,16,17,17,10,6,3,89,11,20,74,74,106,156,91,37,16,584
5100238,0,0,0,0,0,0,4,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,3,21,7,11,29,45,47,58,34,24,9,264
5100239,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,23,5,5,15,24,42,36,29,9,3,180
5100240,0,0,0,0,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,3,3,0,6,12,0,11,7,3,0,40,19,22,57,54,31,52,44,15,6,301
5100241,0,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,19,18,20,45,56,47,53,38,23,5,302
5100243,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,18,18,48,52,72,53,29,14,3,301
5100244,0,0,3,0,0,4,3,3,3,11,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,3,0,0,0,22,22,24,46,73,71,48,38,9,8,325
5100246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,16,5,15,32,28,30,21,0,153
5100247,0,0,0,0,0,0,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,0,18,0,3,26,28,47,72,66,34,14,284
5100249,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,3,3,3,5,0,4,8,4,6,4,38,3,12,30,23,38,35,35,22,26,223
5100250,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,12,6,8,19,43,45,48,35,17,3,222
5100251,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,3,3,20,3,11,18,35,38,36,27,17,12,196
5100252,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,12,5,5,23,40,34,30,30,19,4,188
5100253,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,0,0,0,0,18,14,36,109,120,68,50,36,10,0,449
5100254,0,0,0,0,0,0,7,0,3,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,10,0,8,15,17,32,40,29,20,5,178
5100255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,9,0,0,0,22
5100256,0,0,0,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,3,8,3,3,32,6,34,39,29,44,28,42,28,10,263
5100257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,18,6,8,24,46,52,32,19,3,0,213
5100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,0,0,21,8,19,41,56,34,26,25,3,0,204
5100259,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,11,10,27,41,57,48,37,34,10,0,265
5100260,0,0,0,0,0,0,7,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,10,0,27,0,8,19,11,11,31,64,61,27,227
5100261,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,3,0,0,13,24,17,44,68,51,28,20,3,0,251
5100262,0,0,0,3,0,0,6,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,11,3,11,29,31,35,36,25,29,0,200
5100263,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,5,8,9,9,37,69,32,26,8,0,195
5100264,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,14,9,21,23,40,25,30,20,3,181
5100265,0,0,0,0,0,0,12,11,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,7,48,150,71,18,294
5100266,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,3,0,0,22,19,31,89,68,30,29,32,3,0,306
5100267,0,0,0,0,0,3,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,7,5,0,26,14,20,64,69,48,29,50,23,3,321
5100268,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,4,3,0,3,0,0,0,21,10,23,72,56,38,35,26,8,0,270
5100269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
5100270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,9,0,0,18,5,9,6,21,19,26,33,8,0,122
5100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,18,36,20,11,0,115
5100272,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,19,17,36,118,141,88,81,55,13,0,539
5100273,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,15,10,10,13,12,23,27,8,7,3,106
5100274,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,8,31,41,22,22,9,3,0,139
5100275,0,0,0,0,0,0,0,9,9,16,0,0,0,0,0,0,0,0,0,3,0,0,12,3,3,3,4,0,3,31,15,10,37,49,52,62,38,29,15,316
5100276,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,9,18,39,45,46,23,31,3,0,224
5100277,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,16,0,17,18,23,20,32,34,7,0,149
5100278,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,14,16,21,30,29,27,18,22,7,0,173
5100279,0,0,0,0,0,3,3,5,0,17,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,6,3,0,5,20,13,16,33,45,35,58,38,31,14,278
5100280,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,8,8,8,0,0,0,0,30,20,12,42,60,72,25,11,11,3,259
5100281,0,0,0,0,0,6,3,10,0,25,0,0,3,0,0,0,0,0,0,11,0,0,6,4,8,9,7,14,0,57,10,38,55,52,65,65,48,57,16,406
5100282,0,0,0,0,0,3,8,3,3,16,0,0,0,0,3,0,0,0,0,4,0,0,3,5,3,3,9,31,30,89,7,15,35,58,45,34,60,59,49,363
5100283,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,16,10,8,38,41,65,52,38,20,5,279
5100301,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,4,9,20,35,26,21,22,7,0,142
5100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,9,27,57,37,24,11,7,3,176
5100303,0,0,0,0,0,4,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,17,0,4,22,14,56,50,59,18,3,233
5100304,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,7,0,0,0,29,3,18,23,35,40,40,17,10,3,192
5100305,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,5,0,0,18,3,9,25,39,50,51,28,10,3,215
5100306,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,25,8,21,37,55,77,74,48,7,0,326
5100307,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,15,0,8,9,35,55,66,25,11,0,214
5100308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,18,4,14,27,48,69,57,43,16,4,283
5100310,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7,8,12,3,14,5,0,0,42,8,30,50,51,61,61,57,22,6,336
5100311,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,6,0,0,0,21,6,6,34,49,47,33,17,8,4,200
5100312,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,4,0,0,17,13,22,37,39,45,49,37,22,5,266
5100313,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,3,5,0,0,30,3,14,69,49,16,29,22,11,5,217
5100314,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,22,9,9,27,36,43,50,20,10,4,207
5100315,0,0,0,4,0,0,0,4,0,9,0,0,0,3,0,0,0,0,0,7,3,5,8,7,6,7,5,0,3,47,9,15,50,61,59,67,40,14,6,328
5100316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,10,11,9,24,32,59,41,34,7,0,219
5100317,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,5,0,0,0,22,4,11,24,54,81,49,34,11,0,259
5100318,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,11,5,3,0,39,3,7,50,48,52,92,51,19,5,324
