SA1_7DIGITCODE_2016,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_more_15_19_yr,M_3000_more_20_24_yr,M_3000_more_25_34_yr,M_3000_more_35_44_yr,M_3000_more_45_54_yr,M_3000_more_55_64_yr,M_3000_more_65_74_yr,M_3000_more_75_84_yr,M_3000_more_85_yr_over,M_3000_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot
5100101,3,0,0,0,0,0,0,3,0,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,8,0,0,0,0,5,4,0,0,0,8,0,0,0,0,0,4,5,0,0,12,3,0,4,0,0,4,0,0,0,13,0,0,0,0,0,3,0,0,0,10,0,0,3,0,3,3,0,0,0,15,0,0,3,0,0,5,0,0,0,17,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,10,8,3,0,27,0,0,0,0,0,0,0,0,0,0,10,3,18,19,22,40,30,14,0,156,3,0,0,7,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,9,0,0,0,0,3,4,3,0,0,7
5100102,4,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,3,4,0,0,11,0,0,0,3,0,0,3,0,0,5,0,0,4,3,0,6,3,0,0,17,0,0,0,0,0,5,3,0,0,9,0,0,3,8,3,7,0,0,0,27,0,0,6,9,11,5,3,0,0,27,0,0,3,10,10,3,0,0,0,21,0,0,7,11,4,3,0,0,0,24,0,0,4,15,5,0,0,0,0,27,0,0,4,12,9,0,0,0,0,30,0,0,0,5,3,0,0,0,0,9,8,0,5,21,4,3,4,0,0,40,0,0,0,0,0,0,0,0,0,0,13,4,49,99,48,34,19,4,3,282,6,0,8,19,0,3,0,0,0,33,4,0,3,9,0,4,0,0,0,21,0,0,6,11,3,3,0,0,0,30
5100103,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,0,0,4,0,3,3,3,3,0,12,0,0,0,0,3,3,12,5,3,27,0,0,0,0,5,0,5,3,7,24,0,0,0,0,0,3,10,3,0,17,0,0,0,0,3,3,3,3,0,15,0,0,3,0,0,3,0,3,0,10,0,0,0,3,4,8,7,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,8,3,10,15,23,29,50,28,11,169,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,8,0,0,3,0,0,0,6,3,0,15
5100104,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,4,8,0,14,0,0,0,0,6,6,9,8,0,28,0,0,0,0,0,3,3,5,3,15,0,0,0,0,0,0,3,3,3,11,0,0,0,3,4,4,3,6,0,22,0,0,3,0,4,5,3,0,0,20,0,0,0,0,7,3,3,0,0,10,0,0,0,0,0,3,0,0,0,9,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,3,5,5,0,0,0,10,0,0,0,0,3,3,0,0,0,5,0,0,6,7,6,0,5,0,0,27,0,3,0,0,0,0,0,0,0,7,12,4,14,20,43,42,38,26,11,208,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,0,0,10,0,0,4,0,0,3,3,0,0,14
5100105,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,8,3,0,0,0,14,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,4,0,10,9,14,24,21,12,3,103,3,0,0,0,0,4,3,0,0,12,7,0,0,0,0,3,0,0,0,10,0,0,3,0,3,0,7,5,0,13
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,4,3,0,4,13,3,0,0,0,0,0,5,0,0,10,0,3,0,4,0,5,5,0,0,20,0,0,8,4,3,0,6,0,0,15,0,0,3,6,4,4,0,0,0,18,0,0,0,3,3,3,3,0,0,12,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,5,3,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,5,4,13,19,25,31,33,6,4,144,6,0,3,3,0,5,0,0,0,10,0,0,0,0,0,5,0,0,0,7,0,0,0,0,3,7,0,0,0,13
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,8,0,0,0,0,0,4,0,0,10,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,4,0,0,12,0,0,0,0,6,0,8,3,0,19,0,0,0,0,3,3,3,0,0,18,0,0,0,4,4,6,3,0,0,20,0,0,0,0,0,4,11,0,0,19,0,3,0,4,7,3,0,0,0,22,0,0,0,9,3,4,8,0,0,21,0,0,0,3,3,3,0,0,0,12,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,11,0,0,0,0,4,0,0,0,0,6,3,3,0,7,0,3,0,0,0,23,0,0,7,0,0,0,0,0,0,8,13,12,19,39,38,43,36,9,3,214,5,0,0,5,5,8,0,0,0,22,0,0,0,3,0,3,0,0,0,14,0,0,3,4,3,4,3,0,0,18
5100110,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,4,0,0,7,0,3,0,0,3,4,5,0,0,12,0,0,0,0,4,0,0,0,0,9,0,3,0,0,0,0,3,3,0,11,0,0,0,0,0,5,0,0,0,14,0,0,3,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,0,7,3,0,0,0,19,5,0,0,0,0,0,0,0,0,6,5,10,14,15,26,28,19,3,3,122,0,0,0,0,0,4,0,0,0,8,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,3,0,10
