SA1_7DIGITCODE_2016,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_more_15_19_yr,F_3000_more_20_24_yr,F_3000_more_25_34_yr,F_3000_more_35_44_yr,F_3000_more_45_54_yr,F_3000_more_55_64_yr,F_3000_more_65_74_yr,F_3000_more_75_84_yr,F_3000_more_85_yr_over,F_3000_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot
5100101,0,0,3,4,3,4,5,0,0,16,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,3,0,0,14,0,0,0,4,4,3,0,0,0,14,0,0,0,3,0,3,0,0,0,15,0,0,4,0,0,3,0,0,0,12,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,5,14,19,21,44,18,4,0,139,10,0,0,6,3,3,3,3,0,24,3,0,4,0,0,0,3,0,0,8,0,0,3,0,3,4,5,0,0,19,0,0,3,3,3,6,4,5,0,29,0,0,0,0,0,9,4,0,0,10,3,0,4,0,3,5,7,0,0,29
5100102,0,0,9,7,4,3,9,0,0,25,0,0,4,4,0,4,3,3,0,21,0,3,8,13,3,4,0,0,0,34,0,3,3,8,3,0,3,0,0,25,0,0,6,8,10,3,0,0,0,29,0,0,3,0,6,6,3,0,0,17,0,0,3,0,0,0,0,0,0,3,0,0,3,8,5,0,0,0,0,13,0,0,0,3,3,0,0,0,0,6,0,0,8,0,3,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,4,0,4,16,5,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,10,12,67,106,49,35,21,4,3,312,9,3,8,18,4,4,0,0,0,47,6,3,3,9,0,4,0,0,0,25,0,0,13,11,3,3,3,0,0,37,0,0,10,7,3,3,8,0,0,42,0,0,4,8,0,4,4,3,0,21,0,3,11,17,3,8,8,0,0,49
5100103,0,3,0,0,0,3,9,6,5,40,0,0,4,0,3,6,9,14,3,40,0,0,3,3,0,5,8,9,0,25,0,3,0,0,3,0,5,7,0,19,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,6,26,0,0,0,0,0,0,0,0,0,0,5,5,13,17,15,36,44,41,24,207,3,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,7,0,14,3,0,4,3,0,9,9,3,0,29,0,3,3,3,3,9,19,18,11,61,0,0,3,0,7,5,18,18,12,62,0,0,3,4,0,7,15,11,3,39
5100104,0,0,0,0,4,4,9,7,0,35,0,0,0,0,5,6,8,4,8,31,0,3,0,0,6,0,3,0,0,17,0,0,5,5,0,0,3,0,0,8,0,0,0,0,3,3,0,0,3,13,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,4,4,9,0,3,30,0,0,0,0,0,0,0,0,0,4,7,11,20,20,30,43,41,27,17,209,4,0,0,0,3,3,3,3,0,18,7,0,0,3,3,3,0,0,0,18,0,3,4,0,4,11,8,8,0,36,4,0,4,0,10,11,20,14,0,67,0,0,0,0,3,8,7,9,10,52,0,3,0,0,6,3,3,3,0,28
5100105,0,0,0,0,0,0,3,3,0,6,0,0,0,0,3,0,3,3,0,12,0,0,0,3,5,6,0,0,0,15,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,0,10,0,0,3,0,0,0,0,0,0,3,6,3,5,6,18,26,22,22,3,124,3,0,0,0,4,5,4,0,0,10,12,0,0,0,0,3,0,0,0,14,0,0,5,0,4,3,6,4,0,23,0,0,4,0,3,0,5,0,3,17,0,0,0,0,4,0,8,4,3,23,0,0,0,3,5,7,3,0,0,16
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,3,3,3,3,3,0,11,0,0,0,3,0,3,4,3,0,15,0,0,4,0,9,7,3,0,0,24,0,0,0,0,3,0,8,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,9,6,15,14,26,30,31,8,4,141,3,0,3,3,0,8,0,0,0,19,0,0,0,0,0,8,0,0,0,11,0,0,0,0,3,7,6,0,0,15,0,0,0,4,3,3,0,3,3,20,0,0,0,3,0,8,7,10,6,28,3,0,4,3,6,6,12,0,0,30
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,0,0,0,0,5,0,0,13,0,0,3,3,8,10,3,0,0,25,0,0,3,4,9,3,3,0,0,24,0,0,0,0,5,3,3,0,0,14,0,0,0,6,7,0,0,3,0,14,0,0,4,0,6,10,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,9,0,0,0,0,18,0,0,4,0,0,3,0,0,0,8,9,3,27,31,51,41,27,8,6,194,12,0,0,4,4,11,4,0,0,33,3,0,0,3,5,3,0,0,0,15,0,0,4,4,6,4,9,0,0,26,0,0,0,0,6,3,14,3,3,35,3,0,0,3,6,12,10,0,0,38,0,3,3,8,9,11,7,0,0,36
5100110,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,3,0,0,12,0,3,0,0,5,4,0,0,0,15,0,0,0,5,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,16,0,0,0,3,0,0,0,0,0,5,6,13,20,17,21,28,12,10,3,123,3,0,0,0,0,7,3,0,0,13,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,3,6,0,18,0,0,0,0,5,4,4,0,0,9,0,3,0,0,6,9,9,0,0,22,0,3,3,3,7,3,0,3,3,26
