SA1_7DIGITCODE_2016,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_more_15_19_yr,P_3000_more_20_24_yr,P_3000_more_25_34_yr,P_3000_more_35_44_yr,P_3000_more_45_54_yr,P_3000_more_55_64_yr,P_3000_more_65_74_yr,P_3000_more_75_84_yr,P_3000_more_85_yr_over,P_3000_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,0,0,0,3,9,5,0,3,0,25,0,0,3,4,6,6,4,0,0,29,0,0,5,0,0,6,3,4,0,27,0,3,0,0,3,6,0,0,0,12,0,0,0,3,5,3,0,0,0,12,0,0,0,3,0,0,3,0,0,8,0,0,0,3,0,4,0,0,0,10,0,0,0,0,3,3,0,0,0,7,0,0,7,3,5,15,8,3,0,40,0,0,0,0,0,0,0,0,0,5,14,10,32,37,47,81,43,19,5,295
5100102,0,7,3,13,4,5,5,0,0,35,0,0,7,17,19,8,3,0,0,58,0,3,12,10,15,8,7,0,0,46,0,0,7,10,6,3,0,0,0,25,0,0,10,10,8,3,0,0,0,39,0,0,6,18,10,0,0,0,0,31,0,0,10,15,10,3,0,0,0,40,0,0,0,13,3,0,0,0,0,13,8,0,12,31,11,10,4,3,3,75,0,0,0,0,0,0,0,0,0,4,25,15,113,204,98,75,43,17,3,596
5100103,0,4,3,5,3,7,9,10,0,35,0,0,6,0,4,5,3,3,3,20,0,0,0,3,4,7,3,0,0,24,0,0,0,0,5,3,0,0,0,12,0,0,3,0,0,0,9,0,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,5,6,11,40,0,0,0,0,0,0,0,0,0,0,14,14,26,28,38,61,94,70,33,372
5100104,0,0,5,11,5,8,7,6,0,29,0,0,3,4,11,11,3,0,3,34,0,0,3,0,5,3,4,0,0,21,0,0,3,0,0,3,0,0,4,16,0,0,0,3,3,4,3,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,3,6,5,0,0,0,13,0,0,0,0,3,4,0,0,0,9,3,4,5,7,8,6,19,0,3,60,0,6,0,0,0,0,0,0,0,10,23,18,33,36,71,87,79,52,24,419
5100105,0,3,0,3,4,4,3,0,0,14,0,0,3,0,5,6,0,0,0,20,0,0,0,0,0,12,3,0,0,19,0,0,0,0,0,3,7,0,0,8,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,0,0,7,0,3,0,11,0,21,0,0,0,0,0,0,0,0,0,0,15,7,17,18,35,53,37,26,10,225
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,0,3,3,4,8,7,7,0,0,31,0,0,5,4,3,3,7,0,0,26,0,0,0,6,7,4,0,0,0,16,0,3,5,6,10,7,3,0,0,21,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,6,7,0,0,3,11,7,6,0,0,28,0,3,0,0,0,0,0,0,0,3,14,14,30,31,52,64,61,17,9,285
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
5100109,0,3,3,0,6,8,11,0,0,37,0,3,6,7,11,8,0,3,0,35,0,0,4,6,11,18,9,0,0,42,0,0,4,3,3,3,0,0,0,16,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,8,0,0,0,0,7,0,0,0,0,12,3,3,9,9,10,3,0,0,0,37,0,0,13,0,0,3,0,0,0,13,20,13,43,64,94,83,67,11,10,410
5100110,0,4,0,3,3,3,5,0,0,22,0,0,0,3,3,7,0,0,3,20,0,0,10,3,4,0,0,3,0,19,0,0,0,0,0,0,0,0,0,10,0,0,3,3,5,0,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,3,3,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,9,3,10,3,6,0,3,33,5,0,0,3,0,3,0,0,0,14,13,17,36,28,45,53,26,12,7,244
