SA1_7DIGITCODE_2016,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_v,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_v,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_v,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_v,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_v,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_v,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_v,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_v,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_v,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Total_OS_v,M_Tot_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_v,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_v,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_v,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_v,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_v,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_v,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_v,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_v,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_v,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Total_OS_v,F_Tot_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_v,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_v,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_v,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_v,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_v,P_45_54_yr_Tot
5100101,6,0,0,0,3,0,0,10,3,0,0,0,0,0,0,3,4,11,0,0,7,7,0,18,5,4,3,3,4,0,0,19,3,13,3,3,0,0,0,22,6,17,6,3,6,9,0,40,4,3,0,3,6,5,0,30,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,25,44,15,18,25,19,0,156,4,0,0,0,0,0,0,7,3,0,0,0,0,0,0,5,4,3,3,4,0,0,0,14,3,3,11,4,0,3,0,19,4,11,5,3,0,3,0,21,3,10,12,7,4,3,0,44,3,3,3,3,0,3,0,18,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,33,36,19,6,10,0,139,12,0,0,0,6,0,0,14,9,0,0,0,0,0,0,10,10,12,3,4,7,7,0,32,10,5,14,9,4,3,0,37,6,18,9,4,3,5,0,47
5100102,3,4,0,0,3,3,0,13,3,3,0,0,0,0,0,4,13,23,6,0,3,5,0,49,24,33,9,3,10,13,0,99,19,18,3,3,4,8,0,48,3,17,7,3,6,3,0,34,0,7,3,7,4,0,0,19,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,70,99,29,15,37,38,0,282,8,0,0,0,0,4,0,10,6,0,0,0,0,0,0,12,3,20,9,25,0,4,0,67,11,28,27,36,0,15,0,106,6,21,8,7,0,5,0,49,7,11,13,0,0,4,0,35,0,7,3,5,3,0,0,21,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,3,40,85,68,76,8,31,0,312,11,4,0,0,3,6,0,25,7,6,0,0,3,0,0,15,18,36,18,22,8,12,0,113,33,58,34,38,12,22,0,204,18,37,14,11,9,12,0,98
5100103,3,3,0,0,0,3,0,8,3,0,0,0,0,0,0,3,4,3,0,3,0,0,0,10,0,8,0,0,4,0,0,15,0,11,0,3,4,0,0,23,3,17,0,4,3,3,0,29,9,19,8,11,4,3,0,50,4,0,3,6,12,0,0,28,0,3,0,0,6,6,0,11,32,59,15,20,30,16,0,169,6,0,0,0,0,0,0,5,3,0,0,0,3,0,0,5,3,0,0,4,7,0,0,13,0,6,4,4,0,3,0,17,0,7,0,3,0,0,0,15,3,14,10,3,0,5,0,36,3,14,7,11,10,6,0,44,3,7,9,8,6,9,0,41,0,3,0,0,10,3,0,24,17,48,40,32,38,24,0,207,7,0,0,0,0,3,0,14,4,3,0,0,3,0,0,14,10,3,0,6,8,0,0,26,3,9,7,3,4,3,0,28,0,18,3,7,8,0,0,38
5100104,6,0,0,0,3,3,0,12,0,0,0,0,0,0,3,4,0,3,5,0,4,6,0,14,3,4,0,0,3,0,0,20,14,13,8,0,9,4,0,43,7,10,11,0,5,5,0,42,3,13,4,5,13,3,0,38,4,3,3,8,6,0,0,26,0,4,0,0,0,0,0,11,41,57,28,13,44,26,7,208,8,0,0,0,0,0,0,7,0,0,0,0,3,0,0,11,4,3,4,4,0,0,0,20,0,0,4,3,0,6,0,20,4,8,4,10,0,0,0,30,0,9,8,6,5,6,0,43,0,6,6,11,11,9,0,41,3,6,4,7,5,0,0,27,5,3,3,3,4,5,0,17,30,37,42,45,32,29,4,209,13,0,0,0,3,4,0,23,0,0,3,0,3,3,6,18,6,10,5,8,5,5,0,33,3,6,4,3,9,4,0,36,17,15,11,7,9,5,0,71
5100105,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,4,3,3,0,0,3,0,9,0,5,3,0,6,0,0,14,3,9,3,0,9,3,0,24,3,3,3,3,6,0,0,21,0,0,3,4,0,4,0,12,0,0,3,0,0,0,0,3,14,25,21,14,21,5,0,103,3,0,0,0,4,3,0,6,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,5,0,4,0,3,0,0,0,6,0,3,6,4,0,0,0,18,3,6,6,4,0,3,0,26,0,5,6,5,3,0,0,22,3,0,3,5,0,8,0,22,0,0,0,0,0,0,0,3,14,25,28,24,11,19,3,124,3,0,0,0,8,3,0,15,0,0,0,0,5,0,0,7,0,0,3,3,5,0,0,17,3,7,4,3,0,5,0,18,0,10,10,4,4,0,0,35
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,3,0,0,0,3,3,0,5,4,0,0,0,3,0,0,4,3,4,0,0,9,0,0,13,10,10,0,0,0,0,0,19,7,4,5,0,3,8,0,25,11,13,0,0,3,3,0,31,4,6,3,7,4,0,0,33,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,4,36,36,16,8,31,11,3,144,3,0,0,0,3,3,0,9,3,3,0,0,0,0,0,6,3,5,0,0,3,0,0,15,0,0,3,4,0,0,0,14,0,9,6,3,6,3,0,26,3,10,8,11,0,4,0,30,0,7,7,5,3,3,0,31,3,3,0,0,3,3,0,8,0,0,0,0,0,4,0,4,16,32,25,25,19,14,3,141,7,0,0,0,3,7,0,14,4,3,0,0,5,0,3,14,10,6,0,0,7,0,0,30,10,11,6,4,4,3,0,31,7,13,8,6,9,10,0,52
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,7,0,0,0,4,3,0,13,3,0,0,0,0,3,0,12,5,4,0,0,4,3,7,19,13,15,0,5,3,8,0,39,12,11,4,7,10,3,0,38,9,17,8,4,10,0,0,43,11,9,8,9,3,3,0,36,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,50,54,19,25,35,26,8,214,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,3,3,3,4,6,0,3,4,27,6,6,4,14,0,0,0,31,8,19,12,16,0,9,0,51,3,13,11,7,3,3,3,41,3,4,3,16,3,0,0,27,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,6,25,39,40,56,21,16,8,194,16,0,0,0,7,3,0,20,3,0,0,0,4,3,0,13,8,3,7,6,4,3,13,43,19,13,6,16,9,4,0,64,17,23,10,21,9,12,0,94
5100110,0,0,0,0,3,0,5,5,6,5,0,0,0,0,0,10,0,4,0,0,0,3,0,14,4,3,4,0,0,0,0,15,4,13,0,0,3,7,0,26,0,15,3,0,0,3,0,28,3,3,0,3,0,0,0,19,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,18,39,16,6,11,22,6,122,3,3,0,0,0,0,0,6,3,3,0,0,0,0,0,13,0,6,4,3,3,3,0,20,0,3,7,3,0,0,3,17,0,7,8,0,0,0,0,21,3,5,9,4,0,0,0,28,0,3,0,5,0,3,0,12,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,3,17,29,19,21,11,18,5,123,3,3,0,0,3,0,5,13,10,7,0,0,0,3,0,17,5,11,4,3,3,9,0,36,3,6,6,4,3,3,3,28,9,16,8,0,6,12,0,45
