SA1_7DIGITCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
5100101,10,27,17,13,7,8,0,81,5,11,10,8,7,7,0,43,0,6,3,5,0,0,0,19,0,0,0,0,0,0,0,5,54,81,48,34,37,30,5,295
5100102,7,25,18,9,6,10,0,75,0,13,10,11,7,4,0,43,0,5,0,0,0,3,0,17,3,0,0,0,0,3,0,3,104,187,94,96,40,70,4,596
5100103,9,28,14,6,3,3,0,61,9,31,20,14,13,4,0,94,8,4,14,17,23,7,0,70,4,3,0,0,13,10,0,33,52,103,51,61,70,32,0,372
5100104,11,16,21,9,15,13,0,87,4,22,12,14,19,15,0,79,5,10,5,15,9,0,0,52,4,3,3,3,8,3,0,24,72,90,65,55,71,55,10,419
5100105,11,21,8,9,10,3,0,53,3,11,7,12,7,0,0,37,0,0,3,13,0,10,0,26,0,0,3,4,0,3,0,10,31,46,46,40,41,25,0,225
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,16,22,8,11,5,3,0,64,6,14,9,11,12,3,0,61,0,3,0,0,3,3,0,17,0,0,0,0,0,4,0,9,60,74,45,32,46,29,3,285
5100108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100109,6,26,22,14,14,3,3,83,13,15,6,22,6,3,0,67,0,0,3,3,0,3,0,11,0,0,3,0,0,0,0,10,76,94,55,77,56,41,13,410
5100110,4,17,13,7,3,3,3,53,3,7,5,9,0,8,0,26,0,3,3,3,4,3,0,12,0,3,0,0,0,0,0,7,37,72,36,29,19,35,14,244
5100111,14,26,8,8,5,7,0,60,8,10,6,9,5,6,3,50,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,53,86,44,37,32,25,4,277
5100112,5,20,8,8,5,13,0,61,0,17,12,12,0,3,7,47,0,3,7,0,0,0,0,6,0,0,0,0,0,4,0,3,29,83,42,35,19,48,15,276
5100113,10,17,15,3,12,6,0,61,5,3,10,8,11,9,3,48,0,0,3,3,6,0,0,15,0,0,3,0,0,0,0,4,35,45,40,29,53,20,4,227
5100114,3,13,14,3,6,0,0,40,0,12,4,8,7,0,0,29,0,4,3,3,3,3,0,24,0,0,0,0,0,0,0,5,77,124,65,51,58,33,7,408
5100115,11,22,14,6,7,3,0,71,13,16,9,6,15,4,0,54,0,4,3,0,6,4,0,25,0,0,0,0,0,0,0,3,58,81,67,29,50,18,8,311
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
