SA1_7DIGITCODE_2016,M_Husb_a_r_mar_0_14,M_Husb_a_r_mar_15_24,M_Husb_a_r_mar_25_34,M_Husb_a_r_mar_35_44,M_Husb_a_r_mar_45_54,M_Husb_a_r_mar_55_64,M_Husb_a_r_mar_65_74,M_Husb_a_r_mar_75_84,M_Husb_a_r_mar_85,M_Husb_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85,M_Vis_from_within_Aus_Tot,M_OS_v_0_14_yr,M_OS_v_15_24_yr,M_OS_v_25_34_yr,M_OS_v_35_44_yr,M_OS_v_45_54_yr,M_OS_v_55_64_yr,M_OS_v_65_74_yr,M_OS_v_75_84_yr,M_OS_v_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Husb_a_r_mar_0_14,F_Husb_a_r_mar_15_24,F_Husb_a_r_mar_25_34,F_Husb_a_r_mar_35_44,F_Husb_a_r_mar_45_54,F_Husb_a_r_mar_55_64,F_Husb_a_r_mar_65_74,F_Husb_a_r_mar_75_84,F_Husb_a_r_mar_85,F_Husb_a_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85,F_Oth_rel_ind_Tot
5100101,..,0,0,7,17,16,11,4,0,62,..,0,3,0,3,3,0,0,0,10,..,0,0,0,0,0,0,0,0,0,22,..,..,..,..,..,..,..,..,22,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,6,..,0,3,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,3,3,0,0,0,0,0,0,6,..,0,0,6,4,4,5,0,0,24,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,28,9,20,17,23,38,23,11,0,163,..,0,3,9,18,22,10,3,0,64,..,0,3,7,3,0,0,0,0,16,..,0,0,3,0,3,0,0,0,6,25,..,..,..,..,..,..,..,..,25,..,4,..,..,..,..,..,..,..,4,..,3,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0
5100102,..,0,19,61,27,21,17,3,3,149,..,0,14,17,5,0,0,0,0,33,..,0,0,0,3,0,0,0,0,6,129,..,..,..,..,..,..,..,..,129,..,8,..,..,..,..,..,..,..,8,..,4,3,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,3,..,0,6,3,0,0,0,0,0,8,..,0,0,3,3,0,3,0,0,18,0,0,4,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,129,23,47,87,41,32,17,6,3,379,..,0,40,72,27,24,12,5,0,167,..,0,20,18,3,0,0,0,0,45,..,0,0,3,9,0,0,3,0,14,138,..,..,..,..,..,..,..,..,138,..,8,..,..,..,..,..,..,..,8,..,3,3,0,0,0,0,0,0,4,..,3,0,0,0,0,0,0,0,8
5100103,..,0,0,4,4,12,34,18,3,79,..,3,3,0,0,5,3,0,0,17,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,7,..,..,..,..,..,..,..,7,..,0,3,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,0,..,3,0,0,0,0,0,0,0,11,..,0,0,0,3,4,10,10,6,31,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,9,14,10,11,21,29,49,27,11,171,..,0,3,5,9,18,31,16,3,80,..,5,3,0,0,4,3,0,0,17,..,0,0,3,3,0,0,3,0,15,15,..,..,..,..,..,..,..,..,15,..,5,..,..,..,..,..,..,..,5,..,3,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0
5100104,..,0,3,9,12,18,18,16,4,79,..,0,3,4,12,4,0,0,0,29,..,0,0,0,0,0,0,0,0,0,17,..,..,..,..,..,..,..,..,17,..,5,..,..,..,..,..,..,..,5,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,7,10,10,6,3,36,3,0,0,0,5,4,3,0,0,20,0,0,0,0,0,0,0,0,0,0,23,13,12,16,38,39,34,22,9,199,..,0,4,5,11,16,26,13,4,74,..,0,11,6,11,3,0,0,0,25,..,0,0,0,0,0,0,3,0,7,15,..,..,..,..,..,..,..,..,15,..,4,..,..,..,..,..,..,..,4,..,6,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
5100105,..,0,0,6,7,11,18,5,0,52,..,0,0,0,0,4,0,0,0,6,..,0,0,0,0,0,0,0,0,5,12,..,..,..,..,..,..,..,..,12,..,0,..,..,..,..,..,..,..,0,..,3,4,0,0,0,0,0,0,5,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,7,0,0,0,13,0,0,3,0,5,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,12,7,10,6,14,24,21,5,3,116,..,0,3,4,6,15,12,9,0,53,..,0,0,0,4,0,0,0,0,10,..,0,0,6,5,0,0,0,0,15,17,..,..,..,..,..,..,..,..,17,..,9,..,..,..,..,..,..,..,9,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
5100106,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5100107,..,0,5,4,13,19,19,6,0,71,..,0,3,4,4,3,0,0,0,18,..,0,0,0,3,0,0,0,0,8,27,..,..,..,..,..,..,..,..,27,..,3,..,..,..,..,..,..,..,3,..,3,3,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,4,0,0,3,0,0,13,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,27,14,15,18,19,26,33,6,4,158,..,0,3,5,10,18,22,3,0,70,..,0,4,4,3,4,0,0,0,13,..,0,0,0,3,0,0,0,0,7,27,..,..,..,..,..,..,..,..,27,..,6,..,..,..,..,..,..,..,6,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0
5100108,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5100109,..,0,0,6,22,15,28,9,0,84,..,0,0,9,3,5,0,0,0,24,..,0,0,0,0,0,0,0,0,3,37,..,..,..,..,..,..,..,..,37,..,6,..,..,..,..,..,..,..,6,..,3,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,4,0,5,0,0,0,9,..,0,0,3,7,5,4,0,0,24,0,0,0,3,4,3,3,0,0,17,0,0,3,0,0,0,0,0,0,3,38,16,13,29,36,41,36,9,3,222,..,0,6,12,25,28,19,0,4,89,..,0,6,10,5,3,3,0,0,23,..,0,0,4,3,0,0,0,0,5,46,..,..,..,..,..,..,..,..,46,..,7,..,..,..,..,..,..,..,7,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
5100110,..,0,4,3,10,7,10,3,5,46,..,3,8,3,3,3,0,0,0,16,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,3,0,0,0,0,5,..,0,0,0,5,3,0,0,0,15,0,0,3,0,0,3,0,0,0,7,0,3,0,0,0,0,0,0,0,4,13,15,8,13,19,22,13,3,3,115,..,0,4,4,7,17,9,4,6,51,..,3,6,4,0,3,0,0,0,17,..,0,0,0,3,0,0,0,0,3,14,..,..,..,..,..,..,..,..,14,..,5,..,..,..,..,..,..,..,5,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
