SA1_7DIGITCODE_2016,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85,F_Vis_from_within_Aus_Tot,F_OS_v_0_14_yr,F_OS_v_15_24_yr,F_OS_v_25_34_yr,F_OS_v_35_44_yr,F_OS_v_45_54_yr,F_OS_v_55_64_yr,F_OS_v_65_74_yr,F_OS_v_75_84_yr,F_OS_v_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Husb_a_r_mar_0_14,P_Husb_a_r_mar_15_24,P_Husb_a_r_mar_25_34,P_Husb_a_r_mar_35_44,P_Husb_a_r_mar_45_54,P_Husb_a_r_mar_55_64,P_Husb_a_r_mar_65_74,P_Husb_a_r_mar_75_84,P_Husb_a_r_mar_85,P_Husb_a_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85,P_Vis_from_within_Aus_Tot,P_OS_v_0_14_yr,P_OS_v_15_24_yr,P_OS_v_25_34_yr,P_OS_v_35_44_yr,P_OS_v_45_54_yr,P_OS_v_55_64_yr,P_OS_v_65_74_yr,P_OS_v_75_84_yr,P_OS_v_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,10,0,0,0,16,0,0,3,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,3,23,10,14,18,20,40,12,4,0,149,..,0,3,17,29,41,26,5,0,122,..,0,6,4,7,4,0,0,0,23,..,0,4,3,0,3,0,0,0,9,43,..,..,..,..,..,..,..,..,43,..,14,..,..,..,..,..,..,..,14,..,6,4,0,0,0,0,0,0,17,..,0,3,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,3,3,0,0,0,0,0,0,12,..,0,0,7,4,17,5,0,0,35,3,0,3,3,0,3,3,3,0,17,3,0,0,0,0,0,0,0,0,7,48,21,31,35,39,70,35,13,3,313
5100102,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,3,3,7,0,0,23,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,138,19,63,95,43,30,24,4,0,420,..,0,55,129,53,46,24,9,3,320,..,0,27,39,12,0,0,0,0,79,..,0,3,3,9,0,0,3,0,20,273,..,..,..,..,..,..,..,..,273,..,22,..,..,..,..,..,..,..,22,..,7,3,0,0,0,0,0,0,19,..,3,0,0,3,0,0,0,0,10,..,0,3,0,0,0,0,0,0,3,..,0,6,3,0,0,0,0,0,9,..,0,3,4,8,8,7,0,0,35,0,0,3,0,3,3,5,0,0,19,0,0,0,0,0,0,0,0,0,0,273,41,105,183,88,62,40,11,3,805
5100103,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,10,..,0,0,0,0,3,8,21,13,42,0,3,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,12,13,12,15,36,43,42,14,199,..,0,4,14,17,29,59,36,4,157,..,5,9,3,3,8,6,0,0,30,..,0,0,3,7,0,0,3,0,12,20,..,..,..,..,..,..,..,..,20,..,13,..,..,..,..,..,..,..,13,..,3,5,0,0,3,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,5,..,3,4,0,3,3,0,0,0,14,..,0,0,3,3,10,19,27,14,74,3,3,0,3,0,6,4,0,0,22,0,0,0,0,0,0,0,0,0,0,24,23,26,23,33,62,89,67,22,366
5100104,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,3,11,3,11,13,36,0,0,0,0,0,11,7,0,0,18,0,0,0,0,0,0,0,0,0,0,15,13,21,14,21,37,31,27,15,194,..,0,8,13,23,38,42,31,3,152,..,3,15,9,21,5,3,0,0,54,..,3,0,0,0,0,0,3,0,7,36,..,..,..,..,..,..,..,..,36,..,11,..,..,..,..,..,..,..,11,..,6,0,0,0,0,0,0,0,12,..,0,0,0,0,3,0,0,0,6,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,3,8,..,0,4,3,12,18,13,15,15,73,3,0,0,3,4,13,8,0,0,35,0,0,0,0,0,0,0,0,0,0,34,32,28,27,58,75,67,50,21,390
5100105,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,5,11,0,17,0,0,0,0,3,9,3,0,0,17,0,0,3,0,0,0,0,0,0,3,17,14,5,6,18,25,22,14,5,131,..,0,3,11,17,28,27,16,4,101,..,3,3,0,5,3,0,0,0,16,..,0,0,3,7,3,0,0,0,14,31,..,..,..,..,..,..,..,..,31,..,6,..,..,..,..,..,..,..,6,..,4,4,0,0,0,0,0,0,8,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,13,3,11,3,28,0,0,0,0,7,9,3,0,0,26,0,0,0,0,0,0,0,0,0,0,31,17,17,14,35,54,37,23,9,249
5100106,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,9,5,4,0,21,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,27,10,15,13,22,30,28,7,4,157,..,0,7,12,24,39,41,11,3,139,..,3,5,8,4,12,0,0,0,34,..,0,0,3,8,0,0,0,3,11,52,..,..,..,..,..,..,..,..,52,..,7,..,..,..,..,..,..,..,7,..,10,4,0,4,0,0,0,0,13,..,0,0,0,3,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,4,3,6,12,9,3,36,0,6,3,4,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,52,28,29,32,46,58,59,16,9,319
5100108,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
5100109,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,7,..,0,0,0,3,5,3,6,0,16,0,0,3,0,3,4,5,0,0,13,0,0,3,0,0,0,0,0,0,3,45,13,21,28,45,43,27,8,7,218,..,0,10,15,49,47,46,9,3,175,..,0,10,18,12,11,3,0,0,54,..,0,0,6,3,0,0,0,0,9,79,..,..,..,..,..,..,..,..,79,..,18,..,..,..,..,..,..,..,18,..,7,0,3,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,6,..,0,0,3,0,8,0,0,0,8,..,0,0,3,11,8,3,6,0,45,0,0,6,3,4,3,10,0,0,28,0,0,6,0,0,0,0,0,0,6,80,29,32,55,84,79,65,11,7,445
5100110,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,4,0,0,3,0,10,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,17,16,12,16,19,14,9,3,121,..,0,6,8,11,27,23,10,4,93,..,6,11,7,7,3,0,0,0,33,..,0,0,0,3,0,0,0,0,6,26,..,..,..,..,..,..,..,..,26,..,6,..,..,..,..,..,..,..,6,..,4,0,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,4,0,0,3,0,0,0,0,11,..,0,0,0,9,5,3,3,0,29,0,0,6,0,0,5,0,0,0,18,0,3,0,0,0,0,0,0,0,11,30,29,29,28,36,43,26,14,7,234
