SA1_7DIGITCODE_2016,FP_15_19_Nbr_ch_ev_brn_No,FP_15_19_Nbr_ch_ev_brn_1,FP_15_19_Nbr_ch_ev_brn_2,FP_15_19_Nbr_ch_ev_brn_3,FP_15_19_Nbr_ch_ev_brn_4,FP_15_19_Nbr_ch_ev_brn_5,FP_15_19_Nbr_ch_ev_brn_6,FP_15_19_Nbr_ch_ev_brn_Ns,FP_15_19_Tot,FP_20_24_Nbr_ch_ev_brn_No,FP_20_24_Nbr_ch_ev_brn_1,FP_20_24_Nbr_ch_ev_brn_2,FP_20_24_Nbr_ch_ev_brn_3,FP_20_24_Nbr_ch_ev_brn_4,FP_20_24_Nbr_ch_ev_brn_5,FP_20_24_Nbr_ch_ev_brn_6,FP_20_24_Nbr_ch_ev_brn_Ns,FP_20_24_Tot,FP_25_29_Nbr_ch_ev_brn_No,FP_25_29_Nbr_ch_ev_brn_1,FP_25_29_Nbr_ch_ev_brn_2,FP_25_29_Nbr_ch_ev_brn_3,FP_25_29_Nbr_ch_ev_brn_4,FP_25_29_Nbr_ch_ev_brn_5,FP_25_29_Nbr_ch_ev_brn_6,FP_25_29_Nbr_ch_ev_brn_Ns,FP_25_29_Tot,FP_30_34_Nbr_ch_ev_brn_No,FP_30_34_Nbr_ch_ev_brn_1,FP_30_34_Nbr_ch_ev_brn_2,FP_30_34_Nbr_ch_ev_brn_3,FP_30_34_Nbr_ch_ev_brn_4,FP_30_34_Nbr_ch_ev_brn_5,FP_30_34_Nbr_ch_ev_brn_6,FP_30_34_Nbr_ch_ev_brn_Ns,FP_30_34_Tot,FP_35_39_Nbr_ch_ev_brn_No,FP_35_39_Nbr_ch_ev_brn_1,FP_35_39_Nbr_ch_ev_brn_2,FP_35_39_Nbr_ch_ev_brn_3,FP_35_39_Nbr_ch_ev_brn_4,FP_35_39_Nbr_ch_ev_brn_5,FP_35_39_Nbr_ch_ev_brn_6,FP_35_39_Nbr_ch_ev_brn_Ns,FP_35_39_Tot,FP_40_44_Nbr_ch_ev_brn_No,FP_40_44_Nbr_ch_ev_brn_1,FP_40_44_Nbr_ch_ev_brn_2,FP_40_44_Nbr_ch_ev_brn_3,FP_40_44_Nbr_ch_ev_brn_4,FP_40_44_Nbr_ch_ev_brn_5,FP_40_44_Nbr_ch_ev_brn_6,FP_40_44_Nbr_ch_ev_brn_Ns,FP_40_44_Tot,FP_45_49_Nbr_ch_ev_brn_No,FP_45_49_Nbr_ch_ev_brn_1,FP_45_49_Nbr_ch_ev_brn_2,FP_45_49_Nbr_ch_ev_brn_3,FP_45_49_Nbr_ch_ev_brn_4,FP_45_49_Nbr_ch_ev_brn_5,FP_45_49_Nbr_ch_ev_brn_6,FP_45_49_Nbr_ch_ev_brn_Ns,FP_45_49_Tot,FP_50_54_Nbr_ch_ev_brn_No,FP_50_54_Nbr_ch_ev_brn_1,FP_50_54_Nbr_ch_ev_brn_2,FP_50_54_Nbr_ch_ev_brn_3,FP_50_54_Nbr_ch_ev_brn_4,FP_50_54_Nbr_ch_ev_brn_5,FP_50_54_Nbr_ch_ev_brn_6,FP_50_54_Nbr_ch_ev_brn_Ns,FP_50_54_Tot,FP_55_59_Nbr_ch_ev_brn_No,FP_55_59_Nbr_ch_ev_brn_1,FP_55_59_Nbr_ch_ev_brn_2,FP_55_59_Nbr_ch_ev_brn_3,FP_55_59_Nbr_ch_ev_brn_4,FP_55_59_Nbr_ch_ev_brn_5,FP_55_59_Nbr_ch_ev_brn_6,FP_55_59_Nbr_ch_ev_brn_Ns,FP_55_59_Tot,FP_60_64_Nbr_ch_ev_brn_No,FP_60_64_Nbr_ch_ev_brn_1,FP_60_64_Nbr_ch_ev_brn_2,FP_60_64_Nbr_ch_ev_brn_3,FP_60_64_Nbr_ch_ev_brn_4,FP_60_64_Nbr_ch_ev_brn_5,FP_60_64_Nbr_ch_ev_brn_6,FP_60_64_Nbr_ch_ev_brn_Ns,FP_60_64_Tot,FP_65_69_Nbr_ch_ev_brn_No,FP_65_69_Nbr_ch_ev_brn_1,FP_65_69_Nbr_ch_ev_brn_2,FP_65_69_Nbr_ch_ev_brn_3,FP_65_69_Nbr_ch_ev_brn_4,FP_65_69_Nbr_ch_ev_brn_5,FP_65_69_Nbr_ch_ev_brn_6,FP_65_69_Nbr_ch_ev_brn_Ns,FP_65_69_Tot,FP_70_74_Nbr_ch_ev_brn_No,FP_70_74_Nbr_ch_ev_brn_1,FP_70_74_Nbr_ch_ev_brn_2,FP_70_74_Nbr_ch_ev_brn_3,FP_70_74_Nbr_ch_ev_brn_4,FP_70_74_Nbr_ch_ev_brn_5,FP_70_74_Nbr_ch_ev_brn_6,FP_70_74_Nbr_ch_ev_brn_Ns,FP_70_74_Tot,FP_75_79_Nbr_ch_ev_brn_No,FP_75_79_Nbr_ch_ev_brn_1,FP_75_79_Nbr_ch_ev_brn_2,FP_75_79_Nbr_ch_ev_brn_3,FP_75_79_Nbr_ch_ev_brn_4,FP_75_79_Nbr_ch_ev_brn_5,FP_75_79_Nbr_ch_ev_brn_6,FP_75_79_Nbr_ch_ev_brn_Ns,FP_75_79_Tot,FP_80_84_Nbr_ch_ev_brn_No,FP_80_84_Nbr_ch_ev_brn_1,FP_80_84_Nbr_ch_ev_brn_2,FP_80_84_Nbr_ch_ev_brn_3,FP_80_84_Nbr_ch_ev_brn_4,FP_80_84_Nbr_ch_ev_brn_5,FP_80_84_Nbr_ch_ev_brn_6,FP_80_84_Nbr_ch_ev_brn_Ns,FP_80_84_Tot,FP_85_over_Nbr_ch_ev_brn_No,FP_85_over_Nbr_ch_ev_brn_1,FP_85_over_Nbr_ch_ev_brn_2,FP_85_over_Nbr_ch_ev_brn_3,FP_85_over_Nbr_ch_ev_brn_4,FP_85_over_Nbr_ch_ev_brn_5,FP_85_over_Nbr_ch_ev_brn_6,FP_85_over_Nbr_ch_ev_brn_Ns,Age_grps_FP_85_over_Tot,FP_Tot_Num_child_evr_brn_No,FP_Tot_Num_child_evr_brn_1,FP_Tot_Num_child_evr_brn_2,FP_Tot_Num_child_evr_brn_3,FP_Tot_Num_child_evr_brn_4,FP_Tot_Num_child_evr_brn_5,FP_Tot_Num_child_evr_brn_6,FP_Tot_Num_child_evr_brn_Ns,FP_Tot_Tot
5100101,9,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,9,6,0,3,3,0,0,0,0,13,0,0,3,3,0,0,0,0,9,0,0,11,3,0,0,0,3,14,3,0,3,4,0,0,0,0,7,5,0,10,4,3,0,0,4,24,0,0,9,7,0,0,0,3,20,0,0,5,3,6,0,0,0,10,0,0,0,3,3,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,32,9,37,24,16,3,0,16,137
5100102,6,0,0,0,0,0,0,4,10,6,0,0,0,0,0,0,0,12,12,3,3,0,0,0,0,0,18,5,10,18,6,0,0,0,4,42,0,11,31,15,0,0,0,10,64,6,4,18,6,5,0,0,4,50,3,3,9,3,3,0,0,5,28,6,0,10,4,0,0,0,0,19,4,0,6,8,0,0,0,0,16,3,0,10,6,4,0,0,4,21,0,0,11,0,0,0,0,0,16,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,54,38,116,51,14,7,3,34,310
5100103,5,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,11,0,0,3,4,0,0,0,3,17,7,0,3,7,3,0,0,0,20,0,0,9,8,6,0,0,3,28,3,0,8,6,3,0,0,0,19,0,0,5,4,0,3,0,0,17,3,0,5,9,3,3,0,3,30,0,0,3,10,5,3,0,0,24,35,20,46,48,24,10,3,10,207
5100104,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,4,5,3,7,0,0,0,0,3,14,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,3,14,0,3,0,3,0,0,0,0,11,0,0,3,3,4,0,0,0,12,3,3,6,10,0,0,0,7,27,0,0,8,3,0,0,0,0,19,0,0,7,6,0,3,0,0,25,0,0,4,5,0,0,0,4,15,0,0,3,0,5,0,0,0,15,0,0,0,3,0,4,0,0,9,0,0,5,3,7,0,0,3,17,43,17,53,42,17,9,3,30,211
5100105,8,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,14,0,5,7,0,0,0,0,0,13,3,0,4,0,4,0,0,0,16,3,0,4,0,0,0,0,0,17,4,0,7,7,3,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,10,5,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,3,29,11,37,17,15,0,0,7,117
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,6,0,0,0,0,0,0,5,9,6,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,6,0,3,3,3,0,0,0,0,7,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,6,3,0,12,3,3,0,0,3,16,3,0,3,3,0,0,0,0,12,3,0,5,6,3,0,0,0,19,0,0,6,3,0,0,0,3,13,0,0,6,4,3,0,0,0,15,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,8,48,24,13,0,3,10,137
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,3,10,0,3,3,0,0,0,0,0,9,0,0,3,3,3,0,0,0,13,3,7,5,4,0,0,0,0,16,4,3,9,6,0,0,0,3,29,3,0,6,6,0,0,0,5,22,3,0,3,3,3,0,0,0,17,3,0,3,7,3,0,0,0,21,3,3,6,3,0,3,0,0,17,0,0,6,4,3,0,0,0,12,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,32,15,54,38,17,10,4,14,186
5100110,6,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,14,3,0,3,0,0,0,0,0,11,0,0,3,0,0,0,0,0,4,3,0,4,0,0,0,0,0,15,0,0,0,3,0,0,0,0,5,0,0,3,3,0,0,0,0,9,0,0,4,5,0,0,0,0,14,0,0,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,9,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,9,25,19,10,0,4,18,115
