SA1_7DIGITCODE_2016,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,Inc_1_149_CF_no_chldren,Inc_1_149_CFwith_chldren,Inc_1_149_One_PF,Inc_1_149_Oth_family,Inc_1_149_Total,Inc_150_299_CF_no_chldren,Inc_150_299_CFwith_chldren,Inc_150_299_OnePF,Inc_150_299_Oth_family,Inc_150_299_Total,Inc_300_399_CF_no_chldren,Inc_300_399_CFwith_chldren,Inc_300_399_OnePF,Inc_300_399_Oth_family,Inc_300_399_Total,Inc_400_499_CF_no_chldren,Inc_400_499_CFwith_chldren,Inc_400_499_OnePF,Inc_400_499_Oth_family,Inc_400_499_Total,Inc_500_649_CF_no_chldren,Inc_500_649_CFwith_chldren,Inc_500_649_OnePF,Inc_500_649_Oth_family,Inc_500_649_Total,Inc_650_799_CF_no_chldren,Inc_650_799_CFwith_chldren,Inc_650_799_OnePF,Inc_650_799_Oth_family,Inc_650_799_Total,Inc_800_999_CF_no_chldren,Inc_800_999_CFwith_chldren,Inc_800_999_OnePF,Inc_800_999_Oth_family,Inc_800_999_Total,Inc_1000_1249_CF_no_chldren,Inc_1000_1249_CFwith_chldren,Inc_1000_1249_OnePF,Inc_1000_1249_Oth_family,Inc_1000_1249_Total,Inc_1250_1499_CF_no_chldren,Inc_1250_1499_CFwith_chldren,Inc_1250_1499_OnePF,Inc_1250_1499_Oth_family,Inc_1250_1499_Total,Inc_1500_1749_CF_no_chldren,Inc_1500_1749_CFwith_chldren,Inc_1500_1749_OnePF,Inc_1500_1749_Oth_family,Inc_1500_1749_Total,Inc_1750_1999_CF_no_chldren,Inc_1750_1999_CFwith_chldren,Inc_1750_1999_OnePF,Inc_1750_1999_Oth_family,Inc_1750_1999_Total,Inc_2000_2499_CF_no_chldren,Inc_2000_2499_CFwith_chldren,Inc_2000_2499_OnePF,Inc_2000_2499_Oth_family,Inc_2000_2499_Total,Inc_2500_2999_CF_no_chldren,Inc_2500_2999_CFwith_chldren,Inc_2500_2999_OnePF,Inc_2500_2999_Oth_family,Inc_2500_2999_Total,Inc_3000_3499_CF_no_chldren,Inc_3000_3499_CFwith_chldren,Inc_3000_3499_OnePF,Inc_3000_3499_Oth_family,Inc_3000_3499_Total,Inc_3500_3999_CF_no_chldren,Inc_3500_3999_CFwith_chldren,Inc_3500_3999_OnePF,Inc_3500_3999_Oth_family,Inc_3500_3999_Total,Inc_4000orMore_CF_no_chldren,Inc_4000orMore_CFwith_chldren,Inc_4000orMore_OnePF,Inc_4000orMore_Oth_family,Inc_4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
5100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,3,0,7,3,0,0,0,6,5,0,0,0,8,4,0,0,0,9,0,3,0,0,8,3,4,0,0,7,4,3,0,0,5,0,7,0,0,10,4,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,9,0,0,9,0,0,0,0,0,44,32,10,0,88
5100102,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,5,0,3,0,6,3,5,0,0,18,6,8,4,0,19,7,14,3,0,20,0,12,0,0,16,6,18,0,0,22,15,18,4,0,35,3,14,0,0,18,4,12,0,0,16,0,5,0,0,5,4,11,0,0,11,4,32,0,0,37,0,0,0,0,4,65,150,18,0,237
5100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,4,0,5,18,0,0,0,20,6,0,0,0,6,10,0,3,0,16,8,0,0,0,15,8,4,0,0,9,3,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,4,3,0,15,3,0,0,0,3,78,23,16,0,113
5100104,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,0,7,3,3,0,0,5,20,0,0,0,24,9,0,0,0,13,7,0,0,0,5,13,0,0,0,14,4,0,0,0,10,3,0,0,0,3,6,3,0,0,5,3,0,0,0,6,0,3,0,0,3,0,4,0,0,4,0,0,0,0,3,4,3,0,0,7,0,0,0,0,0,72,32,7,4,115
5100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,9,6,0,0,0,11,6,0,0,0,6,4,7,0,0,6,3,3,0,0,11,0,0,0,0,3,4,0,0,0,4,3,0,0,0,3,3,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,3,0,7,3,3,0,0,8,3,0,0,0,3,39,21,12,0,71
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,3,6,3,0,0,14,3,0,0,0,10,3,3,0,0,7,10,0,0,0,12,0,6,0,0,6,3,3,0,0,12,9,3,0,0,8,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,6,5,0,0,6,0,0,0,0,0,59,31,10,0,102
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,4,0,3,7,0,0,0,7,10,11,4,0,22,5,0,0,0,5,10,6,0,0,10,7,4,0,0,10,8,3,0,0,11,3,6,0,0,11,3,3,0,0,10,0,0,0,0,3,0,0,0,0,4,6,3,0,0,4,0,5,0,0,15,0,0,0,0,0,72,50,12,0,134
5100110,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,3,0,10,5,5,0,0,11,6,0,0,0,5,3,3,0,0,4,3,3,0,0,6,5,5,0,0,11,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,42,20,3,0,69
