SA1_7DIGITCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5100101,0,3,6,0,0,0,0,3,4,0,4,6,3,0,3,0,3,3,6,3,12,7,4,12,10,3,12,12,0,11,4,3,7,9,3,9,9,3,8,6,0,10,0,0,0,4,0,4,7,0,7,8,3,14,0,4,3,89,48,131
5100102,3,3,3,0,0,0,0,0,4,0,3,3,0,3,3,0,3,4,10,3,11,15,5,17,19,8,24,23,0,23,15,0,20,22,3,31,32,8,41,17,0,17,12,0,12,4,0,6,16,0,15,36,3,42,4,7,6,234,44,283
5100103,0,0,4,0,3,3,0,3,3,0,3,3,5,26,33,3,13,15,18,13,32,8,11,20,11,3,18,13,0,12,12,3,17,5,3,8,8,0,7,0,0,7,3,0,3,0,3,3,0,0,0,17,0,14,3,9,14,116,90,204
5100104,3,0,3,0,0,0,0,6,4,3,9,7,8,22,31,7,7,17,20,10,30,8,13,22,9,8,19,16,4,19,7,5,13,4,0,8,9,0,8,7,0,7,3,0,4,0,0,5,0,3,7,11,3,11,0,3,4,110,90,206
5100105,0,7,7,0,0,0,0,4,4,0,0,0,4,6,8,5,0,7,12,3,13,8,0,8,6,5,13,6,0,6,3,3,4,0,0,0,3,8,6,5,0,5,0,0,0,0,4,4,3,0,4,9,0,12,4,6,10,72,46,115
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,3,0,3,0,0,0,0,3,3,3,0,3,4,8,12,4,5,12,10,10,16,4,0,11,7,4,12,11,3,15,7,0,5,5,0,7,13,0,13,7,0,7,0,0,0,0,3,3,3,0,3,8,0,8,0,0,3,101,38,140
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,3,3,3,3,0,0,0,0,5,5,8,3,11,5,11,12,8,9,18,24,4,27,10,3,9,15,3,16,6,3,16,10,0,7,14,6,18,7,0,7,3,0,3,3,0,3,8,0,8,10,0,11,0,7,8,130,62,197
5100110,3,0,3,0,0,0,0,3,3,0,4,3,0,5,5,0,0,3,0,0,3,5,3,6,8,3,16,10,0,8,4,0,6,5,0,3,7,0,7,10,0,10,3,0,6,3,3,4,4,0,4,7,0,7,0,8,4,69,37,106
