SA1_7DIGITCODE_2016,R_0_74_RE_agent,R_0_74_StateTer_HAuthority,R_0_74_Person_not_same_hh,R_0_74_HouCoOp_ComChuGrp,R_0_74_Oth_type,R_0_74_Not_stated,R_0_74_Total,R_75_99_RE_agent,R_75_99_StateTer_HAuthority,R_75_99_Person_not_same_hh,R_75_99_HouCoOp_ComChuGrp,R_75_99_Oth_type,R_75_99_Not_stated,R_75_99_Total,R_100_149_RE_agent,R_100_149_StateTer_HAuthority,R_100_149_Person_not_same_hh,R_100_149_HouCoOp_ComChuGrp,R_100_149_Oth_type,R_100_149_Not_stated,R_100_149_Total,R_150_199_RE_agent,R_150_199_StateTer_HAuthority,R_150_199_Person_not_same_hh,R_150_199_HouCoOp_ComChuGrp,R_150_199_Oth_type,R_150_199_Not_stated,R_150_199_Total,R_200_224_RE_agent,R_200_224_StateTer_HAuthority,R_200_224_Person_not_same_hh,R_200_224_HouCoOp_ComChuGrp,R_200_224_Oth_type,R_200_224_Not_stated,R_200_224_Total,R_225_274_RE_agent,R_225_274_StateTer_HAuthority,R_225_274_Person_not_same_hh,R_225_274_HouCoOp_ComChuGrp,R_225_274_Oth_type,R_225_274_Not_stated,R_225_274_Total,R_275_349_RE_agent,R_275_349_StateTer_HAuthority,R_275_349_Person_not_same_hh,R_275_349_HouCoOp_ComChuGrp,R_275_349_Oth_type,R_275_349_Not_stated,R_275_349_Total,R_350_449_RE_agent,R_350_449_StateTer_HAuthority,R_350_449_Person_not_same_hh,R_350_449_HouCoOp_ComChuGrp,R_350_449_Oth_type,R_350_449_Not_stated,R_350_449_Total,R_450_549_RE_agent,R_450_549_StateTer_HAuthority,R_450_549_Person_not_same_hh,R_450_549_HouCoOp_ComChuGrp,R_450_549_Oth_type,R_450_549_Not_stated,R_450_549_Total,R_550_649_RE_agent,R_550_649_StateTer_HAuthority,R_550_649_Person_not_same_hh,R_550_649_HouCoOp_ComChuGrp,R_550_649_Oth_type,R_550_649_Not_stated,R_550_649_Total,R_650_749_RE_agent,R_650_749_StateTer_HAuthority,R_650_749_Person_not_same_hh,R_650_749_HouCoOp_ComChuGrp,R_650_749_Oth_type,R_650_749_Not_stated,R_650_749_Total,R_750_849_RE_agent,R_750_849_StateTer_HAuthority,R_750_849_Person_not_same_hh,R_750_849_HouCoOp_ComChuGrp,R_750_849_Oth_type,R_750_849_Not_stated,R_750_849_Total,R_850_949_RE_agent,R_850_949_StateTer_HAuthority,R_850_949_Person_not_same_hh,R_850_949_HouCoOp_ComChuGrp,R_850_949_Oth_type,R_850_949_Not_stated,R_850_949_Total,R_950over_RE_agent,R_950over_StateTer_HAuthority,R_950over_Person_not_same_hh,R_950over_HouCoOp_ComChuGrp,R_950over_Oth_type,R_950over_Not_stated,R_950over_Total,R_NS_RE_agent,R_NS_StateTer_HAuthority,R_NS_Person_not_same_hh,R_NS_HouCoOp_ComChuGrp,R_NS_Oth_type,R_NS_Not_stated,R_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Person_not_same_hh,Total_HouCoOp_ComChuGrp,Total_Oth_type,Total_NS,Total_Total
5100101,0,0,4,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,27,0,4,3,45
5100102,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,5,0,0,0,7,5,0,11,0,0,0,17,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,3,42
5100103,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,3,0,0,0,0,8,3,3,3,0,0,0,7,8,0,0,0,0,0,10,8,0,3,0,0,0,10,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,8,5,0,0,51
5100104,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,3,3,0,0,0,4,3,0,0,0,0,0,4,8,0,0,0,0,0,14,8,0,0,0,0,0,8,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,12,11,0,5,0,58
5100105,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,7,0,0,0,0,0,8,3,0,0,0,0,0,8,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,5,0,0,4,30
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,3,0,0,0,0,8,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,13,0,9,0,35
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,8,0,3,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,6,0,3,0,0,0,7,0,0,6,0,0,0,7,5,0,3,0,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,11,0,33,0,4,5,61
5100110,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,0,22,0,3,3,35
