SA1_7DIGITCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,INA_DS_Separate_house,INA_DS_SemD_ro_tr_h_th,INA_DS_Flat_or_Apart,INA_DS_Other_dwelling,INA_DS_Not_stated,INA_Total,INS_DS_Separate_house,INS_DS_SemD_ro_tr_h_th,INS_DS_Flat_or_Apart,INS_DS_Other_dwelling,INS_DS_Not_stated,INS_DS_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
5100101,105,0,0,3,0,106,14,0,0,0,0,14,6,0,0,0,0,6,122,0,0,3,0,127
5100102,255,0,0,0,3,258,15,0,0,0,0,13,0,0,0,0,0,3,273,0,0,0,6,277
5100103,110,0,15,0,0,126,51,0,13,0,0,62,3,0,3,0,0,3,163,0,33,0,0,194
5100104,108,8,5,5,3,123,32,3,14,3,0,50,7,0,0,0,0,9,144,12,14,9,3,190
5100105,86,0,0,0,0,86,22,0,0,0,0,22,0,0,0,0,0,0,109,0,0,0,0,109
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,112,0,0,3,0,110,19,0,0,0,3,23,3,0,0,0,0,3,129,0,0,3,6,141
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,142,0,0,0,4,145,30,0,0,0,0,32,3,0,0,0,0,3,178,0,0,0,3,183
5100110,74,0,0,0,4,79,18,0,0,0,0,15,3,0,0,0,0,0,93,0,0,0,9,100
5100111,101,0,0,3,3,108,16,0,0,0,0,13,0,0,0,0,0,3,115,3,0,3,4,125
5100112,88,0,0,0,0,92,17,0,0,0,0,15,0,0,0,0,0,0,105,0,0,0,0,106
5100113,64,0,0,16,4,79,22,0,0,15,0,33,0,0,0,0,0,0,79,0,0,28,4,114
5100114,167,6,0,0,0,172,19,0,0,0,0,19,3,0,0,0,0,3,189,6,0,0,0,198
5100115,111,0,0,4,0,113,22,0,0,5,0,24,3,0,0,0,0,3,132,0,0,6,0,143
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,64,62,0,0,0,127,13,35,0,0,0,49,6,0,0,0,0,8,81,94,0,0,0,178
