SA1_7DIGITCODE_2016,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24,M_Adv_Dip_Dip_25_34,M_Adv_Dip_Dip_35_44,M_Adv_Dip_Dip_45_54,M_Adv_Dip_Dip_55_64,M_Adv_Dip_Dip_65_74,M_Adv_Dip_Dip_75_84,M_Adv_Dip_Dip_85_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24,F_Grad_Dip_Cer_25_34,F_Grad_Dip_Cer_35_44,F_Grad_Dip_Cer_45_54,F_Grad_Dip_Cer_55_64,F_Grad_Dip_Cer_65_74,F_Grad_Dip_Cer_75_84,F_Grad_Dip_Cer_85_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24,F_lvl_educ_ns_25_34,F_lvl_educ_ns_35_44,F_lvl_educ_ns_45_54,F_lvl_educ_ns_55_64,F_lvl_educ_ns_65_74,F_lvl_educ_ns_75_84,F_lvl_educ_ns_85,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
5100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,19,0,0,0,3,0,0,3,0,9,0,10,3,4,9,3,0,0,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,10,5,4,11,3,0,0,32,0,0,0,0,0,0,0,0,0,0,3,4,3,9,9,0,0,30,3,15,8,14,21,15,4,0,89,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,3,6,5,3,0,0,24,0,0,3,0,6,3,0,0,19,0,5,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,5,4,5,3,3,4,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,3,5,5,0,0,0,12,6,11,15,19,30,10,0,0,91,0,0
5100102,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,0,9,12,8,3,0,0,0,35,0,3,5,10,8,0,0,0,26,3,22,40,16,10,10,0,0,98,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,5,21,38,18,10,10,0,0,107,0,0,0,0,0,0,0,0,0,3,7,15,4,3,3,0,0,39,4,40,80,40,28,17,3,3,212,0,0,0,0,3,0,0,0,4,0,4,10,4,0,0,0,0,11,0,25,30,13,3,3,0,0,82,0,6,7,5,6,6,3,0,35,3,10,15,4,4,3,0,0,37,0,0,3,0,0,0,0,0,3,0,0,3,0,0,4,0,0,10,3,17,18,7,3,8,0,0,53,0,0,0,0,0,0,0,0,3,0,4,16,3,4,0,0,0,34,6,56,83,38,21,13,5,0,224,0,0
5100103,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,6,8,0,0,16,0,0,0,0,3,3,5,0,12,0,3,6,3,5,14,9,0,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,3,3,6,3,8,18,8,0,56,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,21,9,7,9,7,15,39,17,8,103,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,4,3,16,0,4,0,0,3,6,0,0,20,0,3,3,3,3,3,0,0,17,0,3,0,0,0,0,0,0,9,0,0,0,0,3,3,3,0,9,0,3,4,6,3,4,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,28,3,7,14,6,13,24,11,10,95,0,0
5100104,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,15,0,0,0,0,3,5,0,0,11,0,4,3,10,12,7,7,3,52,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,9,6,10,12,7,7,3,58,0,0,0,0,0,0,0,0,0,5,3,0,4,3,5,0,0,29,9,14,14,19,28,23,8,6,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,5,6,0,0,16,3,0,3,0,0,6,0,3,16,8,0,6,3,7,0,0,0,29,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,4,6,0,6,8,11,0,0,0,39,0,0,0,0,0,0,0,0,4,3,0,3,3,8,10,5,6,41,11,8,13,17,23,19,13,11,121,0,0
5100105,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,14,0,0,0,3,0,3,4,0,6,0,3,3,3,8,4,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,4,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,8,9,8,20,10,10,3,66,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,19,0,0,0,3,3,3,0,0,14,4,0,4,4,0,3,3,0,17,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,4,10,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,14,8,3,4,13,19,11,6,4,71,0,0
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,4,0,17,0,0,0,0,0,5,0,0,9,5,5,7,8,11,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,11,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,7,11,8,14,13,15,4,0,74,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,8,0,0,7,7,0,0,20,3,0,0,3,8,3,0,0,18,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,0,6,0,0,0,7,10,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,21,3,10,7,22,28,16,3,0,87,0,0
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,9,4,0,0,21,0,3,0,0,3,4,0,0,11,3,3,14,19,6,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,12,19,6,8,0,0,59,0,0,0,0,0,0,0,0,0,12,0,8,3,4,4,0,0,32,16,11,25,27,23,26,5,0,128,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,11,9,15,0,3,0,0,33,0,3,0,3,5,3,0,0,17,0,3,3,9,4,0,0,0,18,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,7,9,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,3,6,4,3,0,0,25,3,21,18,39,22,10,5,3,114,0,3
5100110,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,0,0,15,0,0,0,0,3,0,0,0,4,3,3,3,8,6,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,6,5,0,0,28,0,0,0,0,0,0,0,0,0,5,7,0,7,3,3,0,0,18,4,9,8,14,18,13,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,3,6,0,3,0,29,0,0,3,0,3,0,0,0,6,0,3,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,21,7,13,11,12,24,12,6,0,76,0,0
