SA1_7DIGITCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,5,11,15,7,0,0,40,0,3,4,3,7,7,3,0,24,0,12,8,9,12,3,0,0,39,0,0,0,0,3,0,0,0,4,3,0,0,0,5,0,0,0,9,7,13,9,7,17,5,0,0,57,0,0,0,0,0,0,0,0,3,0,3,6,3,15,9,0,0,44,3,26,30,31,54,28,10,0,175
5100102,4,0,3,0,0,0,5,0,3,12,3,0,0,0,0,19,0,39,41,18,7,4,0,3,117,0,10,15,14,11,9,3,0,62,4,32,46,25,18,13,0,0,135,0,0,7,0,0,0,0,0,4,0,0,6,0,0,4,0,0,17,7,36,63,26,14,15,0,0,158,0,0,0,0,0,0,0,0,3,3,10,28,8,11,5,3,3,78,11,96,165,71,50,32,5,3,436
5100103,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,3,0,3,4,0,6,14,6,3,32,0,3,0,0,5,5,3,0,26,0,3,12,8,11,20,5,0,61,0,3,0,0,0,0,0,0,10,0,0,0,0,3,4,7,0,9,4,7,13,10,10,22,10,0,81,0,0,0,0,0,0,0,0,0,3,0,3,3,9,15,5,6,44,12,13,22,17,30,64,36,14,201
5100104,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,3,9,5,5,4,3,31,3,0,3,5,3,10,4,3,32,9,7,11,21,21,11,7,3,85,3,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,9,13,10,8,19,26,11,4,5,97,0,0,0,0,0,0,0,0,4,8,5,8,6,12,18,7,5,70,23,22,28,43,52,44,25,12,239
5100105,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,6,0,10,4,3,0,30,0,0,0,5,8,5,3,0,22,4,7,7,8,8,8,4,0,45,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,7,7,7,8,10,14,8,4,3,56,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,21,8,7,14,22,40,24,17,6,139
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,8,0,8,7,3,9,8,5,0,38,3,0,0,3,5,9,0,0,28,5,5,7,12,14,9,0,0,41,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,0,6,3,5,7,16,17,10,0,0,51,0,0,0,0,0,0,0,0,0,0,0,4,12,3,3,3,0,32,10,19,15,32,43,32,8,3,156
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,7,15,15,10,6,0,0,53,0,3,3,4,8,8,0,0,30,3,4,15,22,11,8,0,0,73,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,5,10,9,16,29,16,12,0,0,85,0,0,0,4,0,0,0,0,4,12,9,9,12,8,6,3,0,59,14,28,44,63,42,39,6,5,246
5100110,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,3,7,9,3,14,5,3,0,46,0,0,3,0,3,0,0,0,14,3,9,3,13,9,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,13,10,7,0,0,45,0,0,0,0,0,0,0,0,0,6,5,3,7,3,4,3,0,41,7,24,17,26,42,22,11,0,152
