SA1_7DIGITCODE_2016,F_Mgmt_Cmrce_35_44,F_Mgmt_Cmrce_45_54,F_Mgmt_Cmrce_55_64,F_Mgmt_Cmrce_65_74,F_Mgmt_Cmrce_75_84,F_Mgmt_Cmrce_85_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24,F_FoodHos_PsnlSvcs_25_34,F_FoodHos_PsnlSvcs_35_44,F_FoodHos_PsnlSvcs_45_54,F_FoodHos_PsnlSvcs_55_64,F_FoodHos_PsnlSvcs_65_74,F_FoodHos_PsnlSvcs_75_84,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24,F_Mix_Fld_Prog_25_34,F_Mix_Fld_Prog_35_44,F_Mix_Fld_Prog_45_54,F_Mix_Fld_Prog_55_64,F_Mix_Fld_Prog_65_74,F_Mix_Fld_Prog_75_84,F_Mix_Fld_Prog_85,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24,P_Nat_Phy_Sci_25_34,P_Nat_Phy_Sci_35_44,P_Nat_Phy_Sci_45_54,P_Nat_Phy_Sci_55_64,P_Nat_Phy_Sci_65_74,P_Nat_Phy_Sci_75_84,P_Nat_Phy_Sci_85,P_Nat_Phy_Sci_Tot,P_IT_15_24,P_IT_25_34,P_IT_35_44,P_IT_45_54,P_IT_55_64,P_IT_65_74,P_IT_75_84,P_IT_85,P_IT_Tot,P_Egnr_rel_Tech_15_24,P_Egnr_rel_Tech_25_34,P_Egnr_rel_Tech_35_44,P_Egnr_rel_Tech_45_54,P_Egnr_rel_Tech_55_64,P_Egnr_rel_Tech_65_74,P_Egnr_rel_Tech_75_84,P_Egnr_rel_Tech_85,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24,P_Arc_Bld_25_34,P_Arc_Bld_35_44,P_Arc_Bld_45_54,P_Arc_Bld_55_64,P_Arc_Bld_65_74,P_Arc_Bld_75_84,P_Arc_Bld_85_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24,P_Mgmt_Cmrce_25_34,P_Mgmt_Cmrce_35_44,P_Mgmt_Cmrce_45_54,P_Mgmt_Cmrce_55_64,P_Mgmt_Cmrce_65_74,P_Mgmt_Cmrce_75_84,P_Mgmt_Cmrce_85_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24,P_Mix_Fld_Prog_25_34,P_Mix_Fld_Prog_35_44,P_Mix_Fld_Prog_45_54,P_Mix_Fld_Prog_55_64,P_Mix_Fld_Prog_65_74,P_Mix_Fld_Prog_75_84,P_Mix_Fld_Prog_85,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
5100101,3,3,6,0,0,0,12,0,0,3,3,3,0,0,0,9,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,10,6,11,15,19,30,10,0,0,91,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,3,10,3,0,0,22,0,3,0,3,0,0,0,0,12,0,0,3,0,0,3,6,0,15,0,0,0,3,4,4,0,0,16,0,0,0,9,9,3,0,0,21,3,7,3,5,10,0,0,0,23,0,0,3,5,3,0,0,0,8,0,4,3,0,0,0,0,0,10,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,3,8,10,0,0,31,3,26,30,31
5100102,16,5,3,8,0,0,47,0,6,10,0,7,0,0,0,23,0,3,0,6,0,0,0,0,12,0,3,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,5,4,0,0,0,31,6,56,83,38,21,13,5,0,224,0,9,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,15,28,5,6,5,0,0,58,0,6,12,8,6,3,0,0,41,0,3,12,3,3,0,0,0,22,0,18,14,6,0,0,0,0,43,0,9,18,7,5,10,0,0,49,3,13,19,8,3,9,0,0,56,0,6,13,4,7,3,0,0,27,0,6,3,6,3,0,0,0,19,0,7,14,5,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,26,12,10,4,3,3,69,11,96,165,71
5100103,4,0,0,4,0,0,17,0,0,0,4,0,3,0,0,9,0,0,0,0,0,0,3,0,3,0,3,4,0,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,19,3,7,14,6,13,24,11,10,95,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,7,0,38,0,0,3,3,0,8,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,5,0,17,3,0,4,0,4,5,0,5,26,0,6,4,3,3,8,0,0,22,0,0,3,4,4,3,3,0,16,0,0,0,0,0,0,4,0,4,0,5,4,0,4,5,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,7,4,5,3,31,12,13,22,17
5100104,3,4,4,3,3,0,24,3,3,0,3,3,0,0,3,21,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,8,8,4,4,29,11,8,13,17,23,19,13,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,5,5,0,0,35,0,0,0,3,6,0,0,0,17,0,0,0,4,3,0,0,0,9,0,0,0,3,10,7,7,0,25,0,6,3,6,0,8,4,3,20,3,0,3,5,3,0,3,0,30,3,3,3,5,3,0,0,3,26,0,0,0,0,0,0,0,0,7,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,9,9,15,3,5,64,23,22,28,43
5100105,0,3,0,0,0,0,10,0,3,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,8,3,4,13,19,11,6,4,71,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,18,0,0,3,0,0,0,0,0,4,0,0,4,3,3,3,0,0,11,0,0,7,0,6,5,0,0,24,0,0,0,0,7,0,3,0,8,0,0,0,3,3,0,0,0,13,0,3,0,3,0,0,0,0,15,0,0,0,3,0,0,0,0,6,0,0,0,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,18,8,7,14,22
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,3,5,3,0,0,15,0,0,0,3,3,0,0,0,12,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,3,0,14,3,10,7,22,28,16,3,0,87,0,4,3,0,0,0,3,0,11,0,0,0,0,3,0,0,0,5,0,3,5,3,3,9,0,0,25,0,0,0,0,3,3,0,0,9,0,0,3,0,3,0,0,0,9,0,0,0,3,0,6,0,0,11,0,5,0,0,4,3,3,0,19,0,3,0,3,5,3,0,0,18,0,0,0,3,10,0,0,0,13,0,0,0,0,3,0,0,0,3,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,0,3,0,30,10,19,15,32
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,3,5,0,0,0,16,0,3,0,3,3,4,0,0,17,0,0,0,0,0,0,0,0,6,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,0,0,21,3,21,18,39,22,10,5,3,114,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,9,15,6,7,0,0,43,3,0,3,8,3,0,0,0,14,0,0,7,3,0,0,0,0,15,0,0,3,7,7,3,0,4,29,0,6,0,6,3,11,0,0,22,0,4,3,4,8,0,0,0,20,0,3,3,3,8,3,0,0,24,0,0,4,0,0,3,0,0,7,0,0,5,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,9,7,4,3,0,0,44,14,28,44,63
5100110,0,3,0,0,0,0,12,3,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,16,7,13,11,12,24,12,6,0,76,0,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,14,0,0,3,0,0,0,0,0,8,0,3,0,0,3,0,0,0,7,0,0,3,0,3,0,3,0,11,0,0,3,3,9,3,3,0,17,0,5,0,3,4,3,0,0,16,3,0,3,3,3,0,0,0,17,0,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,7,3,4,3,0,36,7,24,17,26
