SA1_7DIGITCODE_2016,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,8,5,25,26,36,59,31,4,0,198
5100102,0,0,7,0,0,0,0,0,0,10,0,0,0,7,0,3,0,0,0,7,6,6,88,147,76,42,8,0,0,382
5100103,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,10,13,13,27,40,10,0,0,123
5100104,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,11,4,19,25,46,41,7,3,0,163
5100105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,11,3,8,15,29,29,5,0,0,99
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,9,22,27,32,34,15,0,0,153
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,3,3,0,0,0,0,0,10,0,0,0,0,6,3,3,3,0,16,12,10,20,48,65,52,26,4,0,235
5100110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,13,24,25,27,31,8,9,0,144
5100111,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,4,0,0,0,15,6,8,24,38,43,46,20,0,0,181
5100112,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,3,5,10,3,21,33,37,31,23,4,3,160
5100113,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,7,9,4,7,19,35,32,8,0,0,112
5100114,4,0,0,4,4,0,0,0,0,14,0,0,0,0,5,0,0,0,0,5,22,6,42,97,60,33,7,3,0,267
5100115,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,8,5,22,49,40,46,26,3,0,203
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,11,13,14,12,6,0,0,75
5100203,0,4,0,3,9,0,0,0,0,13,0,0,0,3,3,0,0,0,0,8,15,11,25,62,60,39,17,3,0,225
5100204,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,13,11,29,32,41,25,4,0,0,153
5100205,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,9,21,7,13,33,66,32,9,0,0,178
5100206,0,0,0,0,0,4,0,0,0,8,0,0,0,0,3,0,0,0,0,10,4,14,22,34,26,19,11,0,0,126
5100207,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,10,22,30,19,28,3,0,0,113
5100209,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,6,21,42,31,50,43,13,0,0,213
5100213,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,5,12,9,14,29,45,25,3,3,0,138
5100214,0,0,0,0,8,0,0,0,0,11,0,0,4,4,0,0,0,0,0,7,23,26,46,76,88,39,8,0,0,307
5100216,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,10,6,16,19,32,42,25,5,0,0,154
5100217,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,25,30,28,28,3,0,0,125
5100218,0,0,6,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,8,10,8,16,25,19,20,0,0,0,107
5100219,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,3,0,0,0,3,8,12,29,23,47,37,19,3,0,173
5100220,0,0,0,3,0,0,0,0,0,6,0,3,0,5,0,0,0,0,0,15,10,22,35,36,36,51,15,0,0,206
5100222,0,0,0,0,3,5,0,0,0,10,3,0,0,4,3,0,0,0,0,9,11,13,15,49,60,39,9,0,0,203
5100223,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,14,8,4,24,51,16,4,0,0,133
5100224,3,4,0,7,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,11,14,15,21,46,30,28,6,0,0,163
5100226,0,0,0,0,3,3,0,0,0,12,0,0,0,0,4,0,0,0,0,13,7,13,12,26,47,36,13,4,0,166
5100227,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,5,0,3,11,12,21,11,3,0,0,68
5100229,3,0,4,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,8,27,13,49,65,58,34,9,0,0,260
5100230,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,6,17,18,19,9,0,0,69
5100231,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,17,9,39,62,48,39,7,0,0,216
5100232,0,0,0,0,3,3,0,0,0,5,0,0,0,3,3,0,0,0,0,7,11,5,16,28,27,28,8,0,0,121
5100233,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,10,13,10,26,33,29,42,15,3,0,164
5100234,3,0,5,4,0,3,0,0,0,9,0,0,3,0,0,0,0,0,0,7,17,42,94,87,52,51,15,4,0,359
5100235,0,3,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,9,15,13,22,25,46,37,6,3,0,168
5100236,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,7,15,11,24,52,36,23,5,0,0,175
5100237,0,0,0,0,0,3,0,0,0,9,0,4,0,0,3,4,0,0,0,13,14,13,44,49,82,93,14,0,0,313
5100238,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,11,19,11,20,38,39,29,15,0,0,169
