SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5100101,77,20,28,11,13,14,12,35,0,198
5100102,56,77,77,33,40,33,15,39,6,382
5100103,15,14,22,16,11,13,4,25,0,123
5100104,25,15,26,27,15,15,14,30,0,163
5100105,14,18,19,14,8,11,4,10,0,99
5100106,0,0,0,0,0,0,0,0,0,0
5100107,54,12,18,12,11,9,10,28,0,153
5100108,0,0,0,0,0,0,0,0,0,0
5100109,61,32,27,20,16,10,11,45,6,235
5100110,37,26,18,20,7,4,0,26,0,144
5100111,31,32,25,11,21,8,6,34,3,181
5100112,49,24,12,15,19,12,6,18,3,160
5100113,14,14,23,11,7,15,4,18,0,112
5100114,38,27,44,30,33,35,13,43,3,267
5100115,56,31,27,21,20,18,6,21,3,203
5100116,0,0,0,0,0,0,0,0,0,0
5100202,9,11,7,6,17,5,10,11,3,75
5100203,42,20,52,24,26,27,20,28,3,225
5100204,22,20,22,15,15,28,11,21,0,153
5100205,22,41,32,22,27,16,14,9,0,178
5100206,8,17,18,19,16,11,13,19,4,126
5100207,7,6,25,19,7,17,3,17,3,113
5100209,24,39,23,37,7,32,13,37,3,213
5100213,12,19,21,11,23,22,15,21,3,138
5100214,39,45,52,39,51,25,22,25,3,307
5100216,13,15,21,22,14,16,11,28,0,154
5100217,9,14,22,21,19,16,10,22,0,125
5100218,5,10,14,9,14,18,3,25,4,107
5100219,24,22,23,23,18,22,17,22,0,173
5100220,28,28,33,29,22,22,8,32,3,206
5100222,40,41,32,7,22,23,12,10,0,203
5100223,9,18,30,19,14,17,13,16,0,133
5100224,11,16,38,26,16,13,15,22,3,163
5100226,31,28,31,20,23,15,5,17,9,166
5100227,14,17,10,8,12,8,0,7,0,68
5100229,30,33,50,39,36,36,13,22,3,260
5100230,9,20,15,0,12,6,7,6,0,69
5100231,26,35,42,26,25,23,17,22,3,216
5100232,12,19,14,15,10,18,8,17,5,121
5100233,17,20,32,28,19,19,10,22,0,164
5100234,62,38,54,41,52,39,22,49,3,359
5100235,19,18,25,27,23,22,14,30,3,168
5100236,13,19,35,23,10,18,10,38,9,175
5100237,57,58,35,24,55,31,14,28,6,313
5100238,24,30,26,25,16,11,12,20,8,169
5100239,11,16,19,10,14,7,5,12,0,99
5100240,11,20,40,25,20,9,7,24,0,150
5100241,18,14,29,22,21,21,12,39,3,177
5100243,12,38,45,25,26,18,19,17,0,195
5100244,12,24,37,29,26,30,16,34,4,212
5100246,13,13,20,8,13,14,6,8,0,90
5100247,22,32,23,15,22,18,9,13,4,155
5100249,14,19,9,6,7,3,4,18,0,88
5100250,17,39,20,12,12,20,9,15,4,138
5100251,15,21,11,10,23,10,3,14,3,112
5100252,12,25,25,8,10,6,7,15,3,121
5100253,25,30,65,54,37,36,27,42,0,325
5100254,11,14,15,7,8,7,3,15,0,86
5100255,0,0,6,0,3,0,0,0,0,10
5100256,8,20,28,8,13,15,5,24,0,122
5100257,21,25,19,21,14,16,10,17,0,145
5100258,14,22,29,15,16,16,19,18,0,148
5100259,20,17,44,20,26,20,16,24,7,185
5100260,4,3,3,13,3,7,0,7,0,40
5100261,18,8,44,18,18,31,13,22,0,173
5100262,9,13,3,19,13,13,12,3,0,92
5100263,18,14,34,15,27,30,9,15,0,159
5100264,8,15,21,8,11,11,8,15,0,99
5100265,0,0,0,0,8,4,3,3,0,19
5100266,15,33,49,24,24,28,11,17,0,198
5100267,20,30,37,24,27,29,12,25,3,205
5100268,15,27,32,28,25,23,14,34,0,184
5100269,0,0,0,0,0,0,0,0,0,0
5100270,21,13,9,0,19,11,0,4,0,78
5100271,8,25,8,7,9,7,3,7,0,72
5100272,35,38,86,43,44,55,42,43,3,389
5100273,6,5,17,4,8,8,10,9,0,76
5100274,17,11,21,17,16,11,12,13,0,107
5100275,17,23,31,17,24,13,22,25,0,162
5100276,13,15,27,19,20,22,9,24,0,157
5100277,14,24,17,5,8,9,3,11,0,95
5100278,11,11,23,16,11,12,5,12,5,98
5100279,15,20,22,15,5,25,8,28,0,138
5100280,9,18,38,18,12,19,11,27,0,153
5100281,10,18,32,20,11,11,7,44,8,161
5100282,15,22,26,21,12,19,14,19,0,155
5100283,33,32,39,25,20,14,4,16,3,193
5100301,13,11,17,12,11,12,4,8,0,86
5100302,17,31,38,12,10,19,4,10,0,139
5100303,30,22,21,12,9,7,9,14,0,116
5100304,40,12,17,7,15,10,11,28,3,135
5100305,47,19,15,4,12,3,18,23,6,144
5100306,53,23,33,16,23,22,13,34,4,224
5100307,28,25,31,7,15,11,7,16,0,141
5100308,26,28,41,17,24,25,10,18,8,188
5100310,36,32,41,9,27,14,12,36,3,208
5100311,29,32,24,16,15,20,4,8,0,145
5100312,20,21,29,17,18,27,7,23,0,164
5100313,15,19,24,13,15,4,7,27,0,127
5100314,42,26,20,9,11,10,3,19,0,139
5100315,74,32,35,12,15,12,8,25,12,214
5100316,14,38,25,19,11,15,10,10,0,134
5100317,28,44,24,13,14,17,3,16,0,155
5100318,58,55,25,19,8,19,5,18,0,206
5100319,22,30,20,13,12,11,5,11,4,125
5100320,39,77,45,36,25,32,15,14,5,294
5100321,34,51,38,20,23,17,6,14,0,198
5100322,21,10,12,4,11,5,4,4,0,73
5100323,7,26,26,12,6,13,4,11,0,105
5100324,21,43,30,7,13,19,3,21,0,153
5100325,37,45,50,29,33,25,7,42,3,265
5100326,25,17,32,22,9,14,7,25,3,164
