SA1_7DIGITCODE_2016,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_over_Mgrs,M_85_over_Profnls,M_85_over_Techs_trades_wrkrs,M_85_over_Com_psnl_serv_wrkrs,M_85_over_Cler_admin_wrkrs,M_85_over_Sales_wrkrs,M_85_over_Mach_oper_dvrs,M_85_over_Labrs,M_85_over_Inad_desc_Ns,M_85_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_over_Mgrs,F_85_over_Profnls,F_85_over_Techs_trades_wrkrs,F_85_over_Com_psnl_serv_wrkrs,F_85_over_Cler_admin_wrkrs,F_85_over_Sales_wrkrs,F_85_over_Mach_oper_dvrs,F_85_over_Labrs,F_85_over_Inad_desc_Ns,F_85_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
5100101,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,13,3,0,6,0,0,0,0,0,0,10,11,0,0,0,0,0,0,7,0,16,13,4,3,0,0,0,5,9,0,27,10,0,0,0,0,0,0,4,0,20,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,41,3,22,3,0,0,12,26,0,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,3,0,11,6,0,0,0,5,0,0,0,0,12,3,6,0,4,5,4,0,0,0,15,14,3,3,0,4,4,0,4,0,28,9,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,4,3,10,12,0,12,0,93
5100102,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,7,20,3,0,3,0,6,0,45,16,8,26,3,0,3,5,9,0,73,8,10,11,0,0,3,3,0,0,39,0,5,3,0,0,0,3,3,0,23,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,60,6,3,10,13,22,3,193,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,5,17,4,8,3,5,0,0,0,44,16,17,3,10,16,9,0,4,0,69,3,9,3,3,6,4,3,3,0,36,5,4,3,0,9,4,0,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51,14,21,37,24,3,16,0,191
5100103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,0,0,8,0,0,6,3,0,0,4,0,0,9,0,0,9,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,3,14,3,0,0,4,14,0,52,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,7,0,3,0,0,0,3,0,0,0,12,0,3,0,5,3,0,0,0,0,7,0,3,0,3,0,0,0,5,0,14,7,0,0,3,5,4,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,17,11,13,0,11,0,71
5100104,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,3,3,0,0,3,5,0,11,3,3,4,3,0,4,5,3,0,26,3,4,4,0,0,0,4,7,0,23,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,16,10,0,6,14,18,0,81,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,9,4,3,3,3,0,0,0,0,0,11,3,0,0,3,3,0,0,3,0,10,7,0,0,8,3,3,0,3,0,16,3,0,0,7,6,0,0,4,0,25,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,4,4,22,16,7,0,11,0,80
5100105,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,5,0,10,3,3,6,0,0,0,0,3,0,17,3,0,6,0,0,0,4,3,0,20,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14,5,4,4,4,9,0,53,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,3,0,0,3,3,0,0,0,13,0,3,0,0,4,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,8,5,8,0,3,0,43
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,6,0,5,0,0,0,0,3,0,11,11,0,0,0,0,0,0,5,0,19,4,0,3,0,0,0,0,3,0,14,8,0,3,0,0,0,4,0,0,14,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,9,0,0,3,11,18,0,81,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,7,8,0,0,0,0,0,0,3,0,14,8,0,3,4,3,0,0,0,0,17,5,3,0,3,3,0,0,4,0,19,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,3,12,9,3,0,11,0,70
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,11,11,6,9,0,0,0,0,3,0,28,6,0,9,3,0,0,3,5,0,29,11,3,3,0,0,0,0,4,0,24,7,5,0,0,0,0,3,0,3,18,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,45,12,23,3,0,5,11,21,3,126,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,13,3,3,3,5,0,0,0,3,0,18,4,7,3,10,4,0,0,5,0,35,9,4,4,3,3,3,0,6,0,31,0,0,0,0,0,0,0,3,3,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,17,11,18,8,4,3,21,3,108
5100110,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,4,0,4,0,0,0,0,4,0,10,0,0,3,3,0,0,0,3,0,14,8,0,7,0,0,0,0,0,0,17,4,3,6,0,0,0,0,3,0,17,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,9,18,5,3,0,0,13,0,73,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,6,0,7,0,3,0,3,0,0,0,0,0,10,0,8,0,0,0,0,0,3,0,10,3,4,0,3,3,0,0,3,0,14,5,0,0,0,0,0,0,3,0,16,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,18,0,15,5,4,0,13,0,68
