SA1_7DIGITCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
5100101,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,4,3,3,6,0,0,9,0,25,12,0,6,0,4,0,0,0,0,26,13,6,3,4,5,3,0,3,0,36,22,3,7,0,4,4,5,13,0,59,20,0,0,0,0,0,0,3,0,31,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,77,20,28,11,13,14,12,35,0,198
5100102,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,6,0,0,0,6,4,25,23,13,3,9,0,6,0,88,32,29,28,6,18,9,5,19,0,147,17,20,14,4,8,6,5,3,3,76,6,6,4,0,9,3,3,10,0,42,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,77,77,33,40,33,15,39,6,382
5100103,0,0,0,0,0,3,0,4,0,10,0,0,3,3,0,0,0,3,0,10,0,3,0,0,0,3,0,4,0,13,0,3,3,5,3,0,0,3,0,13,3,3,7,6,0,0,4,4,0,27,5,0,9,3,10,4,0,3,0,40,0,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,22,16,11,13,4,25,0,123
5100104,0,0,0,0,0,8,0,3,0,11,0,0,0,3,0,0,0,0,0,4,6,3,5,6,0,0,0,3,0,19,6,0,4,3,3,0,3,5,0,25,8,3,7,10,3,4,5,6,0,46,4,3,3,6,8,0,4,13,0,41,0,0,0,3,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,15,26,27,15,15,14,30,0,163
5100105,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,15,4,8,7,0,3,3,0,4,0,29,4,4,6,0,3,3,4,3,0,29,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,19,14,8,11,4,10,0,99
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,5,0,9,4,0,5,0,0,0,0,4,0,22,14,0,0,0,0,0,0,6,0,27,9,0,5,4,5,0,0,0,0,32,12,3,0,3,3,0,4,4,0,34,11,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,18,12,11,9,10,28,0,153
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,3,0,0,3,0,3,0,12,0,0,0,0,0,0,0,3,0,10,4,7,0,0,0,0,0,3,0,20,12,10,6,7,3,0,0,6,0,48,13,8,8,11,4,0,3,12,0,65,15,9,6,3,3,3,0,10,0,52,15,5,0,0,0,0,3,3,6,26,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,61,32,27,20,16,10,11,45,6,235
5100110,0,0,0,0,0,4,0,0,0,8,0,0,3,4,0,0,0,4,0,13,4,9,4,3,0,0,0,4,0,24,0,5,3,4,0,0,0,3,0,25,11,4,7,5,0,0,0,3,0,27,8,9,6,0,0,0,0,4,0,31,4,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37,26,18,20,7,4,0,26,0,144
