SA2_MAINCODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_persons_private_dwgs_M,Count_persons_private_dwgs_F,Count_persons_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spo_home_Eng_only_M,Lang_spo_home_Eng_only_F,Lang_spo_home_Eng_only_P,Lang_spo_home_Oth_Lang_M,Lang_spo_home_Oth_Lang_F,Lang_spo_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_instit_0_4_M,Age_per_att_educ_instit_0_4_F,Age_per_att_educ_instit_0_4_P,Age_per_att_educ_insti_5_14_M,Age_per_att_educ_insti_5_14_F,Age_per_att_educ_insti_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_instit_25_M,Age_per_att_educ_instit_25_F,Age_per_att_educ_instit_25_P,High_yr_sch_com_Yr_12_equiv_M,High_yr_sch_com_Yr_12_equiv_F,High_yr_sch_com_Yr_12_equiv_P,High_yr_sch_com_Yr_11_equiv_M,High_yr_sch_com_Yr_11_equiv_F,High_yr_sch_com_Yr_11_equiv_P,High_yr_sch_com_Yr_10_equiv_M,High_yr_sch_com_Yr_10_equiv_F,High_yr_sch_com_Yr_10_equiv_P,High_yr_sch_comp_Yr_9_equiv_M,High_yr_sch_comp_Yr_9_equiv_F,High_yr_sch_comp_Yr_9_equiv_P,High_yr_sch_comp_Yr_8_below_M,High_yr_sch_comp_Yr_8_below_F,High_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
501011001,2666,2710,5381,166,165,335,349,349,698,127,108,234,75,85,158,228,270,502,386,376,764,374,365,739,408,443,849,370,316,687,148,159,308,45,67,110,48,44,96,2577,2620,5201,89,87,181,30,29,55,0,0,4,0,0,0,26,32,61,1865,1874,3739,459,522,977,2299,2320,4623,80,118,201,2203,2249,4449,18,34,50,308,306,613,79,74,149,15,9,24,34,79,105,890,1090,1983,212,210,419,589,460,1054,112,98,216,64,59,118,3,0,3
501011002,12303,13754,26059,811,757,1568,1922,1816,3742,823,817,1638,577,612,1190,1214,1410,2627,1492,1804,3293,1526,1859,3383,1512,1753,3263,1412,1526,2944,735,934,1668,281,468,752,119,180,299,11712,12957,24675,591,791,1387,220,268,496,8,9,14,3,0,0,232,277,510,9127,10020,19149,2162,2581,4743,10810,11952,22763,548,707,1247,10521,11629,22147,161,153,310,1734,1647,3382,555,558,1108,61,113,169,164,452,612,3600,4640,8242,1134,1345,2484,2753,2931,5687,631,600,1229,384,380,761,55,25,83
501011003,4990,5066,10055,397,355,747,766,745,1508,257,218,484,166,170,335,548,631,1178,716,836,1549,726,701,1429,658,673,1325,517,515,1035,196,173,370,49,50,99,85,90,172,4805,4887,9696,187,177,364,35,32,70,0,3,3,0,0,0,38,38,77,3615,3641,7255,909,945,1861,4326,4353,8678,230,268,499,4203,4273,8474,84,74,155,702,671,1369,183,162,348,14,35,47,53,175,228,1897,2245,4135,404,410,806,879,729,1604,157,110,267,83,55,139,10,3,13
501011004,4538,4727,9261,341,327,673,747,641,1385,252,232,477,185,186,375,638,779,1416,714,822,1537,645,632,1273,528,570,1096,329,327,657,119,143,260,40,68,108,207,214,424,4184,4389,8572,352,337,693,63,54,126,0,5,5,0,0,0,71,60,125,2949,2985,5938,950,1115,2070,3568,3744,7311,369,409,781,3516,3625,7138,66,66,140,636,558,1194,156,139,294,15,20,40,85,203,286,1674,2093,3761,364,339,701,679,593,1276,122,118,240,50,52,99,7,7,19
501021005,8196,8712,16906,697,642,1338,1458,1399,2857,611,552,1155,417,390,805,969,1192,2160,1047,1230,2274,1087,1203,2292,914,1045,1964,646,685,1336,273,291,567,64,88,151,22,50,69,8196,8712,16906,0,0,0,156,201,355,3,3,4,3,3,7,161,206,365,6050,6348,12404,1618,1768,3384,7280,7656,14940,417,506,917,6991,7323,14320,127,121,248,1339,1285,2628,380,363,746,49,70,115,119,319,438,2232,2906,5138,866,905,1768,1949,1834,3788,369,318,688,170,162,329,14,17,32
501021007,2420,2596,5012,162,152,317,370,387,757,165,142,304,97,104,205,228,295,518,286,347,631,357,405,768,337,372,710,304,242,547,89,117,208,27,29,55,5,12,15,2403,2586,4985,12,9,26,37,46,86,0,0,4,0,3,3,40,53,88,1900,1988,3883,343,393,732,2187,2338,4524,67,76,143,2146,2271,4416,33,36,66,333,344,678,118,100,216,11,27,36,31,79,111,599,849,1448,252,262,510,662,585,1242,138,114,248,66,48,110,0,5,5
501021008,3416,3353,6766,216,199,420,345,361,703,196,168,364,267,225,494,541,477,1022,477,402,874,448,443,892,410,422,836,298,304,598,150,214,357,73,130,199,10,10,18,2947,3154,6099,471,199,668,200,153,352,3,3,7,6,0,6,209,156,366,2526,2401,4935,608,638,1245,2537,2766,5300,278,304,583,2530,2733,5267,38,43,82,309,320,630,107,98,209,30,48,78,47,109,159,795,985,1776,297,334,628,803,837,1642,209,176,390,127,138,269,17,13,28
501021009,4295,4280,8574,280,250,525,580,562,1142,291,267,555,286,239,522,472,509,981,470,493,966,564,600,1163,652,613,1265,458,441,903,186,225,413,58,90,146,9,16,20,4181,4202,8383,114,75,191,174,161,336,0,0,3,3,3,11,180,163,342,3406,3334,6741,462,517,982,3796,3791,7592,130,151,278,3751,3727,7481,56,52,104,510,480,988,172,153,325,17,19,38,33,99,128,784,1073,1863,599,517,1119,1150,1078,2230,286,235,516,208,148,353,6,9,11
501021010,1527,1548,3078,86,89,177,237,246,479,115,106,219,63,66,129,125,138,271,186,185,373,257,255,514,227,249,469,160,136,295,64,61,126,11,16,27,0,5,9,1524,1538,3056,5,7,21,13,11,21,0,0,0,0,0,0,13,11,21,1195,1209,2404,205,212,415,1406,1420,2825,28,30,59,1371,1386,2760,13,17,29,207,227,434,77,72,157,9,13,18,18,46,57,440,573,1021,135,145,284,397,312,708,81,57,131,50,30,80,0,0,0
501021011,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,4,3,8,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0
