SA2_MAINCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
501011001,45,1800,617,230,1411,0.8,1186,2.4
501011002,42,1800,603,340,1487,0.7,1198,2.5
501011003,40,2000,754,390,1832,0.8,1613,2.6
501011004,37,1733,696,348,1627,0.8,1354,2.6
501021005,35,1885,680,350,1881,0.7,1685,2.8
501021007,42,1733,641,300,1619,0.7,1382,2.6
501021008,39,1517,563,285,1353,0.7,1073,2.3
501021009,41,1517,510,225,1488,0.7,1157,2.4
501021010,42,2000,663,255,1857,0.8,1635,2.7
501021011,55,0,1312,0,2374,1,2625,2
501021012,36,1820,669,350,1755,0.7,1551,2.6
501021014,41,1733,581,250,1578,0.8,1263,2.6
501021015,38,1636,620,300,1489,0.7,1217,2.4
501021016,44,1631,536,250,1464,0.8,1214,2.5
501021251,30,1950,740,365,2032,0.8,1855,3
501021252,43,2058,694,365,2177,0.8,2003,2.9
501021253,44,1733,715,300,1795,0.7,1328,2.2
501021254,38,1430,511,250,1185,0.8,963,2.3
501031017,49,1500,541,200,1308,0.7,1048,2.3
501031018,46,1543,551,230,1425,0.7,1159,2.4
501031019,41,1300,623,190,1438,0.7,1162,2.4
501031020,50,1300,553,175,1290,0.8,1040,2.3
502011021,42,2000,543,350,1516,0.7,1276,2.6
502011022,45,1850,556,330,1447,0.7,1201,2.4
502011023,43,1517,474,300,1151,0.7,948,2.4
502011024,44,1950,563,350,1574,0.7,1273,2.5
502011025,47,1517,501,280,1142,0.7,846,1.9
502011026,47,1921,529,330,1426,0.7,1172,2.4
502011027,34,2000,640,370,1831,0.8,1605,2.8
502011028,49,1625,495,300,1239,0.7,987,2.3
502011029,41,1820,522,294,1434,0.8,1205,2.6
503011030,45,3033,990,700,3675,0.7,2897,2.9
503011031,43,2500,953,430,2821,0.8,1931,2.2
503011032,41,3250,1193,550,3662,0.8,2669,2.5
503011033,39,3000,1027,600,3585,0.8,3051,3
503011034,40,2700,890,330,3075,0.8,1979,2.4
503011035,35,3300,646,460,3369,0.8,2288,2.7
503011036,41,3000,927,488,3440,0.8,2497,2.7
503021037,65,0,1187,1000,3249,1,3666,1.6
503021038,35,2414,1079,440,2851,0.9,2295,2.5
503021039,36,2167,902,351,2511,0.9,1859,2.3
503021040,37,2400,931,420,2618,0.8,2068,2.4
503021041,34,2167,1002,420,2279,1,1782,1.9
503021042,39,2500,1024,420,2772,0.9,2010,2.2
503021043,35,2041,870,320,2347,0.9,1706,2.3
504011044,38,1907,722,340,1904,0.8,1504,2.4
504011045,38,2104,771,355,2122,0.8,1688,2.4
504011046,34,1950,869,310,2055,0.9,1444,2
504011047,37,1900,617,380,1572,0.8,1383,2.6
504011048,44,1950,634,370,1796,0.7,1534,2.7
