SA2_MAINCODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
501011001,0,0,0,0,118,118,0,0,0,0,61,66,63,7,0,0,142,213,189,8,25,0,160,382,207,19,53,0,98,374,256,7,69,12,51,400,277,6,50,9,13,362,120,0,10,7,3,145,21,0,3,16,3,45,15,0,0,0,23,39,1154,50,211,55,685,2151,0,0,0,0,108,108,3,0,0,0,72,76,124,3,3,0,128,260,218,12,25,0,118,369,220,16,53,7,63,358,301,13,72,23,31,438,226,7,43,25,5,311,74,0,11,75,6,156,17,0,5,41,0,67,15,0,3,0,20,46,1195,58,207,175,558,2195,0,0,0,0,230,232,8,0,0,0,137,143,187,13,4,0,270,470,406,27,42,0,279,750,434,32,102,7,166,733,557,22,138,38,87,840,506,14,95,42,21,675,188,0,21,84,10,301,36,0,6,64,3,110,29,0,10,3,46,85,2342,115,421,231,1240,4345
501011002,0,0,3,0,812,818,19,3,0,0,548,572,406,23,21,3,743,1200,922,60,66,0,431,1482,950,79,179,20,287,1513,1053,47,225,26,149,1499,1086,43,164,52,49,1396,535,14,66,93,24,734,172,4,9,89,7,276,52,0,8,0,30,94,5199,274,733,282,3081,9577,3,0,0,0,793,799,40,8,0,0,537,592,633,47,26,7,661,1377,1058,116,160,17,439,1785,1105,110,312,39,272,1837,1100,57,371,78,130,1733,1000,41,236,177,60,1511,415,12,92,373,23,921,83,0,18,356,13,468,53,3,8,20,69,155,5486,394,1227,1070,2995,11177,7,0,3,0,1603,1615,60,14,0,0,1091,1156,1033,65,45,11,1406,2573,1981,176,222,20,865,3267,2056,190,493,56,557,3354,2148,102,592,103,281,3232,2084,83,402,229,106,2906,952,28,157,469,44,1651,255,9,26,436,14,746,108,3,16,21,95,249,10685,667,1961,1359,6076,20749
501011003,0,0,0,0,250,250,4,0,0,0,148,150,187,6,3,0,319,516,472,21,35,0,182,707,474,36,63,6,137,718,467,17,92,10,64,656,396,9,77,14,12,513,159,3,13,9,0,195,32,0,3,13,0,49,27,0,0,3,51,78,2213,105,295,56,1163,3835,0,0,0,0,211,208,9,0,0,0,150,157,293,12,9,3,292,611,566,30,53,0,174,823,485,31,65,5,90,681,483,23,97,25,42,669,367,12,63,61,17,511,100,0,14,60,4,172,10,0,3,30,0,50,28,0,3,4,43,79,2346,114,303,180,1015,3964,0,0,0,0,458,461,8,0,0,0,297,309,477,20,19,3,610,1129,1038,56,82,3,356,1529,956,72,136,13,225,1403,955,39,190,31,107,1320,760,26,138,75,26,1028,259,6,27,68,0,365,44,0,3,47,0,95,54,0,3,8,90,154,4556,220,599,242,2182,7798
501011004,0,0,0,0,244,244,3,0,0,0,145,145,144,3,8,0,414,571,396,20,28,4,246,693,344,31,72,5,158,613,329,25,82,7,69,513,232,12,45,14,22,324,95,3,9,7,3,119,26,0,3,10,0,42,81,7,5,0,99,187,1640,99,250,54,1402,3448,0,0,0,0,218,218,8,0,0,0,146,162,252,12,18,0,428,704,455,46,56,4,229,787,312,46,98,10,141,605,323,17,136,16,61,554,194,9,70,31,9,318,65,0,19,50,7,138,13,0,7,45,4,68,75,3,7,6,110,193,1697,135,407,171,1347,3755,0,0,0,0,459,459,12,0,0,0,290,308,394,21,22,0,843,1276,848,69,86,9,473,1485,659,77,169,16,298,1219,655,40,217,27,125,1066,427,17,119,45,32,643,163,0,27,59,7,256,37,0,9,57,4,103,154,8,10,6,205,386,3339,235,658,224,2750,7205
501021005,0,0,0,0,604,611,23,0,0,0,399,417,421,30,11,0,506,968,688,40,84,0,238,1051,773,39,114,8,153,1089,700,42,103,15,58,909,530,22,59,25,5,646,216,0,20,33,10,276,51,0,0,12,0,64,6,0,0,3,3,13,3404,175,393,95,1972,6037,4,0,0,0,543,546,45,3,0,0,333,382,616,48,24,0,495,1187,807,64,97,5,244,1223,829,53,179,13,122,1200,735,38,157,64,41,1038,454,15,95,99,12,679,162,0,14,109,3,289,20,0,0,71,0,88,12,0,3,0,17,33,3697,235,571,357,1818,6672,4,0,0,0,1148,1156,61,7,0,0,734,805,1038,74,32,0,1000,2150,1499,101,184,6,483,2274,1599,95,295,21,272,2285,1432,79,263,77,102,1949,990,40,158,122,15,1330,380,8,32,139,8,565,72,0,0,82,0,151,20,0,3,3,15,46,7096,412,961,450,3787,12707
501021007,0,0,0,0,165,165,6,0,0,0,92,97,80,4,3,0,138,221,152,8,15,0,108,286,238,18,38,4,59,360,227,10,63,4,27,334,217,11,53,19,13,304,72,0,4,11,3,89,23,0,0,4,0,27,4,0,0,0,0,5,1008,51,187,39,600,1887,0,0,0,0,136,138,10,3,0,0,89,104,120,17,14,0,142,290,201,23,29,0,95,344,258,26,62,6,53,405,242,21,75,19,16,369,175,6,26,29,8,242,51,3,11,51,3,116,15,0,0,14,0,29,0,0,3,0,6,12,1072,94,219,117,552,2050,0,0,0,0,299,301,14,3,0,0,183,205,198,15,14,0,282,516,349,31,45,0,198,629,495,44,102,9,111,762,467,30,134,22,46,708,391,11,81,42,17,548,119,3,17,63,8,206,29,0,3,23,0,55,3,0,3,0,13,15,2074,145,402,155,1156,3936
501021008,0,0,0,0,192,192,16,0,0,0,244,264,150,19,7,0,369,544,225,28,29,0,194,475,215,35,70,3,130,448,209,32,100,11,61,413,192,21,55,10,19,298,115,0,9,14,9,150,38,0,0,26,0,73,0,0,0,0,9,10,1162,145,269,65,1215,2853,0,0,0,0,168,168,18,3,0,0,199,225,157,11,7,0,293,473,200,20,39,3,141,402,198,55,85,8,98,445,211,27,130,17,36,419,155,11,65,59,13,307,90,4,22,97,0,214,19,0,3,108,0,130,3,0,0,3,7,14,1044,133,358,291,963,2792,0,0,0,0,362,362,39,3,0,0,443,491,309,27,20,0,661,1020,422,47,69,7,334,875,405,91,159,8,227,893,414,59,228,26,96,827,353,36,120,60,31,597,199,9,32,113,8,357,59,0,3,137,0,201,6,0,0,3,12,19,2210,273,632,358,2180,5640
501021009,0,0,0,0,286,286,10,0,0,0,273,284,150,4,6,0,309,473,245,18,27,0,171,470,321,34,70,9,139,568,401,30,127,12,83,652,305,17,78,23,37,458,125,6,20,25,8,186,36,0,3,23,3,58,0,0,0,0,9,9,1586,121,321,91,1323,3437,0,0,0,0,267,267,15,0,0,0,214,235,206,12,9,5,278,503,264,40,39,3,151,493,357,29,97,11,103,593,405,43,94,28,40,610,244,17,79,84,22,441,99,0,19,104,6,225,11,0,3,67,3,90,4,0,0,3,5,10,1607,141,339,304,1077,3476,0,0,0,0,553,553,21,0,0,0,488,514,352,14,14,5,587,978,511,62,65,3,322,966,676,62,166,20,242,1156,803,74,219,42,126,1264,544,39,157,112,57,897,229,10,40,129,8,413,48,0,6,86,5,146,4,0,0,3,14,20,3194,264,661,392,2402,6914
501021010,0,0,0,0,115,115,0,0,0,0,59,63,50,4,3,0,72,125,120,4,8,0,42,182,174,11,27,3,36,257,158,0,36,3,23,227,121,3,18,4,6,160,49,0,4,8,3,64,9,0,0,6,0,11,0,0,0,0,0,0,682,32,95,28,366,1210,0,0,0,0,106,103,4,0,0,0,62,59,72,3,8,0,59,139,147,4,4,0,25,189,167,10,45,3,31,254,186,9,24,6,15,249,103,0,13,21,0,136,32,0,3,20,0,61,3,0,0,7,0,16,3,0,0,0,3,5,719,30,99,61,298,1213,0,0,0,0,219,216,3,0,0,0,123,127,120,3,11,0,128,264,273,13,15,0,75,370,341,22,69,8,70,509,352,13,62,11,37,469,220,3,32,28,10,295,78,3,11,33,3,126,7,0,0,15,0,27,3,0,0,0,3,9,1401,64,197,90,667,2418
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
