SA2_MAINCODE_2016,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Turk_Bth_prnts_brn_os,Turk_Father_only_born_os,Turk_Mother_only_born_os,Turk_Bth_prnts_born_Aus,Turk_bp_ns,Turk_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_persns_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
501011001,23,275,227,1620,39,2187,0,0,0,9,0,7,27,7,0,0,0,34,8,4,4,8,0,29,51,15,19,21,4,115,677,281,182,1159,44,2346,25,0,3,0,0,26,13,0,3,7,0,21,80,14,16,93,0,201,6,0,0,7,0,15,0,3,0,0,0,7,8,3,0,0,0,12,107,53,32,314,9,508,41,11,6,56,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,12,22,11,0,0,0,38,39,12,6,12,4,79,14,9,5,11,0,37,12,3,0,0,0,14,159,46,47,302,3,558,3,0,0,0,0,6,20,6,7,3,0,33,11,0,3,6,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,7,7,18,0,58,172,30,33,60,0,296,7,4,0,29,420,463,1231,471,353,2721,514,5288
501011002,181,1189,968,7949,165,10447,0,0,0,51,0,53,117,6,14,24,0,163,25,3,0,30,0,56,281,56,62,151,6,566,3310,1240,953,6712,187,12404,134,9,17,4,3,165,80,12,11,49,3,154,247,74,53,490,10,877,13,15,6,40,0,77,13,4,3,8,0,28,101,3,12,19,0,135,537,193,165,1624,29,2543,189,111,42,524,10,881,23,0,4,0,0,30,0,0,0,0,0,9,4,0,3,17,0,25,14,11,0,18,0,40,81,26,7,7,0,132,171,108,59,26,3,370,66,10,11,50,0,145,37,5,4,13,0,63,601,260,174,1506,37,2577,9,0,8,7,0,17,146,30,22,5,3,211,23,9,5,41,0,83,24,4,0,0,0,27,11,0,0,3,0,12,49,0,0,3,0,56,88,24,15,57,3,184,761,139,135,187,6,1229,57,18,13,173,1652,1906,5906,2112,1615,14122,2009,25763
501011003,45,533,392,2898,53,3927,0,0,0,7,0,10,33,4,4,8,0,52,13,9,6,9,0,33,101,23,26,41,0,200,1301,503,383,2403,68,4654,15,3,5,0,0,30,60,7,5,30,0,105,138,36,26,195,5,398,20,11,3,17,0,40,14,3,0,5,0,21,21,4,4,5,0,36,248,68,80,618,16,1036,140,43,23,183,4,399,6,0,0,0,0,6,0,3,0,0,0,4,3,0,0,0,0,4,7,0,0,6,3,15,29,5,4,0,0,37,49,31,15,9,3,106,31,6,3,16,0,60,12,0,0,0,3,14,279,111,93,581,16,1076,10,0,0,0,0,11,61,6,11,0,0,79,13,0,5,18,0,38,14,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,13,37,11,6,33,5,92,293,68,69,100,12,539,15,10,7,62,646,735,2313,877,691,5214,789,9886
501011004,71,496,428,2353,49,3397,0,0,0,17,0,20,84,5,5,12,0,106,16,8,3,19,0,43,97,33,32,55,4,213,1164,386,394,1779,44,3766,67,0,9,3,0,81,75,10,8,15,0,109,146,16,39,152,7,366,16,11,3,19,0,45,9,0,0,0,0,10,41,3,0,3,0,45,244,95,80,571,12,1005,139,24,24,112,4,304,46,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,14,33,17,9,3,4,64,87,42,16,5,3,158,30,5,7,22,0,62,3,0,0,7,0,9,276,98,77,475,18,941,5,0,0,0,0,5,67,12,6,3,0,83,24,0,6,16,0,53,11,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,53,11,9,21,0,89,378,71,70,99,9,629,24,11,6,48,677,766,2498,781,695,4086,790,8841
501021005,86,796,625,5163,84,6752,0,5,5,51,0,55,103,5,4,12,3,129,10,3,0,27,0,45,189,57,25,105,3,382,2098,802,603,4154,78,7740,76,0,7,3,0,89,34,4,0,39,0,82,154,41,32,305,9,543,4,14,7,50,3,81,3,0,3,4,0,17,98,3,4,3,0,112,434,121,126,1014,21,1723,203,113,51,605,15,993,14,0,5,0,0,19,3,0,4,4,0,9,5,0,0,9,0,16,4,3,0,10,0,14,340,35,16,11,9,406,162,68,33,15,6,276,51,14,10,50,0,132,8,0,0,15,0,20,473,126,125,956,13,1689,14,0,0,3,0,12,190,9,12,3,0,218,28,9,4,22,0,61,10,0,0,0,0,7,3,3,0,3,0,13,7,0,0,0,0,9,66,13,11,65,0,150,473,82,92,136,9,798,35,9,11,97,904,1060,4200,1354,1044,9138,1086,16836
501021007,22,259,193,1855,21,2353,0,0,0,3,0,3,14,0,0,0,0,15,3,0,0,5,0,6,54,14,14,27,0,103,592,217,168,1318,25,2322,3,0,0,0,0,3,12,0,0,12,0,21,44,18,7,108,0,173,3,0,3,4,0,13,0,0,0,0,0,3,10,0,0,5,0,16,79,24,17,276,11,405,34,14,11,109,0,170,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,5,4,0,6,0,17,36,23,18,3,0,76,14,0,0,3,0,16,6,0,3,3,3,8,88,42,29,293,8,454,0,3,0,0,0,3,24,9,0,6,0,37,3,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,12,24,5,0,12,0,43,108,31,23,35,0,206,11,6,4,42,287,343,967,410,296,2977,338,4995
501021008,63,296,166,1903,50,2472,0,0,3,30,0,38,67,3,4,3,0,75,3,3,0,4,0,15,66,14,6,34,0,115,601,249,205,1603,51,2710,135,0,7,0,0,141,15,0,0,11,0,25,40,18,13,122,8,205,12,7,0,14,0,28,4,3,0,8,0,11,79,7,0,0,0,83,106,52,39,405,8,613,68,32,20,185,4,312,32,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,90,6,3,3,0,97,47,11,8,3,0,77,24,4,5,8,0,41,5,0,0,0,0,11,141,58,56,371,4,636,3,0,0,0,0,3,28,3,6,0,0,36,11,0,0,6,0,14,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,24,5,3,20,0,59,218,36,30,54,3,343,32,6,5,52,784,871,1557,486,342,3469,894,6747
501021009,58,389,247,3228,101,4019,0,4,0,53,4,57,30,0,3,6,0,37,3,0,0,4,0,11,38,17,4,29,0,88,628,294,265,2275,70,3531,41,0,3,0,0,47,16,4,0,5,0,23,82,35,12,166,11,306,3,3,3,0,0,11,12,0,0,4,0,11,35,13,3,6,0,49,112,65,38,451,12,682,114,58,9,258,6,450,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,4,0,11,97,3,9,7,3,115,40,21,10,10,0,78,86,9,3,33,4,128,3,0,0,3,0,6,130,76,59,476,17,758,4,0,0,0,0,4,21,4,3,0,0,27,4,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,46,15,6,39,0,106,157,28,32,47,4,264,20,12,15,87,593,721,1375,626,428,5343,769,8557
501021010,19,134,96,1076,13,1336,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,6,0,14,41,6,22,22,0,90,307,143,106,851,19,1424,15,0,11,0,0,19,3,0,0,0,0,10,18,14,7,38,0,73,0,0,3,5,0,10,0,5,0,0,0,5,0,0,3,0,0,6,28,24,16,209,3,283,31,23,13,173,3,235,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,22,5,3,0,3,0,16,5,7,3,7,0,23,11,3,0,0,0,15,72,21,25,167,3,295,0,0,0,0,0,0,34,3,0,0,0,40,0,0,0,4,0,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,14,0,31,61,8,9,26,0,105,3,3,0,25,165,206,572,246,190,1867,200,3065
501021011,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,13
