SA2_MAINCODE_2016,Australia_M,Australia_F,Australia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,TFYROM_M,TFYROM_F,TFYROM_P,Turkey_M,Turkey_F,Turkey_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Zimbabwe_M,Zimbabwe_F,Zimbabwe_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,1865,1874,3739,8,9,16,3,3,7,0,0,0,0,0,0,0,0,0,14,23,39,0,0,0,0,4,3,3,7,11,3,5,6,0,0,0,0,0,0,11,3,14,11,5,11,0,3,10,0,0,0,0,0,0,0,8,9,0,0,0,6,15,21,75,68,143,0,0,0,10,14,28,3,3,8,3,0,3,19,18,37,0,0,0,3,6,12,0,0,0,0,0,0,230,240,472,9,11,25,0,3,3,8,3,11,31,50,88,295,270,567,48,44,96,2666,2710,5381
501011002,9127,10020,19149,20,31,54,10,10,19,0,0,8,4,0,7,3,3,10,54,74,119,0,0,3,3,5,13,53,50,102,17,42,56,0,3,3,0,0,0,34,54,92,31,20,55,7,18,20,10,13,24,0,0,0,21,13,33,3,3,7,53,62,118,308,324,635,7,9,11,51,90,138,3,11,16,9,16,28,119,137,259,15,13,26,16,42,60,0,0,0,4,4,6,1064,1206,2273,27,38,69,14,25,42,13,28,44,196,216,409,899,976,1870,119,180,299,12303,13754,26059
501011003,3615,3641,7255,13,19,33,0,3,5,3,0,3,0,0,0,0,3,3,23,38,59,3,0,3,0,3,8,14,10,27,13,5,15,0,0,0,0,0,0,21,19,42,21,11,33,3,6,7,3,3,7,0,0,0,3,8,12,0,0,3,21,16,39,124,98,222,3,0,3,4,11,14,5,4,10,6,9,13,48,55,106,4,9,16,0,9,9,0,0,3,0,0,0,403,437,837,34,26,55,3,3,6,10,12,26,121,115,232,384,393,773,85,90,172,4990,5066,10055
501011004,2949,2985,5938,13,29,36,3,11,13,3,0,0,0,0,0,0,3,3,27,46,74,4,0,4,3,14,16,13,14,24,6,8,9,0,0,0,3,3,10,29,26,52,29,26,54,4,20,25,16,21,44,0,0,0,3,10,9,0,0,0,12,16,35,130,159,288,0,0,0,28,44,68,0,4,4,4,11,9,53,48,101,4,5,5,3,14,19,0,0,0,0,0,0,357,407,762,26,24,52,5,6,7,8,14,23,144,146,296,431,408,838,207,214,424,4538,4727,9261
501021005,6050,6348,12404,8,9,14,25,33,51,0,0,0,0,0,3,6,0,7,21,35,58,0,0,0,0,0,0,38,32,67,3,19,25,5,7,11,0,3,9,30,41,73,28,15,44,3,5,9,3,11,16,0,0,0,13,23,30,3,0,4,36,30,61,412,399,809,3,6,4,25,59,79,5,7,8,13,7,21,142,164,305,0,6,9,4,19,16,0,0,0,0,0,0,609,651,1263,16,24,37,3,9,8,56,57,110,100,107,209,500,544,1044,22,50,69,8196,8712,16906
501021007,1900,1988,3883,4,12,10,0,4,4,0,0,0,0,0,0,0,0,0,11,5,18,0,0,0,4,3,8,3,7,9,0,0,5,0,0,0,0,0,0,4,5,11,10,0,8,0,0,3,8,3,9,0,0,0,0,0,3,0,0,0,8,10,19,61,48,114,0,0,0,0,3,3,4,0,3,3,0,3,23,34,55,0,0,0,0,0,0,0,0,0,0,0,0,160,202,355,9,5,13,0,3,3,8,9,10,25,35,61,172,199,375,5,12,15,2420,2596,5012
501021008,2526,2401,4935,0,0,3,9,9,16,0,0,3,0,0,0,0,0,0,14,5,23,3,0,7,0,0,0,41,31,69,3,11,14,0,0,0,0,7,9,14,9,21,12,15,29,3,6,8,28,7,38,0,0,0,3,5,6,0,0,0,16,11,29,87,92,182,3,0,3,56,85,139,3,5,9,4,8,13,22,30,53,0,0,0,0,4,9,0,0,0,0,0,0,204,195,398,3,4,9,4,10,8,8,15,22,52,71,122,274,295,570,10,10,18,3416,3353,6766
501021009,3406,3334,6741,0,3,4,7,4,11,0,0,0,3,0,4,3,0,3,19,28,47,0,0,0,0,0,0,13,7,18,3,6,9,0,0,3,3,0,3,7,3,13,24,17,42,4,3,6,0,0,3,0,0,0,5,11,12,0,0,0,9,9,15,112,106,220,3,4,3,11,28,41,9,10,22,0,3,3,24,14,40,0,0,0,0,10,10,0,0,0,0,0,0,166,194,363,5,10,15,7,7,7,3,7,12,26,24,52,413,417,829,9,16,20,4295,4280,8574
501021010,1195,1209,2404,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,11,3,11,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,14,33,24,58,0,0,0,0,8,8,0,0,3,0,3,3,23,25,48,0,0,0,0,0,0,0,0,0,0,0,0,99,109,206,3,3,14,0,0,0,7,3,10,10,13,22,129,118,245,0,5,9,1527,1548,3078
501021011,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13
