SA2_MAINCODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_yr_arr_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,Unted_Sttes_Amrica_Yr_arr_ns,United_States_America_Tot,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_ns,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_ns,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_ns,Tot_Tot
501011001,0,0,3,4,3,4,10,9,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,63,182,43,41,37,36,5,4,16,3,0,0,11,472,0,0,0,12,3,3,3,4,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,11,0,3,13,18,6,9,15,13,3,6,6,0,0,0,3,88,9,60,89,239,100,97,115,91,28,25,31,21,20,5,36,977
501011002,0,0,8,12,14,21,67,88,16,6,5,9,3,0,3,259,0,0,0,0,0,0,0,6,0,0,3,8,0,0,0,26,0,0,0,0,0,5,16,8,4,0,3,5,3,3,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,20,139,290,719,297,204,187,178,36,35,31,33,20,6,80,2273,0,0,0,11,6,11,9,4,0,3,0,7,7,4,5,69,0,0,0,0,5,14,0,9,0,6,3,4,0,0,0,42,0,0,3,4,12,4,11,10,0,0,0,0,0,0,0,44,0,19,35,56,35,21,39,72,22,32,17,24,17,3,25,409,23,275,406,952,560,462,522,676,132,139,118,135,92,41,196,4743
501011003,0,0,0,5,29,20,30,12,0,4,0,3,3,0,0,106,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,16,0,0,0,0,0,0,4,3,0,0,3,0,3,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,82,207,109,90,112,90,11,25,20,17,11,8,22,837,0,0,3,12,3,9,4,14,3,0,3,0,3,4,3,55,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,4,4,0,0,0,0,0,0,0,3,26,0,9,10,24,22,24,27,37,11,16,18,6,13,7,3,232,4,76,131,300,250,224,261,230,43,51,74,61,56,32,57,1861
501011004,0,0,0,6,17,12,29,13,7,13,0,3,3,0,4,101,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,7,3,0,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,64,170,93,71,103,99,14,25,16,15,13,15,31,762,0,0,0,7,13,7,8,6,0,4,0,0,0,0,3,52,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,7,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,23,0,3,10,28,25,15,37,53,7,7,13,16,28,27,25,296,4,60,85,257,238,202,299,338,76,92,70,76,79,64,117,2070
501021005,0,0,3,6,13,8,72,144,35,7,4,6,3,0,4,305,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,3,9,0,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,116,370,141,125,158,153,36,34,24,15,25,5,22,1263,0,0,0,6,5,0,4,3,3,0,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,13,33,37,6,3,3,3,3,0,3,110,0,4,7,23,30,11,26,52,3,10,14,4,8,4,3,209,10,117,173,479,339,332,500,733,160,147,110,78,96,28,80,3384
501021007,0,0,0,0,3,3,20,9,0,3,4,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,122,48,28,44,30,3,3,3,0,0,0,17,355,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,10,0,3,7,12,8,7,8,8,0,0,3,0,0,3,4,61,0,38,64,158,88,71,113,83,8,14,33,5,9,9,37,732
501021008,0,0,0,3,0,0,17,9,7,3,5,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,65,133,40,29,30,29,6,6,0,6,0,0,27,398,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,8,0,0,0,0,5,0,13,3,0,0,0,0,0,3,0,22,0,3,5,17,4,9,11,34,3,0,16,3,14,3,11,122,4,67,97,180,89,96,124,211,52,41,75,48,49,25,83,1245
501021009,0,0,0,3,0,8,10,15,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,63,142,53,17,15,13,5,0,0,0,0,3,19,363,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,7,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,12,0,14,8,11,6,3,4,10,0,0,0,0,4,0,0,52,3,96,99,203,127,95,85,119,24,19,22,7,6,6,44,982
501021010,0,0,3,0,8,3,13,18,3,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,82,21,25,8,6,0,0,0,4,0,0,3,206,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,10,0,0,3,6,3,3,0,3,0,0,0,0,0,0,3,22,0,27,53,100,55,49,49,52,9,5,5,12,3,0,14,415
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
