SA2_MAINCODE_2016,M_SEO_Before_2000,M_SEO_2000_2005,M_SEO_2006_2010,M_SEO_2011,M_SEO_2012,M_SEO_2013,M_SEO_2014,M_SEO_2015,M_SEO_2016,M_SEO_Yr_arr_ns,M_SEO_T,M_Sol_sp_En_Vww_B_2000,M_Sol_sp_En_Vww_2000_2005,M_Sol_sp_En_Vww_2006_2010,M_Sol_sp_En_Vww_2011,M_Sol_sp_En_Vww_2012,M_Sol_sp_En_Vww_2013,M_Sol_sp_En_Vww_2014,M_Sol_sp_En_Vww_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_T,M_Sol_sp_En_Nwna_Bef_2000,M_Sol_sp_En_Nwna_2000_2005,M_Sol_sp_En_Nwna_2006_2010,M_Sol_sp_En_Nwna_2011,M_Sol_sp_En_Nwna_2012,M_Sol_sp_En_Nwna_2013,M_Sol_sp_En_Nwna_2014,M_Sol_sp_En_Nwna_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_T,M_Sol_sp_En_Pr_En_ns_Be_2000,M_Sol_sp_En_Pr_E_ns_2000_2005,M_Sol_sp_E_Pr_En_ns_2006_2010,M_Sol_sp_En_Prof_En_ns_2011,M_Sol_sp_En_Prof_En_ns_2012,M_Sol_sp_En_Prof_En_ns_2013,M_Sol_sp_En_Prof_En_ns_2014,M_Sol_sp_En_Prof_En_ns_2015,M_Sol_sp_En_Prof_En_ns_2016,M_So_sp_En_Pro_En_ns_Yr_ar_ns,M_Sol_sp_En_Prof_En_ns_T,M_Sol_sp_En_T_B_2000,M_Sol_sp_En_T_2000_2005,M_Sol_sp_En_T_2006_2010,M_Sol_sp_En_T_2011,M_Sol_sp_En_T_2012,M_Sol_sp_En_T_2013,M_Sol_sp_En_T_2014,M_Sol_sp_En_T_2015,M_Sol_sp_En_T_2016,M_Sol_sp_En_T_Yr_arr_ns,M_Sol_sp_En_T_T,M_LanProf_En_ns_B_2000,M_LanProf_En_ns_2000_2005,M_LanProf_En_ns_2006_2010,M_LanProf_En_ns_2011,M_LanProf_En_ns_2012,M_LanProf_En_ns_2013,M_LanProf_En_ns_2014,M_LanProf_En_ns_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_T,M_T_B_2000,M_T_2000_2005,M_T_2006_2010,M_T_2011,M_T_2012,M_T_2013,M_T_2014,M_T_2015,M_T_2016,M_T_Yr_arrival_ns,M_T_T,F_SEO_B_2000,F_SEO_2000_2005,F_SEO_2006_2010,F_SEO_2011,F_SEO_2012,F_SEO_2013,F_SEO_2014,F_SEO_2015,F_SEO_2016,F_SEO_Yr_arr_ns,F_SEO_T,F_Sol_sp_En_Vww_B_2000,F_Sol_sp_En_Vww_2000_2005,F_Sol_sp_En_Vww_2006_2010,F_Sol_sp_En_Vww_2011,F_Sol_sp_En_Vww_2012,F_Sol_sp_En_Vww_2013,F_Sol_sp_En_Vww_2014,F_Sol_sp_En_Vww_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_T,F_Sol_sp_En_Nwna_Bef_2000,F_Sol_sp_En_Nwna_2000_2005,F_Sol_sp_En_Nwna_2006_2010,F_Sol_sp_En_Nwna_2011,F_Sol_sp_En_Nwna_2012,F_Sol_sp_En_Nwna_2013,F_Sol_sp_En_Nwna_2014,F_Sol_sp_En_Nwna_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_T,F_Sol_sp_En_Pr_En_ns_Be_2000,F_Sol_sp_En_Pr_E_ns_2000_2005,F_Sol_sp_E_Pr_En_ns_2006_2010,F_Sol_sp_En_Prof_En_ns_2011,F_Sol_sp_En_Prof_En_ns_2012,F_Sol_sp_En_Prof_En_ns_2013,F_Sol_sp_En_Prof_En_ns_2014,F_Sol_sp_En_Prof_En_ns_2015,F_Sol_sp_En_Prof_En_ns_2016,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_T,F_Sol_sp_En_T_B_2000,F_Sol_sp_En_T_2000_2005,F_Sol_sp_En_T_2006_2010,F_Sol_sp_En_T_2011,F_Sol_sp_En_T_2012,F_Sol_sp_En_T_2013,F_Sol_sp_En_T_2014,F_Sol_sp_En_T_2015,F_Sol_sp_En_T_2016,F_Sol_sp_En_T_Yr_arr_ns,F_Sol_sp_En_T_T,F_LanProf_En_ns_Bef_2000,F_LanProf_En_ns_2000_2005,F_LanProf_En_ns_2006_2010,F_LanProf_En_ns_2011,F_LanProf_En_ns_2012,F_LanProf_En_ns_2013,F_LanProf_En_ns_2014,F_LanProf_En_ns_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_T,F_T_B_2000,F_T_2000_2005,F_T_2006_2010,F_T_2011,F_T_2012,F_T_2013,F_T_2014,F_T_2015,F_T_2016,F_T_Yr_arrival_ns,F_T_T,P_SEO_B_2000,P_SEO_2000_2005,P_SEO_2006_2010,P_SEO_2011,P_SEO_2012,P_SEO_2013,P_SEO_2014,P_SEO_2015,P_SEO_2016,P_SEO_Yr_arr_ns,P_SEO_T,P_Sol_sp_En_Vww_B_2000,P_Sol_sp_En_Vww_2000_2005,P_Sol_sp_En_Vww_2006_2010,P_Sol_sp_En_Vww_2011,P_Sol_sp_En_Vww_2012,P_Sol_sp_En_Vww_2013,P_Sol_sp_En_Vww_2014,P_Sol_sp_En_Vww_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_T,P_Sol_sp_En_Nwna_Bef_2000,P_Sol_sp_En_Nwna_2000_2005,P_Sol_sp_En_Nwna_2006_2010,P_Sol_sp_En_Nwna_2011,P_Sol_sp_En_Nwna_2012,P_Sol_sp_En_Nwna_2013,P_Sol_sp_En_Nwna_2014,P_Sol_sp_En_Nwna_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_T,P_Sol_sp_En_Pr_En_ns_Be_2000,P_Sol_sp_En_Pr_E_ns_2000_2005,P_Sol_sp_E_Pr_En_ns_2006_2010,P_Sol_sp_En_Prof_En_ns_2011,P_Sol_sp_En_Prof_En_ns_2012,P_Sol_sp_En_Prof_En_ns_2013,P_Sol_sp_En_Prof_En_ns_2014,P_Sol_sp_En_Prof_En_ns_2015,P_Sol_sp_En_Prof_En_ns_2016,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_T,P_Sol_sp_En_T_B_2000,P_Sol_sp_En_T_2000_2005
501011001,288,33,34,16,3,11,5,0,0,13,397,12,3,7,0,3,6,3,10,4,3,50,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,16,3,7,0,3,6,3,6,8,6,57,0,0,0,0,0,0,0,0,0,0,0,304,32,41,14,9,21,9,6,8,18,459,304,35,45,8,9,7,8,8,0,13,432,23,16,9,3,5,7,3,9,0,7,88,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,16,9,3,9,7,3,10,0,7,92,0,0,0,0,0,0,0,0,0,0,0,326,46,52,11,12,8,16,12,0,22,522,589,63,76,25,11,17,16,8,0,25,829,42,14,15,4,6,15,7,13,4,13,135,0,0,0,0,3,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,40,14
501011002,1216,121,198,44,35,25,27,28,5,54,1758,82,37,109,16,23,22,14,17,5,15,334,3,3,10,4,12,3,5,0,0,8,54,0,0,4,0,0,0,0,0,0,0,5,86,38,122,19,29,25,22,12,8,24,401,0,0,4,0,0,0,0,0,0,0,8,1303,166,324,62,65,54,48,38,16,80,2162,1400,159,203,43,42,33,40,30,6,78,2029,115,52,137,27,29,20,42,18,13,28,475,7,3,6,3,3,8,6,11,6,15,63,3,0,0,0,0,0,0,0,0,0,9,127,56,146,24,32,32,46,27,22,41,545,3,0,0,0,0,0,0,0,0,6,5,1532,214,348,70,72,58,88,53,25,121,2581,2614,279,401,86,78,56,74,55,16,126,3785,198,87,245,40,49,42,53,27,21,41,814,15,4,22,9,11,12,10,11,4,21,124,3,3,4,0,0,0,0,0,0,0,11,214,93
501011003,484,59,78,7,16,18,24,15,9,25,737,46,15,25,5,10,11,11,17,8,4,156,0,0,3,5,0,4,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,51,15,31,13,12,14,12,17,11,7,172,0,0,0,0,0,0,0,0,0,0,4,537,79,103,20,30,32,35,28,15,35,909,498,69,83,11,11,19,15,17,6,22,753,50,25,42,8,13,25,11,14,6,3,188,0,0,0,0,0,3,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,50,25,42,8,13,31,11,13,16,3,198,0,0,0,0,0,0,0,0,0,0,0,540,93,125,23,24,43,26,29,19,26,945,983,133,156,20,32,36,38,30,15,44,1484,92,38,68,18,20,40,22,23,15,4,344,0,0,3,5,0,3,0,4,5,0,28,0,0,0,0,0,0,0,0,0,0,0,99,38
501011004,387,72,91,24,31,10,11,7,12,29,678,41,30,64,8,14,12,15,12,6,17,233,4,0,3,0,0,0,0,9,13,12,39,0,0,0,0,0,0,0,0,3,0,4,49,30,66,8,14,9,18,26,23,28,275,0,0,0,0,0,0,0,0,0,0,0,435,100,157,37,43,25,31,31,36,54,950,459,74,113,19,33,20,19,12,13,34,800,46,29,63,20,14,29,19,23,18,25,276,0,0,3,0,5,0,3,10,3,7,33,0,0,0,0,0,0,0,0,0,4,3,49,28,65,20,13,29,23,32,18,27,316,0,0,0,0,0,0,0,0,0,0,3,511,101,176,46,44,46,42,45,36,70,1115,849,144,204,48,57,36,31,26,18,63,1474,93,58,127,36,27,37,36,41,25,43,515,4,0,11,0,5,0,3,21,16,13,69,0,0,0,0,0,0,0,0,3,4,8,95,59
501021005,710,142,237,49,59,35,23,28,8,27,1322,71,32,98,18,17,11,13,10,4,8,274,0,0,6,0,3,0,0,0,4,3,16,0,0,4,0,0,0,0,0,0,0,6,75,32,101,18,18,12,13,10,5,12,290,0,0,0,0,0,0,0,0,0,0,3,782,177,342,70,81,48,34,39,14,41,1618,745,125,263,65,44,40,22,41,3,27,1382,79,37,117,34,24,21,11,12,9,4,356,3,0,5,0,3,3,0,9,0,0,30,0,0,0,0,0,0,0,0,0,3,3,87,37,127,34,24,28,18,19,6,14,389,0,0,0,0,0,0,0,0,0,0,0,830,169,390,92,73,65,41,59,13,41,1768,1451,273,503,112,104,76,52,66,12,54,2703,154,69,214,50,41,28,26,25,12,11,621,5,0,11,0,3,5,0,9,4,7,49,0,0,4,0,0,0,0,0,0,3,4,156,69
501021007,198,29,23,3,3,11,0,0,0,15,290,17,6,13,0,0,3,0,3,7,3,43,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,5,13,0,0,5,0,3,6,3,52,0,0,0,0,0,0,0,0,0,0,0,218,37,35,3,3,11,3,3,6,17,343,227,34,40,3,5,11,0,0,0,19,338,13,4,8,0,4,3,3,3,0,0,48,0,0,3,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,13,4,11,0,4,3,3,3,0,3,56,0,0,0,0,0,0,0,0,0,0,0,239,43,54,3,11,16,3,4,4,22,393,426,68,60,8,10,20,7,0,0,33,627,29,9,22,0,4,4,4,8,7,3,90,0,3,3,0,0,3,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,31,13
501021008,248,19,38,9,5,3,4,4,3,16,354,37,11,57,11,13,24,12,14,6,3,191,3,0,4,0,0,4,3,8,3,3,28,0,0,0,0,0,0,0,0,0,0,0,40,11,63,11,13,25,17,20,9,12,220,0,0,0,0,0,0,0,0,0,35,32,286,23,104,15,20,31,19,27,8,60,608,250,33,48,25,3,10,8,6,3,16,392,35,21,51,10,18,29,18,18,12,6,217,14,0,7,0,0,0,0,6,0,3,29,3,0,0,0,0,0,0,0,0,0,3,53,21,56,15,18,30,19,17,12,8,248,0,0,0,0,0,0,0,0,0,0,0,301,54,104,31,23,42,26,26,17,29,638,495,50,87,29,14,13,9,11,3,29,748,70,24,108,19,26,51,34,24,20,12,406,15,0,5,0,0,3,4,16,3,5,57,3,0,0,0,0,0,0,0,0,0,4,91,24
501021009,273,22,41,3,6,4,0,0,4,14,362,39,6,14,11,0,10,0,5,0,9,84,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,38,11,13,10,0,6,0,4,0,9,93,3,0,0,0,0,0,0,0,0,0,3,319,29,52,10,12,9,0,3,3,18,462,296,26,42,7,4,3,3,0,0,20,403,43,10,18,4,0,5,6,4,0,4,92,4,0,3,3,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,53,10,26,5,0,4,5,4,0,7,109,0,0,0,0,0,0,0,0,0,0,0,348,34,68,10,5,6,7,4,3,28,517,571,43,80,7,9,8,3,0,3,35,771,78,17,32,10,3,9,6,5,3,8,179,8,0,6,7,0,4,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,93,13
501021010,138,15,22,0,0,0,4,0,0,10,182,4,0,5,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,150,14,25,4,0,0,7,0,0,10,205,142,11,20,0,0,3,3,0,0,3,187,14,3,3,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,155,10,26,0,0,4,6,3,0,3,212,282,27,44,4,5,3,4,0,0,14,372,16,3,10,3,0,3,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
