SA2_MAINCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
501011001,15,5,11,15,7,20,10,16,149,0,0,0,0,0,0,0,0,0,0,0,633,83,91,28,25,31,21,20,5,36,977
501011002,270,44,64,60,62,40,30,63,940,7,0,4,0,0,0,0,0,0,3,12,2835,377,676,132,139,118,135,92,41,196,4743
501011003,70,18,18,45,27,25,20,5,367,0,0,0,0,0,0,0,0,0,0,4,1079,173,230,43,51,74,61,56,32,57,1861
501011004,131,36,35,37,43,57,44,56,591,0,0,0,0,0,0,0,0,0,0,7,945,199,338,76,92,70,76,79,64,117,2070
501021005,231,50,40,34,30,30,13,21,675,0,0,0,0,0,0,0,0,0,0,7,1609,341,733,160,147,110,78,96,28,80,3384
501021007,26,0,4,12,4,8,12,3,103,0,0,0,0,0,0,0,0,0,0,0,458,76,83,8,14,33,5,9,9,37,732
501021008,120,24,26,57,40,42,18,23,463,0,0,0,0,0,0,0,0,0,35,35,588,80,211,52,41,75,48,49,25,83,1245
501021009,36,15,3,14,5,5,3,10,206,3,0,0,0,0,0,0,0,0,0,5,664,62,119,24,19,22,7,6,6,44,982
501021010,10,3,0,3,4,0,0,0,42,3,0,0,0,0,0,0,0,0,0,3,297,26,52,9,5,5,12,3,0,14,415
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,138,28,41,37,33,22,19,24,517,5,0,0,0,0,0,0,0,0,0,6,959,182,390,71,113,90,56,53,35,65,2014
501021014,120,42,53,41,55,90,28,40,627,3,0,0,0,0,0,0,0,0,0,3,838,82,211,47,68,55,61,93,35,82,1574
501021015,145,16,29,45,37,45,20,28,551,0,0,0,0,0,0,0,0,0,0,3,690,93,236,40,52,58,46,54,20,55,1343
501021016,27,5,6,6,3,0,0,12,148,0,0,0,0,0,0,0,0,0,0,0,428,37,100,14,10,13,4,9,0,36,659
501021251,390,77,73,65,51,47,18,19,913,0,0,0,0,0,0,4,0,0,0,5,640,330,780,151,147,122,81,78,20,45,2386
501021252,21,0,0,7,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,308,67,76,4,6,12,6,0,3,17,501
501021253,187,48,74,107,89,66,29,42,941,0,0,0,0,0,0,0,0,0,3,3,1403,196,389,117,143,156,133,93,45,113,2791
501021254,81,8,9,41,30,20,17,9,307,0,0,0,0,0,0,0,0,0,6,6,532,67,154,20,24,42,35,28,17,28,952
501031017,32,4,0,4,5,0,4,4,129,0,0,0,0,0,0,0,0,0,0,5,978,71,99,12,13,14,21,6,3,49,1258
501031018,24,0,0,4,12,14,15,20,197,3,0,0,0,0,0,0,0,0,0,3,706,78,80,7,14,17,20,11,15,48,988
501031019,30,11,5,10,5,10,3,14,220,0,0,0,0,0,0,0,0,0,0,0,529,38,58,15,16,14,6,18,6,41,743
501031020,26,3,7,12,4,23,6,6,166,0,0,0,0,0,0,0,0,0,0,3,697,57,53,11,10,15,18,24,7,45,941
502011021,61,16,34,12,8,7,3,3,257,0,0,0,0,0,0,0,0,0,0,3,1004,152,276,70,96,41,48,17,10,36,1747
502011022,82,6,15,15,11,19,3,8,302,3,0,0,0,0,0,0,0,0,0,3,1143,159,366,69,65,84,31,51,19,45,2041
502011023,145,31,20,30,24,19,15,21,462,6,0,0,0,0,0,0,0,0,5,13,1383,149,309,67,48,61,43,27,22,73,2193
502011024,216,35,77,49,64,39,12,21,825,7,0,0,0,0,0,0,0,0,0,10,2454,480,982,228,294,207,190,121,54,124,5136
502011025,178,39,75,128,110,77,27,18,818,11,0,0,0,0,0,0,0,0,3,17,1318,134,316,74,120,177,154,104,39,75,2511
502011026,22,3,3,3,9,0,3,0,106,0,0,0,0,0,0,0,0,0,0,0,794,70,98,19,31,27,25,11,5,21,1095
502011027,460,82,104,87,48,45,28,30,1238,4,0,3,0,3,0,0,0,0,4,10,1938,586,1419,342,375,247,188,128,77,125,5420
502011028,136,47,41,25,50,42,12,17,591,8,0,0,0,0,0,0,0,0,8,19,1452,177,359,105,74,62,80,57,29,140,2537
