SA2_MAINCODE_2016,DC0_4FSEOMSEO,DC0_4FSEOMSolsEVww,DC0_4FSEOMSolNwna,DC0_4FSEOMsol_pEns,DC0_4FSEOMSolsET,DC0_4FSEOM_LpEns,DC0_4FSEOMT,DC0_4FSolsEVwwMSEO,DC0_4FSolsEVwwMSolsEVww,DC0_4FSolsEVwwMSolNwna,DC0_4FSolsEVwwMsol_pEns,DC0_4FSolsEVwwMSolsET,DC0_4FSolsEVwwM_LpEns,DC0_4FSolsEVwwMT,DC0_4FSolNwnaMSEO,DC0_4FSolNwnaMSolsEVww,DC0_4FSolNwnaMSolNwna,DC0_4FSolNwnaMsol_pEns,DC0_4FSolNwnaMSolsET,DC0_4FSolNwnaM_LpEns,DC0_4FSolNwnaMT,DC0_4FSol_pEnsMSEO,DC0_4FSol_pEnsMSolsEVww,DC0_4FSol_pEnsMSolNwna,DC0_4FSol_pEnsMsol_pEns,DC0_4FSol_pEnsMSolsET,DC0_4FSol_pEnsM_LpEns,DC0_4FSol_pEnsMT,DC0_4FSolsETMSEO,DC0_4FSolsETMSolsEVww,DC0_4FSolsETMSolNwna,DC0_4FSolsETMsol_pEns,DC0_4FSolsETMSolsET,DC0_4FSolsETM_LpEns,DC0_4FSolsETMT,DC0_4F_LpEnsMSEO,DC0_4F_LpEnsMSolsEVww,DC0_4F_LpEnsMSolNwna,DC0_4F_LpEnsMsol_pEns,DC0_4F_LpEnsMSolsET,DC0_4F_LpEnsM_LpEns,DC0_4F_LpEnsMT,DC0_4FTMSEO,DC0_4FTMSolsEVww,DC0_4FTMSolNwna,DC0_4FTMsol_pEns,DC0_4FTMSolsET,DC0_4FTM_LpEns,DC0_4FTMT,DC5_9FSEOMSEO,DC5_9FSEOMSolsEVww,DC5_9FSEOMSolNwna,DC5_9FSEOMsol_pEns,DC5_9FSEOMSolsET,DC5_9FSEOM_LpEns,DC5_9FSEOMT,DC5_9FSolsEVwwMSEO,DC5_9FSolsEVwwMSolsEVww,DC5_9FSolsEVwwMSolNwna,DC5_9FSolsEVwwMsol_pEns,DC5_9FSolsEVwwMSolsET,DC5_9FSolsEVwwM_LpEns,DC5_9FSolsEVwwMT,DC5_9FSolNwnaMSEO,DC5_9FSolNwnaMSolsEVww,DC5_9FSolNwnaMSolNwna,DC5_9FSolNwnaMsol_pEns,DC5_9FSolNwnaMSolsET,DC5_9FSolNwnaM_LpEns,DC5_9FSolNwnaMT,DC5_9FSol_pEnsMSEO,DC5_9FSol_pEnsMSolsEVww,DC5_9FSol_pEnsMSolNwna,DC5_9FSol_pEnsMsol_pEns,DC5_9FSol_pEnsMSolsET,DC5_9FSol_pEnsM_LpEns,DC5_9FSol_pEnsMT,DC5_9FSolsETMSEO,DC5_9FSolsETMSolsEVww,DC5_9FSolsETMSolNwna,DC5_9FSolsETMsol_pEns,DC5_9FSolsETMSolsET,DC5_9FSolsETM_LpEns,DC5_9FSolsETMT,DC5_9F_LpEnsMSEO,DC5_9F_LpEnsMSolsEVww,DC5_9F_LpEnsMSolNwna,DC5_9F_LpEnsMsol_pEns,DC5_9F_LpEnsMSolsET,DC5_9F_LpEnsM_LpEns,DC5_9F_LpEnsMT,DC5_9FTMSEO,DC5_9FTMSolsEVww,DC5_9FTMSolNwna,DC5_9FTMsol_pEns,DC5_9FTMSolsET,DC5_9FTM_LpEns,DC5_9FTMT,DC10_12FSEOMSEO,DC10_12FSEOMSolsEVww,DC10_12FSEOMSolNwna,DC10_12FSEOMsol_pEns,DC10_12FSEOMSolsET,DC10_12FSEOM_LpEns,DC10_12FSEOMT,DC10_12FSolsEVwwMSEO,DC10_12FSolsEVwwMSolsEVww,DC10_12FSolsEVwwMSolNwna,DC10_12FSolsEVwwMsol_pEns,DC10_12FSolsEVwwMSolsET,DC10_12FSolsEVwwM_LpEns,DC10_12FSolsEVwwMT,DC10_12FSolNwnaMSEO,DC10_12FSolNwnaMSolsEVww,DC10_12FSolNwnaMSolNwna,DC10_12FSolNwnaMsol_pEns,DC10_12FSolNwnaMSolsET,DC10_12FSolNwnaM_LpEns,DC10_12FSolNwnaMT,DC10_12FSol_pEnsMSEO,DC10_12FSol_pEnsMSolsEVww,DC10_12FSol_pEnsMSolNwna,DC10_12FSol_pEnsMsol_pEns,DC10_12FSol_pEnsMSolsET,DC10_12FSol_pEnsM_LpEns,DC10_12FSol_pEnsMT,DC10_12FSolsETMSEO,DC10_12FSolsETMSolsEVww,DC10_12FSolsETMSolNwna,DC10_12FSolsETMsol_pEns,DC10_12FSolsETMSolsET,DC10_12FSolsETM_LpEns,DC10_12FSolsETMT,DC10_12F_LpEnsMSEO,DC10_12F_LpEnsMSolsEVww,DC10_12F_LpEnsMSolNwna,DC10_12F_LpEnsMsol_pEns,DC10_12F_LpEnsMSolsET,DC10_12F_LpEnsM_LpEns,DC10_12F_LpEnsMT,DC10_12FTMSEO,DC10_12FTMSolsEVww,DC10_12FTMSolNwna,DC10_12FTMsol_pEns,DC10_12FTMSolsET,DC10_12FTM_LpEns,DC10_12FTMT,DC13_14FSEOMSEO,DC13_14FSEOMSolsEVww,DC13_14FSEOMSolNwna,DC13_14FSEOMsol_pEns,DC13_14FSEOMSolsET,DC13_14FSEOM_LpEns,DC13_14FSEOMT,DC13_14FSolsEVwwMSEO,DC13_14FSolsEVwwMSolsEVww,DC13_14FSolsEVwwMSolNwna,DC13_14FSolsEVwwMsol_pEns,DC13_14FSolsEVwwMSolsET,DC13_14FSolsEVwwM_LpEns,DC13_14FSolsEVwwMT,DC13_14FSolNwnaMSEO,DC13_14FSolNwnaMSolsEVww,DC13_14FSolNwnaMSolNwna,DC13_14FSolNwnaMsol_pEns,DC13_14FSolNwnaMSolsET,DC13_14FSolNwnaM_LpEns,DC13_14FSolNwnaMT,DC13_14FSol_pEnsMSEO,DC13_14FSol_pEnsMSolsEVww,DC13_14FSol_pEnsMSolNwna,DC13_14FSol_pEnsMsol_pEns,DC13_14FSol_pEnsMSolsET,DC13_14FSol_pEnsM_LpEns,DC13_14FSol_pEnsMT,DC13_14FSolsETMSEO,DC13_14FSolsETMSolsEVww,DC13_14FSolsETMSolNwna,DC13_14FSolsETMsol_pEns,DC13_14FSolsETMSolsET,DC13_14FSolsETM_LpEns,DC13_14FSolsETMT,DC13_14F_LpEnsMSEO,DC13_14F_LpEnsMSolsEVww,DC13_14F_LpEnsMSolNwna,DC13_14F_LpEnsMsol_pEns,DC13_14F_LpEnsMSolsET,DC13_14F_LpEnsM_LpEns,DC13_14F_LpEnsMT,DC13_14FTMSEO,DC13_14FTMSolsEVww,DC13_14FTMSolNwna,DC13_14FTMsol_pEns,DC13_14FTMSolsET,DC13_14FTM_LpEns,DC13_14FTMT,DC15_17FSEOMSEO,DC15_17FSEOMSolsEVww,DC15_17FSEOMSolNwna,DC15_17FSEOMsol_pEns
501011001,217,5,0,0,5,0,222,10,3,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,4,0,18,0,0,0,0,0,0,0,234,11,0,0,14,0,244,231,3,0,0,3,0,234,7,12,0,0,12,0,20,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,15,0,0,15,0,25,0,0,0,0,0,0,0,233,20,0,0,20,0,256,115,0,0,0,0,0,115,8,4,0,0,4,0,15,0,0,4,0,4,0,4,0,0,0,0,0,0,0,8,4,4,0,10,0,20,0,0,0,0,0,0,0,128,4,4,0,10,0,134,70,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,3,76,79,0,0,0
501011002,886,15,0,0,21,3,909,43,66,0,0,66,0,110,0,11,0,0,13,0,13,0,0,0,0,0,0,0,43,71,8,0,80,0,125,3,0,0,0,0,3,7,931,91,5,0,103,10,1039,1099,12,3,0,11,3,1118,32,52,0,0,52,0,88,0,4,3,0,9,0,9,0,0,0,0,0,0,0,32,57,5,0,62,0,97,3,0,0,0,0,0,3,1141,65,9,0,73,3,1213,628,7,0,0,7,0,639,20,22,3,0,28,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,3,0,26,0,47,3,0,0,0,0,0,3,648,37,3,0,39,0,689,388,3,0,0,3,3,397,10,10,0,0,10,0,18,0,6,3,0,9,0,9,0,0,0,0,0,0,0,10,16,3,0,22,0,28,0,0,0,0,0,0,0,395,19,3,0,27,0,425,538,4,0,0
501011003,491,16,0,0,13,3,505,22,28,0,0,28,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,0,29,0,43,3,0,0,0,0,0,3,509,38,0,0,39,3,552,514,7,0,0,7,0,524,18,33,0,0,33,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,0,0,33,0,49,3,0,0,0,0,0,4,532,41,0,0,41,5,574,272,3,0,0,3,3,277,9,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,11,0,20,3,0,0,0,0,0,3,281,13,0,0,13,3,295,169,0,0,0,0,0,169,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,171,3,0,0,3,0,173,191,0,0,0
501011004,401,14,0,0,14,3,419,25,40,0,0,40,0,66,0,3,0,0,3,0,6,0,0,0,0,0,0,0,30,44,0,0,44,0,75,3,0,0,0,0,0,3,430,61,0,0,61,3,493,430,23,0,0,23,3,454,19,21,0,0,21,0,41,0,3,0,0,4,0,4,0,0,0,0,0,0,0,19,21,0,0,28,0,49,3,0,0,0,0,0,4,454,43,0,0,47,7,501,219,3,0,0,3,0,220,9,13,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,12,0,22,3,0,0,0,0,0,3,226,18,0,0,18,0,246,110,0,0,0,0,0,110,9,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,15,0,0,0,0,0,0,0,112,3,0,0,3,0,120,141,0,0,0
501021005,829,14,0,0,14,0,840,49,53,0,0,54,0,103,0,0,0,0,3,0,8,0,0,0,0,0,0,0,48,54,4,3,63,0,109,3,0,0,0,0,0,3,884,69,4,3,69,0,957,860,10,0,0,10,0,871,43,58,0,3,57,0,96,0,8,0,0,8,0,5,0,0,0,0,0,0,0,45,62,0,3,66,0,105,0,0,0,0,0,0,0,899,74,0,3,76,0,979,515,0,0,0,0,0,521,21,24,0,0,25,0,46,0,3,0,0,6,0,9,0,0,0,0,0,0,0,22,32,0,0,34,0,50,0,0,0,0,0,0,3,536,35,0,0,36,0,575,336,0,0,0,0,0,338,3,14,0,0,14,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,15,0,0,15,0,22,0,0,0,0,0,0,0,343,21,0,0,21,0,363,391,3,0,0
501021007,190,3,0,0,3,3,197,6,3,0,0,3,0,11,0,0,3,0,3,0,3,0,0,0,0,0,0,0,6,3,3,0,11,0,14,0,0,0,0,0,0,0,199,10,3,0,12,3,211,233,7,0,0,7,5,242,3,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,5,5,0,0,0,0,0,5,237,6,0,0,6,5,253,123,3,0,0,3,0,125,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,129,3,0,0,3,0,130,90,3,0,0,3,0,87,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,0,3,89,4,0,0,4,0,95,110,0,0,0
501021008,184,8,0,0,8,0,191,13,36,0,0,35,0,54,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,40,0,0,44,0,58,0,0,0,0,0,0,0,202,49,0,0,46,0,250,153,5,0,0,5,0,156,7,39,0,0,40,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,44,0,54,0,0,0,0,0,0,0,158,44,0,0,50,0,208,93,0,0,0,0,0,92,0,17,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,17,0,0,0,0,0,0,0,92,21,0,0,21,0,113,43,0,0,0,0,0,43,0,9,0,0,9,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,15,0,0,11,0,13,0,0,0,0,0,0,0,41,15,0,0,11,0,58,74,0,0,0
501021009,312,0,0,0,0,0,311,7,8,0,0,8,0,17,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,8,3,0,11,0,19,3,0,0,0,0,0,3,315,8,3,0,11,0,333,333,6,0,0,6,3,337,6,8,0,0,8,0,21,0,0,3,0,3,0,3,0,0,0,0,0,0,0,6,8,3,0,14,0,17,0,0,0,0,0,0,0,338,14,3,0,15,3,362,217,3,0,0,3,0,223,3,9,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,13,0,0,0,0,0,0,0,217,8,0,0,8,0,232,119,0,0,0,0,0,117,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,119,0,0,0,5,0,126,167,4,0,0
501021010,119,0,0,0,0,0,119,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,119,3,0,0,3,0,125,159,3,0,0,3,0,162,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,0,0,0,0,0,0,0,160,10,0,0,10,0,170,106,0,0,0,0,0,106,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,111,3,0,0,3,0,110,75,0,0,0,0,0,75,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,78,0,0,0,0,0,81,88,0,0,0
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
