SA2_MAINCODE_2016,Spks_Eng_on_M,Spks_Eng_on_F,Spks_Eng_on_P,Spks_othr_lang_Afrikaans_M,Spks_othr_lang_Afrikaans_F,Spks_othr_lang_Afrikaans_P,Spks_othr_lang_Arabic_M,Spks_othr_lang_Arabic_F,Spks_othr_lang_Arabic_P,Spks_othr_lang_Aus_Ind_lang_M,Spks_othr_lang_Aus_Ind_lang_F,Spks_othr_lang_Aus_Ind_lang_P,Spks_othr_lan_Chin_lan_Cant_M,Spks_othr_lan_Chin_lan_Cant_F,Spks_othr_lan_Chin_lan_Cant_P,Spks_othr_lan_Chin_lan_Mand_M,Spks_othr_lan_Chin_lan_Mand_F,Spks_othr_lan_Chin_lan_Mand_P,Spks_othr_lan_Chin_lan_othr_M,Spks_othr_lan_Chin_lan_othr_F,Spks_othr_lan_Chin_lan_othr_P,Spks_othr_lan_Chin_lan_Tot_M,Spks_othr_lan_Chin_lan_Tot_F,Spks_othr_lan_Chin_lan_Tot_P,Spks_othr_lang_Croatian_M,Spks_othr_lang_Croatian_F,Spks_othr_lang_Croatian_P,Spks_othr_lang_Dutch_M,Spks_othr_lang_Dutch_F,Spks_othr_lang_Dutch_P,Spks_othr_lang_French_M,Spks_othr_lang_French_F,Spks_othr_lang_French_P,Spks_othr_lang_German_M,Spks_othr_lang_German_F,Spks_othr_lang_German_P,Spks_othr_lang_Greek_M,Spks_othr_lang_Greek_F,Spks_othr_lang_Greek_P,Sp_oth_lan_Indo_Ary_lan_Ben_M,Sp_oth_lan_Indo_Ary_lan_Ben_F,Sp_oth_lan_Indo_Ary_lan_Ben_P,Sp_oth_lan_Indo_Ary_lan_Hin_M,Sp_oth_lan_Indo_Ary_lan_Hin_F,Sp_oth_lan_Indo_Ary_lan_Hin_P,Sp_oth_lan_Ind_Ary_lan_Punj_M,Sp_oth_lan_Ind_Ary_lan_Punj_F,Sp_oth_lan_Ind_Ary_lan_Punj_P,Sp_oth_lan_Ind_Ary_lan_Sinh_M,Sp_oth_lan_Ind_Ary_lan_Sinh_F,Sp_oth_lan_Ind_Ary_lan_Sinh_P,Sp_oth_lan_Indo_Ary_lan_Urd_M,Sp_oth_lan_Indo_Ary_lan_Urd_F,Sp_oth_lan_Indo_Ary_lan_Urd_P,Sp_oth_lan_Indo_Ary_lan_oth_M,Sp_oth_lan_Indo_Ary_lan_oth_F,Sp_oth_lan_Indo_Ary_lan_oth_P,Sp_oth_lan_Indo_Ary_lan_Tot_M,Sp_oth_lan_Indo_Ary_lan_Tot_F,Sp_oth_lan_Indo_Ary_lan_Tot_P,Spks_other_lang_Italian_M,Spks_other_lang_Italian_F,Spks_other_lang_Italian_P,Spks_othr_lang_Japanese_M,Spks_othr_lang_Japanese_F,Spks_othr_lang_Japanese_P,Spks_othr_lang_Korean_M,Spks_othr_lang_Korean_F,Spks_othr_lang_Korean_P,Spks_othr_lang_Macedonian_M,Spks_othr_lang_Macedonian_F,Spks_othr_lang_Macedonian_P,Spks_other_lang_Maltese_M,Spks_other_lang_Maltese_F,Spks_other_lang_Maltese_P,Sp_oth_lan_Persian_ex_Dari_M,Sp_oth_lan_Persian_ex_Dari_F,Sp_oth_lan_Persian_ex_Dari_P,Spks_othr_lang_Polish_M,Spks_othr_lang_Polish_F,Spks_othr_lang_Polish_P,Spks_other_lang_Russian_M,Spks_other_lang_Russian_F,Spks_other_lang_Russian_P,Spks_other_lang_Samoan_M,Spks_other_lang_Samoan_F,Spks_other_lang_Samoan_P,Spks_other_lang_Serbian_M,Spks_other_lang_Serbian_F,Spks_other_lang_Serbian_P,Sp_oth_la_SE_As_Au_la_Fili_M,Sp_oth_la_SE_As_Au_la_Fili_F,Sp_oth_la_SE_As_Au_la_Fili_P,Sp_oth_la_SE_As_Au_la_Indo_M,Sp_oth_la_SE_As_Au_la_Indo_F,Sp_oth_la_SE_As_Au_la_Indo_P,Sp_oth_la_SE_As_Au_la_Tag_M,Sp_oth_la_SE_As_Au_la_Tag_F,Sp_oth_la_SE_As_Au_la_Tag_P,Sp_oth_la_SE_As_Au_la_oth_M,Sp_oth_la_SE_As_Au_la_oth_F,Sp_oth_la_SE_As_Au_la_oth_P,Sp_oth_la_SE_As_Au_la_Tot_M,Sp_oth_la_SE_As_Au_la_Tot_F,Sp_oth_la_SE_As_Au_la_Tot_P,Spks_other_lang_Spanish_M,Spks_other_lang_Spanish_F,Spks_other_lang_Spanish_P,Spks_other_lang_Tamil_M,Spks_other_lang_Tamil_F,Spks_other_lang_Tamil_P,Spks_other_lang_Thai_M,Spks_other_lang_Thai_F,Spks_other_lang_Thai_P,Spks_other_lang_Turkish_M,Spks_other_lang_Turkish_F,Spks_other_lang_Turkish_P,Spks_other_lang_Vietnamese_M,Spks_other_lang_Vietnamese_F,Spks_other_lang_Vietnamese_P,Spks_other_lang_Other_M,Spks_other_lang_Other_F,Spks_other_lang_Other_P,Spks_other_lang_Tot_M,Spks_other_lang_Tot_F,Spks_other_lang_Tot_P,Lang_spoken_home_ns_M,Lang_spoken_home_ns_F,Lang_spoken_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,2299,2320,4623,0,8,9,0,0,0,0,0,0,0,3,3,6,5,16,0,0,0,11,7,14,0,0,0,3,9,9,3,15,18,9,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,9,8,17,0,9,7,0,3,5,0,0,0,14,15,27,0,3,4,0,0,0,7,6,9,0,0,0,0,3,4,16,12,37,80,118,201,240,219,463,48,44,96,2666,2710,5381
501011002,10810,11952,22763,46,53,107,3,4,4,4,5,9,11,12,26,18,33,52,0,0,3,33,46,73,3,5,6,22,35,57,24,31,54,43,51,94,4,0,8,0,0,3,3,9,12,20,17,32,8,12,19,3,0,4,13,13,28,50,47,93,41,49,96,19,24,40,11,9,24,0,3,5,0,0,0,3,4,6,4,10,15,0,5,9,0,0,0,3,0,6,15,19,34,18,33,55,27,29,56,6,15,19,65,98,167,6,7,10,6,3,7,12,41,54,6,4,12,16,33,48,117,120,243,548,707,1247,834,912,1749,119,180,299,12303,13754,26059
501011003,4326,4353,8678,13,12,20,0,0,0,0,0,0,0,0,3,17,24,37,0,0,0,18,20,39,3,0,4,12,17,28,25,28,51,30,40,63,3,3,3,0,0,0,3,0,6,4,0,8,4,7,9,0,0,0,0,0,0,10,7,23,31,36,70,6,8,20,3,0,6,0,0,3,0,0,0,0,0,0,3,3,4,0,4,4,0,0,0,0,4,4,0,4,4,14,9,16,3,4,4,0,3,6,14,15,36,15,12,30,3,0,4,5,9,15,0,0,0,3,8,8,38,42,74,230,268,499,358,358,709,85,90,172,4990,5066,10055
501011004,3568,3744,7311,15,9,27,0,0,5,0,3,3,9,13,16,29,33,65,0,3,3,34,52,84,3,0,0,14,21,31,33,34,64,29,51,78,3,0,7,0,0,0,3,0,3,12,5,18,4,3,4,0,0,0,4,3,6,21,10,31,39,29,67,12,16,28,16,19,38,0,0,0,0,0,0,3,0,5,0,3,5,0,3,3,0,0,0,0,0,0,8,8,16,9,9,18,29,23,46,0,3,3,39,48,84,32,29,65,0,0,0,4,14,17,0,0,0,5,6,8,62,63,124,369,409,781,393,358,754,207,214,424,4538,4727,9261
501021005,7280,7656,14940,65,73,138,5,6,13,3,5,3,3,6,11,35,46,76,0,3,3,33,54,89,0,0,0,16,18,39,12,12,19,10,26,35,0,5,5,0,0,0,12,5,16,3,0,7,3,4,7,3,6,7,10,8,19,31,23,49,41,46,88,12,6,22,4,5,12,3,0,3,0,0,0,5,6,11,3,14,13,0,3,3,4,0,3,4,6,8,11,21,25,9,20,21,14,18,34,19,9,25,46,68,112,14,13,24,3,8,8,5,10,16,0,3,3,3,8,15,93,97,197,417,506,917,478,495,976,22,50,69,8196,8712,16906
501021007,2187,2338,4524,6,5,15,0,0,0,0,0,0,5,3,8,3,9,9,0,0,0,6,10,14,0,0,0,11,3,14,0,3,3,8,8,10,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,7,12,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,8,16,24,67,76,143,158,168,328,5,12,15,2420,2596,5012
501021008,2537,2766,5300,12,16,27,10,8,21,0,4,5,8,5,14,15,23,35,0,0,0,26,28,54,0,0,3,7,9,16,3,4,8,3,6,12,7,4,9,0,3,3,3,3,5,6,3,7,0,0,0,3,0,3,9,5,11,18,20,37,25,22,46,8,3,13,26,7,33,0,0,0,0,0,0,0,0,0,3,4,6,0,3,6,0,0,0,0,0,3,25,35,56,5,6,16,30,31,57,3,9,11,58,82,142,8,10,12,3,5,12,0,5,7,0,0,0,8,8,12,49,61,107,278,304,583,597,265,866,10,10,18,3416,3353,6766
501021009,3796,3791,7592,6,6,14,0,0,3,3,6,8,3,0,3,5,6,13,0,0,3,9,10,20,0,0,0,0,3,3,0,0,3,3,7,17,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,3,3,7,29,32,63,4,3,7,0,0,3,0,0,0,0,0,0,0,0,3,5,12,19,0,0,0,0,0,0,0,0,0,3,5,8,3,5,3,0,3,5,4,6,8,11,20,25,0,0,3,0,0,0,0,6,6,0,0,0,3,6,9,34,24,59,130,151,278,356,329,684,9,16,20,4295,4280,8574
501021010,1406,1420,2825,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,28,30,59,94,85,184,0,5,9,1527,1548,3078
501021011,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13
