SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,18,28,45,463,502,964,0,0,0,19,25,47,0,0,0,315,382,694,3,6,10,4,3,9,14,18,35,5,4,9,7,10,16,0,0,0,6,8,17,7,8,16,36,47,87,4,0,4,4,3,7,83,131,213,83,88,174,3,4,9,1069,1238,2309,4,3,6,3,0,3,0,5,6,0,0,0,0,0,0,4,9,17,4,9,17,1169,1060,2225,17,4,20,3,5,12,1189,1076,2259,327,304,637,48,44,96,2666,2710,5381
501011002,91,182,277,2336,2980,5311,0,0,0,225,259,488,0,0,0,1929,2333,4265,77,81,164,21,22,43,77,114,190,19,23,40,38,65,99,0,0,0,38,57,97,81,92,174,219,241,462,19,47,64,50,65,113,357,530,884,431,493,923,10,11,22,5930,7424,13354,35,36,68,85,62,147,4,3,9,4,4,9,21,13,35,29,50,74,48,70,118,4684,4308,8986,30,42,78,21,34,53,4732,4386,9115,1258,1409,2670,119,180,299,12303,13754,26059
501011003,54,81,132,918,1003,1924,0,0,0,41,42,81,3,3,8,794,910,1703,10,11,18,17,16,36,30,25,55,8,10,16,14,9,22,0,0,0,14,15,27,19,24,44,55,67,121,4,7,14,17,8,26,118,166,286,111,125,238,3,4,10,2155,2461,4615,13,11,23,13,3,17,3,3,6,0,0,0,3,0,3,12,20,37,16,20,41,2106,1875,3972,15,17,29,11,19,35,2131,1905,4037,520,491,1015,85,90,172,4990,5066,10055
501011004,68,96,166,471,556,1027,0,0,0,54,52,104,0,0,0,580,641,1219,4,6,11,14,5,20,44,45,83,3,10,15,5,20,29,0,0,0,4,6,15,10,8,23,57,50,104,3,0,0,0,0,6,66,111,171,60,69,132,0,7,6,1375,1588,2969,14,11,20,21,19,45,5,3,9,0,0,0,12,8,20,10,16,23,21,25,43,2241,2225,4471,20,17,34,9,18,30,2267,2264,4529,550,509,1060,207,214,424,4538,4727,9261
501021005,47,69,113,1394,1648,3035,0,0,0,151,150,302,0,0,0,1606,1865,3476,13,21,36,13,23,34,69,88,157,54,49,97,22,27,44,0,0,0,38,35,73,63,69,129,142,161,304,10,14,24,33,26,56,190,257,448,274,315,590,14,23,39,4081,4780,8857,29,27,56,42,41,80,3,7,7,0,0,0,4,0,11,23,30,55,31,33,64,3166,2934,6102,30,27,56,6,11,22,3212,2965,6180,731,741,1475,22,50,69,8196,8712,16906
501021007,15,18,40,515,547,1059,0,0,0,26,29,59,0,0,0,394,458,855,4,3,4,0,5,4,3,6,10,5,12,14,8,10,14,0,0,0,8,8,14,6,8,14,55,59,121,0,3,3,13,18,32,92,117,204,86,93,176,9,3,8,1212,1379,2593,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,9,17,24,8,22,29,956,910,1866,12,10,20,0,3,3,967,920,1882,208,244,449,5,12,15,2420,2596,5012
501021008,27,38,66,510,643,1154,0,0,0,55,66,124,0,0,0,583,661,1245,12,24,35,6,11,18,29,36,69,10,20,36,3,4,10,0,0,0,24,22,42,32,33,60,34,36,74,8,15,28,8,15,22,68,99,166,77,86,163,3,3,8,1466,1784,3247,21,16,33,18,22,38,3,0,4,0,3,3,6,8,9,8,17,29,17,28,42,1192,1103,2300,17,12,26,11,6,11,1216,1121,2337,648,335,977,10,10,18,3416,3353,6766
501021009,18,29,50,764,859,1625,0,0,0,62,72,126,0,0,0,889,935,1829,28,33,57,3,3,8,18,28,48,11,3,17,7,13,14,4,0,3,20,17,37,10,9,23,42,53,95,18,23,40,6,9,15,155,170,332,110,115,222,4,5,10,2151,2352,4504,7,6,10,3,5,12,0,0,0,0,0,0,4,0,0,15,25,38,19,24,42,1633,1420,3047,9,4,13,9,10,20,1645,1433,3080,447,414,863,9,16,20,4295,4280,8574
501021010,8,4,9,300,373,680,0,0,0,13,16,30,0,0,0,414,409,825,0,3,4,5,0,4,3,6,3,3,3,5,3,3,6,0,0,0,15,7,20,12,10,26,32,32,67,0,4,3,4,8,11,55,53,107,53,62,108,4,9,13,922,995,1921,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,457,404,862,0,0,0,0,0,4,459,405,863,137,125,262,0,5,9,1527,1548,3078
501021011,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13
