SA2_MAINCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,0,0,3,3,4,10,23,48,17,112,0,0,0,0,0,4,0,0,0,3,18,17,45,78,67,85,62,42,25,450,94,143,470,750,733,840,675,301,110,4129
501011002,8,7,11,19,29,61,175,265,148,730,0,8,18,10,11,15,13,10,0,83,86,83,217,222,251,289,295,304,226,1969,700,1155,2567,3261,3356,3232,2903,1652,746,19572
501011003,3,0,3,5,3,15,37,40,11,120,0,0,3,4,3,0,0,0,0,13,22,33,100,123,103,126,88,41,11,649,161,310,1129,1529,1403,1320,1028,365,92,7340
501011004,0,3,3,3,8,19,16,21,11,87,0,0,7,0,3,0,0,0,3,19,54,33,107,107,134,118,93,38,8,690,200,308,1276,1486,1219,1066,643,256,103,6556
501021005,3,0,12,9,20,53,81,92,34,302,0,5,7,7,0,4,0,3,3,32,78,42,131,133,155,132,122,83,34,910,533,805,2151,2274,2285,1949,1330,565,151,12036
501021007,0,0,0,5,3,10,25,50,13,108,0,0,0,0,0,0,0,5,0,5,11,21,26,50,69,56,55,36,7,334,122,200,516,629,762,708,548,206,55,3745
501021008,4,0,3,14,16,38,60,81,48,265,0,0,11,0,3,3,4,3,4,28,27,64,184,165,123,107,96,75,36,882,201,491,1020,875,891,827,597,356,201,5460
501021009,6,0,4,15,6,63,100,110,37,338,0,0,0,3,0,3,4,0,0,11,44,44,108,85,94,122,117,100,47,765,277,514,978,966,1156,1266,897,411,146,6619
501021010,0,0,5,4,4,7,18,23,8,73,0,0,0,0,0,0,0,0,0,0,10,3,20,26,33,38,27,13,8,181,104,127,264,370,509,469,295,121,27,2291
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,10
