SA2_MAINCODE_2016,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_more_15_19_yr,M_3000_more_20_24_yr,M_3000_more_25_34_yr,M_3000_more_35_44_yr,M_3000_more_45_54_yr,M_3000_more_55_64_yr,M_3000_more_65_74_yr,M_3000_more_75_84_yr,M_3000_more_85_yr_over,M_3000_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot
501011001,38,9,0,11,8,20,19,6,0,110,25,5,3,4,5,6,5,3,0,60,5,5,15,14,17,32,29,17,0,136,7,3,8,17,23,28,58,34,13,183,4,3,10,8,18,32,45,18,10,148,9,4,13,25,17,32,40,13,4,148,3,17,13,29,31,32,36,13,0,173,0,3,34,36,42,49,19,8,7,200,0,5,22,44,63,48,26,7,0,217,0,3,13,24,23,26,14,5,0,112,0,3,26,35,30,18,19,7,0,132,0,0,12,24,13,13,3,3,0,70,0,0,12,40,24,9,15,0,0,108,0,0,4,22,19,18,11,3,0,73,27,14,30,52,36,39,27,13,9,238,8,3,11,6,0,4,9,0,0,39,127,75,228,386,374,408,370,148,45,2151,34,5,24,40,25,37,6,3,0,179,47,0,10,22,11,23,6,3,0,121,3,9,26,30,29,38,39,18,0,185
501011002,329,43,34,23,44,71,40,15,12,612,168,24,18,11,10,27,31,5,0,295,56,37,55,50,44,88,101,47,15,491,38,34,32,43,51,85,290,181,55,821,56,26,44,36,56,87,181,119,47,654,59,73,63,53,71,110,166,90,29,707,20,97,89,63,89,131,139,52,16,705,11,78,167,143,143,144,103,33,11,831,4,48,171,209,197,156,79,25,4,905,0,25,119,161,163,98,55,15,4,635,0,14,92,164,166,108,30,12,8,589,0,9,72,113,104,66,14,6,3,387,0,14,107,216,165,120,19,5,3,652,0,0,23,76,98,48,18,4,3,274,74,45,111,114,118,146,135,104,76,924,3,8,19,8,10,17,20,9,0,94,823,577,1214,1492,1526,1512,1412,735,281,9577,282,38,157,136,116,196,60,16,11,1009,212,32,67,94,53,66,34,15,9,576,78,68,104,137,96,173,143,45,21,861
501011003,87,7,5,11,16,29,20,7,4,188,71,0,8,5,6,11,4,3,0,110,11,7,14,20,23,36,33,19,6,166,5,13,8,13,24,25,70,29,4,198,13,8,18,16,24,45,54,28,3,212,15,18,31,23,34,39,33,28,7,236,3,27,36,37,57,41,42,18,0,267,0,8,73,68,77,67,46,12,5,354,3,18,79,104,86,74,41,4,3,407,0,7,56,84,58,51,22,8,3,289,0,3,43,73,66,39,13,11,4,260,0,0,24,63,63,25,10,3,0,188,0,0,41,95,84,59,19,0,0,306,0,0,29,60,58,59,33,5,0,244,30,15,55,47,48,56,56,15,5,338,9,15,26,7,11,3,3,3,0,78,257,166,548,716,726,658,517,196,49,3835,72,12,70,91,48,72,36,5,3,403,65,3,34,37,22,24,15,5,3,205,8,16,40,63,49,52,55,17,4,307
501011004,78,8,12,15,12,24,13,3,0,163,61,7,3,8,3,3,3,3,0,88,15,8,21,21,19,25,19,4,4,141,9,12,19,22,17,38,41,26,4,178,21,12,23,21,24,37,35,15,10,200,8,16,40,35,37,47,37,23,7,247,5,29,63,52,46,38,25,3,9,260,0,17,94,64,67,41,34,10,0,323,0,15,85,103,80,58,22,3,0,372,0,8,52,71,58,34,13,3,0,237,0,3,32,63,46,40,3,3,0,188,0,0,17,44,37,24,3,0,0,132,0,3,45,83,65,27,13,0,0,232,0,0,15,50,32,25,16,0,0,143,40,12,52,60,63,56,43,21,6,362,6,44,69,19,33,16,10,0,0,187,252,185,638,714,645,528,329,119,40,3448,56,7,65,63,33,44,18,10,0,296,69,8,30,45,16,17,11,7,4,198,14,19,54,70,33,33,28,4,4,263
501021005,275,41,21,30,29,44,18,10,3,469,115,14,7,5,11,11,19,4,3,193,46,27,30,28,20,43,68,16,5,284,24,19,12,20,28,40,121,72,21,356,30,18,17,13,23,26,81,48,12,261,21,39,37,31,19,46,73,33,7,292,20,57,54,34,39,46,53,22,6,333,11,60,76,71,56,57,50,5,6,396,6,55,133,111,108,90,45,11,3,557,3,37,106,96,111,93,22,4,0,466,0,20,104,113,133,110,15,0,0,502,0,10,88,98,115,78,15,0,0,406,0,11,162,239,239,109,14,0,0,768,3,5,61,90,78,47,3,3,0,291,57,18,56,74,90,58,52,33,3,445,0,0,4,0,4,0,0,3,0,13,611,417,969,1047,1087,914,646,273,64,6037,192,30,189,148,123,168,47,12,3,904,151,20,77,56,48,50,28,3,0,423,50,40,97,82,79,90,66,22,4,519
501021007,74,4,7,12,4,23,8,3,0,133,24,7,6,4,3,11,7,0,0,60,6,5,4,11,11,18,34,13,0,103,12,3,5,4,18,16,60,26,7,144,11,5,3,6,10,17,54,10,4,132,12,12,11,16,6,26,28,6,4,121,5,10,17,8,21,23,21,6,0,118,0,14,27,18,35,29,16,5,0,150,3,14,41,33,44,29,17,3,4,193,0,3,31,30,31,26,12,0,0,129,0,6,21,31,46,24,0,0,0,134,0,3,12,29,33,21,3,0,0,105,0,0,20,38,40,34,4,0,0,137,0,0,11,17,21,14,4,0,0,63,17,12,14,20,29,26,32,12,0,164,0,0,5,0,0,0,0,0,0,5,165,97,228,286,357,337,304,89,27,1887,57,3,27,30,19,47,14,3,0,193,38,5,5,19,19,19,4,4,0,113,10,3,33,16,15,32,27,10,4,155
501021008,73,14,21,8,10,18,9,4,0,160,27,4,3,7,5,14,4,3,0,73,15,25,23,19,17,37,26,13,0,175,6,20,20,19,22,22,67,44,15,234,11,20,12,14,23,24,38,25,13,177,18,23,27,24,17,18,29,21,12,186,0,35,33,28,25,20,17,6,7,175,3,34,53,36,39,39,18,0,7,234,0,19,54,54,55,40,11,4,3,239,0,4,44,37,36,26,7,0,0,166,0,4,32,32,24,18,5,0,0,124,0,4,35,29,29,31,0,0,4,135,0,0,25,34,34,27,3,0,0,123,0,3,6,12,16,16,0,0,0,55,29,46,145,127,101,69,57,14,12,608,3,0,0,3,0,0,0,0,0,10,196,267,541,477,448,410,298,150,73,2853,61,17,35,31,38,39,12,3,0,233,40,7,18,14,13,18,4,4,0,117,22,22,58,44,40,45,24,18,6,277
501021009,123,36,24,18,16,32,16,0,0,259,52,3,8,6,8,15,10,0,0,105,18,30,31,32,40,56,41,13,9,263,8,13,16,21,31,55,103,59,19,328,8,8,7,16,11,36,66,42,9,211,13,22,16,4,14,45,47,13,3,178,3,25,26,12,18,29,42,9,3,172,7,20,33,24,26,36,25,3,4,173,10,23,33,32,29,49,22,4,4,205,4,17,34,30,27,29,11,3,0,163,0,13,34,38,31,27,8,0,0,144,0,7,36,31,46,32,3,0,0,159,0,31,98,121,178,113,3,0,0,541,3,8,27,34,56,43,8,0,0,175,39,31,49,47,46,52,53,39,19,357,3,3,0,0,0,0,0,0,0,9,291,286,472,470,564,652,458,186,58,3437,94,21,61,55,66,108,19,3,0,419,68,13,31,34,26,31,9,0,0,220,22,30,56,46,52,88,50,16,7,358
501021010,44,0,6,3,12,12,10,0,0,87,24,4,7,0,0,3,5,0,0,42,3,4,5,0,10,13,13,8,0,50,4,3,6,3,6,21,25,13,5,93,6,3,3,4,11,11,17,15,0,76,8,3,3,7,6,11,19,6,0,61,5,9,6,4,9,4,18,4,0,63,3,14,11,14,18,18,10,3,0,84,0,9,26,12,25,16,16,0,0,111,0,0,11,17,17,24,3,0,0,77,0,0,8,24,38,17,5,3,0,99,0,0,10,12,21,18,3,0,0,66,0,3,14,42,46,25,4,3,0,137,0,0,0,13,20,10,3,0,0,56,23,5,4,13,17,20,17,8,3,110,0,0,0,0,0,0,0,0,0,0,115,63,125,186,257,227,160,64,11,1210,29,6,23,21,29,29,11,7,0,154,38,3,7,8,5,13,3,3,0,77,10,3,11,22,22,24,10,6,3,100
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
