SA2_MAINCODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_Not_a_voluntr,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_Volunteer,M_20_24_yr_Not_a_voluntr,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_Volunteer,M_25_34_yr_Not_a_voluntr,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_Volunteer,M_35_44_yr_Not_a_voluntr,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_Volunteer,M_45_54_yr_Not_a_voluntr,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_Volunteer,M_55_64_yr_Not_a_voluntr,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_Volunteer,M_65_74_yr_Not_a_voluntr,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_Volunteer,M_75_84_yr_Not_a_voluntr,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_Volunteer,M_85_yr_over_Not_a_voluntr,M_85_yr_over_Voluntary_wk_ns,M_85yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_Volunteer,M_Tot_Not_a_voluntr,M_Tot_Voluntary_work_ns,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_Not_a_voluntr,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_Volunteer,F_20_24_yr_Not_a_voluntr,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_Volunteer,F_25_34_yr_Not_a_voluntr,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_Volunteer,F_35_44_yr_Not_a_voluntr,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_Volunteer,F_45_54_yr_Not_a_voluntr,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_Volunteer,F_55_64_yr_Not_a_voluntr,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_Volunteer,F_65_74_yr_Not_a_voluntr,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_Volunteer,F_75_84_yr_Not_a_voluntr,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_Volunteer,F_85_yr_over_Not_a_voluntr,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_Volunteer,F_Tot_Not_a_voluntr,F_Tot_Voluntary_work_ns,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_Not_a_voluntr,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_Volunteer,P_20_24_yr_Not_a_voluntr,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_Volunteer,P_25_34_yr_Not_a_voluntr,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_Volunteer,P_35_44_yr_Not_a_voluntr,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_Volunteer,P_45_54_yr_Not_a_voluntr,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_Volunteer,P_55_64_yr_Not_a_voluntr,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_Volunteer,P_65_74_yr_Not_a_voluntr,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_Volunteer,P_75_84_yr_Not_a_voluntr,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_Volunteer,P_85_yr_over_Not_a_voluntr,P_85_yr_over_Voluntary_wk_ns,P_85yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_Volunteer,P_Tot_Not_a_voluntr,P_Tot_Voluntary_work_ns,P_Tot_Overseas_visitors,P_Total_Total
501011001,16,77,22,8,127,12,47,11,3,75,40,153,27,11,228,92,253,44,6,386,102,239,39,0,374,122,246,40,4,408,150,185,27,9,370,52,79,15,0,148,9,30,12,0,45,585,1308,227,39,2151,20,72,20,0,108,11,60,7,5,85,68,170,20,16,270,123,213,33,4,376,123,202,30,3,365,142,255,38,3,443,120,170,28,5,316,54,77,21,3,159,5,44,14,0,67,663,1269,215,46,2195,33,150,41,8,234,18,106,15,14,158,106,318,47,26,502,215,461,75,9,764,223,447,72,3,739,258,502,80,9,849,265,355,52,9,687,112,157,36,4,308,16,74,22,0,110,1248,2573,439,85,4345
501011002,203,546,71,3,823,78,460,34,8,577,158,928,117,19,1214,358,1025,98,8,1492,378,1030,105,10,1526,287,1076,133,17,1512,336,943,118,20,1412,164,457,112,9,735,34,181,68,0,281,1981,6649,854,94,9577,232,493,72,14,817,111,426,49,25,612,281,1000,95,35,1410,579,1097,109,20,1804,576,1140,123,20,1859,455,1163,116,17,1753,449,919,141,16,1526,199,566,156,11,934,38,294,131,3,468,2912,7101,1005,155,11177,434,1039,141,22,1638,188,885,78,33,1190,432,1921,212,51,2627,937,2119,209,30,3293,953,2174,232,28,3383,739,2242,248,33,3263,781,1861,265,37,2944,363,1020,267,21,1668,72,478,199,4,752,4893,13747,1858,249,20749
501011003,68,149,34,9,257,15,125,15,15,166,68,407,49,26,548,172,484,45,7,716,217,446,51,11,726,143,449,57,3,658,143,321,49,3,517,66,111,19,3,196,10,36,0,0,49,901,2529,327,78,3835,83,109,21,8,218,25,111,16,14,170,109,453,52,15,631,298,467,61,6,836,222,421,39,16,701,183,418,63,3,673,195,286,39,4,515,54,103,10,4,173,7,30,4,0,50,1175,2403,308,79,3964,151,253,60,19,484,41,235,28,23,335,177,855,97,45,1178,469,954,108,11,1549,440,866,94,26,1429,325,875,123,11,1325,335,603,88,6,1035,115,218,31,6,370,24,63,4,0,99,2079,4930,640,154,7798
501011004,49,154,34,6,252,25,103,17,44,185,70,447,57,69,638,175,465,57,19,714,193,359,66,33,645,139,314,59,16,528,82,194,45,10,329,23,70,22,0,119,3,28,3,0,40,766,2141,357,187,3448,51,126,37,14,232,34,109,22,28,186,105,540,63,76,779,280,464,49,32,822,212,342,53,22,632,158,347,51,15,570,122,155,41,7,327,40,84,18,3,143,5,57,3,0,68,1011,2208,337,193,3755,106,282,79,20,477,60,212,37,66,375,180,989,115,140,1416,457,922,110,49,1537,408,695,117,51,1273,298,657,112,35,1096,202,351,87,15,657,64,154,35,3,260,11,86,8,0,108,1776,4349,696,386,7205
501021005,118,436,57,0,611,62,346,14,0,417,136,773,54,4,969,232,745,66,0,1047,206,813,73,4,1087,167,684,55,0,914,152,436,58,0,646,57,175,39,3,273,3,50,10,0,64,1136,4461,426,13,6037,130,369,57,3,552,51,302,36,7,390,222,902,64,3,1192,360,799,67,4,1230,289,825,83,4,1203,200,769,58,12,1045,185,432,62,3,685,62,181,45,0,291,8,60,19,0,88,1509,4642,490,33,6672,247,800,109,3,1155,115,643,47,7,805,360,1669,119,3,2160,593,1545,140,3,2274,497,1637,154,9,2292,370,1460,116,16,1964,337,875,117,6,1336,116,362,84,4,567,15,113,29,0,151,2648,9104,916,46,12707
501021007,36,115,14,0,165,13,74,8,0,97,40,167,15,5,228,62,208,17,0,286,76,251,30,0,357,64,252,18,0,337,61,219,25,0,304,17,62,14,0,89,3,17,6,0,27,362,1366,149,5,1887,42,86,10,4,142,17,71,15,0,104,79,195,18,4,295,118,203,21,3,347,127,243,37,0,405,88,261,21,0,372,74,146,26,0,242,35,66,19,0,117,3,17,7,0,29,583,1291,168,12,2050,74,197,30,4,304,29,151,26,0,205,113,362,36,6,518,174,413,39,3,631,206,498,61,0,768,148,515,41,0,710,141,363,48,0,547,47,125,30,0,208,11,39,6,0,55,947,2658,315,15,3936
501021008,31,135,23,3,196,33,176,49,0,267,72,327,148,0,541,51,285,133,3,477,67,293,93,0,448,44,301,65,0,410,41,200,51,0,298,16,103,30,0,150,0,53,17,0,73,359,1880,604,10,2853,27,128,17,0,168,34,168,25,0,225,70,364,40,3,477,86,281,37,0,402,87,332,25,0,443,82,305,33,6,422,54,207,37,0,304,20,151,44,0,214,5,102,25,0,130,467,2032,278,14,2792,54,265,43,3,364,73,348,68,0,494,141,692,183,3,1022,141,564,171,3,874,154,622,124,0,892,123,601,98,7,836,99,407,92,0,598,35,248,68,0,357,6,156,38,0,199,822,3916,888,19,5640
501021009,58,200,34,3,291,37,221,26,3,286,79,342,46,0,472,101,324,39,0,470,143,386,38,0,564,131,467,55,0,652,105,309,46,0,458,30,114,42,0,186,8,41,14,0,58,686,2393,345,9,3437,63,155,50,3,267,50,165,17,3,239,112,343,43,0,509,167,296,35,0,493,145,402,43,5,600,158,397,53,0,613,118,275,49,0,441,36,150,45,0,225,0,60,28,0,90,853,2238,365,10,3476,115,353,84,6,555,86,386,50,4,522,198,690,91,3,981,265,620,72,0,966,288,783,80,3,1163,294,859,108,0,1265,219,582,98,0,903,65,264,81,0,413,8,92,45,0,146,1543,4631,716,20,6914
501021010,30,75,16,0,115,10,51,7,0,63,16,99,10,0,125,65,107,16,0,186,81,166,7,0,257,60,148,19,0,227,55,93,15,0,160,9,42,8,0,64,0,10,6,0,11,320,778,106,0,1210,29,72,5,3,106,18,45,0,0,66,35,88,9,3,138,86,82,13,0,185,92,147,12,0,255,73,158,22,0,249,41,74,20,0,136,9,41,12,0,61,3,13,0,0,16,391,720,95,5,1213,57,139,24,3,219,25,93,10,0,129,59,187,20,3,271,151,191,27,3,373,171,318,25,0,514,130,301,41,0,469,93,166,36,0,295,27,77,23,0,126,4,16,8,0,27,711,1494,198,9,2418
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10
