SA2_MAINCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
501011001,118,284,164,89,99,82,9,849,68,173,115,145,110,58,9,687,26,53,53,65,64,44,4,308,16,23,11,12,27,29,0,110,733,1167,692,604,602,470,85,4345
501011002,511,1004,549,383,509,273,33,3263,303,672,531,515,577,309,37,2944,157,304,210,232,442,318,21,1668,66,81,58,59,267,220,4,752,4058,5481,2770,2464,3677,2041,249,20749
501011003,225,453,236,129,151,119,11,1325,118,275,223,168,152,102,6,1035,39,89,76,49,66,37,6,370,13,14,18,13,28,12,0,99,1561,2279,1223,916,992,669,154,7798
501011004,178,364,176,97,137,112,35,1096,73,187,120,83,90,90,15,657,27,44,42,37,66,37,3,260,10,14,9,8,51,12,0,108,1443,2054,965,700,929,729,386,7205
501021005,313,604,366,257,288,126,16,1964,125,305,271,231,272,124,6,1336,57,108,93,82,126,101,4,567,17,25,16,23,50,25,0,151,2621,3630,1800,1660,2008,943,46,12707
501021007,102,216,133,108,106,44,0,710,55,132,100,106,98,56,0,547,13,36,38,32,45,35,0,208,7,5,12,7,17,10,0,55,715,1109,581,557,637,330,15,3936
501021008,119,239,112,73,178,108,7,836,63,108,94,72,167,103,0,598,32,49,41,42,121,77,0,357,13,14,15,7,112,42,0,199,1021,1303,590,521,1267,922,19,5640
501021009,167,328,205,208,236,115,0,1265,77,169,136,167,229,114,0,903,31,69,37,58,124,90,0,413,18,22,6,11,53,45,0,146,1129,1705,921,974,1378,778,20,6914
501021010,75,138,98,59,48,46,0,469,23,55,62,64,49,39,0,295,11,18,22,28,25,21,0,126,3,6,0,0,7,8,0,27,489,655,374,355,299,228,9,2418
501021011,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,10
501021012,219,377,197,126,207,91,9,1228,87,219,169,161,212,77,4,931,56,106,79,84,163,86,6,583,21,28,11,13,127,45,0,244,1855,2349,1182,1061,1727,653,51,8878
501021014,184,327,187,168,186,119,3,1167,86,190,169,169,179,137,3,927,34,82,63,77,134,91,0,475,12,23,18,13,56,18,0,134,1310,1688,946,953,1328,869,69,7164
501021015,148,252,135,104,172,47,3,865,66,139,97,101,150,59,3,627,36,68,52,71,101,57,3,387,25,16,9,15,51,24,0,143,1104,1453,676,620,1101,447,36,5434
501021016,76,141,121,85,99,71,0,586,44,77,75,85,94,69,3,443,22,46,24,43,72,78,0,277,12,15,7,3,29,40,0,101,529,768,449,481,561,448,4,3234
501021251,128,202,84,65,103,35,9,623,47,109,91,60,88,34,3,434,19,29,25,14,41,15,4,149,3,7,5,0,6,7,0,24,1474,1768,801,707,1122,379,42,6290
501021252,84,153,91,64,52,25,0,467,21,44,63,55,45,21,0,249,9,14,13,11,27,6,4,82,4,9,0,0,6,7,0,32,479,644,368,313,351,116,11,2280
501021253,297,559,251,180,266,115,16,1690,142,320,215,210,254,139,13,1291,72,133,109,90,231,110,0,741,36,72,33,24,259,54,0,480,2108,2773,1228,1008,1959,900,118,10104
501021254,88,167,86,68,182,50,3,644,42,95,66,68,140,50,3,471,25,29,22,28,65,46,0,226,3,6,8,0,21,6,0,47,731,1009,450,445,967,424,21,4052
501031017,157,323,197,143,150,89,4,1053,94,218,195,196,171,105,0,967,28,68,49,59,115,78,0,406,10,20,15,7,45,29,0,122,845,1337,790,750,811,533,37,5105
501031018,135,292,169,154,112,103,3,967,61,169,162,132,128,100,6,753,32,44,34,47,85,68,0,314,10,19,8,4,47,13,0,107,782,1189,716,658,684,545,65,4644
501031019,118,222,147,67,132,63,0,746,67,119,72,71,95,57,0,487,33,55,41,52,85,69,0,335,12,18,10,7,40,41,0,126,863,1129,605,500,790,461,38,4382
501031020,130,259,158,147,143,106,22,968,85,189,144,152,145,110,4,824,29,49,44,53,63,66,0,311,12,13,14,8,26,12,0,83,656,1112,639,601,684,566,143,4394
502011021,124,268,167,135,160,52,10,914,87,207,186,195,185,77,9,944,16,62,45,66,89,47,0,333,5,10,4,0,18,11,0,42,941,1371,791,792,1004,357,26,5287
502011022,185,404,166,156,209,57,5,1178,120,251,196,206,289,107,3,1168,52,93,80,88,151,58,0,520,23,20,10,13,50,20,0,142,1301,1878,884,866,1380,478,32,6823
502011023,145,298,175,145,206,71,6,1054,106,219,158,145,267,97,10,998,96,199,132,148,362,168,0,1106,33,49,34,16,170,56,0,359,1364,1908,986,976,1939,679,27,7876
502011024,354,689,387,292,377,112,28,2241,238,517,440,380,539,191,11,2319,139,256,209,195,378,187,3,1363,46,65,34,35,171,91,0,442,2782,3698,1961,1738,3011,1040,87,14319
502011025,208,353,179,136,294,144,28,1353,113,270,172,158,341,177,17,1239,67,136,93,81,250,165,0,796,30,43,20,23,137,108,0,360,1456,1908,832,759,1909,1093,100,8055
502011026,119,246,143,145,157,62,6,876,95,188,141,144,214,77,0,858,34,76,66,66,113,44,0,398,4,18,3,7,33,11,0,80,803,1195,631,627,988,343,19,4607
502011027,257,536,277,167,299,72,24,1626,145,296,234,210,311,88,12,1299,82,133,121,97,234,82,7,751,19,32,30,18,182,77,0,353,2757,3533,1737,1474,2719,794,76,13086
502011028,227,373,225,149,295,108,4,1394,156,328,219,237,391,134,8,1461,83,165,96,127,371,122,0,969,25,42,24,25,212,62,0,388,1452,1995,1000,934,2195,714,29,8319
502011029,173,276,183,147,195,129,4,1106,123,203,163,181,236,127,3,1034,53,124,78,91,191,131,0,662,16,34,12,16,94,35,0,205,1294,1802,904,1024,1515,819,23,7374
503011030,151,285,158,70,96,33,4,790,63,130,131,103,87,24,8,549,71,141,109,91,98,32,3,542,28,57,21,23,97,29,0,262,1300,1359,767,569,907,224,66,5192
