SA2_MAINCODE_2016,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
501011001,3,93,19,8,127,3,53,14,3,75,10,183,25,11,228,21,322,43,6,386,27,310,36,0,374,53,306,40,4,408,43,287,29,9,370,17,108,11,0,148,8,26,9,0,45,187,1693,238,39,2151,0,88,17,0,108,9,62,4,5,85,19,211,20,16,270,37,291,40,4,376,49,272,33,3,365,89,308,47,3,443,45,241,32,5,316,10,120,27,3,159,9,42,20,0,67,269,1638,241,46,2195,7,180,44,8,234,13,118,19,14,158,31,391,46,26,502,52,613,79,9,764,79,585,72,3,739,143,613,85,9,849,86,531,62,9,687,33,228,41,4,308,12,69,27,0,110,454,3329,479,85,4345
501011002,20,717,82,3,823,24,507,36,8,577,71,1002,126,19,1214,106,1269,107,8,1492,145,1250,119,10,1526,181,1177,140,17,1512,144,1111,142,20,1412,70,547,121,9,735,22,181,69,0,281,780,7752,948,94,9577,33,686,82,14,817,27,513,51,25,612,119,1160,101,35,1410,199,1466,117,20,1804,293,1404,136,20,1859,348,1255,131,17,1753,214,1121,172,16,1526,66,669,187,11,934,13,306,151,3,468,1314,8586,1120,155,11177,54,1400,162,22,1638,51,1015,87,33,1190,190,2162,228,51,2627,309,2728,227,30,3293,440,2662,252,28,3383,528,2428,275,33,3263,359,2231,313,37,2944,127,1218,305,21,1668,33,489,220,4,752,2096,16336,2069,249,20749
501011003,9,210,38,9,257,0,134,19,15,166,20,448,45,26,548,47,610,52,7,716,47,615,50,11,726,75,517,58,3,658,27,433,54,3,517,16,154,22,3,196,4,39,6,0,49,255,3163,345,78,3835,6,181,27,8,218,5,132,17,14,170,46,516,53,15,631,62,689,75,6,836,91,544,46,16,701,127,476,65,3,673,70,407,37,4,515,20,130,19,4,173,0,39,5,0,50,428,3115,342,79,3964,16,389,57,19,484,9,268,33,23,335,70,965,102,45,1178,109,1304,120,11,1549,137,1160,100,26,1429,199,996,121,11,1325,102,838,91,6,1035,38,290,43,6,370,9,79,11,0,99,681,6274,683,154,7798
501011004,7,195,39,6,252,4,127,11,44,185,15,500,56,69,638,42,590,63,19,714,34,513,69,33,645,59,387,63,16,528,27,243,50,10,329,9,87,20,0,119,5,31,3,0,40,198,2680,382,187,3448,9,173,44,14,232,3,132,21,28,186,42,607,58,76,779,83,653,57,32,822,80,471,59,22,632,102,398,54,15,570,36,244,45,7,327,16,107,20,3,143,0,55,6,0,68,365,2832,363,193,3755,16,364,81,20,477,10,265,36,66,375,55,1104,116,140,1416,125,1242,120,49,1537,109,984,124,51,1273,163,788,122,35,1096,64,488,97,15,657,25,192,34,3,260,4,90,9,0,108,562,5508,743,386,7205
501021005,30,520,56,0,611,24,385,14,0,417,70,834,58,4,969,83,906,65,0,1047,94,914,73,4,1087,104,746,60,0,914,64,527,59,0,646,24,211,37,3,273,6,46,8,0,64,503,5078,440,13,6037,28,467,52,3,552,26,331,29,7,390,116,999,69,3,1192,137,1012,75,4,1230,180,939,85,4,1203,198,774,61,12,1045,97,521,62,3,685,29,209,56,0,291,6,65,23,0,88,812,5306,517,33,6672,63,982,114,3,1155,45,710,45,7,805,191,1832,130,3,2160,219,1915,140,3,2274,273,1850,160,9,2292,304,1525,121,16,1964,159,1043,127,6,1336,51,413,97,4,567,10,108,33,0,151,1319,10387,954,46,12707
501021007,5,140,14,0,165,0,86,9,0,97,15,196,11,5,228,16,248,18,0,286,28,302,32,0,357,39,275,24,0,337,32,244,28,0,304,3,71,13,0,89,3,18,8,0,27,136,1580,161,5,1887,5,123,17,4,142,9,83,9,0,104,27,244,19,4,295,45,275,20,3,347,61,313,39,0,405,78,265,21,0,372,34,180,27,0,242,14,74,23,0,117,0,23,7,0,29,275,1590,180,12,2050,8,265,28,4,304,9,170,22,0,205,42,441,35,6,518,58,530,42,3,631,82,612,65,0,768,121,539,42,0,710,70,424,54,0,547,18,143,42,0,208,3,42,9,0,55,416,3166,342,15,3936
501021008,3,164,22,3,196,12,205,50,0,267,25,369,151,0,541,28,311,136,3,477,51,310,89,0,448,52,291,71,0,410,28,212,58,0,298,9,104,29,0,150,4,48,15,0,73,208,2015,623,10,2853,13,135,20,0,168,11,189,19,0,225,43,392,46,3,477,47,316,37,0,402,92,323,29,0,443,84,294,38,6,422,35,222,51,0,304,17,146,52,0,214,5,99,26,0,130,345,2121,311,14,2792,20,300,47,3,364,22,396,72,0,494,68,761,190,3,1022,79,633,172,3,874,140,635,123,0,892,134,586,109,7,836,62,434,105,0,598,22,253,83,0,357,8,144,39,0,199,552,4132,935,19,5640
501021009,11,240,42,3,291,14,236,37,3,286,33,385,51,0,472,42,388,38,0,470,66,449,50,0,564,88,507,60,0,652,53,346,61,0,458,13,128,50,0,186,5,40,14,0,58,328,2714,389,9,3437,24,182,55,3,267,12,200,22,3,239,68,398,42,0,509,76,381,37,0,493,107,435,48,5,600,112,436,60,0,613,59,322,65,0,441,14,165,42,0,225,0,57,35,0,90,478,2571,408,10,3476,33,421,94,6,555,20,438,58,4,522,101,780,100,3,981,119,768,70,0,966,173,885,101,3,1163,205,943,121,0,1265,116,668,121,0,903,34,290,93,0,413,8,93,49,0,146,808,5282,800,20,6914
501021010,11,91,14,0,115,3,55,5,0,63,4,110,14,0,125,10,164,16,0,186,27,216,9,0,257,42,166,18,0,227,14,128,19,0,160,0,52,11,0,64,0,7,6,0,11,111,983,114,0,1210,8,97,8,3,106,10,51,0,0,66,16,115,11,3,138,18,161,14,0,185,46,199,10,0,255,62,161,21,0,249,11,102,17,0,136,3,52,9,0,61,0,12,0,0,16,172,944,90,5,1213,12,185,22,3,219,15,103,6,0,129,17,227,25,3,271,25,316,26,3,373,74,416,22,0,514,101,330,37,0,469,29,236,33,0,295,3,98,25,0,126,0,17,8,0,27,280,1926,201,9,2418
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10
