SA2_MAINCODE_2016,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_T,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_v,M15_19_yr_T,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_T,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_v,M20_24_yr_T,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_T,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_v,M25_34_yr_T,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_T,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_v,M35_44_yr_T,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_T,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_v,M45_54_yr_T,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_T,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_v,M55_64_yr_T,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_T,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_v,M65_74_yr_T,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_T,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_v,M75_84_yr_T,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_T,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_v,M85ovr_T,MT_C_Own_chld_childrn,MT_C_Oth_ch_chiln,MT_Ca_Ow_ch_ch_oth_ch_ch,MT_C_for_T,MT_D_not_prov_ch_care,MT_U_ch_care_ns,MT_OS_v,MT_T,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_T,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_v,F15_19_yr_T,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_T,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_v,F20_24_yr_T,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_T,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_v,F25_34_yr_T,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_T,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_v,F35_44_yr_T,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_T,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_v,F45_54_yr_T,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_T,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_v,F55_64_yr_T,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_T,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_v,F65_74_yr_T,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_T,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_v,F75_84_yr_T,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_T,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_v,F85ovr_T,FT_C_Own_chld_childrn,FT_C_Oth_ch_chiln,FT_Ca_Ow_ch_ch_oth_ch_ch,FT_C_for_T,FT_D_not_prov_ch_care,FT_U_ch_care_ns,FT_OS_v,FT_T,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_T,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_v,P15_19_yr_T,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_T,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_v,P20_24_yr_T,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_T,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_v,P25_34_yr_T,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_T,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_v,P35_44_yr_T,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_T,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_v,P45_54_yr_T
501011001,0,0,0,0,96,21,8,127,4,3,0,5,45,14,3,75,58,6,0,63,125,27,11,228,194,11,4,211,129,40,6,386,98,15,3,120,225,38,0,374,22,35,0,58,304,39,4,408,0,31,0,33,294,30,9,370,0,7,0,7,121,10,0,148,0,0,0,0,34,10,0,45,383,110,12,502,1380,226,39,2151,3,7,0,6,81,19,0,108,12,0,0,12,60,7,5,85,122,5,8,134,98,24,16,270,227,18,18,262,71,34,4,376,87,22,9,124,207,30,3,365,3,70,0,75,320,42,3,443,3,52,0,56,233,28,5,316,0,4,0,4,125,24,3,159,0,0,0,0,52,15,0,67,453,192,32,676,1245,225,46,2195,3,7,0,6,177,47,8,234,17,6,0,19,109,17,14,158,179,14,9,204,223,46,26,502,417,26,24,472,202,72,9,764,189,39,12,241,432,71,3,739
501011002,3,37,0,40,701,74,3,823,35,29,0,62,465,40,8,577,396,43,10,447,635,113,19,1214,821,39,28,886,491,104,8,1492,454,42,9,506,902,106,10,1526,57,130,0,186,1178,133,17,1512,14,134,0,151,1109,136,20,1412,4,20,0,26,593,107,9,735,0,0,0,0,211,65,0,281,1794,465,56,2313,6283,881,94,9577,6,72,0,76,642,75,14,817,72,42,0,112,423,51,25,612,715,46,53,811,471,92,35,1410,1086,64,73,1226,448,107,20,1804,486,152,15,657,1051,135,20,1859,41,345,0,386,1224,126,17,1753,3,212,3,216,1140,155,16,1526,8,27,0,35,720,162,11,934,0,0,0,0,327,139,3,468,2420,960,138,3521,6451,1051,155,11177,17,104,0,122,1341,156,22,1638,105,73,3,181,886,92,33,1190,1111,87,65,1258,1103,207,51,2627,1903,102,105,2113,940,211,30,3293,938,198,28,1163,1956,237,28,3383
501011003,3,14,0,17,205,35,9,257,0,5,0,6,131,15,15,166,134,10,0,148,324,45,26,548,431,11,14,459,196,46,7,716,288,26,6,315,350,52,11,726,22,54,0,71,523,56,3,658,3,74,0,78,388,50,3,517,0,10,0,11,161,26,3,196,0,0,0,0,42,0,0,49,890,203,22,1108,2315,327,78,3835,0,11,0,9,173,21,8,218,8,11,0,21,115,21,14,170,254,27,17,302,259,55,15,631,555,20,43,614,147,66,6,836,225,25,5,256,384,39,16,701,9,136,0,148,452,64,3,673,3,117,0,122,351,38,4,515,0,15,0,19,136,15,4,173,0,0,0,0,44,7,0,50,1060,369,70,1503,2057,327,79,3964,6,20,0,26,377,58,19,484,13,20,0,34,247,31,23,335,395,37,21,454,580,100,45,1178,987,30,55,1076,344,111,11,1549,509,54,12,571,733,91,26,1429
501011004,0,14,0,11,188,38,6,252,5,4,0,15,119,12,44,185,122,14,5,145,374,53,69,638,392,8,12,412,224,54,19,714,217,15,9,239,307,68,33,645,40,36,0,79,380,56,16,528,6,48,0,56,216,45,10,329,0,6,0,7,90,15,0,119,0,0,0,0,39,3,0,40,793,145,23,962,1948,352,187,3448,0,15,0,15,161,43,14,232,11,7,0,20,118,22,28,186,245,25,16,284,364,56,76,779,497,24,43,559,179,51,32,822,206,24,10,243,306,53,22,632,14,105,0,118,383,51,15,570,4,73,0,78,200,41,7,327,3,7,0,15,111,18,3,143,3,0,0,3,61,9,0,68,970,291,73,1333,1885,338,193,3755,0,23,0,28,350,85,20,477,17,12,0,32,241,30,66,375,370,44,23,429,739,109,140,1416,883,31,55,972,405,109,49,1537,427,39,20,486,619,119,51,1273
501021005,7,33,0,35,517,52,0,611,27,16,0,50,359,14,0,417,419,32,15,471,438,59,4,969,622,24,19,664,321,64,0,1047,311,32,5,345,670,75,4,1087,41,88,3,128,725,52,0,914,3,84,0,87,503,58,0,646,0,11,0,11,225,36,3,273,0,0,0,0,54,6,0,64,1423,324,43,1792,3815,422,13,6037,9,53,0,59,432,52,3,552,62,28,4,96,257,31,7,390,683,65,41,791,331,64,3,1192,835,33,35,907,249,66,4,1230,293,121,15,428,688,79,4,1203,21,249,4,273,699,59,12,1045,0,113,0,112,511,60,3,685,0,17,0,19,218,57,0,291,0,0,0,0,69,22,0,88,1899,685,99,2688,3463,488,33,6672,13,83,0,99,952,108,3,1155,91,47,6,140,620,45,7,805,1105,103,53,1262,772,123,3,2160,1454,58,58,1570,569,133,3,2274,597,158,23,774,1362,152,9,2292
501021007,0,12,0,14,131,17,0,165,14,0,0,17,72,9,0,97,77,4,3,85,124,12,5,228,144,10,3,165,106,18,0,286,94,10,3,111,219,31,0,357,19,31,0,47,267,23,0,337,4,39,0,41,236,23,0,304,0,0,0,3,74,13,0,89,0,0,0,0,19,8,0,27,354,112,11,481,1252,152,5,1887,7,14,0,15,109,9,4,142,20,9,5,24,66,7,0,104,145,14,8,170,104,17,4,295,203,17,12,233,91,15,3,347,95,34,7,134,236,33,0,405,3,76,0,83,263,26,0,372,0,44,0,48,176,20,0,242,0,3,0,9,86,23,0,117,0,0,0,0,26,7,0,29,469,206,33,714,1166,164,12,2050,7,27,0,32,238,30,4,304,30,6,5,41,139,21,0,205,227,16,12,253,226,32,6,518,344,29,19,390,198,33,3,631,190,41,5,244,454,68,0,768
501021008,0,7,0,7,160,28,3,196,16,13,0,30,180,50,0,267,110,17,5,129,270,146,0,541,177,8,0,192,149,133,3,477,83,12,3,99,264,88,0,448,14,33,0,51,297,68,0,410,0,20,0,23,218,50,0,298,0,4,0,4,113,24,0,150,0,0,0,0,57,17,0,73,401,122,12,533,1711,596,10,2853,8,12,0,19,138,14,0,168,40,21,0,61,151,23,0,225,184,21,11,216,220,39,3,477,206,13,7,230,136,37,0,402,67,55,4,126,290,25,0,443,9,80,0,85,288,41,6,422,3,44,0,48,213,43,0,304,0,4,0,4,158,52,0,214,0,0,0,0,104,26,0,130,517,246,23,793,1690,297,14,2792,8,22,0,26,293,38,3,364,56,29,4,92,333,70,0,494,297,34,14,346,489,182,3,1022,386,24,15,420,284,171,3,874,149,66,6,228,550,119,0,892
501021009,3,11,0,14,236,37,3,291,20,13,0,28,225,31,3,286,168,19,8,189,233,51,0,472,218,22,5,244,181,41,0,470,133,26,0,159,370,34,0,564,29,77,3,104,485,60,0,652,3,44,0,44,357,56,0,458,0,5,0,5,138,42,0,186,3,0,0,3,47,14,0,58,572,212,12,798,2272,360,9,3437,3,20,0,22,190,49,3,267,46,21,3,73,144,13,3,239,273,28,14,313,143,43,0,509,271,26,16,316,145,35,0,493,101,92,6,202,346,43,5,600,17,145,0,163,400,53,0,613,0,53,0,53,335,52,0,441,0,8,0,13,172,47,0,225,0,0,0,0,53,31,0,90,718,401,38,1167,1927,366,10,3476,7,31,0,43,425,88,6,555,70,32,3,99,373,46,4,522,438,43,21,503,381,93,3,981,492,49,21,562,326,73,0,966,236,117,9,362,715,76,3,1163
501021010,0,6,0,6,94,14,0,115,0,3,0,3,53,5,0,63,42,3,7,51,71,8,0,125,107,0,0,106,67,16,0,186,75,6,0,90,156,7,0,257,14,21,0,36,169,21,0,227,0,24,0,24,120,17,0,160,0,0,0,0,54,9,0,64,0,0,0,0,7,6,0,11,239,66,9,312,784,108,0,1210,0,9,0,12,90,6,3,106,7,6,0,13,49,0,0,66,75,5,6,91,42,11,3,138,124,4,12,139,35,14,0,185,75,18,0,95,149,12,0,255,10,53,0,56,166,18,0,249,0,19,0,19,93,16,0,136,0,4,0,3,50,7,0,61,0,0,0,0,10,0,0,16,297,114,18,433,683,89,5,1213,0,17,0,19,178,23,3,219,7,8,0,18,98,5,0,129,114,6,10,135,105,24,3,271,228,3,13,245,100,21,3,373,153,26,4,186,309,25,0,514
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
