SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
501011001,29,108,0,133,629,80,9,849,3,89,0,87,531,58,9,687,0,16,0,16,252,39,4,308,0,0,0,0,86,29,0,110,834,300,46,1179,2628,455,85,4345
501011002,99,473,0,571,2402,259,33,3263,18,341,3,366,2250,291,37,2944,12,48,0,58,1318,273,21,1668,3,0,0,3,537,211,4,752,4208,1423,195,5828,12734,1936,249,20749
501011003,33,187,0,223,972,123,11,1325,8,195,0,198,741,84,6,1035,0,29,0,29,294,45,6,370,0,0,0,0,84,7,0,99,1946,574,93,2609,4376,653,154,7798
501011004,52,141,0,197,763,108,35,1096,12,126,0,138,420,89,15,657,3,15,0,17,203,33,3,260,3,0,0,3,91,7,0,108,1765,432,95,2294,3829,688,386,7205
501021005,63,331,8,408,1427,115,16,1964,6,194,0,200,1015,115,6,1336,0,27,0,28,448,89,4,567,0,3,0,3,123,29,0,151,3324,1003,144,4474,7276,908,46,12707
501021007,19,108,0,135,529,46,0,710,4,81,3,84,414,42,0,547,0,6,0,6,163,31,0,208,0,0,0,0,45,9,0,55,822,317,48,1187,2420,312,15,3936
501021008,25,114,0,137,588,104,7,836,3,67,0,71,433,97,0,598,0,6,0,6,271,78,0,357,0,0,0,3,158,37,0,199,918,371,34,1328,3401,893,19,5640
501021009,39,228,3,273,879,113,0,1265,5,94,0,103,694,110,0,903,0,18,0,18,314,90,0,413,3,0,0,0,101,44,0,146,1292,616,49,1960,4204,725,20,6914
501021010,25,72,0,100,335,36,0,469,0,43,0,44,220,34,0,295,0,8,0,9,100,18,0,126,0,0,0,0,21,8,0,27,529,182,27,746,1470,195,9,2418
501021011,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10
501021012,38,242,3,281,843,90,9,1228,12,128,0,133,715,77,4,931,6,16,0,21,471,86,6,583,0,0,0,0,210,38,0,244,2107,678,102,2892,5331,606,51,8878
501021014,32,176,4,213,842,110,3,1167,6,109,3,117,701,106,3,927,3,17,0,20,371,83,0,475,0,0,0,0,115,13,0,134,1320,533,71,1923,4372,796,69,7164
501021015,21,159,0,175,633,48,3,865,4,104,0,115,455,59,3,627,0,13,0,16,315,52,3,387,0,0,0,0,117,24,0,143,1058,452,50,1556,3416,427,36,5434
501021016,10,87,0,99,425,68,0,586,0,44,0,45,339,62,3,443,0,4,0,9,200,74,0,277,0,0,0,3,59,37,0,101,574,253,27,860,1959,411,4,3234
