SA2_MAINCODE_2016,M_Husb_a_r_mar_0_14,M_Husb_a_r_mar_15_24,M_Husb_a_r_mar_25_34,M_Husb_a_r_mar_35_44,M_Husb_a_r_mar_45_54,M_Husb_a_r_mar_55_64,M_Husb_a_r_mar_65_74,M_Husb_a_r_mar_75_84,M_Husb_a_r_mar_85,M_Husb_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85,M_Vis_from_within_Aus_Tot,M_OS_v_0_14_yr,M_OS_v_15_24_yr,M_OS_v_25_34_yr,M_OS_v_35_44_yr,M_OS_v_45_54_yr,M_OS_v_55_64_yr,M_OS_v_65_74_yr,M_OS_v_75_84_yr,M_OS_v_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Husb_a_r_mar_0_14,F_Husb_a_r_mar_15_24,F_Husb_a_r_mar_25_34,F_Husb_a_r_mar_35_44,F_Husb_a_r_mar_45_54,F_Husb_a_r_mar_55_64,F_Husb_a_r_mar_65_74,F_Husb_a_r_mar_75_84,F_Husb_a_r_mar_85,F_Husb_a_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85,F_Oth_rel_ind_Tot
501011001,..,0,48,166,172,209,226,105,19,956,..,10,51,88,52,39,16,0,0,253,..,0,0,6,18,9,0,0,3,39,457,..,..,..,..,..,..,..,..,457,..,73,..,..,..,..,..,..,..,73,..,42,23,14,4,4,3,0,0,93,..,3,7,9,4,11,0,0,0,35,..,5,5,0,3,0,0,0,0,12,..,10,13,7,11,13,3,0,0,54,..,6,11,35,60,66,56,20,16,267,9,10,25,18,18,24,25,6,0,136,0,9,10,0,0,3,3,0,0,25,467,166,198,347,341,371,338,137,38,2401,..,3,98,197,192,246,194,61,17,999,..,14,76,77,49,29,13,3,0,260,..,7,10,31,40,8,0,6,5,112,465,..,..,..,..,..,..,..,..,465,..,73,..,..,..,..,..,..,..,73,..,47,13,0,5,9,0,0,0,67,..,4,0,0,3,3,0,5,0,12
501011002,..,13,329,829,848,878,935,465,124,4418,..,95,306,222,193,125,52,15,8,1031,..,3,10,42,64,33,9,3,7,179,2492,..,..,..,..,..,..,..,..,2492,..,494,..,..,..,..,..,..,..,494,..,467,129,38,34,14,0,0,0,691,..,47,39,7,10,14,15,6,3,147,..,49,30,14,8,7,3,0,0,113,..,50,72,39,48,23,15,13,4,270,..,33,106,99,134,175,166,120,60,897,67,65,62,58,44,60,64,16,7,441,12,10,10,3,3,6,10,0,0,53,2565,1325,1092,1364,1394,1339,1284,637,217,11219,..,34,554,953,971,938,845,357,49,4699,..,164,317,241,205,107,44,12,4,1107,..,29,147,284,262,88,25,18,22,882,2346,..,..,..,..,..,..,..,..,2346,..,517,..,..,..,..,..,..,..,517,..,299,73,25,18,21,9,0,0,441,..,41,15,5,12,35,32,21,18,182
501011003,..,3,150,420,425,382,318,134,27,1858,..,6,118,100,76,52,27,9,0,394,..,3,0,19,25,12,9,0,3,72,1049,..,..,..,..,..,..,..,..,1049,..,172,..,..,..,..,..,..,..,172,..,118,38,14,5,3,0,0,0,179,..,9,12,3,5,5,0,0,0,31,..,17,19,4,4,7,3,0,0,57,..,19,71,19,19,12,10,0,0,150,..,7,33,48,77,83,55,21,8,329,33,24,30,17,29,37,45,12,3,217,4,10,12,0,4,0,3,0,0,39,1084,373,475,656,666,589,471,174,49,4541,..,9,258,513,419,385,306,87,10,1986,..,26,135,112,70,47,16,7,0,413,..,0,25,66,73,23,4,3,3,201,1003,..,..,..,..,..,..,..,..,1003,..,150,..,..,..,..,..,..,..,150,..,81,30,4,3,0,3,0,0,123,..,10,7,3,0,8,3,5,3,42
501011004,..,3,122,348,281,249,152,68,20,1242,..,27,144,135,103,52,17,3,0,472,..,0,3,23,23,17,8,0,0,67,1000,..,..,..,..,..,..,..,..,1000,..,148,..,..,..,..,..,..,..,148,..,99,37,11,5,3,0,0,0,156,..,13,14,7,0,6,4,3,0,41,..,11,33,5,10,4,3,0,0,61,..,36,82,24,18,4,3,0,0,176,..,14,39,60,64,67,42,17,3,306,15,11,33,27,24,43,35,12,0,204,0,25,32,4,13,3,5,0,0,91,1013,378,549,646,546,445,259,94,23,3958,..,8,212,407,266,247,130,46,7,1328,..,30,196,149,87,44,7,5,0,520,..,5,38,101,109,29,10,7,6,300,880,..,..,..,..,..,..,..,..,880,..,132,..,..,..,..,..,..,..,132,..,72,23,7,0,6,0,0,0,108,..,4,6,0,3,6,7,5,3,38
501021005,..,21,397,666,721,649,496,193,48,3184,..,74,230,145,110,69,21,10,0,650,..,3,10,35,35,14,3,3,0,109,2005,..,..,..,..,..,..,..,..,2005,..,345,..,..,..,..,..,..,..,345,..,355,101,33,18,0,0,0,0,509,..,46,22,0,12,11,4,9,0,107,..,36,17,12,0,3,0,0,0,67,..,29,28,13,22,10,7,3,0,115,..,31,82,76,97,84,66,29,11,478,36,39,36,17,12,18,15,7,0,193,9,0,4,0,4,0,0,3,0,22,2049,982,926,995,1025,867,604,255,65,7782,..,41,587,761,770,690,424,147,15,3435,..,113,256,156,117,67,26,6,0,735,..,22,102,183,121,44,10,11,9,492,1898,..,..,..,..,..,..,..,..,1898,..,347,..,..,..,..,..,..,..,347,..,218,60,13,15,3,3,0,0,306,..,29,7,0,13,19,16,9,9,107
501021007,..,3,73,136,218,218,194,65,18,919,..,17,52,57,49,28,16,0,0,222,..,0,3,10,12,4,8,0,3,34,496,..,..,..,..,..,..,..,..,496,..,93,..,..,..,..,..,..,..,93,..,86,29,21,12,0,0,0,0,150,..,5,3,3,3,3,5,0,0,23,..,4,7,7,4,0,0,0,0,22,..,6,11,3,6,5,12,0,0,49,..,7,10,23,30,46,43,15,3,186,16,12,12,12,10,8,13,3,0,82,0,0,5,0,0,0,0,0,0,5,512,247,208,269,336,317,285,82,23,2289,..,5,108,182,240,222,163,44,8,982,..,30,64,62,42,37,7,0,0,245,..,16,38,46,43,22,10,11,3,185,488,..,..,..,..,..,..,..,..,488,..,93,..,..,..,..,..,..,..,93,..,50,24,9,4,0,0,0,0,92,..,8,6,0,6,6,11,3,6,38
501021008,..,8,102,159,166,186,149,85,27,872,..,35,78,59,38,33,8,3,0,252,..,0,7,20,25,13,8,0,3,70,497,..,..,..,..,..,..,..,..,497,..,90,..,..,..,..,..,..,..,90,..,130,48,15,19,7,0,0,0,220,..,26,17,0,3,3,3,0,0,52,..,18,14,3,5,0,0,0,0,42,..,50,65,9,18,17,10,3,0,173,..,14,51,64,76,90,60,19,5,380,17,15,21,13,11,10,5,3,0,102,0,3,0,0,0,0,0,0,0,4,516,384,401,344,363,350,237,115,35,2756,..,23,132,176,175,188,134,59,13,898,..,54,96,48,48,20,7,0,0,277,..,30,69,78,71,34,15,9,9,305,495,..,..,..,..,..,..,..,..,495,..,90,..,..,..,..,..,..,..,90,..,72,18,8,7,5,0,0,0,113,..,17,9,0,10,19,7,3,7,65
501021009,..,8,130,212,296,357,273,108,25,1404,..,50,100,85,77,55,19,0,3,385,..,3,6,14,24,10,3,3,0,70,788,..,..,..,..,..,..,..,..,788,..,149,..,..,..,..,..,..,..,149,..,212,65,31,16,15,0,0,0,337,..,20,11,7,4,13,8,3,4,76,..,20,6,0,3,3,0,0,0,32,..,20,15,8,3,13,8,3,0,75,..,20,52,43,89,123,98,34,11,475,22,26,35,10,14,17,11,6,0,148,0,3,0,0,0,0,0,0,0,6,811,525,415,417,530,606,426,161,42,3944,..,16,185,253,327,367,224,84,5,1459,..,77,123,70,85,44,15,4,0,416,..,27,79,77,68,24,20,9,3,305,746,..,..,..,..,..,..,..,..,746,..,132,..,..,..,..,..,..,..,132,..,126,32,12,5,0,0,0,0,172,..,21,5,0,11,8,8,10,3,65
501021010,..,0,43,105,170,141,110,40,10,616,..,8,19,24,22,18,9,3,0,104,..,0,0,5,7,3,0,0,0,18,295,..,..,..,..,..,..,..,..,295,..,67,..,..,..,..,..,..,..,67,..,70,19,3,6,0,0,0,0,108,..,4,0,0,3,0,3,0,0,18,..,0,0,0,0,0,3,0,0,7,..,0,4,0,7,12,3,0,0,22,..,7,13,12,25,25,21,10,3,120,7,7,7,5,4,10,6,6,0,63,0,0,0,0,0,0,0,0,0,0,307,169,122,170,247,210,153,59,13,1446,..,3,65,134,161,164,82,32,3,652,..,15,29,22,31,15,3,0,0,116,..,3,10,9,27,12,3,3,3,67,314,..,..,..,..,..,..,..,..,314,..,72,..,..,..,..,..,..,..,72,..,49,13,7,3,0,0,0,0,66,..,4,0,0,3,4,0,4,0,22
501021011,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
