SA2_MAINCODE_2016,FP_15_19_Nbr_ch_ev_brn_No,FP_15_19_Nbr_ch_ev_brn_1,FP_15_19_Nbr_ch_ev_brn_2,FP_15_19_Nbr_ch_ev_brn_3,FP_15_19_Nbr_ch_ev_brn_4,FP_15_19_Nbr_ch_ev_brn_5,FP_15_19_Nbr_ch_ev_brn_6,FP_15_19_Nbr_ch_ev_brn_Ns,FP_15_19_Tot,FP_20_24_Nbr_ch_ev_brn_No,FP_20_24_Nbr_ch_ev_brn_1,FP_20_24_Nbr_ch_ev_brn_2,FP_20_24_Nbr_ch_ev_brn_3,FP_20_24_Nbr_ch_ev_brn_4,FP_20_24_Nbr_ch_ev_brn_5,FP_20_24_Nbr_ch_ev_brn_6,FP_20_24_Nbr_ch_ev_brn_Ns,FP_20_24_Tot,FP_25_29_Nbr_ch_ev_brn_No,FP_25_29_Nbr_ch_ev_brn_1,FP_25_29_Nbr_ch_ev_brn_2,FP_25_29_Nbr_ch_ev_brn_3,FP_25_29_Nbr_ch_ev_brn_4,FP_25_29_Nbr_ch_ev_brn_5,FP_25_29_Nbr_ch_ev_brn_6,FP_25_29_Nbr_ch_ev_brn_Ns,FP_25_29_Tot,FP_30_34_Nbr_ch_ev_brn_No,FP_30_34_Nbr_ch_ev_brn_1,FP_30_34_Nbr_ch_ev_brn_2,FP_30_34_Nbr_ch_ev_brn_3,FP_30_34_Nbr_ch_ev_brn_4,FP_30_34_Nbr_ch_ev_brn_5,FP_30_34_Nbr_ch_ev_brn_6,FP_30_34_Nbr_ch_ev_brn_Ns,FP_30_34_Tot,FP_35_39_Nbr_ch_ev_brn_No,FP_35_39_Nbr_ch_ev_brn_1,FP_35_39_Nbr_ch_ev_brn_2,FP_35_39_Nbr_ch_ev_brn_3,FP_35_39_Nbr_ch_ev_brn_4,FP_35_39_Nbr_ch_ev_brn_5,FP_35_39_Nbr_ch_ev_brn_6,FP_35_39_Nbr_ch_ev_brn_Ns,FP_35_39_Tot,FP_40_44_Nbr_ch_ev_brn_No,FP_40_44_Nbr_ch_ev_brn_1,FP_40_44_Nbr_ch_ev_brn_2,FP_40_44_Nbr_ch_ev_brn_3,FP_40_44_Nbr_ch_ev_brn_4,FP_40_44_Nbr_ch_ev_brn_5,FP_40_44_Nbr_ch_ev_brn_6,FP_40_44_Nbr_ch_ev_brn_Ns,FP_40_44_Tot,FP_45_49_Nbr_ch_ev_brn_No,FP_45_49_Nbr_ch_ev_brn_1,FP_45_49_Nbr_ch_ev_brn_2,FP_45_49_Nbr_ch_ev_brn_3,FP_45_49_Nbr_ch_ev_brn_4,FP_45_49_Nbr_ch_ev_brn_5,FP_45_49_Nbr_ch_ev_brn_6,FP_45_49_Nbr_ch_ev_brn_Ns,FP_45_49_Tot,FP_50_54_Nbr_ch_ev_brn_No,FP_50_54_Nbr_ch_ev_brn_1,FP_50_54_Nbr_ch_ev_brn_2,FP_50_54_Nbr_ch_ev_brn_3,FP_50_54_Nbr_ch_ev_brn_4,FP_50_54_Nbr_ch_ev_brn_5,FP_50_54_Nbr_ch_ev_brn_6,FP_50_54_Nbr_ch_ev_brn_Ns,FP_50_54_Tot,FP_55_59_Nbr_ch_ev_brn_No,FP_55_59_Nbr_ch_ev_brn_1,FP_55_59_Nbr_ch_ev_brn_2,FP_55_59_Nbr_ch_ev_brn_3,FP_55_59_Nbr_ch_ev_brn_4,FP_55_59_Nbr_ch_ev_brn_5,FP_55_59_Nbr_ch_ev_brn_6,FP_55_59_Nbr_ch_ev_brn_Ns,FP_55_59_Tot,FP_60_64_Nbr_ch_ev_brn_No,FP_60_64_Nbr_ch_ev_brn_1,FP_60_64_Nbr_ch_ev_brn_2,FP_60_64_Nbr_ch_ev_brn_3,FP_60_64_Nbr_ch_ev_brn_4,FP_60_64_Nbr_ch_ev_brn_5,FP_60_64_Nbr_ch_ev_brn_6,FP_60_64_Nbr_ch_ev_brn_Ns,FP_60_64_Tot,FP_65_69_Nbr_ch_ev_brn_No,FP_65_69_Nbr_ch_ev_brn_1,FP_65_69_Nbr_ch_ev_brn_2,FP_65_69_Nbr_ch_ev_brn_3,FP_65_69_Nbr_ch_ev_brn_4,FP_65_69_Nbr_ch_ev_brn_5,FP_65_69_Nbr_ch_ev_brn_6,FP_65_69_Nbr_ch_ev_brn_Ns,FP_65_69_Tot,FP_70_74_Nbr_ch_ev_brn_No,FP_70_74_Nbr_ch_ev_brn_1,FP_70_74_Nbr_ch_ev_brn_2,FP_70_74_Nbr_ch_ev_brn_3,FP_70_74_Nbr_ch_ev_brn_4,FP_70_74_Nbr_ch_ev_brn_5,FP_70_74_Nbr_ch_ev_brn_6,FP_70_74_Nbr_ch_ev_brn_Ns,FP_70_74_Tot,FP_75_79_Nbr_ch_ev_brn_No,FP_75_79_Nbr_ch_ev_brn_1,FP_75_79_Nbr_ch_ev_brn_2,FP_75_79_Nbr_ch_ev_brn_3,FP_75_79_Nbr_ch_ev_brn_4,FP_75_79_Nbr_ch_ev_brn_5,FP_75_79_Nbr_ch_ev_brn_6,FP_75_79_Nbr_ch_ev_brn_Ns,FP_75_79_Tot,FP_80_84_Nbr_ch_ev_brn_No,FP_80_84_Nbr_ch_ev_brn_1,FP_80_84_Nbr_ch_ev_brn_2,FP_80_84_Nbr_ch_ev_brn_3,FP_80_84_Nbr_ch_ev_brn_4,FP_80_84_Nbr_ch_ev_brn_5,FP_80_84_Nbr_ch_ev_brn_6,FP_80_84_Nbr_ch_ev_brn_Ns,FP_80_84_Tot,FP_85_over_Nbr_ch_ev_brn_No,FP_85_over_Nbr_ch_ev_brn_1,FP_85_over_Nbr_ch_ev_brn_2,FP_85_over_Nbr_ch_ev_brn_3,FP_85_over_Nbr_ch_ev_brn_4,FP_85_over_Nbr_ch_ev_brn_5,FP_85_over_Nbr_ch_ev_brn_6,FP_85_over_Nbr_ch_ev_brn_Ns,Age_grps_FP_85_over_Tot,FP_Tot_Num_child_evr_brn_No,FP_Tot_Num_child_evr_brn_1,FP_Tot_Num_child_evr_brn_2,FP_Tot_Num_child_evr_brn_3,FP_Tot_Num_child_evr_brn_4,FP_Tot_Num_child_evr_brn_5,FP_Tot_Num_child_evr_brn_6,FP_Tot_Num_child_evr_brn_Ns,FP_Tot_Tot
501011001,87,0,0,0,0,0,0,22,108,61,8,0,0,0,0,0,8,76,50,12,5,4,0,0,0,6,89,42,43,37,20,0,0,0,19,165,25,34,85,32,3,0,0,26,205,24,24,60,30,13,0,0,13,165,23,25,64,35,8,0,3,23,180,24,17,61,35,13,9,5,13,185,32,13,69,62,19,3,0,19,214,29,11,78,64,21,3,0,22,229,13,9,66,48,22,6,0,17,191,10,5,56,28,17,3,0,11,129,10,4,23,21,12,8,6,3,85,8,0,13,18,13,14,3,5,75,3,3,5,16,15,7,6,9,67,446,216,636,409,166,59,23,199,2150
501011002,693,9,0,3,0,0,0,97,799,441,54,34,3,0,0,0,54,592,278,125,100,41,7,3,0,51,606,168,164,223,123,20,6,6,49,771,115,105,306,179,66,16,4,50,837,110,102,376,202,77,20,13,53,947,114,135,373,186,61,17,24,55,965,98,82,305,201,90,14,17,66,871,88,89,306,238,73,23,14,54,881,83,66,319,227,68,24,10,53,858,64,80,304,226,96,31,12,72,881,46,37,226,159,70,20,13,62,628,34,24,94,151,82,36,16,63,494,23,17,84,92,84,38,23,58,424,20,24,85,91,91,34,41,85,468,2378,1102,3136,2115,885,285,192,933,11025
501011003,176,0,0,0,0,0,0,30,208,125,8,0,3,0,0,0,21,157,140,37,24,0,0,0,0,28,235,115,102,86,32,10,0,0,33,378,53,59,168,68,5,0,3,24,390,38,59,181,84,20,0,3,39,433,42,51,138,78,24,3,3,23,359,41,37,123,68,28,5,3,21,320,33,26,110,98,33,3,0,34,345,25,29,124,85,27,11,0,25,325,28,17,129,77,27,3,0,24,299,21,13,79,56,24,3,3,11,213,4,7,22,39,19,8,0,7,110,3,0,16,18,11,6,0,5,61,0,3,16,7,4,3,4,4,50,858,447,1213,723,243,55,24,329,3885
501011004,161,0,0,0,0,0,0,55,218,125,10,4,0,0,0,0,22,162,185,36,24,7,0,0,0,38,288,177,82,89,32,10,0,0,30,415,77,73,134,57,22,3,3,22,389,54,64,165,72,16,3,3,25,395,53,51,141,55,13,0,0,21,336,29,45,112,48,13,4,3,22,272,40,31,104,65,20,3,4,32,303,37,18,88,59,26,0,0,16,249,10,21,71,42,17,4,3,27,197,14,15,37,25,12,5,0,14,122,8,3,22,24,15,0,0,6,79,3,0,4,10,13,11,7,8,64,8,5,6,28,15,6,4,3,68,978,440,997,537,184,50,28,347,3559
501021005,470,10,0,0,0,0,0,67,546,268,50,21,8,0,0,3,31,382,212,126,113,26,12,5,0,39,538,120,106,264,99,30,11,0,32,654,50,85,232,121,47,16,0,29,586,51,59,272,160,51,7,4,35,642,56,67,233,149,52,10,6,43,624,42,45,235,142,64,8,5,41,572,37,55,226,167,58,19,12,36,608,31,27,159,119,49,19,9,19,431,34,27,151,125,46,7,5,26,415,14,12,84,76,42,17,4,26,265,5,16,44,52,29,9,8,25,188,4,0,21,24,26,7,5,11,108,0,3,22,23,13,5,3,15,88,1411,681,2055,1286,513,140,69,477,6639
501021007,109,7,0,0,0,0,0,22,138,67,16,4,0,0,0,0,9,104,60,20,25,11,0,0,0,10,123,50,26,53,23,8,0,0,11,166,27,19,50,38,8,0,0,13,152,22,28,65,38,16,3,8,11,189,21,27,65,48,22,4,4,17,209,29,22,78,42,16,0,0,16,198,21,15,79,51,28,3,0,9,203,15,15,60,42,13,4,3,12,163,10,9,52,41,23,8,0,13,151,6,3,22,32,6,4,0,7,88,4,3,10,23,18,13,3,5,76,0,0,6,5,12,5,6,5,39,0,3,6,6,3,4,3,3,29,447,205,584,392,173,50,27,165,2042
501021008,143,4,0,0,0,0,0,21,168,152,29,14,3,6,0,0,26,225,125,41,42,11,4,3,0,15,243,74,54,49,19,8,4,0,25,228,31,33,73,26,7,4,0,27,207,35,25,61,37,18,11,5,12,192,22,30,70,42,21,14,8,11,213,35,21,78,57,20,6,3,17,229,23,16,69,56,18,8,7,21,224,16,24,64,50,17,3,0,16,189,15,11,64,45,24,7,3,20,186,8,4,39,27,16,12,0,4,115,4,5,21,26,18,9,9,12,116,3,6,9,27,22,6,4,20,99,8,0,27,17,24,10,16,20,130,687,315,693,443,216,106,54,259,2782
501021009,217,6,0,0,0,0,0,45,267,149,37,13,9,0,0,0,20,235,105,50,60,21,7,0,0,31,272,37,35,73,43,14,9,0,14,233,37,31,66,52,16,6,4,15,228,19,31,112,64,21,7,9,12,269,33,25,112,68,35,9,5,24,308,16,24,94,76,34,14,9,17,284,23,24,99,92,46,9,6,19,326,21,19,103,71,38,8,7,20,289,13,9,84,73,43,10,0,23,260,7,9,39,56,37,12,5,15,179,6,5,19,35,17,15,5,20,120,4,3,23,18,21,12,13,15,107,3,0,9,21,15,7,7,25,90,681,306,924,690,340,108,77,328,3461
501021010,98,0,0,0,0,0,0,7,103,54,5,0,0,0,0,0,0,59,18,16,13,0,0,0,0,4,57,23,10,22,16,3,0,0,6,84,7,13,32,17,10,0,0,7,92,11,9,39,26,8,3,0,4,100,9,18,54,30,13,5,8,8,142,20,16,43,18,13,0,3,3,112,14,8,52,30,14,0,0,13,134,14,11,32,28,16,0,9,10,112,0,3,34,24,12,0,3,7,82,0,4,15,13,5,3,0,3,51,0,0,5,11,8,3,3,3,40,0,0,3,6,4,3,0,6,20,0,0,0,3,0,3,3,0,16,267,108,348,229,105,30,30,85,1200
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
