SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
501011001,724,1423,3,9,54,221,12,37,382,1432,441,1701,25,89,31,87,71,194,125,373,564,2072,0,0,15,55,0,4,72,176,90,226,0,10,14,29,52,113,63,147,151,372,11,22,1456,3896
501011002,3071,5997,56,295,270,1208,92,387,1639,6382,2053,8276,101,397,223,704,448,1323,770,2430,2830,10703,16,58,88,318,28,108,477,1297,609,1788,36,122,120,252,298,619,448,991,1061,2786,69,131,7028,19619
501011003,1202,2324,16,74,113,495,24,98,847,3215,1006,3884,35,132,74,220,147,422,250,779,1251,4658,4,12,20,70,7,22,125,309,155,412,4,13,39,72,77,140,118,226,268,638,13,25,2735,7655
501011004,843,1628,11,54,83,381,17,87,744,2769,857,3292,29,98,60,184,92,280,183,568,1038,3860,3,10,30,118,16,44,189,473,236,634,4,20,34,81,88,182,131,281,369,917,16,27,2271,6429
501021005,1886,3666,32,168,238,1045,83,379,1396,5415,1746,7003,79,325,154,476,348,1049,587,1861,2335,8862,9,52,46,167,27,89,298,820,379,1124,21,66,46,98,153,330,221,499,599,1622,41,91,4861,14240
501021007,665,1296,10,35,58,285,17,73,325,1271,413,1677,20,88,41,125,98,304,162,518,569,2194,0,5,16,54,8,20,109,297,134,378,3,8,14,32,64,134,88,179,216,556,12,25,1470,4063
501021008,641,1259,10,48,44,192,22,89,309,1179,383,1500,12,46,34,116,120,383,169,542,559,2047,5,13,22,78,19,56,175,438,215,593,5,15,35,82,119,248,163,345,378,940,33,62,1612,4306
501021009,972,1922,15,88,84,395,44,185,477,1845,620,2514,44,167,45,155,219,674,306,994,928,3507,0,5,35,128,11,53,169,486,222,673,13,30,31,62,118,245,153,340,376,1015,29,71,2307,6507
501021010,386,759,6,51,58,251,14,65,203,821,283,1184,15,72,29,90,64,203,111,360,393,1552,0,7,3,10,6,13,34,92,47,123,3,19,3,6,35,71,46,98,89,220,7,11,873,2541
501021011,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
