SA2_MAINCODE_2016,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,Inc_1_149_CF_no_chldren,Inc_1_149_CFwith_chldren,Inc_1_149_One_PF,Inc_1_149_Oth_family,Inc_1_149_Total,Inc_150_299_CF_no_chldren,Inc_150_299_CFwith_chldren,Inc_150_299_OnePF,Inc_150_299_Oth_family,Inc_150_299_Total,Inc_300_399_CF_no_chldren,Inc_300_399_CFwith_chldren,Inc_300_399_OnePF,Inc_300_399_Oth_family,Inc_300_399_Total,Inc_400_499_CF_no_chldren,Inc_400_499_CFwith_chldren,Inc_400_499_OnePF,Inc_400_499_Oth_family,Inc_400_499_Total,Inc_500_649_CF_no_chldren,Inc_500_649_CFwith_chldren,Inc_500_649_OnePF,Inc_500_649_Oth_family,Inc_500_649_Total,Inc_650_799_CF_no_chldren,Inc_650_799_CFwith_chldren,Inc_650_799_OnePF,Inc_650_799_Oth_family,Inc_650_799_Total,Inc_800_999_CF_no_chldren,Inc_800_999_CFwith_chldren,Inc_800_999_OnePF,Inc_800_999_Oth_family,Inc_800_999_Total,Inc_1000_1249_CF_no_chldren,Inc_1000_1249_CFwith_chldren,Inc_1000_1249_OnePF,Inc_1000_1249_Oth_family,Inc_1000_1249_Total,Inc_1250_1499_CF_no_chldren,Inc_1250_1499_CFwith_chldren,Inc_1250_1499_OnePF,Inc_1250_1499_Oth_family,Inc_1250_1499_Total,Inc_1500_1749_CF_no_chldren,Inc_1500_1749_CFwith_chldren,Inc_1500_1749_OnePF,Inc_1500_1749_Oth_family,Inc_1500_1749_Total,Inc_1750_1999_CF_no_chldren,Inc_1750_1999_CFwith_chldren,Inc_1750_1999_OnePF,Inc_1750_1999_Oth_family,Inc_1750_1999_Total,Inc_2000_2499_CF_no_chldren,Inc_2000_2499_CFwith_chldren,Inc_2000_2499_OnePF,Inc_2000_2499_Oth_family,Inc_2000_2499_Total,Inc_2500_2999_CF_no_chldren,Inc_2500_2999_CFwith_chldren,Inc_2500_2999_OnePF,Inc_2500_2999_Oth_family,Inc_2500_2999_Total,Inc_3000_3499_CF_no_chldren,Inc_3000_3499_CFwith_chldren,Inc_3000_3499_OnePF,Inc_3000_3499_Oth_family,Inc_3000_3499_Total,Inc_3500_3999_CF_no_chldren,Inc_3500_3999_CFwith_chldren,Inc_3500_3999_OnePF,Inc_3500_3999_Oth_family,Inc_3500_3999_Total,Inc_4000orMore_CF_no_chldren,Inc_4000orMore_CFwith_chldren,Inc_4000orMore_OnePF,Inc_4000orMore_Oth_family,Inc_4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
501011001,16,8,0,0,25,0,4,0,0,4,11,3,4,0,12,7,4,6,0,12,34,7,14,0,49,17,11,29,0,58,99,19,20,0,134,63,33,7,0,107,73,36,22,0,127,88,50,13,0,147,44,45,6,0,91,50,59,5,0,113,69,66,9,4,148,34,52,3,0,92,26,28,0,0,50,10,23,0,0,27,26,29,3,0,60,54,107,14,0,174,20,0,0,0,24,724,564,151,11,1456
501011002,42,9,22,0,76,18,5,9,0,39,16,9,40,0,65,14,0,49,0,64,118,13,77,4,218,79,16,123,3,228,501,52,116,3,679,280,78,124,13,492,302,170,129,7,605,298,199,89,6,596,154,259,47,5,470,167,227,40,7,445,303,428,47,6,791,178,331,10,0,524,124,192,9,0,325,51,110,4,0,168,104,179,3,0,286,246,507,96,0,847,65,25,15,0,111,3071,2830,1061,69,7028
501011003,28,3,7,0,37,9,0,3,0,13,4,7,11,0,18,4,3,14,0,22,40,8,16,0,66,35,8,29,0,73,93,18,25,0,136,86,28,27,0,137,99,59,36,0,202,125,82,12,0,217,70,82,12,3,167,94,102,5,5,210,129,193,14,0,340,73,137,3,0,219,57,74,4,0,140,35,73,8,0,113,84,114,3,0,201,109,253,38,0,406,16,9,3,0,34,1202,1251,268,13,2735
501011004,14,5,3,0,21,7,0,5,0,10,5,3,7,0,18,5,0,11,0,16,21,4,25,0,56,11,18,56,0,86,70,17,40,0,129,61,44,51,3,156,68,84,49,3,201,81,96,19,0,197,50,85,16,0,151,74,84,10,0,172,130,140,19,4,289,70,96,3,0,170,32,52,4,0,92,19,34,0,0,58,28,76,0,0,105,97,191,32,0,323,14,11,4,0,22,843,1038,369,16,2271
501021005,26,6,13,3,48,15,4,7,0,24,8,7,19,0,38,12,4,19,0,38,62,7,45,0,112,50,19,70,0,131,209,31,79,4,334,141,59,56,0,254,150,79,53,5,285,169,119,48,3,334,107,170,31,3,313,112,184,30,4,338,222,407,43,7,679,161,282,12,5,455,112,170,4,0,284,48,151,9,0,210,79,203,10,0,296,175,414,49,0,636,29,22,6,0,62,1886,2335,599,41,4861
501021007,10,0,10,0,17,4,5,0,0,3,3,0,3,0,10,9,0,5,0,19,36,4,18,0,51,18,13,30,3,66,93,10,29,0,128,48,8,20,0,80,51,29,23,0,107,49,34,12,0,104,38,43,15,0,90,40,39,8,0,88,76,98,13,3,187,48,59,0,0,107,31,47,3,0,79,17,27,3,0,41,20,51,3,0,73,61,101,20,0,188,17,6,7,0,29,665,569,216,12,1470
501021008,3,0,4,0,7,5,0,0,0,11,3,5,9,0,20,3,0,14,0,16,25,4,31,0,67,22,7,71,0,102,96,19,49,0,164,50,26,41,4,122,54,34,32,5,117,59,70,30,4,161,36,51,10,0,101,42,42,13,3,100,70,90,10,3,183,35,59,9,0,102,14,29,3,0,48,10,17,4,0,25,17,19,0,0,38,70,77,36,0,190,19,9,12,0,37,641,559,378,33,1612
501021009,5,3,8,0,19,12,3,3,0,20,9,3,18,0,29,7,0,26,0,35,59,11,35,0,106,29,16,55,3,103,158,22,55,5,237,87,14,42,7,150,81,45,32,0,163,64,58,12,3,137,40,54,12,0,107,39,52,17,0,105,86,152,16,4,260,60,104,12,3,176,42,60,3,3,109,39,35,3,0,80,44,108,0,0,151,88,168,22,3,284,18,10,6,0,38,972,928,376,29,2307
501021010,5,0,3,0,11,4,0,0,0,9,0,0,0,0,3,3,0,0,0,3,15,0,10,0,27,10,4,7,3,22,54,5,7,0,66,39,10,3,0,48,33,15,7,0,49,28,22,7,0,63,18,28,0,0,49,24,28,5,0,66,43,51,7,0,108,21,52,0,0,75,22,36,3,0,60,16,19,4,0,39,17,37,0,0,60,27,75,12,0,118,10,5,0,0,14,386,393,89,7,873
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
501021012,15,3,15,0,35,8,4,0,0,14,9,0,20,0,35,10,0,18,0,35,56,8,39,0,101,26,4,65,0,93,161,23,52,3,237,89,31,47,0,171,101,73,47,3,227,95,80,29,10,224,81,126,26,0,238,100,118,16,3,239,155,244,36,3,435,100,191,8,0,293,60,102,5,0,170,34,65,3,3,108,49,119,0,0,173,119,201,45,4,365,28,8,5,0,44,1302,1413,478,33,3219
501021014,12,3,10,0,24,11,0,3,0,19,4,9,10,0,24,7,3,12,0,19,50,13,24,0,84,26,6,34,0,69,153,24,38,0,217,95,35,33,4,168,92,52,17,4,164,64,62,25,0,146,37,67,20,0,122,52,88,17,0,156,91,165,11,3,263,56,94,3,3,158,34,75,0,0,114,21,38,0,0,61,54,79,3,0,139,101,196,35,0,333,26,11,4,0,41,972,1007,302,20,2306
