SA2_MAINCODE_2016,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
501011001,501,35,28,3,0,0,5,564
501011002,2394,238,149,25,7,0,16,2830
501011003,1136,65,46,7,0,0,4,1251
501011004,941,50,45,3,0,0,3,1038
501021005,2008,151,132,25,9,3,12,2335
501021007,490,41,27,4,4,0,7,569
501021008,460,51,30,5,0,0,6,559
501021009,760,82,64,11,0,0,10,928
501021010,349,22,17,3,0,0,4,393
501021011,0,0,0,0,0,0,0,0
501021012,1171,120,97,19,7,0,5,1413
501021014,839,79,56,14,0,4,16,1007
501021015,585,55,41,8,0,0,8,703
501021016,358,37,22,6,0,3,5,433
501021251,1101,97,76,12,0,0,11,1299
501021252,390,26,18,9,0,0,0,442
501021253,949,94,40,15,0,0,3,1099
501021254,368,43,28,4,0,0,3,449
501031017,517,36,21,8,0,0,5,591
501031018,516,36,24,3,0,0,7,579
501031019,482,37,28,3,0,0,10,560
501031020,388,24,20,0,0,0,8,432
502011021,678,70,36,3,3,0,5,796
502011022,728,81,49,3,3,0,5,869
502011023,744,92,57,14,0,0,14,925
502011024,1744,156,116,16,3,5,13,2055
502011025,455,61,34,4,0,0,6,560
502011026,459,46,26,5,0,0,5,545
502011027,1957,204,132,23,3,8,11,2331
502011028,632,86,50,9,7,0,6,798
502011029,858,97,53,17,6,0,19,1052
503011030,902,43,18,4,0,0,3,966
503011031,730,58,3,6,0,0,0,797
503011032,822,43,19,0,0,0,0,877
503011033,1226,54,12,6,0,0,0,1302
503011034,1103,57,23,4,0,0,3,1196
503011035,2080,67,29,9,0,0,0,2188
503011036,1129,57,17,3,0,0,0,1210
503021037,0,0,0,0,0,0,0,0
503021038,1248,55,9,8,0,0,6,1324
503021039,1627,92,29,6,0,0,4,1756
503021040,907,49,20,3,0,0,0,983
503021041,1240,95,20,3,0,3,4,1361
503021042,1556,71,22,9,0,0,3,1656
503021043,1861,72,29,19,0,0,0,1991
504011044,1485,118,62,15,3,3,8,1699
504011045,2379,175,59,12,0,0,12,2635
504011046,944,65,17,7,3,0,3,1032
504011047,2223,148,83,33,3,0,5,2496
504011048,948,62,25,16,0,0,5,1053
504021049,314,25,19,7,3,0,0,366
504021050,904,66,29,5,3,0,3,1010
504021051,585,38,30,7,0,0,3,670
504021052,0,0,0,0,0,0,0,0
504021053,1451,135,66,14,6,0,9,1687
504021054,1051,120,65,31,3,0,15,1291
504031055,0,0,0,0,0,0,0,0
504031056,2292,189,102,43,3,6,13,2638
504031057,2106,130,92,66,9,0,10,2408
504031058,540,55,41,5,0,0,0,649
504031059,4437,340,254,52,3,8,22,5117
504031060,353,24,4,0,0,0,0,389
504031061,448,35,21,7,0,0,0,508
504031062,1137,104,54,18,3,0,9,1320
504031063,0,0,0,0,0,0,0,0
504031064,0,0,0,0,0,0,0,0
504031065,497,38,26,12,0,0,8,583
504031066,747,83,23,19,0,0,7,877
504031067,763,75,54,11,0,4,3,917
504031068,1239,93,47,14,3,0,9,1412
504031069,0,0,0,0,0,0,0,0
505011070,1005,96,56,12,4,3,3,1171
505011071,1929,139,75,18,0,0,5,2167
505011072,2141,123,50,13,0,0,11,2337
505011073,1525,114,51,23,3,0,6,1726
505011074,1199,98,54,7,5,0,3,1368
505011075,1498,88,42,8,0,0,8,1655
505011076,1466,81,43,13,0,0,4,1615
505011077,1353,109,43,16,5,0,7,1529
505011078,1630,91,60,11,0,0,9,1801
505011079,1458,113,44,20,0,0,3,1644
505011080,1116,68,40,7,3,0,6,1241
505011081,975,59,38,8,0,0,6,1083
505011082,1304,80,33,4,0,0,3,1430
505011083,1397,85,27,5,0,0,6,1523
505021084,1487,95,61,16,0,3,7,1673
505021085,1826,140,85,37,4,3,3,2105
505021086,2694,163,63,32,7,3,6,2960
505021087,0,0,0,0,0,0,0,0
505021088,1481,115,30,9,0,0,3,1638
505021089,2758,139,57,17,3,0,11,2981
505021090,1511,108,48,11,3,0,11,1688
505021091,0,0,0,0,0,0,0,0
505021092,1185,106,26,4,0,0,0,1325
505021093,1581,80,38,15,0,0,3,1714
505021094,848,71,15,0,0,0,3,937
505021095,921,52,20,3,0,0,6,996
505021096,1829,87,40,15,0,0,3,1970
505021097,1506,70,35,8,3,3,3,1629
505031098,1359,91,66,25,3,0,11,1565
505031099,2372,197,211,33,9,3,19,2841
505031100,2165,161,135,21,9,5,13,2500
505031101,1350,121,76,24,3,0,5,1580
505031102,790,66,52,21,0,3,8,940
505031103,3819,216,116,52,5,0,11,4226
505031104,1192,101,52,42,0,0,7,1393
505031105,2579,209,114,22,4,0,6,2934
505031106,0,0,0,0,0,0,0,0
505031107,1868,111,95,25,0,0,13,2113
505031108,2955,258,154,48,4,3,20,3436
505031255,992,79,58,4,0,0,3,1134
505031256,69,5,5,0,0,0,0,89
505031257,303,28,25,0,0,0,3,356
505031258,960,86,59,11,3,0,4,1125
506011110,1488,175,109,34,10,4,24,1846
506011111,0,0,0,0,0,0,0,0
506011112,536,57,41,13,0,0,6,656
506011113,2903,154,100,29,0,0,4,3202
506011114,911,106,67,24,4,0,7,1120
506011115,867,74,38,8,5,0,5,993
506011116,868,57,43,13,0,0,8,986
506011117,1240,108,72,16,3,0,6,1453
506021118,1178,99,48,26,0,0,0,1353
506021119,1349,94,47,9,0,0,12,1508
506021120,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0
506021122,2048,140,82,25,0,3,13,2309
506021123,1201,82,26,12,0,0,4,1320
506031124,1305,78,53,13,0,0,6,1459
506031125,1459,88,31,26,3,0,3,1613
506031126,0,0,0,0,0,0,0,0
506031127,1866,91,47,41,4,0,5,2061
506031128,1477,105,44,32,0,0,3,1664
506031129,1805,68,31,20,0,0,3,1936
506031130,0,0,0,0,0,0,0,0
506031131,2708,112,62,44,0,0,8,2931
506041132,1969,142,82,41,0,3,12,2255
506041133,3290,145,82,50,4,0,12,3580
506041134,1800,142,117,40,6,0,15,2119
506041135,2605,193,120,43,8,4,11,2979
506041136,1365,108,55,27,3,5,12,1573
506041137,2651,215,116,48,4,4,24,3058
506051138,2072,177,116,43,7,3,13,2443
506051139,1208,133,74,14,4,0,8,1449
506051140,1654,136,62,23,0,0,11,1884
506051141,1355,102,49,17,3,0,5,1522
506061142,1936,188,145,25,6,3,15,2322
506061143,813,65,33,15,0,3,3,937
506061144,429,39,16,5,0,0,4,497
506071145,1106,76,23,14,0,0,0,1216
506071146,1172,77,18,16,0,0,3,1287
506071147,1628,80,24,6,0,0,5,1739
507011148,2611,136,129,30,3,0,4,2908
507011150,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0
507011152,1148,63,37,13,0,0,0,1260
507011153,777,61,26,10,0,0,3,879
507011154,800,80,39,4,0,0,3,926
507011155,0,0,0,0,0,0,0,0
507011158,259,16,4,0,0,0,0,278
507011159,1158,97,34,19,0,0,4,1318
507011160,989,73,35,10,0,0,7,1116
507011161,1992,121,87,27,3,0,7,2228
507011163,882,73,50,6,0,0,0,1019
507011259,1041,100,42,8,0,0,3,1197
507011260,311,21,8,4,0,0,3,351
507021164,870,65,20,3,0,0,0,949
507021165,1094,98,29,6,3,0,8,1230
507021166,1343,92,52,10,0,0,4,1511
507021167,0,0,0,0,0,0,0,0
507031169,1794,128,87,28,7,0,9,2048
507031170,604,60,56,17,4,0,8,752
507031172,7,0,0,0,0,0,0,8
507031173,0,0,0,0,0,0,0,3
507031174,914,114,76,22,3,0,20,1149
507031261,630,41,26,9,0,0,8,717
507041175,1342,67,27,10,0,0,8,1446
507041176,493,19,4,8,0,0,0,530
507041177,1438,84,35,6,0,0,6,1574
507041178,1753,94,42,6,0,0,5,1902
507041179,974,57,21,9,0,0,3,1068
507041180,1502,86,38,15,3,0,6,1636
507041181,2025,110,49,11,3,0,0,2197
507041182,1259,85,18,18,0,0,3,1378
507041183,417,46,19,3,0,0,3,492
507041184,864,35,17,8,0,0,0,924
507051185,4040,339,305,38,7,4,23,4751
507051186,653,99,53,12,0,0,13,841
507051187,1551,169,121,34,3,0,18,1886
507051188,1007,132,67,18,3,0,11,1234
507051189,0,0,0,0,0,0,0,0
507051190,985,118,60,11,0,0,12,1184
507051191,2705,222,155,15,6,0,12,3115
507051192,1283,149,103,22,4,0,13,1570
507051193,991,125,90,16,0,0,14,1247
509011225,1016,103,61,6,3,0,10,1194
509011226,311,24,20,3,0,0,4,363
509011227,481,34,23,7,0,0,3,550
509011228,466,39,30,0,0,0,8,545
509011229,296,10,3,0,0,0,0,308
509011230,350,31,26,11,0,0,5,425
509011231,390,21,14,3,0,0,4,433
509011232,316,21,22,3,0,0,7,373
509011233,989,91,79,16,0,0,10,1185
509011234,395,39,21,8,0,0,8,477
509011235,0,0,0,0,0,0,0,0
509021236,598,43,42,10,0,0,3,696
509021237,314,28,25,3,0,0,11,381
509021238,356,20,20,7,0,0,3,412
509021239,672,48,26,11,0,0,9,768
509021240,415,37,25,8,0,0,5,492
509021241,459,29,30,9,0,0,7,533
509021242,258,15,13,0,0,0,0,294
509021243,845,65,53,23,3,0,21,1010
509021244,326,26,22,3,0,3,15,392
509021245,367,27,24,8,0,0,14,445
509031246,282,19,20,3,0,0,6,328
509031247,416,19,19,4,0,0,3,454
509031248,234,23,17,0,0,0,3,285
509031249,385,18,32,10,0,0,6,443
509031250,406,8,23,4,0,0,5,453
510011262,1168,95,63,20,3,7,17,1372
510011263,480,48,34,47,11,7,33,653
510011264,141,10,15,23,3,0,11,209
510011265,490,53,22,23,6,3,13,613
510011266,133,18,9,23,7,3,11,203
510021267,114,11,8,20,3,3,12,171
510021268,483,30,29,11,0,4,3,555
510021269,391,29,24,9,0,0,4,453
510021270,893,76,69,12,3,0,13,1071
510031271,673,47,50,4,3,0,9,788
510031272,1802,117,78,26,7,0,9,2048
510031273,489,51,34,13,3,0,11,598
511011274,1037,111,67,12,3,0,13,1241
511011275,345,18,15,4,0,0,0,388
511021276,391,36,28,9,0,0,16,483
511021277,348,18,14,3,0,0,3,387
511031278,604,55,62,14,0,0,3,733
511031279,1404,102,89,23,9,8,11,1639
511031280,1064,69,69,11,0,0,4,1225
511031281,0,0,0,0,0,0,0,0
511031282,356,30,29,3,0,0,3,423
511031283,220,30,13,30,8,0,20,328
511031284,0,0,0,0,0,0,0,0
511041285,736,78,43,15,0,0,17,892
511041286,727,66,40,12,5,0,11,871
511041287,831,62,55,11,0,0,9,961
511041288,1063,72,66,7,4,0,11,1221
511041289,296,24,13,3,0,0,3,340
511041290,77,16,6,6,3,0,9,117
511041291,287,20,21,5,0,0,0,343
511041292,499,35,16,8,3,0,11,575
597979799,0,0,0,0,0,0,0,0
