SA2_MAINCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
501011001,23,15,40,3,8,16,14,29,49,14,47,59,48,112,160,50,67,114,131,58,188,103,58,160,126,52,179,149,29,170,92,29,124,113,13,129,140,35,171,90,10,102,54,3,54,31,23,48,63,7,73,170,20,193,21,53,71,1436,670,2105
501011002,70,69,133,41,41,78,59,150,203,55,263,320,202,541,742,210,301,510,666,236,899,479,233,716,588,218,803,584,128,711,459,91,550,447,63,508,790,98,882,535,18,551,325,17,338,176,35,211,308,15,325,856,56,909,106,177,284,6942,2740,9678
501011003,33,19,54,12,12,24,23,47,68,15,53,69,62,97,158,70,68,135,124,63,188,128,83,210,189,68,260,212,57,264,165,38,206,204,31,234,347,52,397,213,16,235,150,5,155,116,32,148,214,32,241,405,43,450,33,51,84,2711,881,3593
501011004,16,28,44,10,10,21,16,48,60,19,74,90,45,131,172,78,93,170,126,74,198,152,100,252,186,89,271,188,45,230,140,41,177,176,23,201,291,50,343,179,15,195,93,14,103,60,21,83,121,25,141,324,43,369,21,84,105,2242,995,3240
501021005,40,35,71,18,13,38,30,58,83,26,81,107,97,187,288,111,104,217,309,77,392,245,91,336,269,89,362,327,73,397,300,81,378,329,41,373,681,90,774,475,9,481,290,3,290,208,33,245,310,11,322,635,23,663,60,52,110,4780,1144,5925
501021007,13,15,27,7,10,15,4,29,39,15,37,48,51,69,120,56,48,106,121,25,145,80,30,115,105,34,132,103,30,137,95,19,114,88,18,102,187,24,215,106,0,111,79,0,80,47,7,52,77,0,77,191,8,199,23,22,39,1444,423,1865
501021008,6,14,27,8,12,18,18,63,84,11,100,112,52,156,216,87,83,169,163,74,241,113,86,203,112,87,202,164,59,220,100,40,132,105,23,130,188,48,235,105,9,111,50,6,56,26,22,51,40,6,50,188,25,217,34,50,89,1581,966,2550
501021009,14,42,55,19,12,28,18,63,84,27,107,131,92,242,332,97,98,195,233,55,284,147,66,215,155,47,202,146,46,187,106,30,139,111,27,137,259,92,353,174,0,174,115,3,113,84,33,114,152,8,156,284,16,300,41,71,105,2270,1043,3314
501021010,10,15,24,8,3,10,3,12,15,4,15,19,21,36,57,17,12,32,62,22,78,44,19,60,51,23,69,60,10,67,51,13,58,60,11,75,103,17,119,74,5,79,58,0,61,37,4,41,67,0,70,123,4,125,13,21,34,855,241,1095
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
