SA2_MAINCODE_2016,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
501011001,37,576,850,362,180,2006,237,2242
501011002,402,3354,3704,1280,590,9340,792,10128
501011003,53,949,1588,560,304,3450,348,3806
501011004,88,1059,1344,446,166,3103,307,3417
501021005,111,1524,2649,990,520,5785,490,6275
501021007,31,434,732,352,248,1796,182,1978
501021008,196,970,878,278,124,2444,271,2716
501021009,174,955,1165,537,351,3177,339,3519
501021010,12,190,435,246,190,1069,89,1154
501021011,0,0,3,0,0,5,0,5
501021012,107,1184,1772,647,292,4006,330,4333
501021014,85,792,1136,543,436,2995,390,3382
501021015,161,930,1041,319,145,2593,251,2846
501021016,33,381,508,275,203,1405,201,1604
501021251,66,788,1332,425,191,2796,188,2983
501021252,8,121,348,238,195,905,55,966
501021253,325,1875,1858,517,196,4766,442,5213
501021254,188,842,625,216,89,1966,252,2218
501031017,84,740,939,392,306,2467,267,2741
501031018,54,567,832,375,278,2103,239,2343
501031019,138,619,784,319,183,2038,197,2235
501031020,67,601,733,319,218,1938,271,2204
502011021,37,745,1112,397,191,2472,193,2666
502011022,98,1175,1350,436,221,3284,258,3541
502011023,228,1641,1155,440,239,3707,310,4017
502011024,214,2509,2692,821,440,6680,514,7197
502011025,464,2015,1068,300,122,3969,518,4484
502011026,57,664,852,344,258,2179,184,2364
502011027,139,1833,2566,874,478,5892,370,6256
502011028,237,1595,1416,436,220,3901,391,4294
502011029,94,1071,1218,554,370,3300,418,3716
503011030,78,459,992,394,260,2192,118,2311
503011031,221,1362,1160,312,142,3196,373,3568
503011032,84,904,1162,393,152,2698,214,2910
503011033,49,669,1165,423,225,2527,87,2614
503011034,284,1310,1465,441,247,3752,360,4115
503011035,414,1859,2517,805,379,5978,339,6312
503011036,119,868,1346,399,186,2907,182,3092
503021037,0,3,7,0,0,8,3,8
503021038,237,1565,1651,379,163,3994,257,4245
503021039,544,2606,2321,611,268,6348,647,6993
503021040,263,1244,1324,341,146,3314,271,3584
503021041,2611,7372,2673,403,141,13205,2767,15978
503021042,652,3217,2250,441,179,6740,617,7355
503021043,570,3061,2377,560,241,6802,735,7537
504011044,436,2163,2144,683,345,5765,403,6172
504011045,567,3175,3465,945,410,8552,624,9176
504011046,618,2715,1673,395,148,5549,569,6115
504011047,406,2648,3123,1045,558,7781,590,8370
504011048,87,809,1097,465,300,2754,173,2927
504021049,19,176,345,204,210,957,105,1062
504021050,26,490,1079,514,344,2456,115,2572
504021051,66,493,764,324,268,1916,110,2019
504021052,0,3,3,0,0,6,0,5
504021053,96,844,1695,875,812,4322,298,4625
504021054,271,1427,1621,670,434,4424,363,4790
504031055,0,0,0,0,0,0,0,0
504031056,177,1495,2405,1125,716,5922,286,6204
504031057,194,1521,2294,948,528,5490,464,5951
504031058,18,282,613,332,326,1571,221,1790
504031059,239,3217,5524,1627,739,11342,786,12130
504031060,11,111,294,211,250,873,76,950
504031061,53,472,674,231,111,1536,119,1659
504031062,181,1122,1472,523,268,3557,312,3870
504031063,0,0,0,0,0,3,0,3
504031064,0,0,0,0,0,0,0,0
504031065,75,596,663,293,258,1888,213,2102
504031066,489,1754,1237,367,126,3971,551,4523
504031067,76,655,969,387,221,2314,138,2448
504031068,29,672,1431,607,445,3184,188,3371
504031069,0,0,0,0,0,0,0,0
505011070,118,1185,1549,544,237,3637,243,3876
505011071,95,1190,1976,778,443,4486,168,4651
505011072,112,1245,2511,805,460,5126,187,5317
505011073,138,1432,2209,738,349,4861,231,5096
505011074,95,1060,1612,626,312,3694,213,3905
505011075,62,760,1748,663,401,3635,131,3767
505011076,27,404,1289,585,340,2642,78,2715
505011077,259,1726,1878,633,344,4836,320,5157
505011078,154,1304,1965,744,380,4544,216,4761
505011079,102,885,1689,680,398,3751,236,3989
505011080,32,526,1142,488,359,2541,118,2664
505011081,78,883,1352,450,214,2979,154,3130
505011082,90,716,1553,632,361,3350,155,3504
505011083,86,733,1371,570,361,3121,88,3208
505021084,405,2192,2292,654,371,5915,467,6382
505021085,511,2565,2303,775,389,6543,833,7377
505021086,576,3256,3367,1130,651,8978,600,9575
505021087,0,0,0,0,0,0,0,0
505021088,414,2525,2743,696,244,6628,614,7241
505021089,192,1697,3446,1010,507,6858,338,7197
505021090,537,2946,2515,545,265,6810,757,7569
505021091,0,0,0,0,0,0,0,0
505021092,311,2660,2698,643,216,6530,629,7166
505021093,282,1847,2052,654,305,5145,382,5530
505021094,123,826,1268,381,231,2822,174,2995
505021095,476,2557,1744,354,149,5293,468,5756
505021096,200,1472,2247,663,334,4916,229,5147
505021097,462,2641,2263,620,300,6291,497,6791
505031098,181,1020,1449,677,405,3728,289,4018
505031099,340,2908,3010,831,354,7440,827,8269
505031100,110,1325,2451,825,408,5117,309,5431
505031101,171,1583,1808,549,250,4362,351,4714
505031102,232,1138,972,402,199,2946,250,3191
505031103,91,1655,3771,1408,721,7638,385,8022
505031104,139,918,1280,644,337,3324,248,3565
505031105,119,1443,2641,1131,594,5927,334,6262
505031106,0,0,0,0,0,4,0,4
505031107,88,1091,1917,709,400,4206,210,4411
505031108,273,2455,3787,1386,856,8765,537,9299
505031255,40,929,1265,301,96,2630,263,2896
505031256,3,26,65,45,62,205,33,243
505031257,33,288,412,174,96,1006,129,1137
505031258,64,984,1222,417,151,2836,290,3129
506011110,646,2705,2225,729,408,6712,832,7539
506011111,0,0,0,0,0,0,0,0
506011112,89,646,740,298,171,1955,149,2100
506011113,56,1464,3305,904,419,6151,244,6390
506011114,228,1368,1388,480,310,3779,393,4173
506011115,61,598,1079,520,449,2710,199,2904
506011116,34,457,998,488,427,2405,130,2538
506011117,68,850,1419,517,278,3141,262,3403
506021118,349,1845,2003,586,323,5107,672,5774
506021119,501,2482,2379,606,247,6216,718,6937
506021120,0,0,0,0,0,4,0,4
506021121,0,0,0,0,0,0,0,0
506021122,754,3726,3223,923,487,9119,1440,10554
506021123,491,2558,1967,528,222,5763,600,6365
506031124,827,2617,2207,743,427,6826,823,7645
506031125,26,553,1397,636,422,3038,112,3143
506031126,0,0,0,0,0,0,0,0
506031127,398,2137,2232,728,393,5880,543,6425
506031128,233,1801,1991,705,379,5107,278,5382
506031129,192,1399,1969,721,339,4610,195,4804
506031130,0,0,0,0,0,0,4,4
506031131,140,1560,2617,972,515,5810,189,5999
506041132,288,2157,2342,902,566,6259,499,6752
506041133,94,1570,3139,1191,639,6633,260,6894
506041134,538,2694,2388,881,507,7008,742,7754
506041135,101,1435,2741,1027,547,5858,268,6128
506041136,306,1590,1555,614,501,4559,412,4969
506041137,311,2479,3087,1249,717,7846,466,8312
506051138,201,1855,2619,1039,641,6355,457,6809
506051139,108,1324,1683,748,382,4245,386,4629
506051140,160,1369,2146,976,736,5384,339,5723
506051141,72,793,1492,759,615,3732,206,3935
506061142,65,1098,2409,914,540,5021,313,5332
506061143,15,234,640,439,610,1937,125,2061
506061144,9,263,471,297,298,1338,146,1475
506071145,374,2698,2241,503,213,6025,502,6528
506071146,196,1054,1554,540,287,3627,246,3875
506071147,422,2713,2469,619,305,6530,667,7200
507011148,68,1225,2713,844,479,5323,239,5563
507011150,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0
507011152,87,788,1303,521,327,3026,203,3227
507011153,200,1101,1154,398,193,3046,304,3348
507011154,367,1581,1454,416,195,4009,454,4471
507011155,0,3,0,0,0,6,3,14
507011158,7,253,431,107,58,852,136,995
507011159,237,1481,1603,601,318,4248,314,4561
507011160,263,1309,1386,493,258,3706,354,4065
507011161,132,1396,2328,661,291,4808,335,5145
507011163,92,666,1097,440,216,2510,209,2713
507011259,62,642,1274,417,275,2668,195,2864
507011260,3,145,394,148,122,819,53,870
507021164,126,873,1152,368,162,2679,188,2865
507021165,669,2500,1971,514,182,5841,921,6764
507021166,423,2103,2051,620,282,5480,549,6030
507021167,0,0,0,0,0,7,3,6
507031169,132,1327,2016,624,265,4358,290,4646
507031170,231,1101,894,299,136,2666,350,3016
507031172,0,3,0,3,7,16,3,23
507031173,0,0,0,0,0,5,11,18
507031174,260,1445,1402,472,244,3817,470,4294
507031261,20,353,762,317,267,1721,110,1829
507041175,139,1279,1711,587,292,4011,224,4232
507041176,25,332,528,231,111,1224,60,1280
507041177,358,2134,2226,567,248,5531,391,5923
507041178,262,1814,2205,681,367,5326,329,5654
507041179,107,888,1101,415,189,2707,123,2827
507041180,76,835,1652,719,380,3663,108,3772
507041181,264,1800,2646,762,391,5871,308,6179
507041182,175,1309,1572,694,399,4155,290,4447
507041183,173,715,672,169,83,1820,169,1986
507041184,22,331,916,399,221,1889,58,1950
507051185,146,2907,4972,1492,726,10241,912,11160
507051186,182,1142,1112,393,213,3037,294,3339
507051187,115,1177,1823,694,338,4147,337,4488
507051188,600,2749,1853,603,264,6067,688,6753
507051189,0,0,0,0,0,0,3,3
507051190,257,1643,1675,612,291,4480,345,4824
507051191,61,1432,2789,1052,521,5851,367,6222
507051192,154,1317,1771,630,300,4167,319,4492
507051193,159,1178,1420,522,315,3597,353,3943
509011225,414,2275,2030,584,277,5593,538,6127
509011226,11,212,421,257,246,1150,111,1258
509011227,38,484,747,261,140,1675,99,1774
509011228,77,738,920,304,165,2211,243,2453
509011229,26,250,355,198,180,1008,188,1192
509011230,88,436,536,255,175,1481,280,1761
509011231,54,336,512,238,305,1445,194,1638
509011232,21,275,505,196,175,1174,77,1244
509011233,148,1072,1335,613,408,3577,342,3921
509011234,61,506,666,333,263,1833,224,2057
509011235,0,0,0,0,0,0,0,0
509021236,14,281,634,412,387,1728,190,1922
