SA2_MAINCODE_2016,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6_Fam_hh,Nu_pn_pre_Ce_Ngt_6_No_fam_hh,Num_pns_pres_Cen_Ngt_6_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
501011001,49,585,637,724,146,869,262,25,288,274,31,304,99,12,112,24,3,31,1436,810,2242
501011002,261,2418,2678,3247,510,3763,1367,122,1486,1293,81,1372,541,34,573,241,18,253,6942,3183,10128
501011003,128,696,825,1172,235,1413,548,78,632,582,56,637,203,14,217,74,11,82,2711,1092,3806
501011004,127,753,875,881,247,1133,509,83,596,463,58,512,194,24,212,70,9,85,2242,1168,3417
501021005,184,1070,1251,1894,237,2132,1024,92,1120,1038,62,1100,442,30,473,197,6,204,4780,1496,6275
501021007,55,377,431,686,118,802,264,21,285,261,19,276,119,6,120,57,3,55,1444,536,1978
501021008,70,841,914,760,192,953,343,50,390,260,31,287,94,17,106,61,7,69,1581,1135,2716
501021009,61,997,1058,1050,160,1215,447,43,488,415,30,443,208,16,223,77,6,86,2270,1245,3519
501021010,29,212,242,375,58,435,162,16,171,167,7,170,87,5,91,44,5,47,855,300,1154
501021011,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
501021012,120,849,970,1348,195,1543,678,53,732,639,38,676,260,17,277,131,4,135,3173,1158,4333
501021014,83,811,891,976,188,1164,441,51,489,437,38,473,220,18,242,108,10,122,2265,1111,3382
501021015,62,753,809,896,147,1050,401,34,444,313,24,340,120,8,121,79,5,88,1877,977,2846
501021016,49,401,449,493,88,578,208,21,236,179,13,196,82,17,97,46,0,51,1056,547,1604
501021251,74,435,501,721,112,833,558,39,597,620,31,651,262,21,283,117,4,124,2345,643,2983
501021252,35,98,136,317,26,338,171,4,171,185,7,192,83,0,82,38,0,38,829,135,966
501021253,145,1666,1815,1624,280,1903,578,73,653,514,40,558,206,15,218,64,6,75,3129,2083,5213
501021254,64,721,785,551,131,687,286,37,322,228,20,251,118,6,125,46,5,47,1296,921,2218
501031017,67,814,880,928,153,1077,276,35,310,248,11,260,135,5,137,65,5,67,1713,1022,2741
501031018,68,561,626,808,155,957,264,29,293,246,26,268,119,13,128,53,6,66,1561,782,2343
501031019,39,610,646,708,116,820,279,38,315,242,13,260,124,9,129,59,5,62,1442,788,2235
501031020,65,607,670,727,188,916,200,38,238,186,34,227,90,14,100,47,4,52,1324,880,2204
502011021,78,487,560,983,119,1104,352,19,369,370,18,392,162,6,164,67,0,64,2013,653,2666
502011022,125,810,939,1225,221,1448,459,29,486,414,21,435,145,5,151,80,3,80,2449,1092,3541
502011023,98,1123,1223,1289,164,1459,522,51,572,434,24,451,171,8,180,123,7,129,2638,1375,4017
502011024,192,1621,1818,2513,293,2806,987,80,1064,878,35,909,389,18,416,172,8,177,5135,2063,7197
502011025,101,1843,1945,1221,324,1545,444,77,519,266,35,307,112,3,119,48,5,53,2195,2285,4484
502011026,89,539,625,846,140,988,301,23,322,247,12,259,106,5,115,48,0,57,1637,725,2364
502011027,206,1047,1250,1870,226,2101,1031,74,1103,1024,54,1073,471,17,493,222,6,236,4826,1433,6256
502011028,121,1243,1359,1464,246,1710,502,48,548,368,26,387,160,16,175,100,6,107,2716,1582,4294
502011029,95,890,981,1159,192,1353,491,49,543,443,29,471,223,11,239,126,9,134,2539,1183,3716
