SA2_MAINCODE_2016,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2_sty_Dw,sd_rw_tce_hs_th_wth_2_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_stry_blck_D,Flt_apart_In_4_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
501011001,2038,4844,25,46,0,0,25,46,50,71,0,0,0,0,0,0,50,71,63,94,6,8,8,19,14,26,94,153,38,92,2242,5201,1075,..,3318,5201
501011002,8485,21894,1002,1610,107,217,1105,1825,31,49,0,0,0,3,6,5,44,64,125,266,312,508,12,20,10,17,450,811,41,80,10128,24675,2189,..,12322,24675
501011003,3534,9175,76,141,55,131,132,270,8,15,0,3,0,0,0,0,10,16,28,39,49,89,14,31,5,16,98,175,29,66,3806,9696,2520,..,6326,9696
501011004,3077,7927,122,228,32,51,151,285,10,20,0,0,0,0,0,0,10,20,48,89,74,164,8,14,8,17,138,285,33,62,3417,8572,1008,..,4422,8572
501021005,5836,16148,259,454,3,8,259,459,51,88,0,0,0,0,0,0,51,88,84,134,18,31,4,3,0,6,111,169,15,40,6275,16906,597,..,6872,16906
501021007,1893,4832,54,77,0,0,54,77,13,30,0,0,0,0,0,3,17,34,3,3,0,0,0,14,5,9,9,21,11,23,1978,4985,311,..,2287,4985
501021008,2195,5210,509,865,13,16,519,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,4,2716,6099,325,..,3047,6099
501021009,3332,8130,123,163,0,0,123,163,17,20,0,3,0,0,0,0,20,21,15,20,0,0,0,0,7,24,27,44,17,25,3519,8383,524,..,4042,8383
501021010,1102,2975,5,15,0,0,6,16,0,0,0,0,0,0,0,0,0,0,24,38,13,17,3,4,0,0,36,54,4,7,1154,3056,119,..,1276,3056
501021011,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,3,9,0,0,5,13,3,..,5,13
501021012,3931,10472,298,557,18,33,311,597,3,11,0,0,0,0,0,0,7,10,4,7,68,75,0,0,0,0,72,83,15,29,4333,11186,439,..,4773,11186
501021014,3127,8111,133,237,6,27,142,260,15,30,0,0,0,0,0,0,15,30,24,37,19,31,10,8,8,13,59,89,38,75,3382,8569,708,..,4088,8569
501021015,2338,5880,322,569,13,28,335,596,148,226,0,0,0,0,0,0,148,226,13,25,7,8,0,0,3,3,22,37,6,22,2846,6752,375,..,3224,6752
501021016,1441,3590,41,87,0,3,44,90,67,103,3,9,0,0,0,0,69,111,25,52,0,0,5,19,5,10,41,74,15,27,1604,3892,450,..,2056,3892
501021251,2773,8423,86,156,17,20,95,175,111,147,0,0,0,0,0,0,111,147,0,0,0,0,0,0,0,0,0,0,3,7,2983,8747,367,..,3350,8747
501021252,952,2759,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,3,0,8,5,11,0,0,5,18,0,0,966,2783,82,..,1046,2783
501021253,3395,8269,741,1290,392,765,1134,2058,466,665,50,85,51,97,0,0,573,841,40,61,32,54,13,15,3,12,97,137,21,41,5213,11339,1037,..,6249,11339
501021254,1712,4271,345,526,0,0,345,526,42,67,43,78,0,0,0,0,83,145,16,30,54,86,4,3,0,0,74,116,4,8,2218,5063,299,..,2513,5063
501031017,2609,5942,57,66,0,0,57,66,14,17,0,0,0,0,0,0,14,17,20,28,15,24,6,20,3,5,46,77,10,22,2741,6125,563,..,3297,6125
501031018,2226,5384,67,102,0,0,71,102,7,10,0,0,0,0,0,0,7,10,0,0,0,0,20,34,0,0,22,45,17,30,2343,5560,414,..,2760,5560
501031019,1996,4976,108,161,3,0,110,169,108,153,0,0,0,0,0,0,108,153,10,21,0,0,0,0,0,3,10,21,4,10,2235,5328,346,..,2576,5328
501031020,2053,4666,36,58,0,3,37,60,13,14,0,0,0,0,0,0,10,16,37,73,18,31,17,32,10,28,78,160,27,51,2204,4949,1050,..,3261,4949
502011021,2433,6356,83,123,22,41,106,161,0,0,0,0,35,72,0,0,37,75,44,49,41,55,0,0,0,0,83,102,8,22,2666,6710,954,..,3621,6710
502011022,3154,7556,172,351,114,233,285,580,3,10,10,14,0,0,0,0,13,27,31,54,42,71,0,0,3,6,75,125,9,19,3541,8317,1625,..,5162,8317
502011023,3233,8159,696,1110,56,93,754,1208,24,38,0,0,0,0,0,0,24,38,0,0,0,0,3,5,0,0,3,4,3,5,4017,9415,541,..,4554,9415
502011024,5840,15259,771,1242,207,389,980,1634,283,406,41,69,35,62,0,0,360,542,0,0,0,0,12,18,0,5,13,23,13,34,7197,17485,1786,..,8984,17485
502011025,2350,5122,1086,1770,415,790,1501,2560,161,270,103,194,202,384,0,0,473,855,111,155,0,0,35,37,0,3,151,192,15,21,4484,8746,1782,..,6268,8746
502011026,2033,5025,165,246,10,21,176,266,16,37,0,0,0,0,0,0,16,37,50,72,75,110,0,0,0,3,130,188,5,10,2364,5533,765,..,3132,5533
502011027,5706,16038,179,376,58,138,240,518,297,435,0,0,0,0,0,0,297,435,0,4,0,0,0,3,3,3,9,14,10,21,6256,17023,882,..,7139,17023
502011028,3620,8511,314,494,167,300,478,793,177,225,0,0,0,0,0,0,177,225,3,4,0,0,4,3,3,6,6,13,8,12,4294,9558,901,..,5190,9558
502011029,3303,8621,225,350,0,0,220,351,7,10,0,3,0,0,0,0,5,9,134,176,20,26,18,46,3,3,169,251,11,22,3716,9254,410,..,4126,9254
503011030,1972,5873,41,68,81,187,117,256,216,306,0,0,0,0,0,0,216,306,0,0,0,0,0,0,3,5,3,5,4,4,2311,6443,231,..,2546,6443
503011031,1583,4162,491,933,397,834,887,1771,273,419,328,481,482,828,0,3,1079,1729,0,3,0,0,0,0,0,0,0,3,22,46,3568,7712,540,..,4103,7712
503011032,1912,5247,156,313,297,673,452,986,155,269,295,460,87,137,0,0,542,862,0,0,0,0,0,0,0,0,0,0,3,7,2910,7107,604,..,3519,7107
503011033,2481,7490,32,74,53,122,85,193,0,0,46,86,0,3,0,0,45,86,0,0,0,0,0,0,0,0,0,0,0,3,2614,7775,210,..,2829,7775
503011034,2508,7090,322,527,305,609,626,1136,110,174,451,635,418,685,0,0,972,1494,0,0,0,0,0,0,0,6,5,10,3,12,4115,9738,561,..,4679,9738
503011035,4160,12387,339,729,584,1364,923,2088,536,1088,349,642,336,648,0,0,1221,2379,0,0,0,0,0,0,0,0,0,0,14,20,6312,16882,820,..,7137,16882
503011036,2326,6756,157,296,321,798,486,1095,160,196,52,64,56,103,0,0,271,363,0,0,0,3,0,0,3,16,8,18,9,22,3092,8254,434,..,3529,8254
503021037,3,4,0,0,0,0,0,0,0,0,3,8,0,3,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,..,8,16
503021038,2835,7593,402,839,570,1232,967,2075,162,237,194,310,43,64,0,0,394,609,0,3,0,0,0,0,30,58,37,70,5,20,4245,10369,495,..,4741,10369
503021039,3804,10152,549,1018,768,1559,1318,2577,745,1229,643,970,451,637,3,6,1840,2839,3,3,0,0,7,3,16,32,24,44,8,25,6993,15632,814,..,7811,15632
503021040,2397,6184,294,560,443,987,733,1550,203,316,121,178,101,141,3,3,428,640,0,3,0,0,4,3,6,15,11,23,11,33,3584,8424,552,..,4139,8424
503021041,1358,3225,541,1124,1103,2440,1643,3564,1049,1881,2342,4250,9159,16618,6,12,12553,22755,11,17,0,3,266,278,32,68,313,363,97,168,15978,30079,3245,..,19220,30079
