SA2_MAINCODE_2016,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Pn_not_s_hh_DS_Sep_hse,R_P_not_s_hh_DS_Sd_ro_ter_h_t,R_Pn_not_s_hh_DS_Flt_apt,R_Pn_not_s_hh_DS_Oth_dwel,R_Pn_not_s_hh_DS_NS,R_Psn_not_same_hh_Total,R_Hs_coop_c_ch_grp_DS_Sep_hse,R_Hs_cp_c_ch_g_DS_Sd_r_te_h_t,R_Hs_cp_c_ch_gp_DS_Flt_apt,R_Hs_coop_c_ch_grp_DS_Oth_dwe,R_Hs_coop_c_ch_grp_DS_NS,R_Hs_coop_c_ch_grp_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
501011001,769,10,4,46,8,835,609,0,0,8,7,627,142,7,7,0,0,151,10,0,21,0,0,27,224,3,0,10,4,236,3,0,5,0,0,6,48,0,0,4,6,66,42,0,0,3,3,48,465,11,28,16,17,540,22,0,13,3,0,41,174,0,0,15,9,195,2038,25,50,94,38,2242
501011002,2632,265,0,293,5,3200,3125,106,3,12,10,3252,1132,188,4,0,3,1329,286,216,3,0,0,506,643,71,4,7,0,731,4,21,12,3,0,42,72,8,0,69,7,157,32,7,3,0,0,47,2177,527,22,76,15,2815,53,71,4,10,0,134,503,140,9,58,9,726,8485,1105,44,450,41,10128
501011003,1156,32,0,50,9,1250,1290,22,0,12,10,1336,346,24,0,0,0,375,10,12,0,0,0,21,321,18,6,3,7,347,0,0,0,0,0,0,61,4,0,11,0,78,34,4,0,3,0,41,772,64,6,17,7,868,43,0,0,3,0,43,268,8,0,20,4,304,3534,132,10,98,29,3806
501011004,765,9,0,29,5,810,1230,29,0,12,9,1277,355,57,0,0,0,420,44,30,3,0,0,77,366,20,3,9,5,392,12,0,3,0,0,18,28,0,0,53,3,83,23,0,0,0,0,25,835,104,12,59,10,1015,32,0,0,0,0,35,213,7,0,45,9,279,3077,151,10,138,33,3417
501021005,1548,58,7,45,3,1654,2850,26,3,3,3,2884,643,75,10,0,0,733,45,28,12,0,0,84,307,12,6,3,0,331,5,0,0,0,0,5,25,3,0,22,3,47,16,0,0,0,0,14,1041,126,32,26,3,1225,16,29,0,0,0,45,388,29,13,36,0,469,5836,259,51,111,15,6275
501021007,625,8,7,3,0,641,791,3,3,0,3,797,129,8,0,0,0,148,14,26,0,0,0,43,145,3,0,0,0,153,0,7,0,0,0,5,16,0,0,0,0,18,8,0,0,0,0,8,325,43,6,0,3,371,11,0,0,0,0,11,146,7,0,0,6,156,1893,54,17,9,11,1978
501021008,569,40,0,0,0,612,763,51,0,0,0,809,353,103,0,0,0,461,60,143,0,0,0,201,223,39,0,0,0,263,8,35,0,0,0,43,25,22,0,0,0,47,4,11,0,0,0,18,678,350,0,0,0,1027,6,8,0,0,0,20,186,62,0,0,0,253,2195,519,0,0,3,2716
501021009,1185,20,3,16,10,1231,1199,7,0,3,3,1209,235,29,4,0,0,268,123,31,11,0,0,162,238,10,0,0,0,245,3,3,0,0,0,6,33,3,0,7,0,40,17,3,0,0,0,26,648,77,12,3,4,749,17,3,0,5,0,17,283,20,3,3,0,303,3332,123,20,27,17,3519
501021010,406,3,0,25,0,433,435,0,0,3,3,440,43,3,0,0,0,51,0,0,0,0,0,0,97,4,0,0,0,105,0,0,0,0,0,0,16,0,0,11,0,20,13,0,0,0,0,19,170,6,0,11,3,187,10,0,0,0,0,10,79,0,0,0,3,79,1102,6,0,36,4,1154
501021011,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5
