SA2_MAINCODE_2016,M_0_299_Separate_house,M_0_299_Sd_rw_tce_hse_th,M_0_299_Flat_apartment,M_0_299_Other_dwelling,M_0_299_Dwelling_structure_NS,M_0_299_Tot,M_300_449_Separate_house,M_300_449_Sd_rw_tce_hse_th,M_300_449_Flat_apartment,M_300_449_Other_dwelling,M_300_449_Dwg_structure_NS,M_300_449_Tot,M_450_599_Separate_house,M_450_599_Sd_rw_tce_hse_th,M_450_599_Flat_apartment,M_450_599_Other_dwelling,M_450_599_Dwg_structure_NS,M_450_599_Tot,M_600_799_Separate_house,M_600_799_Sd_rw_tce_hse_th,M_600_799_Flat_apartment,M_600_799_Other_dwelling,M_600_799_Dwg_structure_NS,M_600_799_Tot,M_800_999_Separate_house,M_800_999_Sd_rw_tce_hse_th,M_800_999_Flat_apartment,M_800_999_Other_dwelling,M_800_999_Dwg_structure_NS,M_800_999_Tot,M_1000_1399_Separate_house,M_1000_1399_Sd_rw_tce_hse_th,M_1000_1399_Flat_apartmnt,M_1000_1399_Other_dwelling,M_1000_1399_Dwg_structure_NS,M_1000_1399_Tot,M_1400_1799_Separate_house,M_1400_1799_Sd_rw_tce_hse_th,M_1400_1799_Flat_apartmnt,M_1400_1799_Other_dwelling,M_1400_1799_Dwg_structure_NS,M_1400_1799_Tot,M_1800_2399_Separate_house,M_1800_2399_Sd_rw_tce_hse_th,M_1800_2399_Flat_apartmnt,M_1800_2399_Other_dwelling,M_1800_2399_Dwg_structure_NS,M_1800_2399_Tot,M_2400_2999_Separate_house,M_2400_2999_Sd_rw_tce_hse_th,M_2400_2999_Flat_apartmnt,M_2400_2999_Other_dwelling,M_2400_2999_Dwg_structure_NS,M_2400_2999_Tot,M_3000_3999_Separate_house,M_3000_3999_Sd_rw_tce_hse_th,M_3000_3999_Flat_apartmnt,M_3000_3999_Other_dwelling,M_3000_3999_Dwg_structure_NS,M_3000_3999_Tot,M_4000_over_Separate_house,M_4000_over_Sd_rw_tce_hse_th,M_4000_over_Flat_apartmnt,M_4000_over_Other_dwelling,M_4000_over_Dwg_structure_NS,M_4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
501011001,31,0,0,0,0,31,20,0,0,0,0,17,15,0,0,0,0,17,21,0,0,0,0,23,28,0,0,0,0,25,81,0,0,3,0,84,94,0,0,0,0,95,130,0,0,0,0,133,65,0,0,0,0,70,68,0,0,0,0,72,27,0,0,0,0,31,31,0,0,3,0,38,609,0,0,8,7,627
501011002,158,5,0,0,0,164,47,3,0,0,0,52,56,8,0,0,0,62,102,6,0,0,0,114,135,5,0,0,0,144,429,11,0,0,0,444,543,16,0,4,0,570,860,34,0,0,0,893,358,4,0,3,0,368,222,3,0,0,3,234,101,0,0,0,0,98,117,0,0,0,0,115,3125,106,3,12,10,3252
501011003,94,0,0,0,0,91,25,0,0,0,0,28,18,0,0,0,0,23,40,0,0,0,3,44,48,3,0,0,0,46,132,3,0,0,0,141,160,3,0,0,0,164,293,3,0,3,0,300,171,3,0,0,0,173,161,0,0,0,0,159,84,3,0,3,0,94,67,4,0,0,0,74,1290,22,0,12,10,1336
501011004,57,0,0,0,0,59,31,0,0,0,0,28,25,0,0,0,0,25,47,3,0,0,0,50,67,3,0,0,0,64,157,9,0,3,3,173,219,3,0,3,0,227,292,4,0,4,0,299,111,4,0,0,0,115,114,0,0,0,0,112,50,0,0,0,0,54,60,0,0,0,0,66,1230,29,0,12,9,1277
501021005,94,5,0,0,0,98,43,0,0,0,0,46,41,0,0,0,0,38,82,0,0,0,0,81,119,0,0,3,0,123,331,3,0,0,0,334,563,3,0,0,0,576,847,6,0,0,0,852,336,0,0,0,0,336,211,0,0,0,3,216,76,0,0,0,0,76,103,0,0,0,0,103,2850,26,3,3,3,2884
501021007,30,0,0,0,0,30,15,0,0,0,0,15,11,0,0,0,0,11,27,0,0,0,0,27,46,0,0,0,0,46,130,0,0,0,0,135,143,0,0,0,0,148,197,0,0,0,0,200,80,0,0,0,0,80,59,0,0,0,0,60,24,4,0,0,0,30,28,0,0,0,0,28,791,3,3,0,3,797
501021008,43,3,0,0,0,44,28,0,0,0,0,28,14,3,0,0,0,14,34,4,0,0,0,41,48,3,0,0,0,54,139,19,0,0,0,161,185,13,0,0,0,199,163,5,0,0,0,165,43,3,0,0,0,43,21,0,0,0,0,22,12,0,0,0,0,12,25,0,0,0,0,25,763,51,0,0,0,809
501021009,43,0,0,0,0,45,48,0,0,0,0,46,42,0,0,0,0,42,70,0,0,0,0,76,76,0,0,0,0,76,230,4,0,0,0,234,234,0,0,0,0,235,228,0,0,0,0,228,68,0,0,0,0,67,75,0,0,0,0,75,25,0,0,0,0,25,53,0,0,0,0,53,1199,7,0,3,3,1209
501021010,13,0,0,0,0,12,14,0,0,0,0,14,4,0,0,0,0,4,12,0,0,0,0,12,11,0,0,0,0,11,49,0,0,0,0,49,61,0,0,0,0,60,118,0,0,0,0,118,64,0,0,0,0,66,37,0,0,0,0,37,31,0,0,0,3,36,24,0,0,0,0,24,435,0,0,3,3,440
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
501021012,64,7,0,0,0,70,29,0,0,0,0,34,26,0,0,0,0,29,45,0,0,0,0,47,81,3,0,0,0,89,246,13,0,0,0,256,344,11,0,0,0,351,571,7,0,0,0,585,202,7,0,0,0,211,97,3,0,0,0,98,37,0,0,0,0,39,72,3,0,0,0,74,1817,55,0,0,0,1880
501021014,55,0,0,0,0,55,28,0,0,0,0,28,18,0,0,0,0,18,35,0,0,0,0,35,48,0,0,0,0,51,131,0,0,0,0,131,183,0,0,0,3,190,240,0,0,0,4,246,92,0,0,0,0,91,91,0,0,0,3,94,42,0,0,0,3,45,63,0,0,0,0,65,1037,7,0,0,9,1051
501021015,39,0,3,0,0,44,11,0,0,0,0,16,13,0,0,0,0,14,45,0,0,0,0,46,38,5,0,0,0,45,149,10,0,0,0,165,213,14,3,0,0,227,226,3,0,0,0,233,76,0,0,0,0,76,39,0,0,0,0,37,15,0,0,0,0,15,32,3,0,0,0,31,887,45,6,0,5,949
501021016,27,0,0,0,0,28,14,0,0,0,0,13,17,0,0,0,0,17,21,0,0,0,0,21,33,0,0,0,0,30,77,0,0,3,0,79,96,0,3,3,0,96,106,0,0,0,0,111,45,0,0,0,0,48,48,0,0,0,0,45,20,0,0,0,0,20,23,0,0,0,0,23,516,4,4,10,0,533
501021251,35,0,0,0,0,35,18,0,0,0,0,18,20,0,0,0,0,20,27,0,0,0,0,26,33,0,0,0,0,34,172,0,0,0,0,177,293,3,0,0,0,298,511,0,0,0,3,513,207,0,0,0,0,207,101,0,0,0,0,101,49,0,0,0,0,49,44,0,0,0,0,44,1505,7,0,0,3,1511
501021252,17,0,0,0,0,17,8,0,0,0,0,8,5,0,0,0,0,8,21,0,0,0,0,17,10,0,0,0,0,10,43,0,0,0,0,43,45,0,0,0,0,49,98,0,0,0,0,103,65,0,0,0,0,65,59,0,0,0,0,61,22,0,0,0,0,22,31,0,0,0,0,31,437,0,0,4,0,443
