SA2_MAINCODE_2016,R_0_74_RE_agent,R_0_74_StateTer_HAuthority,R_0_74_Person_not_same_hh,R_0_74_HouCoOp_ComChuGrp,R_0_74_Oth_type,R_0_74_Not_stated,R_0_74_Total,R_75_99_RE_agent,R_75_99_StateTer_HAuthority,R_75_99_Person_not_same_hh,R_75_99_HouCoOp_ComChuGrp,R_75_99_Oth_type,R_75_99_Not_stated,R_75_99_Total,R_100_149_RE_agent,R_100_149_StateTer_HAuthority,R_100_149_Person_not_same_hh,R_100_149_HouCoOp_ComChuGrp,R_100_149_Oth_type,R_100_149_Not_stated,R_100_149_Total,R_150_199_RE_agent,R_150_199_StateTer_HAuthority,R_150_199_Person_not_same_hh,R_150_199_HouCoOp_ComChuGrp,R_150_199_Oth_type,R_150_199_Not_stated,R_150_199_Total,R_200_224_RE_agent,R_200_224_StateTer_HAuthority,R_200_224_Person_not_same_hh,R_200_224_HouCoOp_ComChuGrp,R_200_224_Oth_type,R_200_224_Not_stated,R_200_224_Total,R_225_274_RE_agent,R_225_274_StateTer_HAuthority,R_225_274_Person_not_same_hh,R_225_274_HouCoOp_ComChuGrp,R_225_274_Oth_type,R_225_274_Not_stated,R_225_274_Total,R_275_349_RE_agent,R_275_349_StateTer_HAuthority,R_275_349_Person_not_same_hh,R_275_349_HouCoOp_ComChuGrp,R_275_349_Oth_type,R_275_349_Not_stated,R_275_349_Total,R_350_449_RE_agent,R_350_449_StateTer_HAuthority,R_350_449_Person_not_same_hh,R_350_449_HouCoOp_ComChuGrp,R_350_449_Oth_type,R_350_449_Not_stated,R_350_449_Total,R_450_549_RE_agent,R_450_549_StateTer_HAuthority,R_450_549_Person_not_same_hh,R_450_549_HouCoOp_ComChuGrp,R_450_549_Oth_type,R_450_549_Not_stated,R_450_549_Total,R_550_649_RE_agent,R_550_649_StateTer_HAuthority,R_550_649_Person_not_same_hh,R_550_649_HouCoOp_ComChuGrp,R_550_649_Oth_type,R_550_649_Not_stated,R_550_649_Total,R_650_749_RE_agent,R_650_749_StateTer_HAuthority,R_650_749_Person_not_same_hh,R_650_749_HouCoOp_ComChuGrp,R_650_749_Oth_type,R_650_749_Not_stated,R_650_749_Total,R_750_849_RE_agent,R_750_849_StateTer_HAuthority,R_750_849_Person_not_same_hh,R_750_849_HouCoOp_ComChuGrp,R_750_849_Oth_type,R_750_849_Not_stated,R_750_849_Total,R_850_949_RE_agent,R_850_949_StateTer_HAuthority,R_850_949_Person_not_same_hh,R_850_949_HouCoOp_ComChuGrp,R_850_949_Oth_type,R_850_949_Not_stated,R_850_949_Total,R_950over_RE_agent,R_950over_StateTer_HAuthority,R_950over_Person_not_same_hh,R_950over_HouCoOp_ComChuGrp,R_950over_Oth_type,R_950over_Not_stated,R_950over_Total,R_NS_RE_agent,R_NS_StateTer_HAuthority,R_NS_Person_not_same_hh,R_NS_HouCoOp_ComChuGrp,R_NS_Oth_type,R_NS_Not_stated,R_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Person_not_same_hh,Total_HouCoOp_ComChuGrp,Total_Oth_type,Total_NS,Total_Total
501011001,0,0,30,0,17,41,89,0,0,3,0,0,0,4,0,19,18,5,4,0,49,12,4,31,0,11,0,57,13,3,19,0,5,0,49,27,0,34,0,3,0,61,42,0,42,0,6,0,90,38,0,40,0,3,0,79,15,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,11,0,11,0,32,151,27,236,6,66,48,540
501011002,4,8,50,4,14,30,105,0,24,3,3,3,0,38,4,200,24,0,9,0,247,8,145,32,20,15,0,233,18,40,30,0,16,0,104,38,27,63,6,14,0,158,281,17,173,0,25,4,506,786,0,265,0,24,3,1086,150,0,44,0,9,0,209,12,0,6,0,5,0,24,0,0,0,0,4,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,6,0,5,18,28,33,5,15,3,94,1329,506,731,42,157,47,2815
501011003,0,0,41,0,18,37,85,0,3,3,0,0,0,10,0,7,27,0,6,0,42,3,7,21,0,7,0,39,3,3,19,0,6,0,34,3,0,17,0,12,0,33,24,0,46,0,4,0,78,169,0,90,0,4,3,266,145,0,49,0,3,0,197,20,0,7,0,0,0,29,7,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,0,3,0,14,5,3,9,0,10,0,28,375,21,347,0,78,41,868
501011004,0,3,13,0,10,22,56,0,3,0,0,0,0,7,0,32,13,0,5,0,54,3,16,16,7,6,0,46,3,9,21,0,13,0,45,34,10,29,0,7,0,83,111,8,77,0,8,0,201,198,0,142,0,10,3,348,52,0,42,0,3,0,97,6,0,8,0,0,0,19,0,0,0,3,0,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,7,0,3,0,15,5,4,17,0,11,0,37,420,77,392,18,83,25,1015
501021005,3,4,20,0,0,9,43,0,0,0,0,0,0,0,0,30,7,0,3,0,35,11,18,16,0,10,0,55,9,9,14,0,6,0,43,29,10,23,0,0,0,71,195,4,97,0,8,3,303,410,0,133,0,10,0,557,45,0,10,0,0,0,62,3,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,4,3,0,3,0,27,733,84,331,5,47,14,1225
501021007,0,0,22,0,5,11,36,0,3,0,0,0,0,3,5,8,5,0,0,0,21,3,15,3,3,0,0,26,5,8,11,0,0,0,24,10,0,26,0,5,0,44,60,0,38,0,3,0,99,55,0,27,0,0,0,84,6,0,3,0,0,0,10,3,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,4,0,16,148,43,153,5,18,8,371
501021008,3,17,15,0,3,6,45,0,14,0,0,0,0,19,0,81,3,0,0,3,92,0,47,16,8,0,0,74,3,11,20,3,3,0,46,89,11,60,3,6,0,179,265,6,105,3,10,6,398,88,3,27,8,19,0,148,3,0,3,0,0,0,8,3,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,4,4,3,23,461,201,263,43,47,18,1027
501021009,0,9,14,0,9,21,50,0,4,0,0,0,0,7,0,58,13,0,4,0,77,25,41,30,3,0,3,105,38,22,48,0,6,0,116,96,7,66,0,6,0,170,71,8,46,0,3,0,122,35,0,17,0,4,0,52,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,11,11,0,4,0,36,268,162,245,6,40,26,749
501021010,0,0,13,0,3,17,29,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,10,0,10,0,13,3,0,12,0,5,0,16,4,0,17,0,0,0,26,20,0,15,0,0,0,33,13,0,16,0,0,0,35,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,51,0,105,0,20,19,187
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
