SA2_MAINCODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Total_NofB_1,Se_d_r_or_t_h_t_Total_NofB_2,Se_d_r_or_t_h_t_Total_NofB_3,Se_d_r_or_t_h_t_Total_NofB_4,Se_d_r_or_t_h_t_Total_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NofB_0_ib,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NofB_0_ib,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_or_m_s_b_NofB_0_ib,Fl_a_4_or_m_s_b_NofB_1,Fl_a_4_or_m_s_b_NofB_2,Fl_a_4_or_m_s_b_NofB_3,Fl_a_4_or_m_s_b_NofB_4,Fl_a_4_or_m_s_b_NofB_5,Fl_a_4_or_m_s_b_NofB_6_m,Fl_a_4_or_m_s_b_NofB_NS,Fl_a_4_or_m_s_b_Total,Fl_a_At_to_a_h_NofB_0_ib,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NofB_0_i_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NofB_0_i_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
501011001,4,59,276,815,616,83,22,164,2038,0,3,3,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,3,14,0,0,0,0,25,0,10,38,4,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,4,0,0,0,3,50,13,38,16,5,4,0,0,15,94,0,6,6,14,3,3,0,6,38,21,115,339,846,627,86,23,192,2242
501011002,8,62,459,3047,4035,338,52,484,8485,3,114,347,331,75,4,0,117,1002,0,13,6,43,23,5,0,12,107,3,128,354,378,97,8,0,136,1105,0,13,5,0,3,0,0,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,19,7,0,3,0,0,12,44,23,66,231,57,7,3,0,61,450,0,0,6,8,5,3,0,9,41,35,283,1066,3487,4156,350,56,692,10128
501011003,13,55,239,1137,1574,216,40,256,3534,0,12,32,28,4,0,0,11,76,0,0,0,30,21,3,0,4,55,0,12,32,60,23,3,0,12,132,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,6,25,25,12,3,3,0,18,98,0,3,6,7,5,3,0,4,29,21,95,309,1220,1611,218,40,292,3806
501011004,4,91,290,1244,1109,113,28,201,3077,0,10,61,40,0,0,0,6,122,0,16,5,3,4,0,0,0,32,0,28,70,42,5,0,0,7,151,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,18,50,15,8,5,0,0,43,138,0,3,3,12,0,0,0,11,33,26,174,381,1302,1122,122,28,260,3417
501021005,0,10,117,1318,3635,338,56,370,5836,0,14,58,139,6,0,0,28,259,0,0,0,3,0,0,0,0,3,0,14,58,142,4,0,0,28,259,0,7,17,18,0,0,0,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,18,0,0,0,7,51,9,46,10,3,0,0,0,42,111,0,0,3,0,8,0,0,0,15,7,79,208,1488,3646,339,54,449,6275
501021007,3,16,129,684,810,99,13,139,1893,0,4,22,19,0,0,0,7,54,0,0,0,0,0,0,0,0,0,0,4,22,19,0,0,0,7,54,0,3,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,17,0,4,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,11,3,28,156,719,813,94,13,156,1978
501021008,3,12,172,1156,596,76,3,171,2195,4,89,141,198,19,0,0,59,509,0,3,5,0,0,0,0,0,13,4,90,143,198,19,0,0,59,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,102,323,1362,611,72,11,234,2716
501021009,5,29,403,1468,1021,123,16,264,3332,0,25,47,32,0,0,0,20,123,0,0,0,0,0,0,0,0,0,0,25,47,32,0,0,0,20,123,0,7,0,4,0,0,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,4,3,20,3,7,6,5,0,0,0,0,27,0,3,0,3,0,0,0,0,17,9,83,462,1512,1023,123,16,287,3519
501021010,3,13,72,364,476,93,10,73,1102,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,4,0,0,0,0,36,0,0,0,3,0,0,0,3,4,11,32,79,373,478,98,14,77,1154
501021011,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
