SA2_MAINCODE_2016,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,Percent_Unemployment_M,Percent_Unemployment_F,Percent_Unemployment_P,Pcent_Lab_force_particip_M,Pcent_Lab_force_particip_F,Pcent_Lab_force_particip_P,Pcent_Employmnt_to_pop_M,Pcent_Employmnt_to_pop_F,Pcent_Employmnt_to_pop_P,Non_sc_quals_Postgrad_Deg_M,Non_sc_quals_Postgrad_Deg_F,Non_sc_quals_Postgrad_Deg_P,Non_sc_qua_Gra_Dip_Gra_Cer_M,Non_sc_qua_Gra_Dip_Gra_Cer_F,Non_sc_qua_Gra_Dip_Gra_Cer_P,Non_sc_quals_Bachelor_Deg_M,Non_sc_quals_Bachelor_Deg_F,Non_sc_quals_Bachelor_Deg_P,Non_sc_quals_Adv_Dip_Dip_M,Non_sc_quals_Adv_Dip_Dip_F,Non_sc_quals_Adv_Dip_Dip_P,Non_sc_quals_Cert3a4_Level_M,Non_sc_quals_Cert3a4_Level_F,Non_sc_quals_Cert3a4_Level_P,Non_sc_quals_Cert1a2_Level_M,Non_sc_quals_Cert1a2_Level_F,Non_sc_quals_Cert1a2_Level_P,Non_sc_quals_Certnfd_Level_M,Non_sc_quals_Certnfd_Level_F,Non_sc_quals_Certnfd_Level_P,Non_sc_quals_CertTot_Level_M,Non_sc_quals_CertTot_Level_F,Non_sc_quals_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
501011001,2115,2150,4264,777,398,1172,368,685,1051,101,90,191,74,46,115,1315,1218,2535,607,752,1353,5.6,3.8,4.5,62.2,56.7,59.5,58.9,54.6,56.6,32,44,75,19,48,73,229,379,603,139,226,371,574,257,833,27,42,68,32,65,95,625,366,994,1892,1965,3859,408,417,832,1247,1249,2496,944,996,1941
501011002,9477,11025,20503,3773,2018,5790,1276,3038,4316,357,335,691,423,343,769,5828,5737,11561,2942,4450,7390,7.3,6,6.7,61.5,52,56.4,57,48.9,52.7,134,158,290,84,219,303,687,1217,1909,637,1063,1701,2801,1497,4295,98,223,319,158,316,479,3060,2040,5101,8914,9941,18860,2051,2300,4349,5178,5634,10812,5293,6117,11416
501011003,3760,3885,7641,1690,782,2471,607,1326,1932,175,156,333,124,88,210,2596,2356,4952,889,1253,2138,4.8,3.7,4.2,69,60.6,64.8,65.7,58.3,62,101,99,195,59,114,173,524,806,1334,333,501,831,1037,405,1440,35,75,111,87,108,198,1152,594,1752,3689,3696,7384,704,779,1487,2170,2140,4315,2000,2135,4132
501011004,3262,3559,6818,1431,802,2236,613,1229,1845,161,144,305,129,108,233,2328,2283,4609,632,999,1629,5.5,4.7,5.1,71.4,64.1,67.6,67.6,61.1,64.3,91,101,188,42,119,165,479,697,1174,262,451,721,895,426,1320,31,54,85,53,99,148,978,576,1549,3108,3201,6303,771,870,1647,1750,1779,3531,1854,2061,3911
501021005,6028,6639,12660,3057,1435,4491,579,1994,2579,227,206,439,378,310,687,4241,3951,8194,1432,2279,3712,8.9,7.8,8.4,70.4,59.5,64.7,64.1,54.8,59.3,75,82,155,60,125,186,411,773,1182,433,646,1081,1951,1026,2978,79,151,234,112,192,302,2149,1368,3515,6227,6593,12822,1197,1269,2470,3669,3901,7574,3330,3586,6920
501021007,1880,2042,3918,847,462,1305,241,606,848,89,73,157,80,49,134,1255,1186,2444,506,711,1218,6.4,4.1,5.5,66.8,58.1,62.4,62.6,55.9,59,18,24,38,15,34,47,112,243,351,125,204,328,558,285,843,20,59,80,39,56,94,620,400,1016,1934,2043,3975,290,313,608,1236,1286,2527,850,952,1807
501021008,2842,2782,5625,995,508,1505,294,653,946,98,93,192,154,142,295,1546,1392,2937,1098,1154,2256,10,10.2,10,54.4,50,52.2,48.8,45.1,47,17,17,37,19,59,77,146,249,400,120,210,335,695,370,1065,39,65,103,48,81,133,785,516,1299,2235,2385,4622,481,573,1056,1410,1451,2855,1188,1397,2580
501021009,3432,3461,6895,1343,521,1866,248,864,1116,126,115,238,256,156,412,1980,1650,3631,1163,1520,2680,12.9,9.5,11.3,57.7,47.7,52.7,50,43.3,46.7,15,21,34,8,27,35,90,214,306,110,232,342,1116,498,1607,44,105,145,62,85,143,1218,680,1898,3345,3298,6648,484,530,1017,2442,2353,4794,1167,1279,2443
501021010,1206,1200,2406,581,252,831,152,411,566,50,37,81,58,44,99,840,741,1578,281,391,669,6.9,5.9,6.3,69.7,61.8,65.6,64.9,58.3,61.4,17,8,27,10,23,35,99,164,259,90,132,215,361,173,534,10,39,49,27,28,51,397,241,637,1251,1251,2504,138,166,295,930,893,1830,397,448,846
501021011,5,3,10,4,3,4,0,0,4,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,100,0,110,80,100,80,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,3,0,3,4,3,3,4,3,0,8
