SA2_MAINCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,15,17,20,14,3,3,75,0,12,23,13,15,8,4,0,73,10,118,144,93,120,88,28,9,603,13,32,63,66,91,76,29,7,371,41,121,187,181,169,98,27,7,833,10,8,14,13,14,3,0,0,68,10,5,19,9,25,17,9,0,95,61,137,217,201,204,120,39,15,994,4,0,0,10,6,3,8,0,31,63,54,88,84,94,88,44,24,533,144,357,544,482,549,388,153,56,2677
501011002,68,70,56,43,9,0,290,8,48,73,73,57,36,8,0,303,60,346,504,372,313,205,76,28,1909,55,223,326,360,342,261,101,29,1701,422,757,912,825,663,451,218,53,4295,102,46,60,42,39,20,7,0,319,30,54,91,96,91,76,31,9,479,551,856,1063,968,793,549,258,61,5101,10,15,17,23,26,39,27,8,163,229,238,249,269,323,356,344,247,2257,918,1748,2309,2140,1905,1494,830,377,11720
501011003,47,36,39,29,11,3,195,0,21,45,35,37,18,6,0,173,22,252,365,260,209,166,52,8,1334,27,115,169,176,162,130,43,8,831,92,281,348,317,213,119,55,12,1440,19,30,18,17,18,6,3,0,111,7,20,42,40,41,29,10,4,198,118,331,414,381,277,159,60,16,1752,4,7,13,6,11,10,4,3,57,96,107,131,126,158,104,44,15,778,270,872,1182,1019,894,611,226,51,5118
501011004,52,24,30,34,3,0,188,0,23,49,35,32,18,3,3,165,28,298,339,219,158,95,33,6,1174,29,130,170,141,129,73,38,11,721,83,283,350,285,198,88,22,11,1320,19,17,19,11,14,6,0,0,85,7,30,31,32,26,14,5,4,148,110,331,400,324,231,106,26,11,1549,8,13,3,6,13,9,0,0,55,121,116,116,136,132,103,45,14,791,294,947,1141,890,729,424,155,52,4635
501021005,51,30,37,12,3,0,155,3,32,52,44,36,14,3,0,186,36,257,334,225,209,91,37,0,1182,43,195,227,251,194,129,33,17,1081,305,712,642,619,415,210,61,16,2978,77,65,31,24,24,12,3,0,234,21,49,56,62,65,43,14,3,302,406,823,724,710,495,265,74,15,3515,3,16,16,18,7,13,12,4,91,146,151,164,185,159,156,104,32,1093,642,1498,1557,1457,1142,687,257,73,7310
501021007,15,11,10,3,0,0,38,3,7,17,7,5,5,3,0,47,3,70,90,87,46,45,12,4,351,6,43,59,86,75,38,9,0,328,79,150,156,198,153,81,12,4,843,25,18,10,19,3,3,0,0,80,7,11,14,22,26,9,3,0,94,114,185,181,238,186,100,16,4,1016,0,4,3,0,7,8,0,0,25,64,35,40,78,67,61,34,7,388,198,346,404,500,396,259,76,19,2197
501021008,12,4,8,3,0,0,37,3,21,17,16,14,3,3,0,77,25,123,101,59,43,34,10,8,400,20,74,65,69,65,29,17,3,335,146,250,179,189,165,95,31,17,1065,53,23,10,15,9,0,0,0,103,24,13,31,22,30,10,0,5,133,222,284,220,218,196,102,36,21,1299,3,12,6,5,10,5,3,5,47,110,192,174,135,120,103,78,42,964,388,716,599,506,456,277,143,77,3153
501021009,9,8,9,4,0,0,34,3,9,5,6,11,0,0,0,35,11,77,70,55,56,29,8,0,306,15,52,63,64,94,44,16,0,342,210,335,304,326,243,136,54,9,1607,49,33,22,17,14,6,0,0,145,11,18,25,31,29,24,6,3,143,268,381,352,370,287,165,60,14,1898,0,3,0,5,8,4,0,3,30,143,113,94,109,134,136,103,56,889,437,641,595,624,596,389,190,67,3535
501021010,5,7,8,5,0,0,27,0,0,11,10,7,10,0,0,35,7,36,70,73,46,18,11,4,259,5,23,33,59,60,21,12,0,215,50,99,102,134,85,49,15,3,534,17,8,7,7,8,3,0,0,49,4,5,16,14,12,3,5,0,51,72,104,129,152,106,55,21,3,637,0,0,0,4,3,0,0,0,6,22,22,28,35,44,42,21,7,219,116,183,269,335,278,158,59,12,1412
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
