SA2_MAINCODE_2016,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85,M_IT_Tot,M_Egnr_rel_Tech_15_24,M_Egnr_rel_Tech_25_34,M_Egnr_rel_Tech_35_44,M_Egnr_rel_Tech_45_54,M_Egnr_rel_Tech_55_64,M_Egnr_rel_Tech_65_74,M_Egnr_rel_Tech_75_84,M_Egnr_rel_Tech_85,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24,M_Arc_Bld_25_34,M_Arc_Bld_35_44,M_Arc_Bld_45_54,M_Arc_Bld_55_64,M_Arc_Bld_65_74,M_Arc_Bld_75_84,M_Arc_Bld_85_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24,M_Mgmt_Cmrce_25_34,M_Mgmt_Cmrce_35_44,M_Mgmt_Cmrce_45_54,M_Mgmt_Cmrce_55_64,M_Mgmt_Cmrce_65_74,M_Mgmt_Cmrce_75_84,M_Mgmt_Cmrce_85_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24,M_FoodHos_PsnlSvcs_25_34,M_FoodHos_PsnlSvcs_35_44,M_FoodHos_PsnlSvcs_45_54,M_FoodHos_PsnlSvcs_55_64,M_FoodHos_PsnlSvcs_65_74,M_FoodHos_PsnlSvcs_75_84,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24,M_Mix_Fld_Prog_25_34,M_Mix_Fld_Prog_35_44,M_Mix_Fld_Prog_45_54,M_Mix_Fld_Prog_55_64,M_Mix_Fld_Prog_65_74,M_Mix_Fld_Prog_75_84,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24,F_Nat_Phy_Sci_25_34,F_Nat_Phy_Sci_35_44,F_Nat_Phy_Sci_45_54,F_Nat_Phy_Sci_55_64,F_Nat_Phy_Sci_65_74,F_Nat_Phy_Sci_75_84,F_Nat_Phy_Sci_85,F_Nat_Phy_Sci_Tot,F_IT_15_24,F_IT_25_34,F_IT_35_44,F_IT_45_54,F_IT_55_64,F_IT_65_74,F_IT_75_84,F_IT_85,F_IT_Tot,F_Egnr_rel_Tech_15_24,F_Egnr_rel_Tech_25_34,F_Egnr_rel_Tech_35_44,F_Egnr_rel_Tech_45_54,F_Egnr_rel_Tech_55_64,F_Egnr_rel_Tech_65_74,F_Egnr_rel_Tech_75_84,F_Egnr_rel_Tech_85,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24,F_Arc_Bld_25_34,F_Arc_Bld_35_44,F_Arc_Bld_45_54,F_Arc_Bld_55_64,F_Arc_Bld_65_74,F_Arc_Bld_75_84,F_Arc_Bld_85_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24,F_Mgmt_Cmrce_25_34
501011001,0,12,16,11,10,13,3,0,60,0,3,0,0,3,0,0,0,13,11,51,71,65,88,65,23,4,380,8,24,36,45,29,25,9,0,177,0,11,39,18,15,9,10,0,106,0,4,13,8,9,13,0,0,51,0,0,10,6,19,18,7,0,60,4,10,11,12,21,24,3,0,86,3,5,13,11,16,10,0,0,55,0,5,4,3,9,3,4,0,24,0,8,15,12,13,3,3,0,59,3,0,0,0,0,0,0,0,5,0,0,6,0,3,7,0,0,10,40,29,46,41,42,34,8,11,245,77,159,276,234,266,219,78,23,1325,0,9,14,6,13,0,0,0,42,0,0,0,0,0,3,0,0,6,0,9,0,4,3,3,0,0,15,0,5,4,3,0,0,0,0,15,3,10,11,12,13,3,0,0,50,4,31,38,37,53,40,12,3,223,3,33,36,38,55,38,12,5,220,18,39
501011002,3,12,21,16,17,17,9,4,99,11,24,14,20,10,3,0,0,78,109,223,295,291,306,293,141,33,1696,74,147,157,155,161,105,59,13,871,16,38,61,54,40,33,22,6,278,10,22,42,39,42,15,10,4,189,6,25,41,51,55,43,18,3,247,24,68,121,120,89,91,19,7,538,18,30,45,33,38,39,14,3,226,6,17,16,20,13,7,4,3,83,25,67,87,62,41,28,11,3,321,3,0,0,0,0,4,0,0,14,0,5,9,7,10,9,3,3,48,113,117,126,129,148,130,116,73,946,411,801,1054,997,972,819,420,157,5629,8,26,34,22,6,4,5,0,106,3,10,8,5,6,3,0,0,38,3,15,18,13,3,8,8,6,84,4,9,19,6,6,6,0,0,48,13,30,25,17,18,10,3,0,109,54,137,191,197,182,129,65,28,975,20,109,209,195,181,108,38,3,868,114,203
501011003,3,16,29,28,12,17,7,3,114,3,4,3,9,7,6,0,0,29,33,92,121,149,128,99,52,8,688,21,67,84,81,67,27,14,3,371,7,31,38,31,30,13,5,0,159,0,11,31,27,26,15,3,0,113,0,7,25,21,37,24,4,0,112,3,33,63,64,52,57,16,0,282,3,29,18,22,18,28,4,3,119,3,12,8,14,4,5,0,3,51,3,34,50,32,13,3,3,0,136,0,0,0,0,0,0,0,0,0,3,9,3,4,0,0,0,0,24,57,53,58,60,70,46,18,7,365,138,396,537,529,464,347,133,26,2562,5,23,36,11,5,5,0,0,86,0,6,0,3,0,0,0,0,14,0,9,8,3,9,0,0,0,31,3,11,10,10,3,0,0,0,34,7,16,25,7,11,0,0,0,61,14,68,77,75,85,65,30,0,425,11,41,111,86,90,43,12,3,400,18,116
501011004,4,35,36,18,19,18,3,0,125,5,3,7,11,3,0,0,0,25,21,81,119,111,92,55,20,5,498,8,79,93,75,74,28,6,5,365,5,29,51,28,14,5,0,3,139,0,8,27,27,18,12,5,0,94,0,7,22,20,18,14,11,3,101,0,42,40,37,25,32,9,4,190,9,19,20,23,12,15,0,0,101,3,13,15,11,6,4,0,0,67,3,44,41,41,14,0,5,0,154,4,3,0,0,0,0,0,0,3,0,6,6,0,9,3,0,0,22,57,59,58,80,64,53,12,6,387,117,426,544,474,366,241,82,23,2271,0,11,38,15,5,0,0,0,76,4,0,4,0,0,0,0,0,13,0,10,12,3,3,3,0,0,39,0,6,8,8,0,0,0,0,27,0,20,24,18,7,0,0,0,68,11,63,85,55,70,32,16,7,340,10,67,83,74,87,36,14,0,371,16,93
501021005,4,7,8,9,8,9,4,0,57,20,19,13,9,3,0,0,0,72,127,314,316,337,249,156,36,13,1549,44,103,81,68,66,28,14,3,412,3,31,27,30,35,21,6,0,145,3,20,25,34,25,16,0,0,119,3,18,27,36,41,25,12,0,166,9,37,81,83,46,43,10,3,310,17,26,27,25,27,10,3,0,143,3,11,8,7,10,3,3,3,42,10,20,38,23,14,3,4,0,111,0,0,4,3,0,0,0,0,6,0,14,11,8,13,5,0,0,50,70,68,76,83,67,58,38,7,466,322,695,741,750,605,380,127,30,3648,3,21,26,26,14,3,0,0,90,0,8,5,4,0,0,0,0,22,10,23,20,15,4,4,0,0,80,0,6,8,4,3,0,0,0,28,0,10,14,12,3,0,0,0,41,27,104,111,110,122,69,26,3,567,19,110,145,130,110,54,16,4,587,75,217
501021007,3,7,0,11,3,3,3,0,31,0,4,7,0,4,3,0,0,16,29,57,73,89,78,64,14,0,409,7,23,24,29,23,16,3,3,131,4,10,12,22,19,6,3,0,76,3,5,3,4,9,5,3,0,40,0,0,4,12,11,11,0,3,37,7,10,13,13,13,12,0,0,69,3,0,6,6,4,6,0,0,35,0,4,0,0,4,3,0,0,8,3,7,13,9,3,0,0,0,30,0,0,0,0,0,3,0,0,5,0,3,0,3,6,0,0,0,11,31,15,22,34,27,25,17,3,176,100,142,173,237,211,157,44,13,1077,0,4,5,8,3,0,0,0,24,0,0,0,0,0,0,0,0,3,8,7,8,4,4,0,0,0,27,0,3,3,0,0,0,0,0,6,3,10,3,10,3,0,0,0,33,10,35,28,46,38,17,8,0,187,10,20,45,43,32,20,3,0,178,18,47
501021008,4,4,4,0,4,3,0,0,19,11,11,9,7,3,0,0,0,39,46,86,80,76,92,66,19,13,475,16,38,21,33,31,15,7,3,170,8,11,12,5,6,4,3,0,51,4,18,15,4,8,0,0,3,49,0,11,14,5,8,10,3,0,50,11,26,19,16,14,7,0,5,93,9,18,10,8,9,3,0,0,57,5,3,6,3,3,4,0,0,22,10,17,20,15,3,6,0,0,72,0,0,0,0,0,0,0,0,3,0,4,7,4,4,0,0,0,20,73,153,129,99,66,54,28,15,614,198,397,339,284,245,163,67,34,1730,4,21,9,3,0,0,0,0,32,0,3,4,3,0,0,0,0,15,3,12,6,7,3,3,3,0,33,0,5,3,0,0,0,0,0,11,9,5,6,3,0,0,0,0,22,12,38,35,45,39,20,13,4,206,11,33,33,23,19,13,4,0,133,47,73
501021009,0,6,5,3,3,0,0,0,21,6,5,13,5,0,0,0,0,24,99,169,157,168,164,120,31,14,918,16,44,21,25,37,15,12,0,168,7,4,7,9,14,3,4,0,41,3,10,12,7,14,8,0,0,53,0,5,4,16,5,4,0,0,42,9,12,10,13,14,5,3,0,61,8,9,12,6,8,0,0,0,40,0,4,4,0,0,0,0,0,5,0,5,11,17,14,4,4,0,58,0,0,0,0,0,0,0,0,4,0,3,5,6,4,3,0,0,24,68,61,50,52,69,65,43,18,418,218,336,304,324,336,230,106,29,1888,3,3,5,5,0,0,0,0,20,0,0,3,0,3,0,0,0,6,5,11,12,6,8,4,0,3,45,0,0,0,3,0,0,0,0,3,0,5,6,6,0,0,0,0,25,14,18,34,33,75,36,17,0,222,14,40,53,52,35,16,3,0,208,50,76
501021010,0,0,4,4,7,3,0,0,16,3,0,0,3,4,0,0,0,12,28,48,52,75,59,34,7,0,306,4,13,17,17,17,7,4,0,76,0,4,8,11,7,7,0,0,47,0,3,7,6,5,0,0,0,22,0,0,0,13,12,3,3,0,34,0,3,21,16,7,3,3,0,58,3,0,3,3,4,3,0,0,17,0,0,3,0,0,0,0,0,9,0,3,6,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,21,6,13,15,19,22,14,3,115,63,84,138,169,146,97,31,7,732,0,0,5,4,4,0,0,0,10,0,0,3,4,0,0,0,0,7,0,3,9,4,0,0,0,0,17,0,0,3,3,0,0,0,0,4,0,0,3,3,3,0,0,0,18,8,17,19,27,29,9,4,0,122,3,8,17,35,39,9,5,0,125,10,18
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
