SA2_MAINCODE_2016,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501011001,549,388,153,56,2677
501011002,1905,1494,830,377,11720
501011003,894,611,226,51,5118
501011004,729,424,155,52,4635
501021005,1142,687,257,73,7310
501021007,396,259,76,19,2197
501021008,456,277,143,77,3153
501021009,596,389,190,67,3535
501021010,278,158,59,12,1412
501021011,3,0,0,0,8
501021012,661,426,293,153,4898
501021014,626,436,188,46,3798
501021015,443,253,144,53,2853
501021016,289,200,145,62,1716
501021251,393,229,59,14,3789
501021252,339,149,47,16,1435
501021253,1114,692,342,154,6209
501021254,310,207,94,18,2065
501031017,617,543,196,48,2894
501031018,573,409,167,54,2659
501031019,357,195,132,60,2124
501031020,553,435,171,25,2372
502011021,522,479,190,21,3003
502011022,692,601,259,68,3859
502011023,540,444,506,142,3844
502011024,1289,1149,662,210,7860
502011025,760,628,381,186,4419
502011026,480,411,187,32,2356
502011027,930,615,345,154,7514
502011028,726,699,474,212,4290
502011029,557,473,317,94,3763
503011030,660,406,347,150,3559
503011031,761,679,449,260,5010
503011032,846,549,248,112,4437
503011033,774,381,188,87,4216
503011034,949,725,371,168,5954
503011035,1759,1461,725,358,11364
503011036,912,599,314,130,4789
503021037,0,7,0,0,6
503021038,711,303,106,52,6049
503021039,1406,777,338,194,9815
503021040,665,309,171,89,4993
503021041,2742,1395,560,190,26319
503021042,1515,1223,594,229,10476
503021043,1277,868,497,309,10976
504011044,1054,649,311,142,7308
504011045,1593,806,541,373,12003
504011046,791,514,187,121,7582
504011047,1229,934,509,145,10075
504011048,687,481,201,70,3700
504021049,362,200,71,10,3214
504021050,763,584,203,40,3721
504021051,396,305,121,21,2425
504021052,0,3,0,0,8
504021053,1166,801,284,100,6110
504021054,861,677,345,146,5265
504031055,0,0,0,0,8
504031056,1223,510,220,61,7261
504031057,926,472,142,32,7592
504031058,372,215,72,17,2342
504031059,1264,685,382,167,15142
504031060,273,138,56,7,1328
504031061,271,182,104,25,1944
504031062,539,313,137,23,4665
504031063,0,0,0,0,0
504031064,0,0,0,0,0
504031065,371,251,105,17,2285
504031066,737,471,338,262,5419
504031067,345,183,83,19,2658
504031068,705,399,105,24,4507
504031069,0,0,0,0,0
505011070,654,359,136,56,4663
505011071,898,394,176,66,6353
505011072,1355,990,324,161,7760
505011073,957,899,282,76,6528
505011074,851,446,144,36,5070
505011075,1136,597,191,48,5428
505011076,729,230,73,4,4142
505011077,1152,599,278,116,7285
505011078,1242,665,328,259,6347
505011079,987,662,218,72,5609
505011080,742,411,151,24,3876
505011081,622,393,111,35,3989
505011082,1105,748,229,68,5064
505011083,889,386,156,60,4420
505021084,850,718,440,210,7475
505021085,827,547,267,48,7922
505021086,1641,1111,789,248,11513
505021087,0,0,0,0,0
