SA2_MAINCODE_2016,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85,M_Tot_LF_Tot,M_N_the_LF_15_19,M_N_the_LF_20_24,M_N_the_LF_25_34,M_N_the_LF_35_44,M_N_the_LF_45_54,M_N_the_LF_55_64,M_N_the_LF_65_74,M_N_the_LF_75_84,M_N_the_LF_85,M_N_the_LF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19,F_Tot_emp_20_24,F_Tot_emp_25_34,F_Tot_emp_35_44,F_Tot_emp_45_54,F_Tot_emp_55_64,F_Tot_emp_65_74,F_Tot_emp_75_84,F_Tot_emp_85_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85,F_Tot_unemp_Total
501011001,19,24,105,225,203,144,45,8,0,777,43,11,43,57,63,83,58,13,0,368,7,0,10,16,13,23,6,3,0,79,4,0,3,0,10,6,3,0,0,23,60,34,169,296,284,254,117,25,3,1245,0,3,13,13,22,6,3,0,0,52,4,7,3,0,7,0,3,0,0,18,7,9,10,9,21,10,3,0,0,74,64,44,177,306,309,263,118,25,3,1315,39,11,13,38,42,103,218,107,40,607,9,14,25,42,34,31,20,11,3,190,118,66,213,382,374,400,362,145,45,2115,7,21,57,75,108,95,20,3,3,398,40,32,98,157,142,153,52,5,0,685,3,4,16,12,13,12,8,0,0,61,0,0,0,9,8,3,0,5,0,27,51,57,175,254,266,265,81,13,3,1173,3,5,3,3,4,5,0,0,0,20,0,0,3,9,6,3,0,0,0,23,3,5,6,19,12,9,0,0,0,46
501011002,117,308,717,987,918,605,101,14,0,3773,206,93,162,164,200,267,154,25,3,1276,16,13,38,52,60,57,24,3,0,256,15,8,20,13,23,13,10,3,3,103,352,427,929,1225,1199,941,289,43,3,5400,46,38,61,57,56,66,4,0,0,331,29,7,15,7,11,16,11,0,0,95,78,43,72,70,63,85,10,0,0,423,431,474,999,1294,1263,1022,302,43,3,5828,345,69,88,94,161,358,998,609,227,2942,40,32,110,94,95,118,100,80,44,713,818,572,1200,1482,1513,1499,1396,734,276,9477,67,180,370,478,582,305,35,0,0,2018,308,177,401,738,727,555,130,9,0,3038,20,13,55,39,61,41,14,3,0,247,10,12,10,13,21,15,4,3,0,84,402,387,830,1264,1385,918,185,19,0,5391,13,18,22,31,26,38,0,0,0,141,43,17,39,47,27,21,5,0,0,203,50,37,67,77,51,54,5,0,0,343
501011003,34,80,319,468,467,251,65,5,0,1690,72,33,78,98,112,141,59,10,0,607,5,6,25,38,21,31,8,0,0,132,6,0,12,5,11,9,8,0,0,48,124,118,437,606,608,426,138,13,0,2476,3,7,11,13,16,21,0,0,0,77,10,3,0,8,4,16,5,0,0,47,13,13,14,22,20,39,9,0,0,124,137,127,448,630,627,465,144,18,0,2596,100,9,29,38,42,136,329,164,46,889,17,15,45,45,43,58,43,14,3,274,250,150,516,707,718,656,513,195,49,3760,17,57,166,171,211,139,24,7,0,782,74,52,212,387,293,226,64,12,5,1326,6,3,42,27,14,23,6,0,0,122,3,4,3,9,3,0,5,0,0,36,105,120,421,592,524,384,96,16,7,2263,6,3,10,11,7,3,0,0,0,42,6,5,9,13,7,14,0,0,0,47,13,8,14,18,16,15,0,0,0,88
501011004,32,75,331,429,336,193,41,0,0,1431,79,26,111,117,107,119,46,4,0,613,6,9,23,33,28,20,5,0,0,121,6,4,14,14,3,7,0,0,0,41,117,116,478,585,474,331,92,7,0,2203,7,5,23,27,19,19,3,0,0,89,3,3,4,0,9,9,4,0,0,37,9,11,24,27,23,23,8,0,0,129,125,123,501,615,499,354,101,8,0,2328,101,8,27,31,52,105,179,95,37,632,20,12,49,49,63,56,39,13,3,295,244,145,571,693,613,513,324,119,42,3262,16,48,222,177,214,118,14,3,0,802,83,63,250,347,247,199,39,0,7,1229,4,5,31,31,15,19,4,3,0,112,7,0,8,7,3,8,0,0,0,33,111,117,506,565,469,338,55,6,7,2179,3,4,5,18,10,5,0,0,0,45,3,0,11,7,11,13,5,0,0,59,6,8,23,26,19,19,5,0,0,108
501021005,85,239,683,748,775,467,60,0,0,3057,135,71,84,72,64,84,58,15,0,579,7,12,39,32,39,39,3,0,0,169,3,4,16,15,16,9,0,0,0,60,230,322,817,860,894,600,121,14,0,3864,44,38,54,59,49,37,3,0,0,281,43,16,5,11,10,12,3,0,0,100,85,50,61,69,61,50,11,0,0,378,314,375,883,932,948,654,128,14,0,4241,260,36,36,63,68,210,468,230,59,1432,32,10,48,59,67,49,48,27,4,349,611,417,968,1051,1089,909,646,276,64,6028,45,143,307,337,398,196,14,0,0,1435,219,107,348,493,450,308,74,5,0,1994,15,6,51,22,22,33,3,0,0,155,3,3,13,11,11,12,3,0,0,53,281,256,711,864,882,541,89,5,0,3641,11,17,36,28,31,19,0,0,0,132,32,19,32,37,29,30,4,0,0,184,46,37,65,60,52,43,4,0,0,310
501021007,30,64,153,181,230,158,28,9,0,847,31,6,32,28,48,49,39,5,3,241,0,5,9,7,13,18,6,0,0,58,0,5,3,5,9,3,7,0,0,26,60,71,195,228,293,227,85,10,3,1173,14,3,7,17,16,23,0,0,0,72,6,3,0,0,3,3,3,0,0,16,15,5,7,13,14,24,3,0,0,80,76,78,205,242,307,248,85,10,3,1255,84,11,11,23,27,69,195,68,25,506,3,10,8,14,24,19,20,12,4,113,165,97,221,286,360,334,304,89,27,1880,13,36,82,94,140,84,13,3,0,462,48,29,89,130,149,131,31,5,0,606,0,3,15,8,25,7,0,0,0,58,0,0,3,0,8,0,3,0,0,13,68,69,182,236,312,217,46,5,0,1136,0,0,3,4,9,0,0,0,0,20,5,0,6,13,3,5,0,0,0,30,5,0,16,18,10,6,0,0,0,49
501021008,29,111,246,224,206,165,19,0,0,995,45,39,57,43,30,48,27,0,0,294,0,4,16,9,25,12,0,0,0,68,0,3,12,5,5,0,3,0,0,30,74,159,331,279,275,228,47,7,0,1391,8,16,28,24,29,18,0,0,0,120,10,10,6,0,0,3,0,0,0,32,18,24,34,20,31,23,0,0,0,154,91,185,366,299,304,248,49,7,0,1546,91,68,155,151,122,122,210,126,61,1098,10,9,24,23,21,42,39,17,6,201,192,264,544,475,448,413,298,150,73,2842,7,60,133,83,116,97,5,0,0,508,57,62,112,144,134,106,30,0,0,653,0,5,18,5,18,14,0,0,0,66,7,3,9,4,3,4,0,0,0,26,73,136,274,237,270,220,41,0,3,1251,5,7,17,20,19,3,0,0,0,76,14,5,23,9,11,11,0,0,0,67,25,16,31,24,28,17,0,0,0,142
501021009,48,125,265,261,359,246,35,3,3,1343,48,30,35,38,39,39,22,3,0,248,3,4,13,21,10,26,0,0,0,74,8,3,13,4,11,9,9,0,0,53,105,167,325,323,412,322,58,4,3,1716,24,36,54,37,44,29,3,0,0,230,9,7,5,0,0,3,0,0,0,33,32,45,60,40,50,30,3,0,0,256,136,211,384,359,462,349,62,4,3,1980,130,48,46,66,67,254,356,147,42,1163,17,26,45,37,30,50,36,31,12,291,286,284,473,470,568,652,458,186,58,3432,15,66,102,96,150,79,10,0,0,521,80,55,145,183,202,155,38,0,3,864,3,8,20,5,23,14,4,0,0,83,3,0,0,9,7,4,4,0,0,32,99,132,275,297,381,252,50,6,3,1495,14,18,20,19,16,13,0,0,0,88,17,3,19,5,14,6,0,0,0,67,24,20,36,27,35,16,0,0,0,156
501021010,20,35,86,139,174,110,18,3,3,581,21,6,8,14,30,30,37,8,0,152,0,0,5,4,8,9,3,0,0,33,0,0,3,0,0,3,0,0,0,13,43,46,103,159,208,149,58,11,4,783,4,3,5,3,12,7,0,0,0,42,4,0,3,0,0,5,0,0,0,18,11,9,11,4,10,8,3,0,0,58,57,52,116,168,221,154,60,11,4,840,49,7,6,9,21,49,88,48,5,281,7,5,9,15,9,16,17,5,0,86,115,63,125,182,257,227,160,64,11,1206,15,24,31,42,82,44,10,3,0,252,47,23,41,87,104,88,25,3,0,411,0,3,7,5,6,8,0,0,0,25,0,3,0,0,0,0,0,0,0,6,58,48,74,138,195,143,37,5,0,698,0,3,0,0,6,0,0,0,0,7,8,0,10,7,0,3,0,0,0,37,8,3,15,6,7,3,0,0,0,44
501021011,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
